ID,N_04_pct,C_04_pct,BD_04_gcm3
Bp.E1.L.1.0-10.04,0.106,2.502,0.95
Bp.E1.L.2.0-10.04,0.129,2.077,0.95
Bp.E1.L.3.0-10.04,0.082,2.289,0.95
Bp.E1.L.4.0-10.04,0.118,2.644,0.95
Bp.E1.L.1.10-20.04,0.093,1.722,1.12
Bp.E1.L.2.10-20.04,0.088,1.793,1.12
Bp.E1.L.3.10-20.04,0.053,1.935,1.12
Bp.E1.L.4.10-20.04,0.082,2.218,1.12
Bp.E1.L.1.20-40.04,0.075,1.570,1.23
Bp.E1.L.2.20-40.04,0.068,1.393,1.23
Bp.E1.L.3.20-40.04,0.079,1.464,1.23
Bp.E1.L.4.20-40.04,0.079,1.641,1.23
Bp.E1.L.1.40-60.04,0.057,1.393,1.30
Bp.E1.L.2.40-60.04,0.054,1.286,1.30
Bp.E1.L.3.40-60.04,0.061,1.393,1.30
Bp.E1.L.4.40-60.04,0.068,1.428,1.30
Bp.E1.L.1.60-100.04,0.100,1.286,1.21
Bp.E1.L.2.60-100.04,0.043,1.215,1.21
Bp.E1.L.3.60-100.04,0.050,1.038,1.21
Bp.E1.L.4.60-100.04,0.060,1.074,1.21
Bp.E1.E.1.0-10.04,0.118,2.644,1.08
Bp.E1.E.2.0-10.04,0.122,2.785,1.08
Bp.E1.E.3.0-10.04,0.129,2.856,1.08
Bp.E1.E.4.0-10.04,0.115,2.218,1.08
Bp.E1.E.1.10-20.04,0.086,2.431,1.10
Bp.E1.E.2.10-20.04,0.100,2.573,1.10
Bp.E1.E.3.10-20.04,0.090,2.360,1.10
Bp.E1.E.4.10-20.04,0.115,2.431,1.10
Bp.E1.E.1.20-40.04,0.086,1.605,1.22
Bp.E1.E.2.20-40.04,0.097,1.570,1.22
Bp.E1.E.3.20-40.04,0.086,1.534,1.22
Bp.E1.E.4.20-40.04,0.086,1.712,1.22
Bp.E1.E.1.40-60.04,0.061,1.570,1.28
Bp.E1.E.2.40-60.04,0.072,1.464,1.28
Bp.E1.E.3.40-60.04,0.061,1.464,1.28
Bp.E1.E.4.40-60.04,0.079,1.570,1.28
Bp.E1.E.1.60-100.04,0.047,1.215,1.21
Bp.E1.E.2.60-100.04,0.050,0.988,1.21
Bp.E1.E.3.60-100.04,0.047,0.836,1.21
Bp.E1.E.4.60-100.04,0.054,0.912,1.21
Bp.E2.E.1.0-10.04,0.115,1.922,0.92
Bp.E2.E.2.0-10.04,0.120,2.091,0.92
Bp.E2.E.3.0-10.04,0.125,1.837,0.92
Bp.E2.E.4.0-10.04,0.125,2.006,0.92
Bp.E2.E.1.10-20.04,0.115,2.176,0.99
Bp.E2.E.2.10-20.04,0.108,1.582,0.99
Bp.E2.E.3.10-20.04,0.111,1.752,0.99
Bp.E2.E.4.10-20.04,0.108,1.498,0.99
Bp.E2.E.1.20-40.04,0.068,1.257,1.09
Bp.E2.E.2.20-40.04,0.086,1.215,1.09
Bp.E2.E.3.20-40.04,0.086,1.342,1.09
Bp.E2.E.4.20-40.04,0.079,1.385,1.09
Bp.E2.E.1.40-60.04,0.075,1.088,1.15
Bp.E2.E.2.40-60.04,0.095,1.088,1.15
Bp.E2.E.3.40-60.04,0.064,1.130,1.15
Bp.E2.E.4.40-60.04,0.061,1.003,1.15
Bp.E2.E.1.60-100.04,0.064,0.777,1.10
Bp.E2.E.2.60-100.04,0.078,0.664,1.10
Bp.E2.E.3.60-100.04,0.057,0.834,1.10
Bp.E2.E.4.60-100.04,0.053,0.834,1.10
BO.E.1.0-10.04,0.156,2.555,1.46
BO.E.2.0-10.04,0.181,2.838,1.46
BO.E.3.0-10.04,0.181,2.697,1.46
BO.E.4.0-10.04,0.199,2.413,1.46
BO.E.1.10-20.04,0.116,1.277,1.49
BO.E.2.10-20.04,0.127,1.419,1.49
BO.E.3.10-20.04,0.141,1.467,1.49
