"","run.date","Wt.mg","ID","N","N.mg","N.area","C","C.mg","C.area","site","LU","stand","position","year","rep","inc_from","inc_to","depth","line","Nadj","CNevalday"
"5","04-Aug-2017510_46.prm",26.575,"Bp.E2.Ee2.1.10-20.16",0.1719,0.0457,15.9368,3.0086,0.7995,524.4671,"Bp","E","Bp.E2","Ee2","16",1,10,20,15,1,0.171161911640261,"Aug-04"
"6","04-Aug-2017610_52.prm",28.376,"Bp.E2.Ee1.1.10-20.16",0.1872,0.0531,17.7291,3.3352,0.9464,620.071,"Bp","E","Bp.E2","Ee1","16",1,10,20,15,2,0.185599308724327,"Aug-04"
"7","04-Aug-2017710_58.prm",26.851,"Bp.E2.L.1.10-20.16",0.1771,0.0475,16.3831,3.0087,0.8079,529.8879,"Bp","E","Bp.E2","L","16",1,10,20,15,3,0.174838176299943,"Aug-04"
"8","04-Aug-2017811_04.prm",27.86,"Bp.E2.T.1.10-20.16",0.2459,0.0685,21.4431,4.3208,1.2038,787.6169,"Bp","E","Bp.E2","T","16",1,10,20,15,4,0.241730417971158,"Aug-04"
"9","04-Aug-2017911_09.prm",27.278,"Bp.E2.Ee2.2.10-20.16",0.1268,0.0346,13.2594,1.6712,0.4559,300.7752,"Bp","E","Bp.E2","Ee2","16",2,10,20,15,5,0.124123753378945,"Aug-04"
"10","04-Aug-20171011_15.prm",28.102,"Bp.E2.Ee1.2.10-20.16",0.1322,0.0372,13.8772,1.6985,0.4773,314.7165,"Bp","E","Bp.E2","Ee1","16",2,10,20,15,6,0.12886581118569,"Aug-04"
"11","04-Aug-20171111_21.prm",27.341,"Bp.E2.L.2.10-20.16",0.1173,0.0321,12.6499,1.6631,0.4547,300.0065,"Bp","E","Bp.E2","L","16",2,10,20,15,7,0.113862981885931,"Aug-04"
"12","04-Aug-20171211_26.prm",26.596,"Bp.E2.T.2.10-20.16",0.1234,0.0328,12.8274,1.6208,0.4311,284.6295,"Bp","E","Bp.E2","T","16",2,10,20,15,8,0.119284933959703,"Aug-04"
"13","04-Aug-20171311_33.prm",26.968,"Bp.E1.Ee2.1.40-60.16",0.1146,0.0309,12.3668,1.4931,0.4026,266.1241,"Bp","E","Bp.E1","Ee2","16",1,40,60,50,9,0.110318536659676,"Aug-04"
"14","04-Aug-20171411_39.prm",27.864,"Bp.E1.Ee1.1.40-60.16",0.1069,0.0298,12.0963,1.5043,0.4191,276.864,"Bp","E","Bp.E1","Ee1","16",1,40,60,50,10,0.102480799239136,"Aug-04"
"15","04-Aug-20171511_45.prm",27.151,"Bp.E1.T.1.40-60.16",0.1055,0.0287,11.8244,1.4448,0.3923,259.3706,"Bp","E","Bp.E1","T","16",1,40,60,50,11,0.100722292950091,"Aug-04"
"16","04-Aug-20171611_50.prm",28.478,"Bp.E1.L.1.40-60.16",0.1038,0.0296,12.0451,1.5331,0.4366,288.2178,"Bp","E","Bp.E1","L","16",1,40,60,50,12,0.0986929668306858,"Aug-04"
"18","04-Aug-20171812_02.prm",27.671,"Bp.E1.L.2.40-60.16",0.1026,0.0284,11.7584,1.395,0.386,255.2848,"Bp","E","Bp.E1","L","16",2,40,60,50,14,0.0967585759858619,"Aug-04"
"19","04-Aug-20171912_07.prm",28.052,"Bp.E1.T.2.40-60.16",0.1051,0.0295,12.0255,1.3969,0.3919,259.0991,"Bp","E","Bp.E1","T","16",2,40,60,50,15,0.0987147965209198,"Aug-04"
"20","04-Aug-20172012_13.prm",27.645,"Bp.E1.Ee1.2.40-60.16",0.1136,0.0314,12.4863,1.4796,0.409,270.2721,"Bp","E","Bp.E1","Ee1","16",2,40,60,50,16,0.106267980079624,"Aug-04"
"21","04-Aug-20172112_19.prm",26.369,"Bp.E1.Ee2.2.40-60.16",0.1113,0.0293,11.989,1.4845,0.3914,258.8249,"Bp","E","Bp.E1","Ee2","16",2,40,60,50,17,0.103698119634096,"Aug-04"
"22","04-Aug-20172212_25.prm",26.978,"Bp.E1.L.3.40-60.16",0.1076,0.029,11.9123,1.3817,0.3728,246.667,"Bp","E","Bp.E1","L","16",3,40,60,50,18,0.0998496671478541,"Aug-04"
"23","04-Aug-20172312_30.prm",28.298,"Bp.E1.T.3.40-60.16",0.1085,0.0307,12.3206,1.4723,0.4166,275.2323,"Bp","E","Bp.E1","T","16",3,40,60,50,19,0.10028354455281,"Aug-04"
"24","04-Aug-20172412_36.prm",27.361,"Bp.E1.Ee1.3.40-60.16",0.1242,0.034,13.1074,1.7433,0.477,314.5144,"Bp","E","Bp.E1","Ee1","16",3,40,60,50,20,0.114338902709545,"Aug-04"
"25","04-Aug-20172512_42.prm",26.125,"Bp.E1.Ee2.3.40-60.16",0.1115,0.0291,11.9367,1.4408,0.3764,249.0435,"Bp","E","Bp.E1","Ee2","16",3,40,60,50,21,0.102241361124448,"Aug-04"
"26","04-Aug-20172612_48.prm",27.976,"Bp.E1.T.4.40-60.16",0.1082,0.0303,12.2147,1.4304,0.4002,264.5172,"Bp","E","Bp.E1","T","16",4,40,60,50,22,0.0988246164047252,"Aug-04"
"27","04-Aug-20172712_53.prm",27.492,"Bp.E1.L.4.40-60.16",0.1188,0.0327,12.7932,1.6405,0.451,297.6019,"Bp","E","Bp.E1","L","16",4,40,60,50,23,0.108080457773739,"Aug-04"
"28","04-Aug-20172812_59.prm",27.041,"Bp.E1.Ee1.4.40-60.16",0.1165,0.0315,12.5106,1.4588,0.3945,260.7978,"Bp","E","Bp.E1","Ee1","16",4,40,60,50,24,0.105573811912586,"Aug-04"
"29","04-Aug-20172913_05.prm",27.102,"Bp.E1.Ee2.4.40-60.16",0.1042,0.0282,11.7232,1.306,0.3539,234.4173,"Bp","E","Bp.E1","Ee2","16",4,40,60,50,25,0.0940598259945309,"Aug-04"
