		Sample	Sample ID	Sample Weight [mg]	Weight [mg]	Weight [mg]	Weight [%]	Weight [%]	Carbon Response Ratio	Carbon Response Ratio	Carbon Weight Ratio	Carbon Weight Ratio
					Nitrogen	Carbon	Nitrogen	Carbon	Nitrogen	Carbon	Nitrogen	Carbon
bypass_8_7_2018 10_03_49 AM_1	Colibrick - 1	bypass		0.000	N/A	0.000	N/A	100.000	1.071	1.000	???	1.000
bypass_8_7_2018 10_09_20 AM_2	Colibrick - 1	bypass		0.000	0.009	0.135	6.507	93.493	0.038	1.000	14.367	1.000
Calib\std 1_8_7_2018 10_14_51 AM_3	Colibrick - 1	std 1		0.363	0.019	0.257	5.219	70.697	0.033	1.000	13.547	1.000
Calib\std 2_8_7_2018 10_20_22 AM_4	Colibrick - 1	std 2		0.534	0.027	0.377	5.057	70.688	0.030	1.000	13.978	1.000
Calib\std 3_8_7_2018 10_25_54 AM_5	Colibrick - 1	std 3		0.739	0.039	0.519	5.250	70.267	0.030	1.000	13.386	1.000
Bp.E2.2.20-40.16_8_7_2018 10_31_26 AM_6	Colibrick - 1	Bp.E2.2.20-40.16		19.173	0.018	0.275	0.094	1.435	0.030	1.000	15.302	1.000
Bp.E2.3.20-40.16_8_7_2018 10_36_56 AM_7	Colibrick - 1	Bp.E2.3.20-40.16		19.364	0.021	0.315	0.108	1.628	0.029	1.000	15.131	1.000
Bp.E2.4.20-40.16_8_7_2018 10_42_27 AM_8	Colibrick - 1	Bp.E2.4.20-40.16		20.222	0.023	0.406	0.114	2.010	0.025	1.000	17.603	1.000
Bp.E2.1.60-100.16_8_7_2018 10_47_58 AM_9	Colibrick - 1	Bp.E2.1.60-100.16		18.703	0.018	0.323	0.098	1.728	0.026	1.000	17.587	1.000
Bp.E2.2.60-100.16_8_7_2018 10_53_29 AM_10	Colibrick - 1	Bp.E2.2.60-100.16		18.224	0.014	0.208	0.079	1.140	0.033	1.000	14.477	1.000
Bp.E2.3.60-100.16_8_7_2018 10_59_00 AM_11	Colibrick - 1	Bp.E2.3.60-100.16		18.862	0.013	0.207	0.068	1.098	0.031	1.000	16.152	1.000
Bp.E2.4.60-100.16_8_7_2018 11_04_31 AM_12	Colibrick - 1	Bp.E2.4.60-100.16		19.061	0.017	0.275	0.088	1.442	0.028	1.000	16.303	1.000
JP.A.E.3.10-20.16_8_7_2018 11_10_01 AM_13	Colibrick - 1	JP.A.E.3.10-20.16		19.529	0.008	0.086	0.043	0.438	0.055	1.000	10.283	1.000
JP.A.L.2.10-20.16_8_7_2018 11_15_32 AM_14	Colibrick - 1	JP.A.L.2.10-20.16		18.230	0.009	0.093	0.052	0.512	0.055	1.000	9.870	1.000
JP.A.L.1.10-20.16_8_7_2018 11_21_03 AM_15	Colibrick - 1	JP.A.L.1.10-20.16		18.484	0.006	0.076	0.033	0.409	0.052	1.000	12.587	1.000
JP.A.E.2.10-20.16_8_7_2018 11_26_34 AM_16	Colibrick - 1	JP.A.E.2.10-20.16		19.881	0.010	0.106	0.049	0.531	0.049	1.000	10.897	1.000
JP.A.E.1.10-20.16_8_7_2018 11_32_05 AM_17	Colibrick - 1	JP.A.E.1.10-20.16		19.125	0.008	0.099	0.044	0.516	0.048	1.000	11.747	1.000
JP.A.L.3.10-20.16_8_7_2018 11_37_35 AM_18	Colibrick - 1	JP.A.L.3.10-20.16		18.890	0.006	0.082	0.032	0.436	0.047	1.000	13.801	1.000
Calib\std 4_8_7_2018 11_43_06 AM_19	Colibrick - 1	std 4		1.074	0.053	0.756	4.895	70.349	0.028	1.000	14.372	1.000
JP.A.L.4.10-20.16_8_7_2018 11_48_41 AM_20	Colibrick - 1	JP.A.L.4.10-20.16		19.916	0.004	0.068	0.019	0.343	0.046	1.000	18.378	1.000
JP.A.L.2.20-40.16_8_7_2018 11_54_11 AM_21	Colibrick - 1	JP.A.L.2.20-40.16		20.156	0.005	0.060	0.023	0.299	0.057	1.000	12.747	1.000
JP.A.L.1.20-40.16_8_7_2018 11_59_42 AM_22	Colibrick - 1	JP.A.L.1.20-40.16		19.000	0.004	0.064	0.022	0.335	0.051	1.000	15.352	1.000
JP.A.L.3.20-40.16_8_7_2018 12_05_13 PM_23	Colibrick - 1	JP.A.L.3.20-40.16		19.441	0.003	0.052	0.013	0.269	0.052	1.000	20.652	1.000
JP.A.L.4.20-40.16_8_7_2018 12_10_44 PM_24	Colibrick - 1	JP.A.L.4.20-40.16		18.782	0.003	0.067	0.017	0.356	0.044	1.000	21.060	1.000
Bp.E2.T.4.0-10.16_8_7_2018 12_16_15 PM_25	Colibrick - 1	Bp.E2.T.4.0-10.16		19.363	0.035	0.643	0.182	3.321	0.023	1.000	18.281	1.000
Bp.E2.L.4.0-10.16_8_7_2018 12_21_46 PM_26	Colibrick - 1	Bp.E2.L.4.0-10.16		19.019	0.022	0.418	0.118	2.196	0.023	1.000	18.640	1.000
Bp.E2.Ee2.4.0-10.16_8_7_2018 12_27_16 PM_27	Colibrick - 1	Bp.E2.Ee2.4.0-10.16		18.160	0.028	0.467	0.152	2.570	0.025	1.000	16.918	1.000
Bp.E2.Ee1.4.0-10.16_8_7_2018 12_32_47 PM_28	Colibrick - 1	Bp.E2.Ee1.4.0-10.16		18.347	0.024	0.439	0.129	2.391	0.023	1.000	18.601	1.000
Bp.E2.T.3.0-10.16_8_7_2018 12_38_18 PM_29	Colibrick - 1	Bp.E2.T.3.0-10.16		19.649	0.027	0.448	0.135	2.279	0.025	1.000	16.840	1.000
Bp.E2.L.3.0-10.16_8_7_2018 12_43_49 PM_30	Colibrick - 1	Bp.E2.L.3.0-10.16		19.225	0.020	0.345	0.102	1.795	0.025	1.000	17.642	1.000
Bp.E2.Ee2.3.0-10.16_8_7_2018 12_49_20 PM_31	Colibrick - 1	Bp.E2.Ee2.3.0-10.16		19.006	0.030	0.598	0.156	3.149	0.021	1.000	20.207	1.000
Calib\std 5_8_7_2018 12_54_51 PM_32	Colibrick - 1	std 5		1.316	0.063	0.933	4.756	70.919	0.026	1.000	14.912	1.000
Bp.E2.2.20-40.16_8_7_2018 1_00_27 PM_33	Colibrick - 1	Bp.E2.2.20-40.16		18.845	0.015	0.271	0.080	1.436	0.026	1.000	18.010	1.000
