		Sample	Sample ID	Sample Weight [mg]	Weight [mg]	Weight [mg]	Weight [%]	Weight [%]	Carbon Response Ratio	Carbon Response Ratio	Carbon Weight Ratio	Carbon Weight Ratio
					Nitrogen	Carbon	Nitrogen	Carbon	Nitrogen	Carbon	Nitrogen	Carbon
_7_20_2018 9_21_59 AM_1	Colibrick - 1	bypass		0.000	0.004	N/A	100.000	N/A	0.338	1.000	???	???
Calib\_7_20_2018 9_27_01 AM_2	Colibrick - 1	std 1		0.368	0.037	0.258	9.940	70.098	0.052	1.000	7.052	1.000
Calib\_7_20_2018 9_32_02 AM_3	Colibrick - 1	std 2		0.624	0.065	0.443	10.373	71.073	0.055	1.000	6.852	1.000
Calib\_7_20_2018 9_37_04 AM_4	Colibrick - 1	std 3		0.966	0.101	0.689	10.421	71.329	0.056	1.000	6.844	1.000
Calib\_7_20_2018 9_42_05 AM_5	Colibrick - 1	std 4		2.540	0.263	1.722	10.350	67.801	0.060	1.000	6.551	1.000
_7_20_2018 9_47_07 AM_6	Colibrick - 1	atropine 1		1.602	0.083	1.109	5.209	69.244	0.029	1.000	13.293	1.000
_7_20_2018 9_52_08 AM_7	Colibrick - 1	BO.P.1.10-20.16_1		27.001	0.040	0.412	0.150	1.525	0.037	1.000	10.183	1.000
_7_20_2018 9_57_09 AM_8	Colibrick - 1	BO.P.1.10-20.16_2		27.995	0.042	0.430	0.152	1.536	0.037	1.000	10.131	1.000
_7_20_2018 10_02_10 AM_9	Colibrick - 1	BO.P.3.10-20.16		28.253	0.042	0.379	0.149	1.341	0.041	1.000	9.020	1.000
_7_20_2018 10_07_12 AM_10	Colibrick - 1	BO.P.2.10-20.16		27.188	0.047	0.408	0.171	1.499	0.043	1.000	8.744	1.000
_7_20_2018 10_12_13 AM_11	Colibrick - 1	BO.P.4.0-10.16		26.832	0.047	0.450	0.175	1.678	0.039	1.000	9.584	1.000
_7_20_2018 10_17_14 AM_12	Colibrick - 1	BO.P.3.0-10.16		28.483	0.055	0.543	0.194	1.905	0.039	1.000	9.827	1.000
_7_20_2018 10_22_15 AM_13	Colibrick - 1	BO.P.4.10-20.16_1		27.673	0.046	0.380	0.166	1.374	0.045	1.000	8.304	1.000
_7_20_2018 10_27_16 AM_14	Colibrick - 1	JP.N.2.10-20.16		27.606	0.025	0.092	0.090	0.334	0.088	1.000	3.704	1.000
_7_20_2018 10_32_17 AM_15	Colibrick - 1	JP.N.3.10-20.16		26.622	0.023	0.077	0.086	0.290	0.093	1.000	3.378	1.000
_7_20_2018 10_37_19 AM_16	Colibrick - 1	JP.N.1.10-20.16		27.959	0.024	0.086	0.084	0.307	0.088	1.000	3.656	1.000
_7_20_2018 10_42_20 AM_17	Colibrick - 1	JP.N.4.0-10.16		28.043	0.024	0.134	0.085	0.476	0.061	1.000	5.570	1.000
_7_20_2018 10_47_21 AM_18	Colibrick - 1	JP.N.3.0-10.16		26.876	0.023	0.132	0.084	0.491	0.058	1.000	5.846	1.000
Calib\_7_20_2018 10_52_23 AM_19	Colibrick - 1	atropine 2		1.217	0.067	0.855	5.502	70.256	0.030	1.000	12.769	1.000
_7_20_2018 10_57_27 AM_20	Colibrick - 1	blank		27.000	0.011	N/A	0.042	N/A	2.318	1.000	???	???
_7_20_2018 11_02_28 AM_21	Colibrick - 1	It.E1.1.20-40.16		25.630	0.036	0.721	0.140	2.814	0.019	1.000	20.087	1.000
_7_20_2018 11_07_30 AM_22	Colibrick - 1	It.E1.2.20-40.16		27.560	0.040	0.806	0.146	2.923	0.019	1.000	20.047	1.000
_7_20_2018 11_12_31 AM_23	Colibrick - 1	It.E1.1.40-60.16		27.183	0.032	0.618	0.117	2.273	0.019	1.000	19.448	1.000
_7_20_2018 11_17_32 AM_24	Colibrick - 1	It.E1.4.20-40.16		25.542	0.032	0.481	0.124	1.882	0.025	1.000	15.211	1.000
_7_20_2018 11_22_34 AM_25	Colibrick - 1	It.E1.3.20-40.16		27.407	0.040	0.765	0.145	2.792	0.020	1.000	19.204	1.000
_7_20_2018 11_27_36 AM_26	Colibrick - 1	It.E1.2.40-60.16		25.576	0.035	0.688	0.137	2.690	0.019	1.000	19.618	1.000
_7_20_2018 11_32_38 AM_27	Colibrick - 1	It.E1.3.40-60.16		25.393	0.030	0.530	0.119	2.089	0.021	1.000	17.596	1.000
_7_20_2018 11_37_40 AM_28	Colibrick - 1	It.E1.4.40-60.16		26.825	0.025	0.389	0.094	1.451	0.024	1.000	15.466	1.000
_7_20_2018 11_42_41 AM_29	Colibrick - 1	It.E1.5.40-60.16		25.410	0.017	0.222	0.068	0.872	0.027	1.000	12.855	1.000
_7_20_2018 11_47_43 AM_30	Colibrick - 1	It.E1.2.60-100.16		25.879	0.027	0.475	0.103	1.835	0.021	1.000	17.762	1.000
_7_20_2018 11_52_45 AM_31	Colibrick - 1	It.E1.1.60-100.16		27.308	0.025	0.476	0.093	1.744	0.020	1.000	18.686	1.000
Calib\_7_20_2018 11_57_47 AM_32	Colibrick - 1	atropine 3		1.202	0.060	0.859	4.991	71.433	0.027	1.000	14.313	1.000
_7_20_2018 12_02_57 PM_33	Colibrick - 1	blank		27.000	0.006	N/A	0.022	N/A	0.503	1.000	???	???
_7_20_2018 12_07_59 PM_34	Colibrick - 1	BO.P.1.10-20.16_3		26.156	0.039	0.404	0.147	1.545	0.035	1.000	10.491	1.000
_7_20_2018 12_13_01 PM_35	Colibrick - 1	It.E1.3.60-100.16		28.503	0.034	0.658	0.121	2.307	0.020	1.000	19.140	1.000
_7_20_2018 12_18_03 PM_36	Colibrick - 1	It.E1.4.60-100.16		26.028	0.018	0.373	0.070	1.434	0.018	1.000	20.382	1.000
_7_20_2018 12_23_04 PM_37	Colibrick - 1	It.E2.1.10-20.16		27.294	0.050	0.976	0.183	3.576	0.020	1.000	19.492	1.000
_7_20_2018 12_28_06 PM_38	Colibrick - 1	It.E2.3.20-40.16		27.668	0.032	0.579	0.116	2.094	0.021	1.000	18.024	1.000
_7_20_2018 12_33_08 PM_39	Colibrick - 1	It.E2.4.20-40.16		28.652	0.034	0.623	0.119	2.174	0.021	1.000	18.336	1.000
_7_20_2018 12_38_09 PM_40	Colibrick - 1	It.E2.3.40-60.16		27.250	0.024	0.442	0.090	1.621	0.020	1.000	18.069	1.000
_7_20_2018 12_43_11 PM_41	Colibrick - 1	It.E2.4.40-60.16		27.758	0.025	0.455	0.092	1.639	0.021	1.000	17.840	1.000
_7_20_2018 12_48_13 PM_42	Colibrick - 1	It.E2.1.60-100.16		28.120	0.023	0.426	0.082	1.516	0.020	1.000	18.398	1.000
_7_20_2018 12_53_14 PM_43	Colibrick - 1	It.E2.2.60-100.16		27.080	0.032	0.618	0.117	2.283	0.019	1.000	19.503	1.000
_7_20_2018 12_58_16 PM_44	Colibrick - 1	It.E2.3.60-100.16		26.950	0.022	0.427	0.081	1.585	0.019	1.000	19.649	1.000
_7_20_2018 1_03_18 PM_45	Colibrick - 1	BO.P.4.10-20.16_2		28.418	0.033	0.374	0.117	1.314	0.033	1.000	11.253	1.000
Calib\_7_20_2018 1_08_20 PM_46	Colibrick - 1	atropine 4		1.411	0.068	0.989	4.795	70.067	0.026	1.000	14.612	1.000
_7_20_2018 1_19_12 PM_47	Colibrick - 1	blank		27.000	0.003	N/A	0.011	N/A	0.628	1.000	???	???
_7_20_2018 1_24_14 PM_48	Colibrick - 1	JP.P.1.0-10.16		28.071	0.013	0.168	0.045	0.597	0.026	1.000	13.154	1.000
_7_20_2018 1_29_16 PM_49	Colibrick - 1	JP.P.2.0-10.16		26.503	0.010	0.129	0.038	0.487	0.025	1.000	12.888	1.000
_7_20_2018 1_34_18 PM_50	Colibrick - 1	JP.N.3.20-40.16		29.397	0.010	0.088	0.033	0.301	0.033	1.000	9.189	1.000
_7_20_2018 1_39_20 PM_51	Colibrick - 1	JP.N.4.20-40.16		27.912	0.010	0.089	0.035	0.317	0.034	1.000	9.002	1.000
_7_20_2018 1_44_22 PM_52	Colibrick - 1	JP.N.1.40-60.16		29.179	0.009	0.082	0.031	0.281	0.033	1.000	8.932	1.000
_7_20_2018 1_49_24 PM_53	Colibrick - 1	JP.N.2.40-60.16		28.304	0.008	0.077	0.029	0.272	0.031	1.000	9.449	1.000
_7_20_2018 1_54_26 PM_54	Colibrick - 1	JP.N.3.40-60.16		29.337	0.011	0.120	0.038	0.410	0.030	1.000	10.748	1.000
_7_20_2018 1_59_28 PM_55	Colibrick - 1	JP.N.4.40-60.16		27.251	0.009	0.089	0.032	0.326	0.029	1.000	10.219	1.000
_7_20_2018 2_04_30 PM_56	Colibrick - 1	JP.N.3.60-100.16		26.439	0.007	0.069	0.026	0.259	0.027	1.000	10.115	1.000
_7_20_2018 2_09_32 PM_57	Colibrick - 1	JP.N.4.60-100.16		27.936	0.007	0.093	0.026	0.333	0.023	1.000	12.731	1.000
_7_20_2018 2_14_34 PM_58	Colibrick - 1	BO.P.1.10-20.16_4		26.587	0.037	0.418	0.138	1.573	0.033	1.000	11.407	1.000
Calib\_7_20_2018 2_19_36 PM_59	Colibrick - 1	atropine 5		0.547	0.026	0.388	4.830	70.855	0.025	1.000	14.669	1.000
