"","run.date","ID","Wt.mg","N.mg","C.mg","N","C","site","LU","stand","position","year","rep","inc_from","inc_to","depth","line","Nadj","CNevalday"
"8","_7_12_2018 11_39_57 AM_7","Eu.E2.Ee1.1.0-10.16",26.908,0.033,0.489,0.121,1.819,"Eu","E","Eu.E2","Ee1","16",1,0,10,5,1,0.121093202564808,"7-12"
"9","_7_12_2018 11_44_58 AM_8","BO.P.1.60-100.16",26.553,0.019,0.155,0.07,0.585,"BO","P","BO.P",NA,"16",1,60,100,80,2,0.0701079208063562,"7-12"
"10","_7_12_2018 11_50_00 AM_9","It.E1.Ee1.2.0-10.16",27.258,0.07,1.558,0.255,5.714,"It","E","It.E1","Ee1","16",2,0,10,5,3,0.255590165056795,"7-12"
"11","_7_12_2018 11_55_01 AM_10","JP.E1.L.4.0-10.16",27.555,0.014,0.228,0.049,0.826,"JP","E","JP.E1","L","16",4,0,10,5,4,0.0491513224265887,"7-12"
"12","_7_12_2018 12_00_02 PM_11","JP.E1.Ee1.2.0-10.16",27.765,0.02,0.394,0.07,1.42,"JP","E","JP.E1","Ee1","16",2,0,10,5,5,0.0702704274032495,"7-12"
"13","_7_12_2018 12_11_45 PM_12","Eu.E1.Ee2.1.0-10.16",27.529,0.052,0.72,0.19,2.617,"Eu","E","Eu.E1","Ee2","16",1,0,10,5,6,0.190881501776974,"7-12"
"14","_7_12_2018 12_16_47 PM_13","Eu.E1.Ee1.4.0-10.16",29.374,0.033,0.4,0.113,1.361,"Eu","E","Eu.E1","Ee1","16",4,0,10,5,7,0.113612111827412,"7-12"
"15","_7_12_2018 12_21_48 PM_14","Eu.E1.Ee1.3.0-10.16",25.795,0.042,0.614,0.162,2.38,"Eu","E","Eu.E1","Ee1","16",3,0,10,5,8,0.163003680522181,"7-12"
"16","_7_12_2018 12_26_49 PM_15","Eu.E1.Ee1.2.0-10.16",25.813,0.047,0.659,0.184,2.552,"Eu","E","Eu.E1","Ee1","16",2,0,10,5,9,0.185283474647559,"7-12"
"17","_7_12_2018 12_31_51 PM_16","Eu.E1.Ee1.1.0-10.16",29.979,0.056,0.806,0.188,2.69,"Eu","E","Eu.E1","Ee1","16",1,0,10,5,10,0.189458214927113,"7-12"
