File Name,Wt. mg,Sample,N%,N mg,N area,C%,C mg,C area
04-Aug-2017110_23.prm,0.535,std 1,4.9035,0.0262,11.2404,70.3474,0.3764,249.0099
04-Aug-2017210_29.prm,1.606,std 2,4.8053,0.0772,23.5333,70.603,1.1339,742.1149
04-Aug-2017310_34.prm,2.848,std 3,4.8434,0.1379,38.1977,70.6551,2.0123,1313.8841
04-Aug-2017410_40.prm,3.632,std 4,4.8433,0.1759,47.36,70.4977,2.5605,1670.7434
04-Aug-2017510_46.prm,26.575,Bp.E2.Ee2.1.10-20.16,0.1719,0.0457,15.9368,3.0086,0.7995,524.4671
04-Aug-2017610_52.prm,28.376,Bp.E2.Ee1.1.10-20.16,0.1872,0.0531,17.7291,3.3352,0.9464,620.071
04-Aug-2017710_58.prm,26.851,Bp.E2.L.1.10-20.16,0.1771,0.0475,16.3831,3.0087,0.8079,529.8879
04-Aug-2017811_04.prm,27.86,Bp.E2.T.1.10-20.16,0.2459,0.0685,21.4431,4.3208,1.2038,787.6169
04-Aug-2017911_09.prm,27.278,Bp.E2.Ee2.2.10-20.16,0.1268,0.0346,13.2594,1.6712,0.4559,300.7752
04-Aug-20171011_15.prm,28.102,Bp.E2.Ee1.2.10-20.16,0.1322,0.0372,13.8772,1.6985,0.4773,314.7165
04-Aug-20171111_21.prm,27.341,Bp.E2.L.2.10-20.16,0.1173,0.0321,12.6499,1.6631,0.4547,300.0065
04-Aug-20171211_26.prm,26.596,Bp.E2.T.2.10-20.16,0.1234,0.0328,12.8274,1.6208,0.4311,284.6295
04-Aug-20171311_33.prm,26.968,Bp.E1.Ee2.1.40-60.16,0.1146,0.0309,12.3668,1.4931,0.4026,266.1241
04-Aug-20171411_39.prm,27.864,Bp.E1.Ee1.1.40-60.16,0.1069,0.0298,12.0963,1.5043,0.4191,276.864
04-Aug-20171511_45.prm,27.151,Bp.E1.T.1.40-60.16,0.1055,0.0287,11.8244,1.4448,0.3923,259.3706
04-Aug-20171611_50.prm,28.478,Bp.E1.L.1.40-60.16,0.1038,0.0296,12.0451,1.5331,0.4366,288.2178
04-Aug-20171711_56.prm,1.269,std 5,5.2604,0.0668,21.0191,70.499,0.8946,586.3759
04-Aug-20171812_02.prm,27.671,Bp.E1.L.2.40-60.16,0.1026,0.0284,11.7584,1.395,0.386,255.2848
04-Aug-20171912_07.prm,28.052,Bp.E1.T.2.40-60.16,0.1051,0.0295,12.0255,1.3969,0.3919,259.0991
04-Aug-20172012_13.prm,27.645,Bp.E1.Ee1.2.40-60.16,0.1136,0.0314,12.4863,1.4796,0.409,270.2721
04-Aug-20172112_19.prm,26.369,Bp.E1.Ee2.2.40-60.16,0.1113,0.0293,11.989,1.4845,0.3914,258.8249
04-Aug-20172212_25.prm,26.978,Bp.E1.L.3.40-60.16,0.1076,0.029,11.9123,1.3817,0.3728,246.667
04-Aug-20172312_30.prm,28.298,Bp.E1.T.3.40-60.16,0.1085,0.0307,12.3206,1.4723,0.4166,275.2323
04-Aug-20172412_36.prm,27.361,Bp.E1.Ee1.3.40-60.16,0.1242,0.034,13.1074,1.7433,0.477,314.5144
04-Aug-20172512_42.prm,26.125,Bp.E1.Ee2.3.40-60.16,0.1115,0.0291,11.9367,1.4408,0.3764,249.0435
04-Aug-20172612_48.prm,27.976,Bp.E1.T.4.40-60.16,0.1082,0.0303,12.2147,1.4304,0.4002,264.5172
04-Aug-20172712_53.prm,27.492,Bp.E1.L.4.40-60.16,0.1188,0.0327,12.7932,1.6405,0.451,297.6019
04-Aug-20172812_59.prm,27.041,Bp.E1.Ee1.4.40-60.16,0.1165,0.0315,12.5106,1.4588,0.3945,260.7978
04-Aug-20172913_05.prm,27.102,Bp.E1.Ee2.4.40-60.16,0.1042,0.0282,11.7232,1.306,0.3539,234.4173
04-Aug-20173013_11.prm,1.125,std 6,5.4096,0.0609,19.596,70.3091,0.791,518.9024
04-Aug-20173113_16.prm,27.309,Bp.E1.T.1.60-100.16,0.0958,0.0262,11.2229,1.257,0.3433,227.4674
04-Aug-20173213_22.prm,26.228,Bp.E1.L.1.60-100.16,0.0973,0.0255,11.0655,1.2507,0.328,217.5534
04-Aug-20173313_28.prm,26.256,Bp.E1.Ee1.1.60-100.16,0.107,0.0281,11.6886,1.3905,0.3651,241.6785
04-Aug-20173413_34.prm,26.583,Bp.E1.Ee2.1.60-100.16,0.0954,0.0254,11.029,1.2457,0.3311,219.5789
04-Aug-20173513_39.prm,27.225,Bp.E1.T.2.60-100.16,0.0978,0.0266,11.3319,1.2507,0.3405,225.679
04-Aug-20173613_45.prm,26.345,Bp.E1.L.2.60-100.16,0.1027,0.0271,11.4409,1.2532,0.3302,218.9337
04-Aug-20173713_51.prm,27.813,Bp.E1.Ee1.2.60-100.16,0.1019,0.0283,11.7461,1.2654,0.3519,233.1174
04-Aug-20173813_57.prm,27.848,Bp.E1.Ee2.2.60-100.16,0.0996,0.0277,11.6016,1.2797,0.3564,236.0044
04-Aug-20173914_02.prm,27.067,Bp.E1.T.3.60-100.16,0.0956,0.0259,11.1531,1.205,0.3262,216.3367
04-Aug-20174014_08.prm,27.26,Bp.E1.L.3.60-100.16,0.1023,0.0279,11.6383,1.166,0.3179,210.9332
04-Aug-20174114_14.prm,28.239,Bp.E1.Ee1.3.60-100.16,0.1124,0.0317,12.5683,1.3885,0.3921,259.2476
04-Aug-20174214_20.prm,27.966,Bp.E1.Ee2.3.60-100.16,0.0998,0.0279,11.6479,1.2828,0.3588,237.5507
04-Aug-20174314_25.prm,1.236,std 7,5.499,0.068,21.3119,69.6547,0.8609,564.4386
04-Aug-20174414_31.prm,27.234,Bp.E1.T.4.60-100.16,0.1154,0.0314,12.4923,1.2013,0.3271,216.9773
04-Aug-20174514_37.prm,27.292,Bp.E1.L.4.60-100.16,0.1125,0.0307,12.3186,1.1646,0.3179,210.9255
04-Aug-20174614_43.prm,27.295,Bp.E1.Ee1.4.60-100.16,0.1105,0.0302,12.1878,1.1713,0.3197,212.1338
04-Aug-20174714_49.prm,26.955,Bp.E1.Ee2.4.60-100.16,0.112,0.0302,12.1941,1.1574,0.312,207.106
