"","ID","N_pct","N_mg","N_area","C_pct","C_mg","C_area","nobs","Wt_mg","File.Name","CN_avgd"
"1","BO.E.1.0-10.16",0.1677,0.0452,21.9257,2.2945,0.6192,408.8727,1,26.987,"26-Jul-20174314_57.prm",0
"2","BO.E.1.10-20.16",0.1577,0.0428,21.3544,1.9891,0.5392,356.4742,1,27.105,"26-Jul-20174715_20.prm",0
"3","BO.E.2.0-10.16",0.1906,0.0501,23.0309,2.756,0.7238,477.3598,1,26.264,"26-Jul-20174415_02.prm",0
"4","BO.E.2.10-20.16",0.1586,0.0428,21.3684,2.0691,0.5585,369.1656,1,26.995,"26-Jul-20174815_26.prm",0
"5","BO.E.3.0-10.16",0.147,0.0403,20.7876,2.0449,0.5603,370.3431,1,27.402,"26-Jul-20174515_08.prm",0
"6","BO.E.3.10-20.16",0.1195,0.0318,18.8423,1.4052,0.374,248.3794,1,26.615,"26-Jul-20174915_31.prm",0
"7","BO.E.4.0-10.16",0.1642,0.0447,21.7988,2.1361,0.5816,384.2388,1,27.226,"26-Jul-20174615_14.prm",0
"8","BO.E.4.10-20.16",0.1428,0.0386,20.393,1.7417,0.4703,311.4106,1,27.003,"26-Jul-20175015_37.prm",0
"9","BO.P.1.0-10.16",0.2297,0.062,21.9689,1.8459,0.4982,327.3876,1,26.99,"14-Jun-201739.prm",0
"10","BO.P.1.20-40.16",0.1391,0.0373,13.9116,1.0529,0.2824,187.8478,1,26.822,"04-Aug-20174814_54.prm",0
"11","BO.P.1.40-60.16",0.1236,0.0338,13.0637,0.9117,0.2492,166.2312,1,27.334,"04-Aug-20175215_17.prm",0
"12","BO.P.1.60-100.16",0.1301,0.0365,15.8789,0.5772,0.1618,108.245,1,28.034,"14-Jun-201737.prm",0
"13","BO.P.2.0-10.16",0.2159,0.063,22.2227,1.7898,0.5227,343.3164,1,29.202,"14-Jun-201738.prm",0
"14","BO.P.2.20-40.16",0.1443,0.0402,14.6015,1.1003,0.3063,203.4163,1,27.839,"04-Aug-20174915_00.prm",0
"15","BO.P.2.60-100.16",0.1536,0.0404,16.8124,0.7055,0.1855,123.6606,1,26.293,"14-Jun-201735.prm",0
"16","BO.P.3.20-40.16",0.1373,0.0357,13.5362,1.0855,0.2826,187.9833,1,26.034,"04-Aug-20175015_06.prm",0
"17","BO.P.3.40-60-.16",0.1246,0.0343,13.178,0.8616,0.2369,158.2509,1,27.498,"04-Aug-20175315_23.prm",0
"18","BO.P.3.60-100.16",0.098,0.0276,11.5643,0.5719,0.161,108.8189,1,28.148,"04-Aug-20175515_35.prm",0
"19","BO.P.4.20-40.16",0.1364,0.0388,14.2697,1.0949,0.3114,206.7154,1,28.439,"04-Aug-20175115_12.prm",0
"20","BO.P.4.40-60.16",0.1243,0.0343,13.1885,0.8759,0.2418,161.4325,1,27.609,"04-Aug-20175415_29.prm",0
"21","BO.P.4.60-100.16",0.1049,0.0282,11.7218,0.581,0.1564,105.804,1,26.913,"04-Aug-20175615_41.prm",0
"22","Bp.E1.E.3.0-10.04",0.1654,0.0415,17.0821,2.5294,0.6351,416.564,1,25.108,"14-Jun-201716.prm",0
"23","Bp.E1.E.4.0-10.04",0.1533,0.0452,17.9544,1.9819,0.5841,383.3446,1,29.472,"14-Jun-201715.prm",0
"24","Bp.E1.Ee1.1.0-10.16",0.1243,0.0339,10.5404,2.1574,0.5876,288.3151,1,27.236,"29-Jun-201721.prm",0
"25","Bp.E1.Ee1.1.10-20.16",0.0992,0.0295,12.4715,1.905,0.5668,378.9549,1,29.754,"02-Aug-20174113_53.prm",0
"26","Bp.E1.Ee1.1.20-40.16",0.0838,0.025,8.9458,1.7052,0.508,249.451,1,29.792,"29-Jun-201729.prm",0
