File Name,Wt. mg,Sample,N%,N mg,N area,C%,C mg,C area
11-Jul-2017110_32.prm,0.829,std 1,4.8839,0.0405,11.7007,70.9612,0.5883,322.2119
11-Jul-2017210_38.prm,1.305,std 2,4.7328,0.0618,15.8944,70.2019,0.9161,505.1381
11-Jul-2017310_43.prm,2.058,std 3,4.9103,0.1011,23.6391,70.6067,1.4531,804.7192
11-Jul-2017410_49.prm,3.528,std 4,4.8283,0.1703,37.2963,70.571,2.4897,1383.1014
11-Jul-2017510_55.prm,26.884,Vg.E.Ee1.4.0-10.16,0.3451,0.0928,22.0073,5.5514,1.4924,826.6781
11-Jul-2017611_00.prm,28.455,Vg.E.Ee2.4.0-10.16,0.3622,0.1031,24.034,5.8865,1.675,928.5318
11-Jul-2017711_06.prm,26.168,Vg.E.L.4.0-10.16,0.2723,0.0713,17.7677,4.4982,1.1771,650.729
11-Jul-2017811_12.prm,26.622,Vg.E.Ee2.3.0-10.16,0.1979,0.0527,14.1039,3.1694,0.8438,464.762
11-Jul-2017911_18.prm,26.648,Vg.E.T.3.0-10.16,0.2967,0.0791,19.3047,4.3156,1.15,635.6332
11-Jul-20171011_23.prm,25.486,Vg.E.L.3.0-10.16,0.3343,0.0852,20.5163,5.191,1.323,732.1343
11-Jul-20171111_29.prm,25.486,blank,0.0101,0.0026,4.2287,0.0546,0.0139,1.7701
11-Jul-20171211_35.prm,27.718,Vg.N.A.1.0-10.16,0.4597,0.1274,28.8353,6.4266,1.7813,987.8597
11-Jul-20171311_40.prm,27.797,Vg.N.C.1.0-10.16,0.3622,0.1007,23.5639,5.3144,1.4773,818.2021
11-Jul-20171411_46.prm,28.798,Vg.N.D.1.0-10.16,0.4299,0.1238,28.1237,6.0812,1.7513,971.0821
11-Jul-20171511_52.prm,27.794,Vg.N.A.2.0-10.16,0.379,0.1053,24.4825,5.4307,1.5094,836.1499
11-Jul-20171611_58.prm,28.827,Vg.N.D.2.0-10.16,0.3618,0.1043,24.279,4.8679,1.4033,776.9316
11-Jul-20171712_03.prm,25.098,Vg.N.C.2.0-10.16,0.307,0.0771,18.9084,4.1359,1.038,573.1483
11-Jul-20171812_09.prm,1.156,std 5,5.2191,0.0603,15.6123,70.871,0.8193,451.094
11-Jul-20171912_15.prm,28.256,Vg.N.A.3.0-10.16,0.4102,0.1159,26.564,5.4841,1.5496,858.5598
11-Jul-20172012_21.prm,27.839,Vg.N.B.3.0-10.16,0.3851,0.1072,24.8515,5.1511,1.434,794.0741
11-Jul-20172112_26.prm,27.392,Vg.N.C.3.0-10.16,0.4012,0.1099,25.3816,5.2325,1.4333,793.6787
11-Jul-20172212_32.prm,27.406,Vg.N.D.3.0-10.16,0.4186,0.1147,26.3349,5.5686,1.5261,845.4805
11-Jul-20172312_38.prm,25.249,Vg.N.A.4.0-10.16,0.3145,0.0794,19.3726,4.2096,1.0629,587.0176
11-Jul-20172412_43.prm,26.501,Vg.N.B.4.0-10.16,0.4391,0.1164,26.6576,5.5445,1.4694,813.7963
11-Jul-20172512_49.prm,25.729,Vg.N.C.4.0-10.16,0.4317,0.1111,25.6142,5.0803,1.3071,723.2745
11-Jul-20172612_55.prm,27.846,Vg.N.D.4.0-10.16,0.3363,0.0936,22.1789,4.4522,1.2398,685.7053
11-Jul-20172713_01.prm,26.347,Vg.N.1.20-40.16,0.2447,0.0645,16.4296,3.593,0.9466,522.1615
11-Jul-20172813_06.prm,26.106,Vg.N.2.20-40.16,0.1897,0.0495,13.4816,2.468,0.6443,353.4685
11-Jul-20172913_12.prm,26.507,Vg.N.3.20-40.16,0.2056,0.0545,14.4609,2.7238,0.722,396.8234
11-Jul-20173013_18.prm,26.352,Vg.N.4.20-40.16,0.2311,0.0609,15.7245,3.2474,0.8558,471.4524
11-Jul-20173113_24.prm,1.114,std 6,2.7147,0.0302,9.6813,34.01,0.3789,205.3832
11-Jul-20173213_29.prm,27.619,Vg.N.1.10-20.16,0.2637,0.0728,18.0769,3.4347,0.9486,523.2631
11-Jul-20173313_35.prm,25.747,Vg.N.2.10-20.16,0.2341,0.0603,15.6015,2.8804,0.7416,407.7731
11-Jul-20173413_41.prm,26.838,Vg.N.3.10-20.16,0.2894,0.0777,19.0284,3.6008,0.9664,533.1784
11-Jul-20173513_47.prm,28.402,Vg.N.4.10-20.16,0.2635,0.0748,18.4697,3.3802,0.96,529.6304
11-Jul-20173613_52.prm,29.657,Vg.N.C.1.40-60.16,0.1769,0.0525,14.0592,2.3291,0.6907,379.3793
11-Jul-20173713_58.prm,26.162,Vg.N.A.1.40-60.16,0.2303,0.0602,15.5961,3.5167,0.92,507.3099
11-Jul-20173814_04.prm,27.276,Vg.E.4.0-10.04,0.3165,0.0863,20.7362,4.5449,1.2397,685.6506
11-Jul-20173914_10.prm,26.925,Vg.E.3.20-40.04,0.3058,0.0823,19.9483,4.255,1.1457,633.1919
