File Name,Wt. mg,Sample,N%,N mg,N area,C%,C mg,C area,
26-Jul-2017110_06.prm,0,blank,96.7668,0.0353,11.35,3.2332,0.0012,0.7736,
26-Jul-2017210_11.prm,0.474,std 1,4.6894,0.0222,16.6414,71.0044,0.3366,223.8708,
26-Jul-2017310_17.prm,1.385,std 2,4.8648,0.0674,27.0066,70.8783,0.9817,646.1074,
26-Jul-2017410_23.prm,2.364,std 3,4.8936,0.1157,38.0969,69.9741,1.6542,1086.2917,
26-Jul-2017510_29.prm,3.495,std ,4.8144,0.1683,50.1678,70.7699,2.4734,1622.4925,
26-Jul-2017610_51.prm,27.961,It.E1.T.3.0-10.16,0.1708,0.0478,22.5039,3.8855,1.0864,714.6767,
26-Jul-2017710_57.prm,27.299,It.E1.T.1.0-10.16,0.2579,0.0704,27.7003,5.7426,1.5677,1029.6678,
26-Jul-2017811_03.prm,26.646,It.E1.T.2.0-10.16,0.2781,0.0741,28.551,6.4344,1.7145,1125.7676,
26-Jul-2017911_08.prm,25.996,It.E1.Ee1.4.0-10.16,0.3036,0.0789,29.6601,6.649,1.7285,1134.9224,
26-Jul-20171011_15.prm,26.951,It.E1.Ee1.1.0-10.16,0.2702,0.0728,28.254,7.2393,1.9511,1280.5994,
26-Jul-20171111_22.prm,27.6,It.E1.Ee1.2.0-10.16,0.2291,0.0632,26.0531,5.862,1.6179,1062.5521,
26-Jul-20171211_29.prm,26.011,It.E1.L.4.0-10.16,0.2021,0.0526,23.6045,4.4463,1.1565,760.5605,
26-Jul-20171311_35.prm,27,blank,0.1292,0.0349,11.2295,0.0092,0.0025,1.6359,
26-Jul-20171411_42.prm,27.578,It.E1.L.1.0-10.16,0.2058,0.0568,24.5684,5.1688,1.4255,936.5832,
26-Jul-20171511_49.prm,27.359,It.E1.L.2.0-10.16,0.2772,0.0758,28.9513,7.3824,2.0197,1325.5597,
26-Jul-20171611_55.prm,27.145,It.E1.Ee2.3.0-10.16,0.3021,0.082,30.3665,6.6787,1.8129,1190.1919,
26-Jul-20171712_02.prm,1.146,std 5,4.9317,0.0565,24.5134,72.8546,0.8349,550.0555,
26-Jul-20171812_09.prm,26.844,It.E1.Ee2.1.0-10.16,0.3108,0.0834,30.6901,7.2191,1.9379,1271.9913,
26-Jul-20171912_16.prm,27.594,It.E1.Ee2.2.0-10.16,0.2789,0.077,29.2056,5.8787,1.6222,1065.3415,
26-Jul-20172012_22.prm,27.755,It.E1.3.10-20.04,0.1784,0.0495,22.9041,3.5019,0.972,639.7523,
26-Jul-20172112_29.prm,26.703,It.E1.4.10-20.04,0.2427,0.0648,26.4188,5.2857,1.4114,927.411,
26-Jul-20172212_36.prm,27.176,It.E1.Ee1.1.10-20.16,0.2126,0.0578,24.7994,4.7331,1.2863,845.4812,
26-Jul-20172312_43.prm,26.488,It.E1.Ee1.1.10-20.16,0.1608,0.0426,21.3166,3.5685,0.9452,622.2651,
26-Jul-20172412_49.prm,28.076,It.E1.Ee2.1.10-20.16,0.2836,0.0796,29.8158,6.3568,1.7847,1171.7374,
26-Jul-20172512_56.prm,26.941,It.E1.Ee2.2.10-20.16,0.2369,0.0638,26.1907,5.1069,1.3759,904.1138,
26-Jul-20172613_03.prm,27.641,It.E1.T.2.10-20.16,0.2512,0.0694,27.4758,5.5061,1.5219,999.7265,
26-Jul-20172713_10.prm,27.325,It.E1.T.1.10-20.16,0.1676,0.0458,22.0518,4.1197,1.1257,740.3896,
