File Name,Wt. mg,Sample,N%,N mg,N area,C%,C mg,C area
29-Jun-20171.prm,0.48,std 1,5.2347,0.0251,8.9737,69.9852,0.3359,165.422
29-Jun-20172.prm,0.945,std 2,4.7974,0.0453,12.5996,71.1348,0.6722,329.6454
29-Jun-20173.prm,1.199,std 3 ,4.6465,0.0557,14.4613,70.3702,0.8437,413.4014
29-Jun-20174.prm,2.722,std 4,4.8704,0.1326,28.2516,70.5454,1.9202,939.0946
29-Jun-20175.prm,26.818,Bp.E1.L.2.0-10.16,0.1117,0.03,9.8408,1.7285,0.4635,227.7398
29-Jun-20176.prm,28.835,Bp.E1.T.2.0-10.16,0.1521,0.0439,12.3366,2.6667,0.7689,376.8733
29-Jun-20177.prm,28.132,Bp.E1.Ee1.2.0-10.16,0.1533,0.0431,12.2034,2.6979,0.759,372.0023
29-Jun-20178.prm,28.719,Bp.E1.Ee2.2.0-10.16,0.1311,0.0376,11.2193,2.3581,0.6772,332.0814
29-Jun-20179.prm,29.395,Bp.E1.Ee1.3.0-10.16,0.1302,0.0383,11.3328,2.1379,0.6284,308.257
29-Jun-201710.prm,26.506,Bp.E1.Ee2.3.0-10.16,0.1485,0.0394,11.5258,2.4238,0.6425,315.1084
29-Jun-201711.prm,26.506,Bp.E1.L.3.0-10.16,0.1075,0.0285,9.5771,1.9244,0.5101,250.4704
29-Jun-201712.prm,1.368,std 5,4.3222,0.0591,15.0743,67.4273,0.9224,451.8173
29-Jun-201713.prm,29.574,Bp.E1.T.3.0-10.16,0.1203,0.0356,10.8503,2.0169,0.5965,292.6635
29-Jun-201714.prm,29.574,Bp.E1.L.2.0-10.16_2,0.1003,0.0297,9.7896,1.8899,0.5589,274.308
29-Jun-201715.prm,26.416,Bp.E1.Ee1.3.0-10.16_2,0.1257,0.0332,10.4209,2.1514,0.5683,278.9024
29-Jun-201716.prm,28.694,Bp.E1.L.3.0-10.16_2,0.1007,0.0289,9.6479,1.7713,0.5083,249.581
29-Jun-201717.prm,29.913,Bp.E1.Ee1.2.0-10.16_2,0.1481,0.0443,12.413,2.7384,0.8191,401.3935
29-Jun-201718.prm,0.939,std 6,4.6752,0.0439,12.342,79.34,0.745,365.1856
29-Jun-201719.prm,28.898,Bp.E1.L.1.0-10.16,0.135,0.039,11.4645,2.452,0.7086,347.4054
29-Jun-201720.prm,27.397,Bp.E1.T.1.0-10.16,0.1119,0.0307,9.9659,2.1049,0.5767,282.9837
29-Jun-201721.prm,27.236,Bp.E1.Ee1.1.0-10.16,0.1243,0.0339,10.5404,2.1574,0.5876,288.3151
29-Jun-201722.prm,28.668,Bp.E1.Ee2.1.0-10.16,0.1402,0.0402,11.6744,2.5832,0.7406,363.0165
29-Jun-201723.prm,26.365,Bp.E1.T.4.0-10.16,0.1264,0.0333,10.4429,2.4662,0.6502,318.8918
29-Jun-201724.prm,28.258,Bp.E1.Ee1.4.0-10.16,0.1434,0.0405,11.736,2.6747,0.7558,370.4652
29-Jun-201725.prm,29.165,Bp.E1.Ee2.4.0-10.16,0.1674,0.0488,13.2236,3.0684,0.8949,438.3853
29-Jun-201726.prm,26.321,Bp.E1.L.4.0-10.16,0.1465,0.0386,11.3824,2.6115,0.6874,337.0373
