File Name,Wt. mg,Sample,N%,N mg,N area,C%,C mg,C area,
01-Nov-20171.prm,0.468,std 1,4.5926,0.0215,9.3732,69.9531,0.3274,216.1141,
01-Nov-20172.prm,1.396,std 2,4.9283,0.0688,19.8809,70.5864,0.9854,641.0011,
01-Nov-20173.prm,2.061,std 3,4.8617,0.1002,26.8555,70.7856,1.4589,946.7526,
01-Nov-20174.prm,4.025,std 4,4.827,0.1943,47.7551,70.5059,2.8379,1837.1787,
01-Nov-20175.prm,27.192,Bp.E1.L.2.20-40.16,0.0986,0.0268,10.5535,1.4172,0.3854,253.5571,
01-Nov-20176.prm,24.729,It.N.2.20-40.16,0.3575,0.0884,24.2381,5.3855,1.3318,864.6792,
01-Nov-20177.prm,24.426,It.N.3.20-40.16,0.3418,0.0835,23.1423,5.6563,1.3816,896.8448,
01-Nov-20178.prm,24.523,It.N.4.20-40.16,0.3649,0.0895,24.4773,6.3397,1.5547,1008.6011,
01-Nov-20179.prm,27,blank 1,0.0078,0.0021,5.0687,0.0125,0.0034,2.1836,
01-Nov-201710.prm,24.747,It.N.A.5.40-60.16,0.0959,0.0237,9.8711,1.4565,0.3605,237.4689,
01-Nov-201711.prm,26.18,It.N.B.5.40-60.16,0.0828,0.0217,9.4165,1.2477,0.3266,215.636,
01-Nov-201712.prm,24.013,It.N.1.40-60.16,0.1758,0.0422,13.9747,2.8555,0.6857,447.4765,
01-Nov-201713.prm,25.73,It.N.2.40-60.16,0.2607,0.0671,19.4989,3.9399,1.0137,659.3019,
01-Nov-201714.prm,25.601,It.N.3.40-60.16,0.1718,0.044,14.3667,2.6564,0.6801,443.848,
01-Nov-201715.prm,2.024,std 5,5.0111,0.1014,27.1277,70.955,1.4361,932.0539,
01-Nov-201716.prm,25.109,It.N.4.40-60.16,0.2024,0.0508,15.8891,3.0794,0.7732,503.989,
01-Nov-201717.prm,27.249,It.N.3.60-100.16,0.118,0.0321,11.7392,1.7819,0.4856,318.2559,
01-Nov-201718.prm,25.899,It.N.4.60-100.16,0.2317,0.06,17.927,3.8366,0.9936,646.3259,
01-Nov-201719.prm,27.59,It.N.1.60-100.16,0.1284,0.0354,12.4691,2.0888,0.5763,376.8421,
01-Nov-201720.prm,27.132,Eu.E2.T.2.0-10.16,0.1234,0.0335,12.0371,1.637,0.4441,291.5118,
01-Nov-201721.prm,29.005,Eu.E2.T.3.0-10.16,0.1343,0.039,13.2542,1.7602,0.5105,334.3861,
01-Nov-201722.prm,26.869,Eu.E2.T.4.0-10.16,0.1121,0.0301,11.2885,1.4372,0.3862,254.0697,
01-Nov-201723.prm,28.764,Eu.E2.L.2.0-10.16,0.1514,0.0436,14.2752,1.9824,0.5702,372.9137,
01-Nov-201724.prm,29.07,Eu.E2.L.3.0-10.16,0.1037,0.0302,11.2976,1.3431,0.3904,256.8262,
01-Nov-201725.prm,0.938,std 6,5.3094,0.0498,15.6611,70.7057,0.6632,432.972,
01-Nov-201726.prm,25.993,Eu.E2.L.4.0-10.16,0.1135,0.0295,11.1541,1.4165,0.3682,242.4703,
01-Nov-201727.prm,27.837,Eu.E2.Ee2.2.0-10.16,0.1281,0.0356,12.5175,1.5651,0.4357,286.0489,
01-Nov-201728.prm,27.938,Eu.E2.Ee2.3.0-10.16,0.1004,0.0281,10.8298,1.3335,0.3725,245.2801,
01-Nov-201729.prm,25.742,Eu.E2.Ee2.4.0-10.16,0.1289,0.0332,11.9669,1.834,0.4721,309.5756,
01-Nov-201730.prm,29.513,Bp.E1.Ee1.1.10-20.16,0.1408,0.0415,13.8281,1.8251,0.5386,352.5337,
01-Nov-201731.prm,29.983,JP.P.3.0-10.16,0.0405,0.0122,7.2991,0.3909,0.1172,80.3977,
01-Nov-201732.prm,29.228,JP.P.4.0-10.16,0.0491,0.0143,7.7854,0.6114,0.1787,120.1175,
01-Nov-201733.prm,29.261,JP.P.1.10-20.16,0.0541,0.0158,8.1176,0.6077,0.1778,119.5428,
01-Nov-201734.prm,25.714,JP.P.2.10-20.16,0.0653,0.0168,8.3283,0.703,0.1808,121.4421,
01-Nov-201735.prm,28.298,JP.P.3.10-20.16,0.0579,0.0164,8.2373,0.6089,0.1723,115.9886,
01-Nov-201736.prm,28.774,JP.P.4.10-20.16,0.0548,0.0158,8.1045,0.6614,0.1903,127.6043,
01-Nov-201737.prm,28.569,JP.P.1.0-10.04,0.062,0.0177,8.5323,0.7164,0.2047,136.8787,
01-Nov-201738.prm,1.033,std 7,5.4866,0.0567,17.1882,70.9847,0.7333,478.2063,
01-Nov-201739.prm,27.199,JP.N.1.20-40.16,0.0581,0.0158,8.1078,0.3936,0.1071,73.8513,
01-Nov-201740.prm,28.953,JP.N.2.20-40.16,0.053,0.0153,8.0056,0.3208,0.0929,64.6849,
01-Nov-201741.prm,1.107,std 8,5.3924,0.0597,17.8585,70.774,0.7835,510.6188,two-hour pause before this one
01-Nov-201742.prm,27,blank 2,0.0582,0.0157,8.0924,0.0045,0.0012,0.7787,
