File Name,Wt. mg,Sample,N%,N mg,N area,C%,C mg,C area
23-Oct-2017109_13.prm,0.499,std 1,4.8074,0.024,16.0467,69.6614,0.3476,228.9226
23-Oct-2017209_19.prm,1.071,std 2,4.7558,0.0509,21.3872,70.5734,0.7558,490.2743
23-Oct-2017309_25.prm,1.843,std 3,4.9196,0.0907,29.2623,70.9364,1.3074,843.3587
23-Oct-2017409_31.prm,3.819,std 4,5.0308,0.1921,49.3709,70.7253,2.701,1735.5758
23-Oct-2017509_36.prm,27.044,It.N.4.0-10.04,0.4166,0.1127,33.6199,6.2054,1.6782,1080.7721
23-Oct-2017609_42.prm,26.132,It.N.3.10-20.04,0.3088,0.0807,27.2877,4.6406,1.2127,782.7457
23-Oct-2017709_48.prm,27.302,It.N.4.10-20.04,0.2075,0.0567,22.5211,3.3206,0.9066,586.7764
23-Oct-2017809_53.prm,27,blank 1,0.1118,0.0302,8.4182,0.007,0.0019,1.2109
23-Oct-2017909_59.prm,26.67,JP.E1.4.10-20.16,0.136,0.0363,10.1157,0.7713,0.2057,138.0707
23-Oct-20171010_05.prm,4.121,std 5,4.8303,0.1991,50.7442,70.497,2.9052,1866.294
23-Oct-20171110_11.prm,26.584,JP.E1.2.10-20.16,0.1357,0.0361,10.0601,0.6716,0.1785,120.6772
23-Oct-20171210_16.prm,27.22,JP.E1.1.10-20.16,0.1423,0.0387,10.802,0.9389,0.2556,169.993
23-Oct-20171310_22.prm,29.194,Bp.E1.Ee1.4.10-20.16,0.0807,0.0235,15.9594,2.1186,0.6185,402.3582
23-Oct-20171410_28.prm,29.334,Bp.E1.T.4.10-20.16,0.0751,0.022,15.6581,1.7548,0.5148,335.9355
23-Oct-20171510_34.prm,28.944,Bp.E1.Ee2.4.10-20.16,0.0721,0.0209,15.4257,1.8563,0.5373,350.3586
23-Oct-20171610_39.prm,29.087,Bp.E1.L.4.10-20.16,0.0741,0.0216,15.5668,2.042,0.594,386.6339
23-Oct-20171710_45.prm,29.571,JP.E1.3.10-20.16,0.1204,0.0356,9.9331,1.0244,0.3029,200.3065
23-Oct-20171810_51.prm,29.312,Bp.E1.Ee1.3.10-20.16,0.074,0.0217,15.5933,1.9216,0.5633,366.9828
23-Oct-20171910_56.prm,28.57,Bp.E1.Ee2.3.10-20.16,0.0675,0.0193,15.117,1.7729,0.5065,330.6621
23-Oct-20172011_02.prm,25.998,Bp.E1.L.3.10-20.16,0.0481,0.0125,13.7693,1.775,0.4615,301.8163
23-Oct-20172111_08.prm,28.418,Bp.E1.T.3.10-20.16,0.0669,0.019,15.058,1.8181,0.5167,337.1586
23-Oct-20172211_14.prm,1.036,std 6,3.5984,0.0373,18.6809,70.9072,0.7346,476.6744
23-Oct-20172311_19.prm,29.703,Bp.E1.Ee2.2.10-20.16,0.055,0.0163,14.528,1.6229,0.482,314.9829
23-Oct-20172411_25.prm,26.901,Bp.E1.Ee1.2.10-20.16,0.0532,0.0143,14.1304,1.7659,0.475,310.5087
23-Oct-20172511_31.prm,27.383,Bp.E1.L.2.10-20.16,0.0457,0.0125,13.7745,1.7619,0.4825,315.2566
23-Oct-20172611_37.prm,25.855,Bp.E1.T.2.10-20.16,0.0752,0.0194,15.1436,1.8547,0.4795,313.3788
23-Oct-20172711_42.prm,26.517,Bp.E1.Ee2.1.10-20.16,0.0135,0.0036,12.0042,1.9328,0.5125,334.4929
23-Oct-20172811_48.prm,0.904,std 7 ,1.7861,0.0161,14.4924,71.1284,0.643,418.0332
