"","X","stand","depth","year","ID","N_pct","C_pct","CN_avgd","measured_in","Eval_Date","Mass_coef","Mass_g","Mg_pct","Mg_int","Al_pct","Al_int","Si_pct","Si_int","P_pct","P_int","S_pct","S_int","Cl_pct","Cl_int","K_pct","K_int","Ca_pct","Ca_int","Ti_ppm","Ti_int","Mn_ppm","Mn_int","Fe_ppm","Fe_int","Cu_ppm","Cu_int","Zn_ppm","Zn_int","Rb_ppm","Rb_int","Sr_ppm","Sr_int","Zr_ppm","Zr_int","Nb_ppm","Nb_int","Mo_ppm","Mo_int","Pb_ppm","Pb_int","P_ppm","Ca_ppm","K_ppm","Mg_ppm","Fe_pct","site","LU","position","rep","inc_from","inc_to","elt","avgBD","BDsd","C_new","N_new","newest","oldmeas"
"1",1,"BO.E",15,"04","BO.E.1.10-20.04",0.116,1.277,0,"04","7/18/2017 16:26",12.0414,3.01,0.01914,5.0525,16.17,850.8486,17.22,1763.7106,0.02667,8.5058,0.0348,14.319,"0.00075",2.084,0.01858,52.0916,0.00458,39.965,9527,10022.935,99.7,348.9124,69100,44887.5324,"19.5",26.9093,24.3,47.357,"< 0.5",12.0097,4.6,44.3035,369.5,599.5005,27,44.9906,4.5,11.9561,6.1,13.4955,266.7,45.8,185.8,191.4,6.91,"BO","E",NA,1,10,20,NA,1.49,NA,1.45888624360534,0.174271423434345,4,4
"2",2,"BO.E",15,"04","BO.E.3.10-20.04",0.141,1.467,0,"04","7/18/2017 16:55",12.7936,3.04,NA,3.9524,17.16,856.2518,17.83,1731.4455,0.02929,8.4988,0.03837,15.0319,"0.00225",3.1252,0.0197,52.5796,0.00625,47.4324,9684,9699.1827,99.5,331.9617,74840,46247.1158,"21.4",27.7535,24.4,44.8232,"< 0.4",16.0664,4.4,40.4032,365,561.0959,28.9,45.4394,4,10.5814,7.5,15.5783,292.9,62.5,197,NA,7.484,"BO","E",NA,3,10,20,NA,1.49,NA,1.6649403041217,0.202591503583323,4,4
"3",3,"BO.E",15,"04","BO.E.4.10-20.04",0.134,1.703,0,"04","7/18/2017 17:09",12.0397,3.05,0.0257,5.1683,15.95,900.1918,16.91,1836.2314,0.02568,8.6676,0.03674,15.8063,"0.00123",2.4908,0.01778,51.9468,0.0036,37.815,9789,10696.525,97.2,351.6819,72550,49139.0598,"21.4",29.7903,23.9,46.944,"0.6",20.1932,4.9,48.2809,376,620.854,29.2,49.3097,4.1,11.4369,7.8,17.4492,256.8,36,177.8,257,7.255,"BO","E",NA,4,10,20,NA,1.49,NA,1.92088113718413,0.194661881141609,4,4
"4",4,"BO.E",15,"04","BO.E.2.10-20.04",0.127,1.419,0,"04","7/18/2017 16:40",12.1467,3,NA,4.8872,15.67,825.6875,16.93,1749.5405,0.02438,8.2575,0.03454,14.3781,"0.00119",2.4276,0.01773,50.2969,0.00397,38.1134,9646,10259.9982,100.8,356.138,71520,46775.4246,"21.3",29.0328,25.7,49.7942,"< 0.4",15.4814,4.6,43.8525,385.7,620.4326,29,47.7173,4.2,11.3372,7.3,16.0604,243.8,39.7,177.3,NA,7.152,"BO","E",NA,2,10,20,NA,1.49,NA,1.61288454146494,0.186732258699895,4,4
"5",5,"BO.E",15,"16","BO.E.1.10-20.16",0.1577,1.9891,0,"16","7/18/2017 14:24",12.1779,3,NA,4.8138,15.32,857.7273,15.94,1741.9321,0.02336,8.3835,0.03685,16.1613,"0.00132",2.5709,0.01765,52.6116,0.01836,112.9125,9587,10692.143,98.4,363.6087,76370,52335.8002,"24.6",33.7465,23.3,45.1911,"0.7",22.3879,6.4,61.8495,388.6,631.8597,29.5,49.4237,4.3,11.6889,9.6,21.199,233.6,183.6,176.5,NA,7.637,"BO","E",NA,1,10,20,NA,1.17473015266667,0.072050459968188,1.9891,0.1577,16,16
"6",6,"BO.E",15,"16","BO.E.2.10-20.16",0.1586,2.0691,0,"16","7/18/2017 14:38",11.9934,3.05,0.038,5.3541,15.15,873.8699,16.32,1826.0053,0.02635,8.4999,0.03789,16.797,"0.00108",2.3965,0.01879,56.5261,0.01264,84.8801,9636,10846.9502,97.1,361.7873,74580,51832.8731,"23.8",33.1935,22.7,44.8736,"0.4",19.3235,5.5,54.3349,327.3,543.8544,28.7,48.5905,3.3,9.6787,8.9,19.9963,263.5,126.4,187.9,380,7.458,"BO","E",NA,2,10,20,NA,1.17473015266667,0.072050459968188,2.0691,0.1586,16,16
"7",7,"BO.E",15,"16","BO.E.3.10-20.16",0.1195,1.4052,0,"16","7/18/2017 14:53",11.7932,3.07,0.0332,5.2645,15.78,874.3605,16.71,1792.0851,0.02284,8.8903,0.03381,14.521,"0.00249",3.4623,0.01982,57.6891,0.01159,75.5556,9542,10412.818,111.6,404.2555,68850,46462.779,"22.5",31.786,26.5,53.0044,"0.3",17.2139,5.5,54.9511,450.4,749.8745,27.6,47.1294,5.1,13.3924,8.1,18.4792,228.4,115.9,198.2,332,6.885,"BO","E",NA,3,10,20,NA,1.17473015266667,0.072050459968188,1.4052,0.1195,16,16
"8",8,"BO.E",15,"16","BO.E.4.10-20.16",0.1428,1.7417,0,"16","7/18/2017 15:07",12.305,3.02,NA,3.9093,15.79,869.0583,16.28,1742.4574,0.02125,7.7251,0.03352,14.4253,"0.00239",3.3914,0.01722,50.353,0.0062,51.4416,9472,10365.8508,89.7,325.58,76280,51415.4381,"23",31.2605,26,50.0338,"< 0.4",16.7725,5,47.7776,375.9,605.461,29.7,48.6448,3.7,10.3977,9.1,19.9369,212.5,62,172.2,NA,7.628,"BO","E",NA,4,10,20,NA,1.17473015266667,0.072050459968188,1.7417,0.1428,16,16
"9",9,"BO.E",30,"04","BO.E.3.20-40.04",0.084,1.1,0,"04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BO","E",NA,3,20,40,NA,1.28,NA,1.26693061880852,0.138021720843654,4,4
"10",10,"BO.E",30,"04","BO.E.2.20-40.04",0.095,1.171,0,"04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BO","E",NA,2,20,40,NA,1.28,NA,1.34392976773832,0.150482556109204,4,4
"11",11,"BO.E",30,"04","BO.E.1.20-40.04",0.077,0.993,0,"04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BO","E",NA,1,20,40,NA,1.28,NA,1.15088964788614,0.13009209840194,4,4
"12",12,"BO.E",30,"04","BO.E.4.20-40.04",0.095,1.384,0,"04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BO","E",NA,4,20,40,NA,1.28,NA,1.57492721452771,0.150482556109204,4,4
"13",13,"BO.E",5,"04","BO.E.3.0-10.04",0.181,2.697,0,"04","7/18/2017 15:51",11.6289,3.06,0.0295,5.2225,15.23,866.0783,16.87,1858.2878,0.02766,9.3371,0.04412,19.205,"0.00353",4.3105,0.02209,65.2716,0.00915,64.6493,9189,10188.7051,101.3,373.0272,68380,47007.6258,"23.1",33.1679,27.8,56.486,"< 0.4",16.7935,4.6,46.7061,387.5,656.0349,28,48.4132,4.1,11.4374,7.6,17.6318,276.6,91.5,220.9,295,6.838,"BO","E",NA,3,0,10,NA,1.46,NA,2.99886922220131,0.247903631821687,4,4
"14",14,"BO.E",5,"04","BO.E.2.0-10.04",0.181,2.838,0,"04","7/18/2017 15:36",11.2693,3.04,0.0321,5.2713,14.91,865.0923,16.83,1889.2115,0.02142,9.7333,0.03922,17.3439,"0.00327",4.1496,0.02045,61.4256,0.00938,65.7375,9168,10325.125,108,403.7752,64650,45195.8204,"21.5",31.8556,23,48.1729,"< 0.4",14.8149,4.5,47.2826,525.7,913.2862,26.6,47.1207,4.8,13.1213,6.3,14.8984,214.2,93.8,204.5,321,6.465,"BO","E",NA,2,0,10,NA,1.46,NA,3.15178302500556,0.247903631821687,4,4
"15",15,"BO.E",5,"04","BO.E.4.0-10.04",0.199,2.413,0,"04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BO","E",NA,4,0,10,NA,1.46,NA,2.69087262648212,0.268294089528951,4,4
