File Name,Wt_mg,ID,N_pct,N_mg,N_area,C_pct,C_mg,C_area
02-Aug-20171010_55.prm,28.539,Eu.E2.T.3.10-20.16,0.1104,0.0315,12.9466,2.1331,0.6088,406.4622
02-Aug-20171111_01.prm,26.145,Eu.E2.L.3.10-20.16,0.072,0.0188,9.935,1.7015,0.4449,298.9794
02-Aug-20171211_06.prm,26.723,Eu.E2.Ee1.3.10-20.16,0.0902,0.0241,11.1892,1.8202,0.4864,326.2407
02-Aug-20171311_12.prm,26.334,Eu.E2.Ee2.3.10-20.16,0.0608,0.016,9.2625,1.2052,0.3174,215.3899
02-Aug-20171411_18.prm,26.65,Eu.E2.L.1.10-20.16,0.0858,0.0229,10.8916,2.1358,0.5692,380.5134
02-Aug-20171511_24.prm,25.803,Eu.E2.T.1.10-20.16,0.0687,0.0177,9.6712,1.6885,0.4357,292.9632
02-Aug-20171811_41.prm,27.778,JP.E1.L.1.0-10.16,0.0299,0.0083,7.4359,0.8335,0.2315,159.1008
02-Aug-20171911_47.prm,26.698,JP.E1.Ee2.1.0-10.16,0.0644,0.0172,9.5419,1.5293,0.4083,275.0068
02-Aug-20172011_52.prm,25.313,JP.E1.Ee1.1.0-10.16,0.0397,0.01,7.8456,1.0559,0.2673,182.5308
02-Aug-20172111_58.prm,26.461,JP.E1.T.1.0-10.16,0.0292,0.0077,7.2946,0.6527,0.1727,120.5135
02-Aug-20172212_04.prm,26.616,JP.E1.1.10-20.16,0.0416,0.0111,8.0884,0.8592,0.2287,157.2196
02-Aug-20172312_09.prm,27.171,JP.E1.T.2.0-10.16,0.0321,0.0087,7.5321,0.9997,0.2716,185.3886
02-Aug-20172412_15.prm,27.755,JP.E1.L.2.0-10.16,0.0529,0.0147,8.9475,1.3606,0.3776,254.9029
02-Aug-20172512_21.prm,27.759,JP.E1.Ee2.2.0-10.16,0.0586,0.0163,9.3254,1.3779,0.3825,258.0858
02-Aug-20172612_27.prm,26.918,JP.E1.Ee1.2.0-10.16,0.0498,0.0134,8.6471,1.4483,0.3899,262.9123
02-Aug-20172712_32.prm,27.408,JP.E1.2.10-20.16,0.0299,0.0082,7.4062,0.6693,0.1834,127.5587
02-Aug-20172812_38.prm,26.096,JP.E1.T.3.0-10.16,0.0609,0.0159,9.2359,1.6559,0.4321,290.6313
02-Aug-20172912_44.prm,27.936,JP.E1.Ee1.3.0-10.16,0.053,0.0148,8.9796,1.4338,0.4005,269.9271
02-Aug-20173213_01.prm,28.029,JP.E1.Ee2.3.0-10.16,0.0473,0.0133,8.6081,1.2772,0.358,242.0205
02-Aug-20173313_07.prm,26.008,JP.E1.L.3.0-10.16,0.0317,0.0082,7.4162,0.6889,0.1792,124.7617
02-Aug-20173413_13.prm,27.247,JP.E1.3.10-20.16,0.0367,0.01,7.837,0.9381,0.2556,174.8754
02-Aug-20173513_18.prm,26.469,JP.E1.T.4.0-10.16,0.0411,0.0109,8.041,1.0002,0.2648,180.8791
02-Aug-20173613_24.prm,28.169,JP.E1.L.4.0-10.16,0.0317,0.0089,7.5791,0.8168,0.2301,158.1529
02-Aug-20173713_30.prm,28.327,JP.E1.Ee1.4.0-10.16,0.0957,0.0271,11.9027,2.222,0.6294,420.0208
02-Aug-20173813_36.prm,27.378,JP.E1.Ee2.4.0-10.16,0.0414,0.0113,8.1528,0.9204,0.252,172.5039
02-Aug-20173913_41.prm,28.025,JP.E1.4.10-20.16,0.0311,0.0087,7.5329,0.8053,0.2257,155.2559
02-Aug-20174013_47.prm,27.188,Bp.E1.T.1.10-20.16,0.1027,0.0279,12.0952,1.9936,0.542,362.7003
02-Aug-20174113_53.prm,29.754,Bp.E1.Ee1.1.10-20.16,0.0992,0.0295,12.4715,1.905,0.5668,378.9549
02-Aug-20174213_59.prm,25.518,Bp.E1.Ee2.1.10-20.16,0.1043,0.0266,11.7842,1.9911,0.5081,340.4529
02-Aug-20174314_05.prm,26.563,Bp.E1.T.2.10-20.16,0.0958,0.0254,11.5035,1.9139,0.5084,340.6466
02-Aug-20174514_16.prm,28.734,Bp.E1.L.2.10-20.16,0.0888,0.0255,11.5198,1.8091,0.5198,348.1466
02-Aug-20174614_22.prm,26.747,Bp.E1.Ee1.2.10-20.16,0.0919,0.0246,11.2993,1.8204,0.4869,326.5544
02-Aug-20174714_28.prm,28.532,Bp.E1.Ee2.2.10-20.16,0.0945,0.027,11.8659,1.8465,0.5268,352.7455
02-Aug-20174814_33.prm,25.627,Bp.E1.T.3.10-20.16,0.0929,0.0238,11.1186,1.8488,0.4738,317.9586
02-Aug-20174914_39.prm,29.488,Bp.E1.L.3.10-20.16,0.0928,0.0274,11.9623,1.8193,0.5365,359.0553
02-Aug-20175014_45.prm,27.791,Bp.E1.Ee1.3.10-20.16,0.1036,0.0288,12.2999,1.9805,0.5504,368.1849
02-Aug-2017510_26.prm,28.833,Eu.E2.Ee1.2.10-20.16,0.0703,0.0203,10.2753,1.3552,0.3907,263.4954
02-Aug-20175114_51.prm,28.057,Bp.E1.Ee2.3.10-20.16,0.0984,0.0276,12.0176,1.8073,0.5071,339.7833
02-Aug-20175214_56.prm,26.405,Bp.E1.Ee2.4.10-20.16,0.1012,0.0267,11.8105,1.8474,0.4878,327.1527
02-Aug-20175315_02.prm,28.855,Bp.E1.L.4.10-20.16,0.1091,0.0315,12.9378,2.0916,0.6035,403.0299
