		Sample	Sample ID	Sample Weight [mg]	Area [mV.s]	Area [mV.s]	Weight [mg]	Weight [mg]	Weight [%]	Weight [%]	Carbon Response Ratio	Carbon Response Ratio	Carbon Weight Ratio	Carbon Weight Ratio
					Nitrogen	Carbon	Nitrogen	Carbon	Nitrogen	Carbon	Nitrogen	Carbon	Nitrogen	Carbon
bypass 1_9_11_2018 9_44_25 AM_1	Colibrick - 1	bypass 1		0		4.679		N/A		N/A		1		???
Eu.E1.4.0-10.04_9_11_2018 9_49_26 AM_2	Colibrick - 1	Eu.E1.4.0-10.04	G2	19.102	35.38	2188.651	0.032	0.731	0.166	3.829	0.016	1	23.083	1
Calib\std 1_9_11_2018 9_54_27 AM_3	Colibrick - 1	std 1	H9	0.364	19.851	785.975	0.018	0.254	4.986	69.678	0.025	1	13.976	1
Calib\std 2_9_11_2018 9_59_29 AM_4	Colibrick - 1	std 2	H2	0.812	44.33	1725.05	0.039	0.573	4.863	70.628	0.026	1	14.523	1
Calib\std 3_9_11_2018 10_04_30 AM_5	Colibrick - 1	std 3	H1	1.563	85.814	3239.636	0.076	1.089	4.84	69.7	0.026	1	14.4	1
TM.N.3.0-10.16_9_11_2018 10_09_32 AM_6	Colibrick - 1	TM.N.3.0-10.16	D1	20.818	15.209	573.432	0.014	0.181	0.068	0.871	0.027	1	12.853	1
TM.E.1.0-10.16_9_11_2018 10_14_33 AM_7	Colibrick - 1	TM.E.1.0-10.16	D3	18.928	10.635	498.37	0.01	0.156	0.053	0.822	0.021	1	15.393	1
TM.E.2.0-10.16_9_11_2018 10_19_34 AM_8	Colibrick - 1	TM.E.2.0-10.16	D4	19.426	10.411	539.914	0.01	0.17	0.051	0.874	0.019	1	17.123	1
TM.E.3.0-10.16_9_11_2018 10_24_36 AM_9	Colibrick - 1	TM.E.3.0-10.16	D5	21.018	11.564	594.031	0.011	0.188	0.052	0.896	0.019	1	17.235	1
TM.E.4.0-10.16_9_11_2018 10_29_37 AM_10	Colibrick - 1	TM.E.4.0-10.16	D6	21.085	11.491	588.449	0.011	0.186	0.052	0.884	0.02	1	17.16	1
TM.E.1.20-40.16_9_11_2018 10_34_38 AM_11	Colibrick - 1	TM.E.1.20-40.16	D7	19.112	8.482	392.576	0.008	0.12	0.043	0.626	0.022	1	14.525	1
TM.N.3.10-20.16_9_11_2018 10_39_40 AM_12	Colibrick - 1	TM.N.3.10-20.16	E11	18.786	11.264	470.948	0.011	0.146	0.057	0.779	0.024	1	13.725	1
TM.N.4.10-20.16_9_11_2018 10_44_41 AM_13	Colibrick - 1	TM.N.4.10-20.16	E12	21.09	13.772	541.633	0.013	0.17	0.061	0.808	0.025	1	13.263	1
TM.N.4.20-40.16_9_11_2018 10_49_42 AM_14	Colibrick - 1	TM.N.4.20-40.16	F1	20.022	10.328	408.39	0.01	0.125	0.049	0.624	0.025	1	12.698	1
TM.N.1.20-40.16_9_11_2018 10_56_31 AM_15	Colibrick - 1	TM.N.1.20-40.16	F3	19.484	10.128	443.348	0.01	0.137	0.05	0.703	0.023	1	14.158	1
TM.N.2.20-40.16_9_11_2018 11_01_32 AM_16	Colibrick - 1	TM.N.2.20-40.16	F4	19.606	10.343	427.807	0.01	0.132	0.05	0.671	0.024	1	13.352	1
