		Sample	Sample ID	Sample Weight [mg]	Area [mV.s]	Area [mV.s]	Weight [mg]	Weight [mg]	Weight [%]	Weight [%]	Carbon Response Ratio	Carbon Response Ratio	Carbon Weight Ratio	Carbon Weight Ratio
					Nitrogen	Carbon	Nitrogen	Carbon	Nitrogen	Carbon	Nitrogen	Carbon	Nitrogen	Carbon
bypass 1_9_13_2018 8_39_49 AM_1	Colibrick - 1	bypass 1		0		10.067		N/A		N/A		1		???
Eu.E1.2.10-20.04_9_13_2018 8_44_50 AM_2	Colibrick - 1	Eu.E1.2.10-20.04	G4	19.283	9.313	686.26	0.01	0.226	0.054	1.171	0.014	1	21.561	1
Calib\std 1_9_13_2018 8_49_51 AM_3	Colibrick - 1	std 1	H8	0.34	16.202	712.114	0.017	0.235	4.883	69.119	0.023	1	14.155	1
Calib\std 2_9_13_2018 8_54_53 AM_4	Colibrick - 1	std 2	H1	0.916	45.612	1860.392	0.043	0.642	4.669	70.073	0.025	1	15.01	1
Calib\std 3_9_13_2018 8_59_54 AM_5	Colibrick - 1	std 3	H6	1.365	70.092	2728.965	0.065	0.95	4.728	69.57	0.026	1	14.714	1
JP.A.E.4.0-10.16_9_13_2018 9_04_56 AM_6	Colibrick - 1	JP.A.E.4.0-10.16	B2	19.387	9.362	649.924	0.011	0.213	0.054	1.099	0.014	1	20.249	1
Cr.A2.1.60-100.16_9_13_2018 9_09_57 AM_7	Colibrick - 1	Cr.A2.1.60-100.16	B9	17.078	9.006	561.117	0.01	0.182	0.06	1.063	0.016	1	17.792	1
Cr.A2.2.60-100.16_9_13_2018 9_14_58 AM_8	Colibrick - 1	Cr.A2.2.60-100.16	B10	17.929	10.848	602.581	0.012	0.196	0.066	1.094	0.018	1	16.571	1
Cr.A2.3.0-10.16_9_13_2018 9_19_59 AM_9	Colibrick - 1	Cr.A2.3.0-10.16	B11	19.275	26.001	1341.048	0.025	0.458	0.131	2.375	0.019	1	18.083	1
Cr.A2.4.0-10.16_9_13_2018 9_25_00 AM_10	Colibrick - 1	Cr.A2.4.0-10.16	B12	18.343	24.355	1346.818	0.024	0.46	0.13	2.507	0.018	1	19.279	1
Cr.N.3.10-20.16_9_13_2018 9_30_02 AM_11	Colibrick - 1	Cr.N.3.10-20.16	E1	17.978	18.915	948.547	0.019	0.319	0.106	1.773	0.02	1	16.764	1
Cr.N.4.10-20.16_9_13_2018 9_35_03 AM_12	Colibrick - 1	Cr.N.4.10-20.16	E2	18.087	21.247	999.761	0.021	0.337	0.117	1.863	0.021	1	15.976	1
Cr.N.1.20-40.16_9_13_2018 9_40_04 AM_13	Colibrick - 1	Cr.N.1.20-40.16	E3	15.938	13.691	670.474	0.014	0.22	0.09	1.382	0.02	1	15.329	1
Cr.N.4.20-40.16_9_13_2018 9_45_06 AM_14	Colibrick - 1	Cr.N.4.20-40.16	E4	20.098	18.597	954.139	0.019	0.321	0.093	1.596	0.019	1	17.122	1
Cr.N.1.10-20.16_9_13_2018 9_50_07 AM_15	Colibrick - 1	Cr.N.1.10-20.16	E5	17.072	17.177	804.09	0.017	0.268	0.102	1.567	0.021	1	15.317	1
Cr.N.3.40-60.16_9_13_2018 9_55_09 AM_16	Colibrick - 1	Cr.N.3.40-60.16	E6	19.635	13.223	703.487	0.014	0.232	0.071	1.181	0.019	1	16.624	1
Calib\std 4_9_13_2018 10_00_10 AM_17	Colibrick - 1	std 4	H4	0.413	19.122	867.048	0.019	0.29	4.649	70.194	0.022	1	15.099	1
Cr.N.2.40-60.16_9_13_2018 10_05_14 AM_18	Colibrick - 1	Cr.N.2.40-60.16	E7	16.648	10.263	507.075	0.011	0.162	0.068	0.975	0.02	1	14.343	1
Cr.N.3.0-10.16_9_13_2018 10_10_16 AM_19	Colibrick - 1	Cr.N.3.0-10.16	E8	16.963	25.494	1247.866	0.025	0.425	0.147	2.504	0.02	1	17.084	1
Cr.N.3.0-10.16_9_13_2018 10_15_18 AM_20	Colibrick - 1	Cr.N.3.0-10.16	E9	17.378	24.136	1223.635	0.024	0.416	0.136	2.395	0.02	1	17.593	1
Cr.N.4.0-10.16_9_13_2018 10_20_19 AM_21	Colibrick - 1	Cr.N.4.0-10.16	E10	19.365	29.017	1426.987	0.028	0.488	0.145	2.522	0.02	1	17.438	1
