		Sample	Sample ID	Sample Weight [mg]	Area [mV.s]	Area [mV.s]	Weight [mg]	Weight [mg]	Weight [%]	Weight [%]	Carbon Response Ratio	Carbon Response Ratio	Carbon Weight Ratio	Carbon Weight Ratio
					Nitrogen	Carbon	Nitrogen	Carbon	Nitrogen	Carbon	Nitrogen	Carbon	Nitrogen	Carbon
Eu.E2.3.60-100.16_9_7_2018 9_46_19 AM_1	Colibrick - 1	Eu.E2.3.60-100.16		19.434	7.698	427.202	0.009	0.129	0.045	0.662	0.018	1	14.632	1
Calib\std 1_9_7_2018 9_51_20 AM_2	Colibrick - 1	std 1		0.369	18.777	790.245	0.018	0.256	4.965	69.243	0.024	1	13.945	1
Calib\std 3_9_7_2018 10_01_24 AM_4	Colibrick - 1	std 3		1.305	69.032	2689.099	0.062	0.919	4.715	70.394	0.026	1	14.93	1
JP.A.L.2.60-100.16_9_7_2018 10_06_26 AM_5	Colibrick - 1	JP.A.L.2.60-100.16		19.909		86.204		0.01		0.048		1		1
_9_7_2018 10_15_16 AM_6	Colibrick - 1	Cr.A1.2.10-20.16		18.973	18.226	968.953	0.018	0.318	0.094	1.676	0.019	1	17.812	1
_9_7_2018 10_20_17 AM_7	Colibrick - 1	Cr.A1.2.60-100.16		18.206	11.154	695.873	0.012	0.223	0.065	1.222	0.016	1	18.911	1
Calib\_9_7_2018 10_25_18 AM_8	Colibrick - 1	std 4		0.512	25.314	1090.165	0.024	0.36	4.676	70.36	0.023	1	15.046	1
TM.N.1.40-60.16 TM.N.1.40-60.16_9_7_2018 10_30_21 AM_9	Colibrick - 1	TM.N.1.40-60.16		21.344	5.186	391.928	0.007	0.116	0.031	0.545	0.013	1	17.536	1
Eu.E2.1.0-10.04_9_7_2018 10_35_22 AM_10	Colibrick - 1	Eu.E2.1.0-10.04		21.475	21.321	1332.662	0.021	0.445	0.096	2.072	0.016	1	21.694	1
C8_9_7_2018 10_40_23 AM_11	Colibrick - 1	TM.N.2.40-60.16	C8	19.806	5.124	329.698	0.007	0.095	0.033	0.478	0.016	1	14.378	1
D4_9_7_2018 10_45_24 AM_12	Colibrick - 1	TM.N.3.40-60.16	D4	19.81	5.647	334.714	0.007	0.096	0.036	0.487	0.017	1	13.708	1
D5_9_7_2018 10_50_24 AM_13	Colibrick - 1	TM.N.4.40-60.16	D5	19.711	4.78	290.563	0.006	0.081	0.032	0.411	0.016	1	12.881	1
D7_9_7_2018 10_55_26 AM_14	Colibrick - 1	Eu.E2.2.0-10.04	D7	21.409	20.169	1103.352	0.02	0.365	0.091	1.704	0.018	1	18.692	1
Eu.E2.3.0-10.04_9_7_2018 11_00_27 AM_15	Colibrick - 1	Eu.E2.3.0-10.04	D9	20.637	21.6	1241.777	0.021	0.413	0.101	2.002	0.017	1	19.914	1
Eu.E2.4.0-10.04_9_7_2018 11_05_28 AM_16	Colibrick - 1	Eu.E2.4.0-10.04	D10	21.08	20.861	1136.722	0.02	0.377	0.095	1.786	0.018	1	18.718	1
TM.E.1.40-60.16_9_7_2018 11_10_30 AM_17	Colibrick - 1	TM.E.1.40-60.16	E1	19.456	3.958	305.659	0.006	0.086	0.029	0.443	0.013	1	15.457	1
E2_9_7_2018 11_15_31 AM_18	Colibrick - 1	TM.E.2.40-60.16	E2	20	3.506	297.273	0.005	0.083	0.026	0.417	0.012	1	16.05	1
TM.E.3.40-60.16_9_7_2018 11_20_33 AM_19	Colibrick - 1	TM.E.3.40-60.16	E3	21.261	5.814	450.391	0.007	0.137	0.034	0.644	0.013	1	19.062	1
TM.E.4.40-60.16_9_7_2018 11_25_34 AM_20	Colibrick - 1	TM.E.4.40-60.16	E6	19.038	4.929	277.647	0.006	0.076	0.034	0.402	0.018	1	11.921	1
Calib\std 5_9_7_2018 11_30_36 AM_21	Colibrick - 1	std 5		0.89	47.949	1875.989	0.043	0.635	4.877	71.312	0.026	1	14.623	1
TM.A.4.10-20.16_9_7_2018 11_35_41 AM_22	Colibrick - 1	TM.A.4.10-20.16	B5	19.531	5.058	315.239	0.007	0.09	0.033	0.459	0.016	1	13.729	1
TM.A.3.10-20.16_9_7_2018 11_40_43 AM_23	Colibrick - 1	TM.A.3.10-20.16	B6	19.616	5.934	352.795	0.007	0.103	0.037	0.524	0.017	1	14.11	1
TM.A.2.10-20.16_9_7_2018 11_45_45 AM_24	Colibrick - 1	TM.A.2.10-20.16	B7	20.396	8.201	482.824	0.009	0.148	0.045	0.726	0.017	1	16.051	1
TM.A.1.10-20.16_9_7_2018 11_50_47 AM_25	Colibrick - 1	TM.A.1.10-20.16	B8	19.502	7.003	428.313	0.008	0.129	0.042	0.662	0.016	1	15.745	1
TM.A.4.40-60.16_9_7_2018 11_55_49 AM_26	Colibrick - 1	TM.A.4.40-60.16	B9	20.429	4.549	283.619	0.006	0.079	0.03	0.385	0.016	1	12.904	1
TM.A.3.40-60.16_9_7_2018 12_00_51 PM_27	Colibrick - 1	TM.A.3.40-60.16	B10	21.555	4.627	288.1	0.006	0.08	0.029	0.372	0.016	1	13.016	1
TM.A.2.40-60.16_9_7_2018 12_05_52 PM_28	Colibrick - 1	TM.A.2.40-60.16	B11	19.377	4.511	273.593	0.006	0.075	0.031	0.387	0.016	1	12.394	1
TM.A.1.40-60.16_9_7_2018 12_10_55 PM_29	Colibrick - 1	TM.A.1.40-60.16	B12	19.939	4.23	281.308	0.006	0.078	0.029	0.39	0.015	1	13.373	1
TM.A.2.0-10.16_9_7_2018 12_15_57 PM_30	Colibrick - 1	TM.A.2.0-10.16	C2	19.667	10.365	595.859	0.011	0.188	0.056	0.954	0.017	1	16.918	1
TM.A.3.0-10.16_9_7_2018 12_20_59 PM_31	Colibrick - 1	TM.A.3.0-10.16	C3	20.049	8.256	500.083	0.009	0.154	0.046	0.769	0.017	1	16.619	1
Eu.E2.Ee1.4.0-10.16_9_7_2018 12_26_01 PM_32	Colibrick - 1	Eu.E2.Ee1.4.0-10.16	A10	20.281	14.216	730.37	0.014	0.235	0.071	1.157	0.019	1	16.29	1
Eu.E2.Ee1.3.0-10.16_9_7_2018 12_31_03 PM_33	Colibrick - 1	Eu.E2.Ee1.3.0-10.16	A11	19.053	22.277	1235.091	0.021	0.411	0.112	2.156	0.018	1	19.261	1
Calib\std 6_9_7_2018 12_36_05 PM_34	Colibrick - 1	std 6	H1	1.514	83.33	3128.064	0.074	1.072	4.876	70.802	0.027	1	14.521	1
Eu.E2.3.60-100.16_2_9_7_2018 12_41_13 PM_35	Colibrick - 1	Eu.E2.3.60-100.16_2	B9	20.593	4.652	445.889	0.006	0.135	0.03	0.657	0.01	1	21.89	1
Eu.E2.T.3.0-10.16_9_7_2018 12_46_16 PM_36	Colibrick - 1	Eu.E2.T.3.0-10.16	A12	18.836	19.894	955.088	0.019	0.313	0.102	1.662	0.021	1	16.236	1
Eu.E2.T.4.0-10.16_9_7_2018 12_51_18 PM_37	Colibrick - 1	Eu.E2.T.4.0-10.16	B1	20.545	15.585	814.917	0.016	0.264	0.076	1.286	0.019	1	16.955	1
Eu.E2.4.40-60.16_9_7_2018 12_56_20 PM_38	Colibrick - 1	Eu.E2.4.40-60.16	B2	18.471	5	306.47	0.006	0.087	0.035	0.469	0.016	1	13.362	1
Eu.E2.3.40-60.16_9_7_2018 1_01_23 PM_39	Colibrick - 1	Eu.E2.3.40-60.16	B3	18.439	5.434	337.998	0.007	0.098	0.037	0.529	0.016	1	14.242	1
Eu.E2.2.40-60.16_9_7_2018 1_06_25 PM_40	Colibrick - 1	Eu.E2.2.40-60.16	B4	19.173	6.244	372.46	0.008	0.11	0.039	0.572	0.017	1	14.523	1
Eu.E2.1.40-60.16_9_7_2018 1_11_27 PM_41	Colibrick - 1	Eu.E2.1.40-60.16	B5	20.893	7.167	413.967	0.008	0.124	0.04	0.594	0.017	1	14.879	1
Eu.E2.1.40-60.16_noL_9_7_2018 1_16_30 PM_42	Colibrick - 1	Eu.E2.1.40-60.16_noL	B6	21.161	6.927	366.006	0.008	0.107	0.038	0.507	0.019	1	13.196	1
Eu.E2.4.60-100.16_9_7_2018 1_21_32 PM_43	Colibrick - 1	Eu.E2.4.60-100.16	B7	21.527	6.564	436.634	0.008	0.132	0.036	0.613	0.015	1	16.876	1
TM.E.4.10-20.16_9_7_2018 1_26_34 PM_44	Colibrick - 1	TM.E.4.10-20.16	A1	19.388	5.795	433.266	0.007	0.131	0.037	0.675	0.013	1	18.27	1
TM.E.1.10-20.16_9_7_2018 1_31_37 PM_45	Colibrick - 1	TM.E.1.10-20.16	A5	19.978	8.413	551.581	0.009	0.172	0.047	0.862	0.015	1	18.29	1
