McMahon_6-27-18
Element	Method	Eval Date	Mass coefficient.	Na	Na	Na	Na	Mg	Mg	Mg	Mg	Al	Al	Al	Al	Si	Si	Si	Si	P	P	P	P	S	S	S	S	Cl	Cl	Cl	Cl	K	K	K	K	Ca	Ca	Ca	Ca	Sc	Sc	Sc	Sc	Ti	Ti	Ti	Ti	V	V	V	V	Cr	Cr	Cr	Cr	Mn	Mn	Mn	Mn	Fe	Fe	Fe	Fe	Co	Co	Co	Co	Ni	Ni	Ni	Ni	Cu	Cu	Cu	Cu	Zn	Zn	Zn	Zn	Ga	Ga	Ga	Ga	Ge	Ge	Ge	Ge	As	As	As	As	Se	Se	Se	Se	Br	Br	Br	Br	Rb	Rb	Rb	Rb	Sr	Sr	Sr	Sr	Y	Y	Y	Y	Zr	Zr	Zr	Zr	Nb	Nb	Nb	Nb	Mo	Mo	Mo	Mo	Tc	Tc	Tc	Tc	Ru	Ru	Ru	Ru	Rh	Rh	Rh	Rh	Pd	Pd	Pd	Pd	Ag	Ag	Ag	Ag	Cd	Cd	Cd	Cd	In	In	In	In	Sn	Sn	Sn	Sn	Sb	Sb	Sb	Sb	Te	Te	Te	Te	I	I	I	I	Cs	Cs	Cs	Cs	Ba	Ba	Ba	Ba	La	La	La	La	Hf	Hf	Hf	Hf	Ta	Ta	Ta	Ta	W	W	W	W	Re	Re	Re	Re	Os	Os	Os	Os	Ir	Ir	Ir	Ir	Pt	Pt	Pt	Pt	Au	Au	Au	Au	Hg	Hg	Hg	Hg	Tl	Tl	Tl	Tl	Pb	Pb	Pb	Pb	Bi	Bi	Bi	Bi	Po	Po	Po	Po	At	At	At	At	U	U	U	U	
Dimension			cm²/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	
Eu.E1.1.20-40.16	TQ Powders	8/2/2018 6:00:37 PM	8.6584	< 0.010	(0.0)	1.8173	0.0100	0.02200	0.00087	5.1265	0.011	14.57	0.03	810.1435	0.0061	25.88	0.04	2635.6282	0.00001	0.05745	0.00095	16.8934	0.0015	0.04616	0.00068	16.9653	0.00034	0.01094	0.00035	8.6797	0.00059	0.02723	0.00031	65.7430	0.00027	0.08065	0.00038	325.7023	0.00017					9447	10	8451.9115	0.1	< 1.0	(0.0)	0.0000	1.0	24.8	0.3	63.6796	0.4	34.9	0.4	104.3752	0.4	6903	12	4191.5899	1.2	< 3.0	(0.0)	0.0000	3.0	14.9	0.6	22.1332	0.9	2.5	0.5	4.8473	0.7	12.9	0.3	35.0226	0.5	14.6	0.3	51.9279	0.5	< 0.5	(0.0)	0.0000	0.5	1.5	0.2	8.5829	0.3	0.9	0.1	5.8087	0.2	16.5	0.2	122.5839	0.2	< 0.1	(0.1)	2.4937	0.1	7.4	0.1	104.9575	0.2	3.9	0.1	61.4422	0.3	550.2	1.6	1227.3054	0.1	19.3	0.4	44.0086	0.7	3.4	0.3	11.8814	1.1					0.7	0.2	2.4608	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.3)	2.4981	0.5	2.4	0.1	34.5631	0.8	2.3	0.3	5.8910	0.7	4.1	0.2	16.7160	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	1.9885	0.5	< 0.5	(0.0)	0.0000	0.5	5.0	0.4	28.7590	3.0	< 1.0	(0.0)	8.1902	1.0	< 1.5	(0.0)	15.3614	1.5	< 2.0	(0.0)	22.4579	2.0	14.7	0.9	13.3400	2.0	< 1.6	(0.0)	20.9114	1.6	< 1.2	(0.0)	3.2248	1.2																	3.3	0.3	7.6114	0.7	< 0.7	(0.0)	4.7571	0.7	< 0.2	(0.2)	0.7311	0.2	3.0	0.3	9.7546	0.5	< 0.5	(0.0)	0.0000	0.5									< 0.4	(0.0)	5.8588	0.4	
Eu.E1.4.10-20.16	TQ Powders	8/2/2018 5:46:46 PM	8.8092	< 0.010	(0.0)	1.8666	0.0100	0.0770	0.0027	5.9445	0.010	17.56	0.04	976.2585	0.0048	23.24	0.03	2306.5731	0.00001	0.02529	0.00055	10.9874	0.0015	0.03910	0.00064	14.6478	0.00037	0.00449	0.00027	4.5241	0.00058	0.04156	0.00037	102.2912	0.00026	0.06020	0.00033	250.7721	0.00019					8665	10	7960.4383	0.1	< 1.0	(0.0)	0.0000	1.0	34.4	0.3	86.2104	0.3	32.8	0.3	101.0276	0.4	12050	20	7502.2520	0.1	< 3.0	(0.0)	0.6871	3.0	20.2	0.6	29.3594	1.0	3.2	0.5	6.0298	0.7	17.5	0.4	46.7926	0.5	19.3	0.4	67.3841	0.5	< 0.5	(0.0)	0.0000	0.5	3.0	0.2	16.3871	0.3	1.0	0.1	6.0503	0.2	7.0	0.2	51.1303	0.2	0.6	0.1	10.1112	0.2	7.9	0.1	110.1056	0.2	4.9	0.2	74.3164	0.3	505.3	1.5	1116.2669	0.1	22.0	0.4	49.4407	0.7	3.5	0.3	12.1641	1.1					1.1	0.2	3.8190	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	4.4	0.1	38.3696	0.8	3.3	0.3	8.4223	0.7	4.7	0.2	18.4133	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.7	(0.0)	14.8772	0.7	< 1.0	(0.0)	0.0000	1.0	< 1.5	(0.0)	13.5271	1.5	< 2.0	(0.0)	19.8406	2.0	14.9	0.9	13.2902	2.1	< 1.6	(0.0)	19.7302	1.6	1.0	0.2	4.3378	0.9																	3.0	0.4	6.6656	0.7	< 0.7	(0.0)	3.3943	0.7	< 0.7	(0.0)	0.0000	0.7	3.4	0.3	10.9111	0.5	< 0.5	(0.0)	0.0000	0.5									< 0.4	(0.0)	6.8810	0.4	
Eu.E1.2.10-20.16	TQ Powders	8/2/2018 5:32:57 PM	8.8756	< 0.010	(0.0)	1.9594	0.0100	0.0855	0.0029	6.0708	0.010	17.01	0.04	944.8969	0.0049	23.64	0.03	2360.5546	0.00001	0.02654	0.00056	11.8541	0.0015	0.04159	0.00066	15.5421	0.00038	0.00751	0.00030	6.5322	0.00057	0.03756	0.00035	92.4238	0.00026	0.1499	0.0005	618.9410	0.00011					8041	9	7358.9682	0.1	< 1.0	(0.0)	0.0000	1.0	31.6	0.3	80.5121	0.3	40.2	0.4	123.6899	0.4	12750	20	7921.1224	0.1	< 3.0	(0.0)	0.8266	3.0	19.1	0.6	27.6337	1.0	2.0	0.5	3.6622	0.7	20.3	0.4	53.7188	0.5	18.6	0.4	64.7681	0.6	< 0.5	(0.0)	0.0000	0.5	3.0	0.2	16.4170	0.3	0.8	0.1	5.0852	0.3	7.5	0.2	54.5140	0.2	0.6	0.1	9.2914	0.2	13.4	0.1	185.0336	0.2	4.9	0.2	73.2643	0.3	555.6	1.6	1215.2913	0.1	23.2	0.4	51.3823	0.7	4.1	0.3	13.6275	1.1					0.9	0.2	3.1524	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	1.9871	0.5	4.0	0.1	37.4849	0.8	2.8	0.3	7.1020	0.7	4.3	0.2	17.2092	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.4661	0.5	< 0.5	(0.0)	0.0000	0.5	< 2.9	(0.0)	18.1292	2.9	< 1.0	(0.0)	8.2182	1.0	< 1.5	(0.0)	20.2512	1.5	< 2.0	(0.0)	0.0000	2.0	14.6	0.9	13.3303	2.1	< 1.6	(0.0)	21.1255	1.6	1.6	0.2	4.8968	1.2																	2.1	0.4	4.7922	0.7	< 0.7	(0.0)	3.8610	0.7	< 0.7	(0.0)	0.0000	0.7	2.9	0.3	9.4170	0.5	< 0.5	(0.0)	0.0000	0.5									< 0.4	(0.0)	6.7489	0.4	
Eu.E1.1.10-20.16	TQ Powders	8/2/2018 5:19:09 PM	8.4590	< 0.010	(0.0)	1.7740	0.0100	0.02540	0.00100	5.1782	0.011	13.18	0.03	746.2706	0.0064	27.76	0.04	2920.0091	0.00001	0.05437	0.00098	15.0840	0.0015	0.06215	0.00077	22.8529	0.00021	0.00854	0.00036	7.1337	0.00060	0.02560	0.00029	62.1461	0.00024	0.1284	0.0005	520.4069	0.00010					6299	8	5679.5446	0.1	< 1.0	(0.0)	0.0000	1.0	21.7	0.3	56.0188	0.4	39.4	0.4	120.1591	0.4	6298	11	3897.3014	1.3	< 3.0	(0.0)	0.0000	3.0	14.2	0.6	21.6265	0.9	2.1	0.5	4.1160	0.7	12.0	0.3	33.2298	0.5	12.5	0.3	45.6985	0.5	< 0.5	(0.0)	0.0000	0.5	1.0	0.2	5.7765	0.3	0.9	0.1	6.1186	0.2	10.2	0.2	77.4791	0.2	0.2	0.1	4.1864	0.2	9.1	0.1	132.2448	0.2	3.7	0.1	59.5559	0.3	439.5	1.4	1001.3604	0.1	15.6	0.3	37.0048	0.7	2.6	0.3	10.0743	1.0					0.7	0.1	2.5648	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.1)	2.0839	0.5	3.0	0.1	35.8210	0.8	2.3	0.3	6.0298	0.7	4.3	0.2	17.4604	0.6	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.7	(0.0)	15.0066	0.7	< 1.0	(0.0)	7.6451	1.0	< 1.5	(0.0)	0.0000	1.5	< 2.0	(0.0)	15.8081	2.0	12.8	0.8	12.4285	2.0	< 1.6	(0.0)	21.4554	1.6	< 1.2	(0.0)	2.4857	1.2																	3.2	0.3	7.3665	0.7	< 0.7	(0.0)	2.6467	0.7	< 0.7	(0.0)	0.0000	0.7	2.3	0.3	7.5678	0.4	< 0.5	(0.0)	0.0000	0.5									< 0.4	(0.0)	6.3400	0.4	
Eu.E1.3.10-20.16	TQ Powders	8/2/2018 5:05:20 PM	8.7571	< 0.010	(0.0)	1.7593	0.0100	0.0766	0.0026	5.9240	0.010	16.53	0.04	907.2442	0.0049	23.65	0.03	2347.1894	0.00001	0.02812	0.00060	11.3996	0.0015	0.04412	0.00067	16.4142	0.00035	0.00546	0.00029	5.1463	0.00057	0.03662	0.00034	89.5811	0.00026	0.1123	0.0004	461.1677	0.00015					8255	9	7514.9090	0.1	< 1.0	(0.0)	0.0000	1.0	31.1	0.3	78.2263	0.3	37.0	0.4	113.2601	0.4	10630	20	6570.0641	0.1	< 3.0	(0.0)	0.4884	3.0	18.3	0.6	26.7321	0.9	2.3	0.5	4.3858	0.7	16.6	0.4	44.5502	0.5	17.5	0.3	61.5949	0.5	< 0.5	(0.0)	0.0000	0.5	3.0	0.2	16.5359	0.3	0.9	0.1	5.5662	0.2	7.0	0.2	51.4189	0.2	0.3	0.1	6.3091	0.2	10.1	0.1	142.1678	0.2	4.2	0.1	65.4210	0.3	500.4	1.5	1103.5218	0.1	20.8	0.4	46.6501	0.7	4.1	0.3	13.6710	1.0					0.7	0.2	2.6657	0.5	< 0.5	(0.0)	0.0000	0.5	0.6	0.1	3.4239	0.5	2.8	0.1	35.3636	0.8	2.7	0.3	6.7988	0.7	4.3	0.2	17.1071	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.7459	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.7	(0.0)	17.2660	0.7	< 1.0	(0.0)	8.5596	1.0	< 1.5	(0.0)	16.7891	1.5	< 2.0	(0.0)	23.6002	2.0	9.6	0.8	9.8096	2.0	< 1.6	(0.0)	19.0290	1.6	< 1.2	(0.0)	1.4450	1.2																	2.9	0.4	6.4922	0.7	< 0.7	(0.0)	5.0066	0.7	< 0.7	(0.0)	0.0000	0.7	3.2	0.3	10.4812	0.5	< 0.5	(0.0)	0.0000	0.5									< 0.4	(0.0)	4.1009	0.4	
Eu.E1.L.3.0-10.16	TQ Powders	8/2/2018 4:51:29 PM	8.6773	< 0.010	(0.0)	2.1098	0.0100	0.0713	0.0026	5.8092	0.011	13.83	0.03	742.9655	0.0060	24.56	0.03	2469.7599	0.00001	0.0640	0.0011	15.4097	0.0015	0.08287	0.00090	30.6386	0.00001	0.01025	0.00035	8.2934	0.00059	0.03877	0.00035	94.3869	0.00026	0.4489	0.0009	1823.9799	0.00001					6636	8	5949.8221	0.1	< 1.0	(0.0)	0.0000	1.0	25.0	0.3	61.1701	0.4	54.0	0.4	163.5854	0.4	8522	14	5226.5814	0.1	< 3.0	(0.0)	0.1205	3.0	16.5	0.6	24.3457	0.9	2.1	0.5	4.0760	0.7	14.3	0.3	38.5616	0.5	11.2	0.3	40.3486	0.5	< 0.5	(0.0)	0.0000	0.5	2.3	0.2	12.5895	0.3	0.6	0.1	3.6744	0.2	3.6	0.1	26.7752	0.2	0.4	0.1	6.6361	0.2	18.7	0.1	265.6541	0.2	3.3	0.1	53.1087	0.3	331.6	1.2	736.0974	0.1	12.9	0.3	30.3361	0.7	2.7	0.3	10.1371	0.9					0.9	0.2	3.1702	0.5	< 0.5	(0.0)	0.0000	0.5	0.6	0.1	3.5085	0.5	3.6	0.1	36.7391	0.8	3.0	0.3	7.5182	0.7	4.6	0.2	18.1189	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.7	(0.0)	5.6763	0.7	< 1.0	(0.0)	0.0000	1.0	< 1.5	(0.0)	0.0000	1.5	< 2.0	(0.0)	0.0000	2.0	9.2	0.7	9.9290	2.0	< 1.6	(0.0)	21.1431	1.6	< 1.2	(0.0)	3.2327	1.2																	2.1	0.3	4.8390	0.7	< 0.7	(0.0)	4.1162	0.7	< 0.7	(0.0)	0.0000	0.7	2.1	0.3	6.8268	0.4	< 0.5	(0.0)	0.0000	0.5									< 0.4	(0.0)	6.0438	0.4	
Eu.E1.Ee2.1.0-10.16	TQ Powders	8/2/2018 4:37:40 PM	8.3969	< 0.010	(0.0)	1.9331	0.0100	< 0.0020	(0.0)	4.7497	0.0020	10.49	0.03	575.8622	0.0069	28.37	0.04	2966.9116	0.00001	0.0835	0.0013	17.9337	0.0016	0.09651	0.00097	34.9150	0.00001	0.01598	0.00042	11.8180	0.00062	0.02499	0.00029	59.4348	0.00025	0.2332	0.0006	922.3593	0.00001					5436	7	4779.2017	0.1	< 1.0	(0.0)	0.0000	1.0	17.7	0.3	43.9127	0.4	44.5	0.4	132.6089	0.4	3398	8	2058.4214	1.7	< 3.0	(0.0)	0.0000	3.0	13.4	0.5	20.3763	0.9	1.5	0.5	2.8570	0.7	8.9	0.3	24.5924	0.5	7.6	0.3	28.8581	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	0.4	0.1	2.3213	0.2	5.7	0.1	43.7088	0.2	0.3	0.1	4.5435	0.2	12.8	0.1	188.1185	0.2	1.7	0.1	32.3600	0.3	305.7	1.2	694.3599	0.1	9.9	0.3	24.6563	0.7	1.4	0.2	6.7199	0.9					< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	0.5	0.1	3.2475	0.5	3.6	0.1	36.9219	0.8	3.4	0.3	8.6809	0.7	4.5	0.2	18.0363	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.2373	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.7	(0.0)	9.5053	0.7	< 1.0	(0.0)	0.0000	1.0	< 1.5	(0.0)	20.1472	1.5	< 2.0	(0.0)	11.3039	2.0	4.3	0.5	6.9442	2.0	< 1.6	(0.0)	21.9040	1.6	< 1.2	(0.0)	2.5396	1.2																	3.0	0.3	7.1228	0.6	< 0.7	(0.0)	3.7003	0.7	< 0.1	(0.1)	0.4762	0.1	2.9	0.2	9.8211	0.4	< 0.5	(0.0)	0.0000	0.5									< 0.4	(0.0)	6.1010	0.4	
Eu.E1.T.3.0-10.16	TQ Powders	8/2/2018 4:23:54 PM	8.7847	< 0.010	(0.0)	1.7685	0.0100	0.1040	0.0035	6.2687	0.011	16.37	0.04	879.3732	0.0049	21.57	0.03	2134.0521	0.00001	0.06110	0.00100	16.2670	0.0014	0.06695	0.00080	25.6242	0.00018	0.00556	0.00029	5.3244	0.00057	0.04586	0.00038	115.8171	0.00027	0.3061	0.0007	1295.5276	0.00001					9096	10	8510.8100	0.1	< 1.0	(0.0)	0.0000	1.0	35.5	0.3	88.8500	0.4	52.6	0.4	164.7357	0.4	13170	20	8332.2026	0.1	< 3.0	(0.0)	0.3079	3.0	18.9	0.6	27.8041	0.9	< 0.7	(0.7)	1.2522	0.7	19.2	0.4	51.4310	0.5	17.6	0.4	62.1154	0.6	< 0.5	(0.0)	0.0000	0.5	2.0	0.2	11.3618	0.3	0.8	0.1	5.2139	0.2	5.3	0.1	38.6323	0.2	0.6	0.1	9.5349	0.2	15.2	0.1	213.2165	0.2	4.6	0.2	70.5316	0.3	420.3	1.4	925.6228	0.1	17.0	0.4	38.6404	0.7	2.3	0.3	9.1514	1.0					< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.2)	2.3846	0.5	3.9	0.1	37.2796	0.8	2.9	0.3	7.2537	0.7	4.5	0.2	17.6910	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.7	(0.0)	11.9355	0.7	< 1.0	(0.0)	0.0000	1.0	< 1.5	(0.0)	12.8843	1.5	< 2.0	(0.0)	16.0804	2.0	16.7	0.8	15.3954	2.0	< 1.6	(0.0)	24.6532	1.6	< 1.2	(0.0)	2.4325	1.2																	2.9	0.3	6.4558	0.7	< 0.7	(0.0)	5.8708	0.7	< 0.2	(0.2)	0.6261	0.2	5.2	0.3	16.6373	0.5	< 0.5	(0.0)	0.0000	0.5									< 0.4	(0.0)	4.7007	0.4	
Eu.E1.Ee1.3.0-10.16	TQ Powders	8/2/2018 4:10:03 PM	8.3978	< 0.010	(0.0)	1.9068	0.0100	0.0644	0.0023	5.6860	0.011	12.59	0.03	665.2146	0.0056	23.93	0.03	2416.8441	0.00001	0.1125	0.0015	23.5443	0.0015	0.1323	0.0011	49.6456	0.00001	0.02153	0.00045	15.9515	0.00061	0.03635	0.00035	90.0595	0.00027	0.4677	0.0009	1933.4354	0.00001					7476	9	6818.9560	0.1	< 1.0	(0.0)	0.0000	1.0	24.4	0.3	60.5041	0.4	79.9	0.5	245.4140	0.4	5997	11	3735.8755	1.4	< 3.0	(0.0)	0.0000	3.0	15.2	0.6	23.1570	0.9	3.1	0.5	6.2047	0.6	12.9	0.3	36.0801	0.5	11.0	0.3	40.8243	0.5	< 0.5	(0.0)	0.0000	0.5	0.7	0.2	3.9283	0.3	0.7	0.1	4.4017	0.2	9.5	0.2	72.3114	0.2	0.2	0.1	3.5254	0.2	14.9	0.1	219.1904	0.2	2.3	0.1	40.4919	0.3	308.8	1.2	704.0347	0.1	10.0	0.3	24.7997	0.7	1.4	0.2	6.7568	0.9					0.7	0.1	2.4513	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.2)	2.2149	0.5	2.4	0.1	34.6175	0.8	2.7	0.3	6.9932	0.7	4.0	0.2	16.6119	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.7	(0.0)	17.2590	0.7	< 1.0	(0.0)	8.7850	1.0	< 1.5	(0.0)	0.0000	1.5	< 2.0	(0.0)	0.0000	2.0	11.9	0.8	12.0469	1.9	< 1.6	(0.0)	21.9885	1.6	0.7	0.1	3.9183	0.6																	2.9	0.3	6.7285	0.6	< 0.7	(0.0)	4.0593	0.7	< 0.7	(0.0)	0.0000	0.7	2.8	0.3	9.5186	0.4	< 0.5	(0.0)	0.0000	0.5									< 0.4	(0.0)	4.6636	0.4	
