McMahon_6-27-18
Element	Method	Eval Date	Mass coefficient.	Mg	Mg	Mg	Mg	Al	Al	Al	Al	Si	Si	Si	Si	P	P	P	P	S	S	S	S	Cl	Cl	Cl	Cl	K	K	K	K	Ca	Ca	Ca	Ca	Ti	Ti	Ti	Ti	Cr	Cr	Cr	Cr	Mn	Mn	Mn	Mn	Fe	Fe	Fe	Fe	Co	Co	Co	Co	Ni	Ni	Ni	Ni	Cu	Cu	Cu	Cu	Zn	Zn	Zn	Zn	Ga	Ga	Ga	Ga	Ge	Ge	Ge	Ge	As	As	As	As	Se	Se	Se	Se	Br	Br	Br	Br	Sr	Sr	Sr	Sr	Zr	Zr	Zr	Zr	Nb	Nb	Nb	Nb	Mo	Mo	Mo	Mo	Pd	Pd	Pd	Pd	Ag	Ag	Ag	Ag	Cd	Cd	Cd	Cd	Sn	Sn	Sn	Sn	Ba	Ba	Ba	Ba	La	La	La	La	Hf	Hf	Hf	Hf	Ta	Ta	Ta	Ta	W	W	W	W	Re	Re	Re	Re	Os	Os	Os	Os	Ir	Ir	Ir	Ir	Pt	Pt	Pt	Pt	Au	Au	Au	Au	Hg	Hg	Hg	Hg	Tl	Tl	Tl	Tl	Pb	Pb	Pb	Pb	
Dimension			cm²/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	
Eu.E2.4.10-20.16	TQ Powders	8/22/2018 3:08:05 PM	8.5453	0.01369	0.00057	5.0072	0.011	12.55	0.03	736.4939	0.0065	28.48	0.04	3145.7645	0.00001	0.01395	0.00031	11.7334	0.0016	0.04075	0.00065	15.5310	0.00040	0.00684	0.00033	6.1723	0.00060	0.03130	0.00032	78.7501	0.00024	0.1042	0.0004	440.7827	0.00014	6729	8	6324.4439	0.1	38.8	0.3	102.0225	0.3	33.4	0.3	106.0204	0.4	11080	20	7111.7094	0.1	< 11	(0.0)	1.5060	11	16.8	0.6	25.5391	0.9	2.3	0.5	4.5906	0.7	15.0	0.3	41.5127	0.5	15.6	0.3	56.5828	0.5	< 0.5	(0.0)	0.0000	0.5	2.7	0.2	15.1324	0.3	1.1	0.1	6.8028	0.2	8.2	0.2	62.0250	0.2	9.8	0.1	141.1142	0.2	682.9	1.7	1546.5043	0.1	21.7	0.4	49.8420	0.7	4.2	0.4	14.1271	1.2	0.8	0.1	3.9973	0.5	3.0	0.1	35.8639	0.8	2.8	0.3	7.1753	0.7	< 0.5	(0.0)	0.0000	0.5	< 1.5	(0.0)	26.7272	1.5	< 2.0	(0.0)	25.6100	2.0	15.1	0.9	13.7822	2.0	< 1.6	(0.0)	20.1488	1.6	< 1.2	(0.5)	3.7389	1.2																	2.4	0.3	5.7123	0.7	< 0.7	(0.0)	4.1232	0.7	< 0.7	(0.0)	0.0000	0.7	4.3	0.3	14.1561	0.5	
Eu.E2.3.10-20.16	TQ Powders	8/22/2018 2:54:15 PM	8.7407	< 0.011	(0.0)	4.8194	0.011	12.29	0.03	714.1030	0.0071	29.14	0.04	3187.9936	0.00001	< 0.00030	(0.0)	10.4405	0.00030	0.03560	0.00062	13.3862	0.00042	0.00532	0.00030	5.0707	0.00060	0.02990	0.00031	73.6985	0.00024	0.09010	0.00039	373.6934	0.00015	6247	8	5747.0029	0.1	37.4	0.3	99.4680	0.3	32.8	0.3	101.8780	0.4	11880	20	7483.1359	0.1	< 3.0	(0.0)	0.6821	3.0	18.4	0.6	27.1918	1.0	2.6	0.5	4.9919	0.7	16.6	0.4	44.8029	0.5	17.3	0.4	61.1841	0.5	< 0.5	(0.0)	0.0000	0.5	3.6	0.2	20.0915	0.3	1.4	0.1	8.9399	0.2	9.2	0.2	68.1500	0.2	11.6	0.1	163.8845	0.2	849.3	2.0	1879.1371	0.1	26.0	0.4	57.8814	0.7	5.0	0.4	16.0098	1.3	0.5	0.1	3.1348	0.4	4.2	0.1	37.9283	0.8	2.8	0.3	7.1154	0.7	< 0.5	(0.0)	0.0000	0.5	< 1.5	(0.0)	26.2102	1.5	< 2.0	(0.0)	29.0589	2.0	16.7	0.9	14.5726	2.1	< 1.6	(0.0)	19.9985	1.6	< 1.2	(0.0)	2.8112	1.2																	3.1	0.4	7.1002	0.7	< 0.7	(0.0)	4.2064	0.7	< 0.7	(0.0)	0.0000	0.7	5.8	0.3	18.6756	0.5	
Eu.E2.2.10-20.16	TQ Powders	8/22/2018 2:40:27 PM	8.8674	0.0366	0.0014	5.3507	0.011	14.11	0.03	807.3641	0.0063	27.13	0.04	2877.0307	0.00001	0.00240	0.00006	9.5937	0.0016	0.03734	0.00063	14.0563	0.00041	0.00781	0.00031	6.7449	0.00059	0.03389	0.00033	83.6856	0.00024	0.07624	0.00036	318.1578	0.00017	6613	8	6103.2501	0.1	31.3	0.3	82.9021	0.3	36.3	0.4	112.9789	0.4	13960	20	8786.2544	0.1	< 3.0	(0.0)	0.8169	3.0	18.8	0.6	27.4142	1.0	3.5	0.5	6.5769	0.7	18.3	0.4	48.6652	0.5	19.2	0.4	66.8655	0.5	< 0.5	(0.0)	0.0000	0.5	3.9	0.2	21.0855	0.3	1.6	0.1	10.1136	0.3	11.2	0.2	81.5808	0.2	12.6	0.1	174.6610	0.2	694.3	1.8	1521.1722	0.1	26.4	0.4	58.2060	0.7	4.5	0.4	14.5607	1.2	0.4	0.1	2.7617	0.3	4.0	0.1	37.5423	0.8	2.9	0.3	7.3482	0.7	< 0.5	(0.0)	0.0000	0.5	< 1.5	(0.0)	35.1135	1.5	< 2.0	(0.0)	27.7160	2.0	12.6	0.8	12.0267	2.1	< 1.6	(0.0)	20.5994	1.6	< 1.2	(0.0)	3.3609	1.2																	2.4	0.4	5.4911	0.7	< 0.7	(0.0)	3.9503	0.7	< 0.7	(0.0)	0.0000	0.7	5.4	0.4	17.2489	0.5	
Eu.E2.1.10-20.16	TQ Powders	8/22/2018 2:26:38 PM	8.7523	< 0.0020	(0.0)	4.1999	0.0020	10.56	0.03	621.7811	0.0076	31.18	0.04	3474.6752	0.00001	0.01136	0.00028	10.1045	0.0017	0.03736	0.00063	13.7170	0.00042	0.00704	0.00033	6.1141	0.00061	0.02498	0.00029	60.1769	0.00023	0.05520	0.00031	223.8926	0.00016	5353	7	4803.1887	0.1	29.1	0.3	75.2879	0.3	32.6	0.3	99.1092	0.4	10070	20	6212.8612	0.1	< 3.0	(0.0)	0.0304	3.0	16.6	0.6	24.4581	0.9	1.2	0.5	2.2787	0.7	14.0	0.3	37.5024	0.5	13.2	0.3	47.0628	0.5	< 0.5	(0.0)	0.0000	0.5	2.8	0.2	15.2217	0.3	1.0	0.1	6.5019	0.2	6.6	0.2	48.7035	0.2	8.5	0.1	119.5965	0.2	615.0	1.6	1366.1599	0.1	20.5	0.4	46.3426	0.7	5.4	0.4	16.9844	1.1	< 0.5	(0.0)	0.0000	0.5	3.4	0.1	36.5524	0.8	2.5	0.3	6.2672	0.7	< 0.5	(0.0)	0.0000	0.5	< 1.5	(0.0)	18.8263	1.5	< 2.0	(0.0)	22.5099	2.0	10.9	0.8	10.8770	2.1	< 1.6	(0.0)	20.6602	1.6	< 1.2	(0.0)	2.8357	1.2																	2.9	0.4	6.6741	0.7	< 0.7	(0.0)	4.6587	0.7	< 0.7	(0.0)	0.0000	0.7	4.1	0.3	13.1456	0.5	
Eu.E2.4.40-60.04	TQ Powders	8/22/2018 2:12:50 PM	8.9576	0.0357	0.0014	5.3419	0.011	15.56	0.03	879.7341	0.0060	25.84	0.04	2645.2333	0.00001	< 0.00030	(0.0)	11.4455	0.00030	0.03343	0.00060	12.4696	0.00041	0.00576	0.00030	5.3102	0.00058	0.02300	0.00029	55.8769	0.00027	0.01329	0.00017	56.6285	0.00019	9223	10	8313.4920	0.1	25.8	0.3	72.6855	0.3	29.4	0.3	88.7638	0.4	11800	20	7213.2709	0.1	< 0.5	(0.5)	1.3325	0.5	19.2	0.6	27.5412	1.0	2.5	0.5	4.5919	0.7	18.4	0.4	48.5019	0.5	24.4	0.4	83.2999	0.6	< 0.5	(0.0)	0.0000	0.5	3.5	0.2	19.0953	0.3	1.1	0.1	6.5804	0.3	16.5	0.2	118.5694	0.2	9.9	0.1	136.1375	0.2	980.3	2.1	2135.7888	0.1	30.3	0.5	66.2709	0.7	5.2	0.5	16.5118	1.4	0.5	0.1	3.1806	0.5	3.8	0.1	37.0118	0.8	2.1	0.3	5.2803	0.7	< 0.5	(0.0)	0.0000	0.5	< 1.5	(0.0)	44.7397	1.5	< 2.0	(0.0)	33.6200	2.0	23.4	1.0	18.6956	2.1	< 1.6	(0.0)	21.4733	1.6	< 1.2	(0.0)	3.1569	1.2																	3.3	0.4	7.2773	0.7	< 0.7	(0.0)	3.8334	0.7	< 0.7	(0.0)	0.0000	0.7	6.9	0.4	21.9550	0.5	
Eu.E2.3.40-60.04	TQ Powders	8/22/2018 1:59:00 PM	9.1902	0.0788	0.0028	5.9761	0.011	17.59	0.04	999.7149	0.0047	22.53	0.03	2305.2556	0.00001	< 0.00030	(0.0)	2.8108	0.00030	0.02681	0.00057	10.6887	0.00048	0.00429	0.00027	4.5030	0.00058	0.02768	0.00031	71.2092	0.00028	0.05532	0.00031	242.7356	0.00019	11020	10	10555.9209	0.1	36.5	0.3	104.4788	0.3	45.4	0.4	144.2863	0.5	19780	20	12698.1237	0.1	< 0.4	(0.4)	1.4929	0.4	22.2	0.7	31.6514	1.0	2.9	0.5	5.2949	0.7	23.6	0.4	61.3589	0.5	31.2	0.4	104.8998	0.6	< 0.5	(0.0)	0.0000	0.5	4.2	0.3	22.4363	0.3	1.5	0.2	9.0433	0.3	20.3	0.2	143.3712	0.2	15.5	0.2	208.0059	0.2	1221	2	2617.2938	0.1	40.8	0.5	86.7063	0.8	5.2	0.5	16.2667	1.5	0.5	0.1	3.0896	0.4	2.9	0.1	35.4369	0.8	2.5	0.3	6.1543	0.7	< 0.5	(0.0)	0.0000	0.5	< 1.5	(0.0)	42.5466	1.5	< 2.0	(0.0)	53.4159	2.0	32.2	1.2	23.9185	2.2	< 1.6	(0.0)	19.9553	1.6	1.7	0.3	5.1016	1.3																	2.7	0.4	5.9501	0.8	< 0.7	(0.0)	3.9846	0.7	< 0.1	(0.1)	0.5263	0.1	12.2	0.4	37.7197	0.5	
Eu.E2.2.40-60.04	TQ Powders	8/22/2018 1:45:12 PM	9.4978	0.0717	0.0026	5.8524	0.010	18.69	0.04	1042.4984	0.0035	20.63	0.03	2062.9576	0.00001	< 0.00030	(0.0)	7.5352	0.00030	0.03412	0.00061	13.6154	0.00047	0.00345	0.00024	3.9352	0.00058	0.02950	0.00031	76.4239	0.00027	0.00785	0.00013	41.0002	0.00019	9431	10	9135.2852	0.1	38.2	0.4	104.8514	0.5	43.6	0.4	141.0201	0.5	26210	30	17036.8102	0.1	< 11	(0.0)	1.6424	11	25.3	0.7	35.1210	1.0	< 0.5	(0.0)	0.0000	0.5	30.8	0.5	77.4424	0.5	35.3	0.5	115.0215	0.6	< 0.5	(0.0)	0.0000	0.5	6.6	0.3	33.9572	0.3	1.7	0.2	10.0501	0.3	16.9	0.2	116.1200	0.2	13.1	0.1	169.2964	0.2	905.0	2.1	1888.8537	0.1	39.0	0.5	80.6473	0.8	5.5	0.5	16.6545	1.4	0.4	0.1	2.9842	0.4	4.1	0.1	37.4819	0.8	2.7	0.3	6.5999	0.7	< 0.5	(0.0)	0.0000	0.5	< 1.5	(0.0)	50.2482	1.5	< 2.0	(0.0)	37.9896	2.0	26.3	1.1	20.4483	2.2	< 1.6	(0.0)	22.7650	1.6	< 1.2	(0.0)	3.0890	1.2																	3.0	0.4	6.3520	0.8	< 0.7	(0.0)	5.3622	0.7	< 0.7	(0.0)	0.0000	0.7	14.1	0.5	42.3323	0.5	
Eu.E2.1.40-60.04	TQ Powders	8/22/2018 1:31:23 PM	9.3963	0.0681	0.0025	5.8000	0.011	17.49	0.04	977.2572	0.0048	22.35	0.03	2259.9659	0.00001	< 0.00030	(0.0)	8.7937	0.00030	0.03158	0.00059	12.4082	0.00048	0.00407	0.00026	4.3257	0.00058	0.02755	0.00031	70.2269	0.00027	0.06221	0.00033	270.5654	0.00018	9431	10	8957.2214	0.1	37.3	0.4	101.8616	0.5	42.8	0.4	135.6809	0.5	22760	30	14540.1269	0.1	< 11	(5.2)	2.0974	11	22.0	0.7	30.9894	1.0	3.6	0.5	6.5489	0.7	22.4	0.4	56.8425	0.5	30.4	0.4	99.9987	0.6	< 0.5	(0.0)	0.0000	0.5	5.4	0.3	28.0360	0.3	1.7	0.2	10.0587	0.3	16.4	0.2	113.6849	0.2	15.7	0.2	204.8127	0.2	957.5	2.1	2010.3233	0.1	35.2	0.5	73.6540	0.8	5.8	0.5	17.3748	1.4	< 0.5	(0.3)	2.5548	0.5	4.6	0.1	38.2718	0.8	2.9	0.3	7.0318	0.7	< 0.5	(0.0)	0.0000	0.5	< 1.5	(0.0)	40.6033	1.5	< 2.0	(0.0)	40.3181	2.0	21.1	1.0	16.9072	2.2	< 1.6	(0.0)	20.3743	1.6	0.9	0.2	4.3338	0.8																	3.6	0.4	7.5761	0.8	< 0.7	(0.0)	4.0128	0.7	< 0.7	(0.0)	0.0000	0.7	12.3	0.4	37.0675	0.5	
Eu.E2.4.20-40.04	TQ Powders	8/22/2018 1:17:32 PM	8.7544	< 0.0020	(0.0)	4.4614	0.0020	12.72	0.03	744.0522	0.0069	29.31	0.04	3169.8240	0.00001	< 0.0017	(0.0)	11.4122	0.0017	0.03160	0.00059	11.7024	0.00043	0.00984	0.00034	7.9604	0.00060	0.02051	0.00027	49.6679	0.00026	0.02173	0.00021	89.6739	0.00017	7681	9	6902.6198	0.1	23.5	0.3	66.1329	0.3	29.1	0.3	87.7699	0.4	9111	14	5590.6893	0.1	< 3.0	(0.0)	0.5998	3.0	17.0	0.6	24.9371	1.0	2.3	0.5	4.3307	0.7	14.6	0.3	39.2813	0.5	18.4	0.4	64.5438	0.5	< 0.5	(0.0)	0.0000	0.5	2.5	0.2	13.8766	0.3	1.0	0.1	6.5876	0.2	11.2	0.2	82.0700	0.2	8.0	0.1	112.6696	0.2	853.6	2.0	1896.8534	0.1	25.5	0.4	57.2402	0.7	5.4	0.4	16.9949	1.3	0.5	0.1	3.1958	0.5	2.6	0.1	34.9808	0.8	2.5	0.3	6.4784	0.7	< 0.5	(0.0)	0.0000	0.5	< 1.5	(0.0)	32.8998	1.5	< 2.0	(0.0)	38.1890	2.0	17.2	0.9	14.9440	2.1	< 1.6	(0.0)	20.8708	1.6	< 1.2	(0.0)	3.0091	1.2																	3.0	0.4	6.6994	0.7	< 0.7	(0.0)	2.2060	0.7	< 0.7	(0.0)	0.0000	0.7	5.3	0.3	17.0992	0.5	
