McMahon_6-27-18
Element	Method	Eval Date	Mass coefficient.	Mg	Mg	Mg	Mg	Al	Al	Al	Al	Si	Si	Si	Si	P	P	P	P	S	S	S	S	Cl	Cl	Cl	Cl	K	K	K	K	Ca	Ca	Ca	Ca	Ti	Ti	Ti	Ti	Cr	Cr	Cr	Cr	Mn	Mn	Mn	Mn	Fe	Fe	Fe	Fe	Co	Co	Co	Co	Ni	Ni	Ni	Ni	Cu	Cu	Cu	Cu	Zn	Zn	Zn	Zn	Ga	Ga	Ga	Ga	Ge	Ge	Ge	Ge	As	As	As	As	Se	Se	Se	Se	Br	Br	Br	Br	Sr	Sr	Sr	Sr	Zr	Zr	Zr	Zr	Nb	Nb	Nb	Nb	Mo	Mo	Mo	Mo	Pd	Pd	Pd	Pd	Ag	Ag	Ag	Ag	Cd	Cd	Cd	Cd	Sn	Sn	Sn	Sn	Ba	Ba	Ba	Ba	La	La	La	La	Hf	Hf	Hf	Hf	Ta	Ta	Ta	Ta	W	W	W	W	Re	Re	Re	Re	Os	Os	Os	Os	Ir	Ir	Ir	Ir	Pt	Pt	Pt	Pt	Au	Au	Au	Au	Hg	Hg	Hg	Hg	Tl	Tl	Tl	Tl	Pb	Pb	Pb	Pb	
Dimension			cm²/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	
Eu.E1.4.60-100.16	TQ Powders	8/9/2018 2:51:06 PM	9.5140	0.0811	0.0028	5.9860	0.0100	19.86	0.04	1085.6382	0.0033	20.30	0.03	1951.0023	0.00001	< 0.00030	(0.0)	7.7490	0.00030	0.03365	0.00061	12.8969	0.00044	0.00470	0.00025	4.7014	0.00057	0.03667	0.00035	91.4640	0.00028	0.00920	0.00015	43.8833	0.00021	11160	10	10367.9724	0.1	48.5	0.4	122.7437	0.4	42.2	0.4	130.1008	0.4	21700	30	13488.9881	0.1	< 3.0	(0.0)	0.9004	3.0	26.7	0.7	36.2672	1.0	5.0	0.5	8.7946	0.7	32.6	0.5	81.2662	0.5	39.7	0.5	127.8879	0.6	0.9	0.3	2.2091	0.6	6.5	0.3	33.1053	0.3	1.2	0.2	7.0357	0.3	10.5	0.2	71.4665	0.2	10.2	0.1	131.9816	0.2	806.7	1.9	1676.7294	0.1	38.3	0.5	79.0970	0.7	5.1	0.4	15.5830	1.3	0.4	0.1	2.7379	0.3	2.0	0.1	33.7833	0.8	2.6	0.3	6.3442	0.7	< 0.5	(0.0)	0.0000	0.5	< 1.5	(0.0)	27.1135	1.5	< 2.0	(0.0)	25.2922	2.0	22.8	1.1	17.1704	2.2	< 1.6	(0.0)	17.5368	1.6	< 1.2	(0.0)	2.7326	1.2																	2.8	0.4	5.8945	0.7	< 0.7	(0.0)	5.8945	0.7	< 0.7	(0.0)	0.0000	0.7	9.0	0.4	26.8863	0.5	
Eu.E1.2.60-100.16	TQ Powders	8/9/2018 2:37:19 PM	9.4952	0.0910	0.0031	6.1392	0.010	19.89	0.04	1102.8392	0.0033	20.20	0.03	1972.9461	0.00001	< 0.00030	(0.0)	7.3651	0.00030	0.02956	0.00058	11.5668	0.00047	0.00332	0.00023	3.8103	0.00057	0.03442	0.00034	87.6662	0.00027	0.01565	0.00018	72.9353	0.00020	10240	10	9740.7943	0.1	46.4	0.4	119.9648	0.5	42.4	0.4	134.0579	0.4	24050	30	15307.9513	0.1	< 11	(3.0)	1.8683	11	25.4	0.7	34.9982	1.0	1.8	0.5	3.2270	0.7	33.5	0.5	83.8172	0.5	39.5	0.5	128.1143	0.6	2.2	0.3	5.3925	0.6	7.0	0.3	35.8580	0.3	1.3	0.2	7.6960	0.3	13.5	0.2	92.2669	0.2	11.2	0.1	145.2153	0.2	750.3	1.9	1567.8768	0.1	37.7	0.5	78.3794	0.7	5.0	0.4	15.3532	1.2	0.5	0.1	3.2272	0.5	2.8	0.1	35.2581	0.8	2.8	0.2	6.9240	0.6	< 0.5	(0.0)	0.0000	0.5	< 1.5	(0.0)	25.7692	1.5	< 2.0	(0.0)	19.9290	2.0	20.7	1.1	15.9758	2.2	< 1.6	(0.0)	16.9630	1.6	< 1.2	(0.0)	2.2080	1.2																	3.2	0.4	6.7300	0.8	< 0.7	(0.0)	3.7047	0.7	< 0.7	(0.0)	0.0000	0.7	9.7	0.4	28.9369	0.5	
Eu.E1.1.60-100.16	TQ Powders	8/9/2018 2:23:30 PM	9.0326	0.0778	0.0027	5.9525	0.010	17.97	0.04	999.5395	0.0047	22.40	0.03	2225.9697	0.00001	0.01333	0.00026	13.5171	0.0015	0.03951	0.00064	15.0306	0.00040	0.00860	0.00032	7.3452	0.00059	0.03034	0.00033	76.0089	0.00029	0.06051	0.00033	256.6950	0.00019	11610	10	10808.4298	0.1	51.4	0.4	130.8164	0.3	42.5	0.4	131.2214	0.5	14770	20	9221.7584	0.1	< 3.0	(0.0)	1.3510	3.0	22.6	0.6	32.2491	1.0	4.8	0.5	8.8590	0.7	22.9	0.4	60.1255	0.5	28.3	0.4	96.3555	0.6	< 0.5	(0.0)	0.0000	0.5	4.3	0.2	23.0808	0.3	0.7	0.1	4.1459	0.3	34.0	0.3	243.7301	0.2	9.6	0.1	130.9561	0.2	864.8	2.0	1868.9624	0.1	32.5	0.5	70.1048	0.7	4.5	0.4	14.5170	1.3	< 0.5	(0.0)	0.0000	0.5	1.5	0.1	32.9414	0.8	2.5	0.3	6.3270	0.7	< 0.5	(0.0)	0.0000	0.5	< 1.5	(0.0)	21.7875	1.5	< 2.0	(0.0)	24.9692	2.0	26.0	1.1	20.0900	2.1	< 1.6	(0.0)	19.9043	1.6	2.5	0.3	5.8579	1.2																	2.5	0.4	5.4969	0.7	< 0.7	(0.0)	5.2081	0.7	< 0.7	(0.0)	0.0000	0.7	4.9	0.4	15.5419	0.5	
Eu.E1.4.40-60.16	TQ Powders	8/8/2018 1:35:26 PM	9.3403	0.0903	0.0031	6.1284	0.0100	19.56	0.04	1081.4824	0.0033	20.56	0.03	2005.0761	0.00001	< 0.00030	(0.0)	8.5804	0.00030	0.02699	0.00056	10.4764	0.00047	0.00310	0.00022	3.6443	0.00056	0.03763	0.00035	95.0959	0.00028	0.01403	0.00018	64.5974	0.00021	11240	10	10600.1246	0.1	44.0	0.4	114.6075	0.5	39.6	0.4	123.9003	0.5	20580	20	12983.4382	0.1	< 3.0	(0.0)	1.4469	3.0	26.5	0.7	36.6692	1.0	< 0.5	(0.0)	0.0000	0.5	30.3	0.5	77.0666	0.5	35.6	0.5	117.1048	0.6	3.2	0.3	8.1006	0.6	7.5	0.2	39.0244	0.3	1.3	0.2	7.9844	0.3	16.6	0.2	115.4256	0.2	10.5	0.1	137.9636	0.2	839.5	2.0	1770.9665	0.1	38.6	0.5	80.7121	0.8	5.6	0.4	16.9606	1.3	0.5	0.1	3.0439	0.4	3.3	0.1	36.0885	0.8	3.1	0.3	7.5367	0.7	< 0.5	(0.0)	0.0000	0.5	< 1.5	(0.0)	28.1865	1.5	< 2.0	(0.0)	22.8901	2.0	25.3	1.0	20.2673	2.2	< 1.6	(0.0)	24.9038	1.6	< 1.2	(0.0)	3.4958	1.2																	2.5	0.4	5.3969	0.7	< 0.7	(0.0)	1.0561	0.7	< 0.4	(0.3)	1.0984	0.3	7.7	0.4	23.5519	0.5	
Eu.E1.2.40-60.16	TQ Powders	8/8/2018 1:21:35 PM	9.1825	0.0873	0.0030	6.0906	0.010	19.53	0.04	1093.8876	0.0033	20.35	0.03	2013.5235	0.00001	< 0.00030	(0.0)	8.3496	0.00030	0.02493	0.00053	9.8384	0.00048	0.00697	0.00029	6.3709	0.00056	0.03440	0.00034	88.7020	0.00027	0.03230	0.00024	144.8671	0.00020	10120	10	9745.6744	0.1	40.8	0.4	108.1580	0.5	40.3	0.4	129.3826	0.5	21060	20	13608.5667	0.1	< 3.0	(0.0)	1.4397	3.0	24.1	0.7	34.1273	1.0	< 0.5	(0.0)	0.0000	0.5	28.3	0.4	73.1923	0.5	30.6	0.5	102.8084	0.6	< 0.5	(0.0)	0.0000	0.5	6.7	0.2	35.2897	0.3	1.1	0.2	6.6228	0.3	16.9	0.2	119.3601	0.2	10.6	0.1	141.9374	0.2	733.0	1.8	1567.7948	0.1	33.0	0.5	70.4955	0.7	5.0	0.4	15.7444	1.2	< 0.5	(0.0)	0.0000	0.5	2.9	0.1	35.4617	0.8	2.6	0.3	6.3931	0.7	< 0.5	(0.0)	0.0000	0.5	< 1.5	(0.0)	24.8880	1.5	< 2.0	(0.0)	26.9660	2.0	24.1	1.0	20.1244	2.2	< 1.6	(0.0)	26.4166	1.6	< 1.2	(0.0)	3.2421	1.2																	3.2	0.4	6.9108	0.7	< 0.7	(0.0)	6.0469	0.7	< 0.7	(0.0)	0.0000	0.7	7.0	0.4	21.8521	0.5	
Eu.E1.3.40-60.16	TQ Powders	8/8/2018 1:07:46 PM	9.1836	0.1034	0.0035	6.3393	0.010	19.23	0.04	1086.4615	0.0033	20.44	0.03	2047.2170	0.00001	< 0.00030	(0.0)	8.0582	0.00030	0.02445	0.00053	9.7997	0.00048	0.00254	0.00021	3.3150	0.00056	0.03376	0.00033	87.9604	0.00028	0.02790	0.00023	127.3488	0.00020	10840	10	10552.5247	0.1	44.5	0.4	118.2643	0.5	39.2	0.4	126.7762	0.5	21630	30	14090.2680	0.1	< 3.0	(0.0)	0.5040	3.0	24.2	0.7	34.4969	1.0	< 0.1	(0.1)	0.1930	0.1	29.3	0.5	76.1355	0.5	34.5	0.5	116.0155	0.6	< 0.6	(0.6)	1.6299	0.6	5.2	0.2	27.9449	0.3	1.3	0.2	7.6243	0.3	16.7	0.2	118.1387	0.2	12.4	0.1	166.3293	0.2	768.8	1.9	1651.0564	0.1	35.5	0.5	75.8125	0.7	4.8	0.4	15.2606	1.2	< 0.5	(0.3)	2.5516	0.5	3.9	0.1	37.2683	0.8	3.0	0.3	7.6058	0.7	< 0.5	(0.0)	0.0000	0.5	< 1.5	(0.0)	18.4011	1.5	< 2.0	(0.0)	16.4996	2.0	24.6	1.0	19.9990	2.2	< 1.6	(0.0)	23.6771	1.6	< 1.3	(0.0)	3.7210	1.3																	3.0	0.4	6.4876	0.7	< 0.7	(0.0)	6.7128	0.7	< 0.7	(0.0)	0.0000	0.7	9.0	0.4	28.0200	0.5	
Eu.E1.1.40-60.16	TQ Powders	8/8/2018 12:53:57 PM	8.7794	0.0462	0.0017	5.5003	0.010	15.49	0.03	874.8166	0.0059	25.57	0.04	2609.1931	0.00001	0.03675	0.00063	16.2997	0.0015	0.04266	0.00066	15.8223	0.00036	0.01032	0.00034	8.3054	0.00059	0.02624	0.00031	63.6999	0.00029	0.05142	0.00031	209.7258	0.00019	10910	10	9806.6594	0.1	26.4	0.3	70.5752	0.4	34.5	0.4	103.0164	0.5	8167	13	4960.9157	0.1	< 3.0	(0.0)	0.0000	3.0	16.4	0.6	24.0767	0.9	1.7	0.5	3.2492	0.7	16.4	0.4	43.9052	0.5	17.6	0.4	61.7357	0.6	< 0.5	(0.0)	0.0000	0.5	1.1	0.2	5.9031	0.3	0.3	0.1	1.8063	0.3	26.2	0.2	192.0891	0.2	6.8	0.1	96.0849	0.2	764.8	1.8	1696.0222	0.1	27.0	0.4	60.1573	0.7	4.1	0.4	13.6131	1.2	0.5	0.1	3.1829	0.4	2.7	0.1	35.0979	0.8	2.6	0.3	6.6474	0.7	< 0.5	(0.0)	0.0000	0.5	< 1.5	(0.0)	16.2941	1.5	< 2.0	(0.0)	23.7373	2.0	25.1	1.0	20.1211	2.1	< 1.6	(0.0)	22.4723	1.6	1.6	0.3	4.9243	1.2																	3.5	0.4	7.7599	0.7	< 0.7	(0.0)	5.1867	0.7	< 0.1	(0.1)	0.4339	0.1	4.9	0.3	15.9233	0.5	
Eu.E1.4.20-40.16	TQ Powders	8/8/2018 12:40:07 PM	8.8994	0.0331	0.0013	5.2986	0.0099	16.84	0.04	929.4108	0.0048	23.79	0.03	2336.1230	0.00001	0.01790	0.00047	8.6125	0.0015	0.02807	0.00056	10.2711	0.00043	0.00551	0.00027	5.1073	0.00057	0.03351	0.00033	79.9870	0.00025	0.03604	0.00026	145.9506	0.00018	7540	9	6692.6221	0.1	31.8	0.3	76.7991	0.3	25.9	0.3	77.4428	0.4	10600	20	6413.4963	0.1	< 3.0	(0.0)	1.1425	3.0	16.7	0.6	24.1526	1.0	2.1	0.5	3.8183	0.7	15.1	0.3	39.6264	0.5	17.1	0.3	59.1188	0.5	< 0.5	(0.0)	0.0000	0.5	2.8	0.2	15.0929	0.3	0.7	0.1	4.0689	0.2	6.8	0.1	48.8765	0.2	5.2	0.1	72.0570	0.2	430.6	1.4	941.2316	0.1	17.6	0.4	39.6179	0.7	3.1	0.3	11.0877	1.0	0.3	0.1	2.7235	0.3	2.2	0.1	34.2920	0.8	2.4	0.3	6.1128	0.7	< 0.5	(0.0)	0.0000	0.5	< 1.5	(0.0)	14.7554	1.5	< 2.0	(0.0)	20.3234	2.0	8.7	0.7	9.3804	2.1	< 1.6	(0.0)	20.2742	1.6	0.7	0.1	3.9386	0.6																	2.8	0.3	6.2536	0.7	< 0.7	(0.0)	3.2070	0.7	< 0.7	(0.0)	0.0000	0.7	2.7	0.3	8.5787	0.5	
Eu.E1.3.20-40.16	TQ Powders	8/8/2018 12:26:19 PM	9.0374	< 0.0020	(0.0)	4.7813	0.0020	18.86	0.04	1053.7645	0.0034	21.22	0.03	2106.6168	0.00001	0.00374	0.00010	8.4169	0.0015	0.02708	0.00056	10.5387	0.00045	0.00337	0.00023	3.8468	0.00057	0.03746	0.00035	95.6239	0.00027	0.05899	0.00032	256.6105	0.00019	10300	10	9814.8945	0.1	44.0	0.4	112.3931	0.3	37.2	0.4	118.1848	0.4	17940	20	11485.3399	0.1	< 3.0	(0.0)	1.2810	3.0	21.4	0.6	30.8184	1.0	< 0.5	(0.0)	0.0000	0.5	24.2	0.4	63.4953	0.5	26.5	0.4	90.4181	0.6	< 0.5	(0.0)	0.0000	0.5	4.8	0.2	25.7992	0.3	1.2	0.1	7.6547	0.3	11.6	0.2	83.0153	0.2	11.5	0.1	156.4544	0.2	593.9	1.6	1285.9771	0.1	27.5	0.4	59.7634	0.7	3.9	0.3	13.0878	1.1	0.5	0.1	3.2169	0.5	2.3	0.1	34.3218	0.8	3.0	0.3	7.5591	0.7	< 0.5	(0.0)	0.0000	0.5	< 1.5	(0.0)	23.1788	1.5	< 2.0	(0.0)	22.6651	2.0	19.4	0.9	17.0525	2.1	< 1.6	(0.0)	25.2847	1.6	< 1.2	(0.0)	2.6671	1.2																	3.7	0.4	8.1377	0.7	< 0.7	(0.0)	4.9456	0.7	< 0.7	(0.0)	0.0000	0.7	5.5	0.4	17.1575	0.5	
