McMahon_aband
Element	Method	Eval Date	Mass coefficient.	Mg	Mg	Mg	Mg	Al	Al	Al	Al	Si	Si	Si	Si	P	P	P	P	S	S	S	S	Cl	Cl	Cl	Cl	K	K	K	K	Ca	Ca	Ca	Ca	Ti	Ti	Ti	Ti	Cr	Cr	Cr	Cr	Mn	Mn	Mn	Mn	Fe	Fe	Fe	Fe	Co	Co	Co	Co	Ni	Ni	Ni	Ni	Cu	Cu	Cu	Cu	Zn	Zn	Zn	Zn	Ga	Ga	Ga	Ga	Ge	Ge	Ge	Ge	As	As	As	As	Se	Se	Se	Se	Br	Br	Br	Br	Sr	Sr	Sr	Sr	Zr	Zr	Zr	Zr	Nb	Nb	Nb	Nb	Mo	Mo	Mo	Mo	Pd	Pd	Pd	Pd	Ag	Ag	Ag	Ag	Cd	Cd	Cd	Cd	Sn	Sn	Sn	Sn	Ba	Ba	Ba	Ba	La	La	La	La	Hf	Hf	Hf	Hf	Ta	Ta	Ta	Ta	W	W	W	W	Re	Re	Re	Re	Os	Os	Os	Os	Ir	Ir	Ir	Ir	Pt	Pt	Pt	Pt	Au	Au	Au	Au	Hg	Hg	Hg	Hg	Tl	Tl	Tl	Tl	Pb	Pb	Pb	Pb	
Dimension			cm²/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	
JP.A.L.2.0-10.16	TQ Powders	8/20/2018 9:56:14 AM	8.9998	0.0470	0.0018	5.4830	0.011	13.70	0.03	737.6780	0.0063	25.45	0.04	2533.8631	0.00001	0.02227	0.00063	8.0878	0.0016	0.02527	0.00054	9.4735	0.00046	0.00263	0.00022	3.2112	0.00060	0.03338	0.00032	78.3898	0.00021	0.00737	0.00014	32.0526	0.00018	3335	5	2928.4246	0.1	17.0	0.4	42.9826	0.3	96.5	0.5	288.5279	0.4	12900	20	7818.5431	0.1	< 3.0	(0.0)	0.0000	3.0	20.1	0.6	28.3292	1.0	4.9	0.5	8.9365	0.7	6.6	0.3	17.1283	0.5	10.3	0.3	35.9977	0.5	< 0.5	(0.0)	0.0000	0.5	1.9	0.2	10.4461	0.3	< 0.5	(0.0)	0.0000	0.5	1.7	0.1	12.1971	0.2	11.1	0.1	152.7965	0.2	334.3	1.2	745.9445	0.1	9.2	0.3	22.8254	0.7	1.5	0.2	7.0833	0.9	< 0.5	(0.0)	1.6251	0.5	3.0	0.1	36.1237	0.8	2.3	0.2	6.3018	0.6	< 0.5	(0.0)	0.0000	0.5	11.4	0.5	96.2265	8.4	< 2.0	(0.0)	20.8158	2.0	2.1	0.3	5.7061	1.9	< 1.6	(0.0)	22.4621	1.6	< 1.2	(0.0)	2.3348	1.2																	2.2	0.3	4.9513	0.7	< 0.7	(0.0)	0.0000	0.7	< 0.1	(0.1)	0.5938	0.1	13.7	0.3	42.9919	0.4	
JP.A.L.3.0-10.16	TQ Powders	8/20/2018 10:10:00 AM	8.8942	0.0421	0.0016	5.3951	0.011	14.70	0.03	777.0368	0.0053	23.94	0.03	2341.9665	0.00001	0.02753	0.00077	8.2983	0.0015	0.03166	0.00059	11.6565	0.00043	0.00503	0.00027	4.7831	0.00059	0.02844	0.00029	67.9023	0.00021	0.00868	0.00014	37.8914	0.00017	3664	5	3270.3919	0.1	25.8	0.4	62.5282	0.5	72.4	0.4	220.4386	0.4	13330	20	8208.6363	0.1	< 3.0	(0.0)	0.8716	3.0	19.2	0.6	27.5565	0.9	5.2	0.5	9.6078	0.7	7.8	0.3	20.5128	0.5	9.8	0.3	34.7523	0.5	< 0.5	(0.0)	0.0000	0.5	0.6	0.2	3.2837	0.3	< 0.5	(0.0)	0.0000	0.5	2.0	0.1	14.3914	0.2	5.8	0.1	80.7035	0.2	282.4	1.1	631.4402	0.2	8.0	0.3	20.3318	0.7	2.3	0.2	9.2338	0.9	< 0.5	(0.0)	0.0000	0.5	2.8	0.1	35.5433	0.8	2.2	0.2	5.7913	0.6	< 0.5	(0.0)	0.0000	0.5	< 1.5	(0.0)	47.3869	1.5	< 2.0	(0.0)	15.2488	2.0	< 2.0	(0.8)	4.8242	2.0	< 1.6	(0.0)	21.7290	1.6	< 1.2	(0.0)	3.2634	1.2																	2.4	0.3	5.3309	0.7	< 0.7	(0.0)	2.2398	0.7	< 0.1	(0.1)	0.5067	0.1	6.5	0.3	20.7662	0.4	
JP.A.L.4.0-10.16	TQ Powders	8/20/2018 10:23:49 AM	8.9980	< 0.011	(0.0)	4.8166	0.011	13.35	0.03	706.6717	0.0060	25.17	0.04	2467.0939	0.00001	0.02608	0.00079	7.2015	0.0016	0.03097	0.00060	11.0597	0.00042	0.00377	0.00025	3.9082	0.00059	0.02563	0.00028	59.4089	0.00021	0.00483	0.00011	21.4490	0.00017	3238	5	2792.5219	0.1	23.1	0.3	53.8322	0.5	56.9	0.4	167.4145	0.4	11610	20	6919.0564	0.1	< 3.0	(0.0)	0.5581	3.0	18.0	0.6	25.4154	1.0	3.4	0.5	6.1396	0.7	6.2	0.3	16.0266	0.5	8.7	0.3	30.5682	0.5	< 0.5	(0.0)	0.0000	0.5	2.5	0.2	13.4054	0.3	< 0.5	(0.0)	0.0000	0.5	2.1	0.1	14.9303	0.2	4.9	0.1	67.6048	0.2	225.2	1.0	501.8365	0.3	8.1	0.3	20.5000	0.7	2.8	0.2	10.5280	0.8	< 0.5	(0.0)	0.0000	0.5	1.9	0.1	33.9937	0.8	1.9	0.2	5.1899	0.6	< 0.5	(0.0)	0.0000	0.5	< 1.5	(0.0)	39.1094	1.5	< 2.0	(0.0)	12.0850	2.0	< 2.0	(0.0)	3.1096	2.0	< 1.6	(0.0)	20.7908	1.6	< 1.2	(0.0)	1.9934	1.2																	2.8	0.3	6.1196	0.7	< 0.7	(0.0)	1.8937	0.7	< 0.2	(0.2)	0.5382	0.2	3.4	0.3	10.8240	0.4	
JP.A.L.1.0-10.16	TQ Powders	8/20/2018 10:37:39 AM	9.0192	0.0816	0.0028	5.9707	0.011	14.14	0.03	758.2476	0.0054	24.86	0.04	2472.9346	0.00001	0.02721	0.00070	9.4383	0.0016	0.03248	0.00061	12.0485	0.00043	0.00363	0.00025	3.8775	0.00060	0.03824	0.00034	91.0270	0.00021	0.01646	0.00018	69.0825	0.00018	3757	6	3350.9077	0.1	19.6	0.4	49.8885	0.3	131.9	0.6	400.3135	0.4	14520	20	8916.9699	0.1	< 3.0	(0.0)	0.3562	3.0	20.4	0.6	28.8552	1.0	6.2	0.5	11.4200	0.7	12.2	0.3	31.7153	0.5	10.9	0.3	37.9138	0.5	< 0.5	(0.0)	0.0000	0.5	0.9	0.2	5.2520	0.3	< 0.5	(0.0)	0.0000	0.5	2.2	0.1	15.6337	0.2	11.7	0.1	159.3806	0.2	372.9	1.3	830.0304	0.1	9.7	0.3	23.7250	0.7	3.2	0.3	11.4564	0.9	0.5	0.1	3.3717	0.5	2.1	0.1	34.2462	0.8	2.5	0.2	6.7188	0.6	< 0.5	(0.0)	0.0000	0.5	27.9	0.9	117.2099	8.4	< 2.0	(0.0)	19.2827	2.0	2.1	0.3	5.5980	2.1	< 1.6	(0.0)	21.5066	1.6	< 1.2	(0.0)	3.1654	1.2																	2.2	0.4	4.8448	0.7	< 0.7	(0.0)	2.0458	0.7	< 0.2	(0.2)	0.6616	0.2	9.7	0.3	30.3413	0.5	
JP.A.E.1.0-10.16	TQ Powders	8/20/2018 10:51:28 AM	9.0851	0.02349	0.00092	5.1561	0.010	11.77	0.03	648.1970	0.0065	27.48	0.04	2784.4466	0.00001	0.01962	0.00060	7.2816	0.0016	0.02273	0.00052	8.1118	0.00045	0.00521	0.00026	4.7628	0.00057	0.02714	0.00029	61.5594	0.00021	0.00446	0.00011	19.1876	0.00017	2821	5	2373.8988	0.1	21.4	0.3	50.2874	0.5	60.0	0.4	172.0434	0.4	10070	20	5856.1021	0.1	< 3.0	(0.0)	0.1280	3.0	16.3	0.6	22.8613	1.0	2.8	0.5	5.1317	0.7	5.7	0.3	14.6269	0.5	7.4	0.3	26.0230	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	1.5	0.1	10.2930	0.2	8.4	0.1	114.5822	0.2	315.1	1.2	693.5413	0.1	8.0	0.3	19.6891	0.7	2.5	0.3	9.5314	0.9	< 0.5	(0.0)	1.9161	0.5	3.3	0.1	36.4795	0.8	2.5	0.2	6.5958	0.6	< 0.5	(0.0)	0.0000	0.5	< 1.5	(0.0)	61.1186	1.5	< 2.0	(0.0)	25.6339	2.0	1.8	0.2	5.5060	1.6	< 1.6	(0.0)	22.8711	1.6	< 1.2	(0.0)	1.8715	1.2																	2.2	0.4	4.8953	0.7	< 0.7	(0.0)	1.4578	0.7	< 0.2	(0.2)	0.6402	0.2	6.0	0.3	18.4683	0.4	
JP.A.E.2.0-10.16	TQ Powders	8/20/2018 11:05:16 AM	8.8472	0.0586	0.0022	5.6382	0.011	13.05	0.03	705.7989	0.0064	26.20	0.04	2660.7189	0.00001	0.02694	0.00078	7.9432	0.0016	0.02886	0.00058	10.6821	0.00044	0.00332	0.00024	3.6823	0.00060	0.03502	0.00032	83.6948	0.00021	0.00517	0.00012	23.9653	0.00018	3226	5	2891.9163	0.1	28.1	0.4	67.6816	0.5	75.5	0.5	231.0803	0.4	13040	20	8073.0359	0.1	< 3.0	(0.0)	0.5405	3.0	20.3	0.6	29.1251	1.0	5.3	0.5	9.8205	0.7	6.4	0.3	16.9692	0.5	9.0	0.3	32.3272	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.1	(0.1)	1.0402	0.1	< 0.5	(0.0)	0.0000	0.5	1.9	0.1	13.6651	0.2	9.7	0.1	135.5090	0.2	259.0	1.1	588.5179	0.2	8.4	0.3	21.5118	0.7	1.5	0.2	7.1872	0.8	0.5	0.1	3.3565	0.5	3.1	0.1	36.3106	0.8	2.8	0.2	7.7862	0.6	< 0.5	(0.0)	0.0000	0.5	< 1.5	(0.0)	71.6478	1.5	< 2.0	(0.0)	19.7400	2.0	1.6	0.2	5.5272	1.4	< 1.6	(0.0)	23.0063	1.6	< 1.2	(0.0)	1.4991	1.2																	2.9	0.4	6.4654	0.7	< 0.7	(0.0)	3.3347	0.7	< 0.3	(0.3)	0.9178	0.3	7.1	0.3	22.7718	0.4	
JP.A.E.3.0-10.16	TQ Powders	8/20/2018 11:19:19 AM	79801.0938	< 0.0020	(0.0)	2.4895	0.0020	6.132	0.017	535.2323	0.00001	0.5602	0.0034	103.4652	0.00052	< 0.00030	(0.0)	0.0000	0.00030	< 0.00020	(0.0)	0.0000	0.00020	< 0.00020	(0.0)	0.0000	0.00020	< 0.0010	(0.0)	0.0000	0.00100	< 0.0010	(0.0)	0.0000	0.00100	< 2.0	(0.0)	0.0000	2.0	< 1.0	(0.0)	0.0000	1.0	< 1.0	(0.0)	0.0000	1.0	1492	3	2335.4671	1.3	16.4	1.4	7.8960	2.0	20.3	0.3	75.2505	0.2	7.3	0.2	35.8619	0.2	1.7	0.1	13.4929	0.1	< 0.5	(0.0)	0.0000	0.5	0.3	0.1	2.7389	0.1	< 0.5	(0.0)	0.0000	0.5	0.8	0.1	15.9753	0.5	< 0.5	(0.2)	4.1953	0.5	0.9	0.1	26.1064	0.5	177.2	1.0	654.5209	0.6	13.5	0.4	49.7750	0.9	10.7	0.4	48.3953	0.9	33.9	0.4	149.1429	0.6	61.4	0.6	195.5336	1.2	52.4	0.5	189.4940	1.0	54.8	0.7	194.4402	1.6	34.7	1.9	129.0194	15	35.2	2.5	107.0215	18	2.7	0.2	13.5112	0.5	0.6	0.1	39.3611	0.5	23.9	0.3	90.5021	0.2																	1410	100	10.6166	0.7	< 0.1	(0.1)	11.5326	0.1	1.3	0.1	12.0914	0.1	2.0	0.1	13.0807	0.1	
JP.A.E.4.0-10.16	TQ Powders	8/20/2018 11:33:15 AM	9.5669	< 0.010	(0.0046)	4.8614	0.0100	12.85	0.03	674.4571	0.0054	24.77	0.04	2389.9668	0.00001	0.02361	0.00075	6.6473	0.0015	0.03064	0.00058	10.9289	0.00039	0.00516	0.00026	4.7219	0.00056	0.02391	0.00027	54.1608	0.00020	0.01059	0.00015	42.1266	0.00016	2502	5	2104.4410	0.1	22.8	0.4	51.7975	0.3	190.6	0.7	545.7468	0.4	10070	10	5851.6484	0.1	< 3.0	(0.0)	0.4314	3.0	17.8	0.6	24.7918	0.9	4.8	0.5	8.6570	0.6	6.4	0.3	16.1827	0.5	7.5	0.3	26.1244	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	1.9	0.1	13.1245	0.2	4.2	0.1	57.1572	0.2	218.3	1.0	482.2353	0.4	7.3	0.3	18.4441	0.7	2.6	0.2	9.9400	0.8	< 0.5	(0.0)	0.0000	0.5	2.6	0.1	35.2439	0.8	2.3	0.2	6.3444	0.6	< 0.5	(0.0)	0.0000	0.5	67.9	1.5	169.8629	8.2	< 2.0	(0.0)	19.3154	2.0	< 2.0	(0.7)	4.4483	1.9	< 1.6	(0.0)	20.6502	1.6	< 1.2	(0.0)	2.1571	1.2																	3.6	0.3	7.3819	0.7	< 0.7	(0.0)	3.7677	0.7	< 0.5	(0.5)	1.3997	0.5	8.7	0.3	26.7955	0.4	
JP.A.L.3.20-40.16	TQ Powders	8/20/2018 11:47:03 AM	8.9349	0.0445	0.0016	5.4387	0.0100	14.91	0.03	780.4993	0.0051	23.39	0.03	2229.1288	0.00001	0.01960	0.00071	5.4945	0.0015	0.01451	0.00045	5.2401	0.00048	0.00266	0.00021	3.2080	0.00058	0.02217	0.00026	51.3650	0.00021	0.00181	0.00008	9.5558	0.00016	3075	5	2645.7027	0.1	22.7	0.3	51.9949	0.5	46.2	0.4	135.5744	0.4	10610	20	6318.1626	0.1	< 3.0	(0.0)	0.0000	3.0	16.9	0.6	24.0063	1.0	4.0	0.5	7.4248	0.7	5.0	0.3	12.9089	0.5	7.6	0.3	27.1613	0.5	0.7	0.3	1.7816	0.5	1.7	0.2	9.3358	0.3	< 0.5	(0.0)	0.0000	0.5	3.1	0.1	22.4437	0.2	4.4	0.1	61.2200	0.2	174.3	0.9	390.6453	0.5	6.2	0.3	16.6374	0.7	2.0	0.2	8.3435	0.8	< 0.5	(0.0)	1.6588	0.5	2.7	0.1	35.4536	0.8	2.4	0.2	6.5238	0.6	< 0.5	(0.0)	0.0000	0.5	< 1.5	(0.0)	32.9282	1.5	< 2.0	(0.0)	15.5109	2.0	< 2.0	(0.0)	2.7171	2.0	< 1.6	(0.0)	21.1598	1.6	< 1.2	(0.0)	1.8612	1.2																	2.9	0.3	6.4196	0.7	< 0.7	(0.0)	0.0000	0.7	< 0.7	(0.0)	0.0000	0.7	3.6	0.3	11.4060	0.4	
