McMahon_6-27-18
Element	Method	Eval Date	Mass coefficient.	Mg	Mg	Mg	Mg	Al	Al	Al	Al	Si	Si	Si	Si	P	P	P	P	S	S	S	S	Cl	Cl	Cl	Cl	K	K	K	K	Ca	Ca	Ca	Ca	Sc	Sc	Sc	Sc	Ti	Ti	Ti	Ti	V	V	V	V	Cr	Cr	Cr	Cr	Mn	Mn	Mn	Mn	Fe	Fe	Fe	Fe	Co	Co	Co	Co	Ni	Ni	Ni	Ni	Cu	Cu	Cu	Cu	Zn	Zn	Zn	Zn	Ga	Ga	Ga	Ga	Ge	Ge	Ge	Ge	As	As	As	As	Se	Se	Se	Se	Br	Br	Br	Br	Rb	Rb	Rb	Rb	Sr	Sr	Sr	Sr	Y	Y	Y	Y	Zr	Zr	Zr	Zr	Nb	Nb	Nb	Nb	Mo	Mo	Mo	Mo	Tc	Tc	Tc	Tc	Ru	Ru	Ru	Ru	Rh	Rh	Rh	Rh	Pd	Pd	Pd	Pd	Ag	Ag	Ag	Ag	Cd	Cd	Cd	Cd	In	In	In	In	Sn	Sn	Sn	Sn	Sb	Sb	Sb	Sb	Te	Te	Te	Te	I	I	I	I	Cs	Cs	Cs	Cs	Ba	Ba	Ba	Ba	La	La	La	La	Hf	Hf	Hf	Hf	Ta	Ta	Ta	Ta	W	W	W	W	Re	Re	Re	Re	Os	Os	Os	Os	Ir	Ir	Ir	Ir	Pt	Pt	Pt	Pt	Au	Au	Au	Au	Hg	Hg	Hg	Hg	Tl	Tl	Tl	Tl	Pb	Pb	Pb	Pb	Bi	Bi	Bi	Bi	Po	Po	Po	Po	At	At	At	At	
Dimension			cm²/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	
BP.E1.T.2.40-60.16	TQ Powders	7/24/2018 5:56:26 PM	14.3050	0.0485	0.0020	5.3868	0.014	21.27	0.05	1015.8514	0.0020	12.89	0.03	1170.1925	0.0018	0.01765	0.00053	8.8604	0.0018	0.00968	0.00052	4.1538	0.00080	< 0.00020	(0.0)	0.7456	0.00020	0.03528	0.00036	94.3345	0.00032	< 0.0010	(0.0)	22.8612	0.00100					14040	10	14091.1961	0.1	269.3	4.0	405.8911	7.0	143.3	0.8	356.2296	0.8	215.6	0.8	707.7287	0.4	93750	80	56488.2186	0.1	< 12	(0.0)	2.8698	12	41.7	1.1	41.7697	1.7	33.1	1.1	38.6559	1.3	32.3	0.7	53.4210	0.9	49.7	0.7	112.1223	0.9	2.9	0.5	4.9360	0.9	24.2	0.5	81.8318	0.5	< 0.5	(0.0)	0.0000	0.5	12.8	0.3	59.5336	0.4	2.2	0.1	33.4903	0.5	16.0	0.3	129.9867	0.4	31.3	0.3	257.7350	0.5	685.7	2.1	960.2088	0.1	53.9	0.7	75.9740	1.0	4.8	0.4	11.4527	1.5					1.6	0.2	4.0296	0.6	< 0.4	(0.4)	0.7659	0.4	< 0.5	(0.0)	0.0000	0.5	2.1	0.1	33.1444	0.9	2.4	0.3	4.8073	0.7	3.5	0.2	12.9019	0.7	10.1	0.4	21.6092	1.0	1.0	0.2	5.6556	0.9	< 0.5	(0.0)	0.0000	0.5	4.5	0.3	26.2633	2.8	< 1.0	(0.0)	0.0000	1.0	< 1.5	(0.0)	23.7654	1.5	< 2.0	(0.0)	21.7978	2.0	16.4	1.5	11.0343	3.6	< 1.6	(0.0)	13.0001	1.6	1.5	0.2	5.4669	1.4																	< 1.3	(1.0)	1.7936	1.3	< 0.7	(0.0)	0.0000	0.7	< 0.7	(0.0)	0.0000	0.7	20.8	1.0	39.0434	0.9	< 0.5	(0.0)	0.0000	0.5									
BP.E1.Ee1.2.40-60.16	TQ Powders	7/24/2018 5:42:32 PM	13.9806	0.0251	0.0011	5.1175	0.014	20.56	0.05	1024.2829	0.0019	12.47	0.03	1176.4873	0.0018	0.01915	0.00056	9.3559	0.0018	0.00888	0.00049	3.9977	0.00079	< 0.00020	(0.0)	1.0870	0.00020	0.03437	0.00035	95.1788	0.00032	0.00137	0.00003	31.0288	0.00023					13880	10	14414.8757	0.1	264.8	3.9	412.9331	6.9	137.5	0.8	353.3363	0.8	216.7	0.8	734.8779	0.4	92460	80	57668.9178	0.1	< 12	(0.0)	2.8547	12	44.1	1.1	44.9214	1.7	33.8	1.1	40.5307	1.2	32.7	0.7	55.5866	0.9	49.2	0.7	113.5641	0.9	3.7	0.5	6.4919	0.9	21.7	0.5	75.3085	0.5	< 0.5	(0.0)	0.0000	0.5	14.6	0.3	69.0485	0.4	2.1	0.1	33.7780	0.5	16.1	0.3	134.3439	0.4	30.6	0.3	258.2109	0.5	679.3	2.1	977.5822	0.1	52.7	0.7	76.4003	1.0	4.4	0.4	11.0280	1.4					1.3	0.2	3.3594	0.6	0.7	0.3	1.3651	0.6	0.4	0.1	2.5641	0.3	3.8	0.1	35.6954	0.9	2.5	0.3	5.0213	0.7	4.3	0.2	14.9453	0.7	11.6	0.4	25.3204	0.9	1.1	0.2	6.0304	1.0	< 0.5	(0.0)	0.0000	0.5	6.0	0.4	29.3446	2.8	< 1.0	(0.0)	4.9976	1.0	< 1.5	(0.0)	31.3982	1.5	< 2.0	(0.0)	24.0146	2.0	17.4	1.5	12.1578	3.5	< 1.6	(0.0)	15.5196	1.6	3.4	0.4	6.8976	2.0																	1.6	0.6	2.6373	1.3	< 0.7	(0.0)	0.4637	0.7	< 0.7	(0.0)	0.0000	0.7	21.8	1.0	41.9073	0.9	< 0.5	(0.0)	0.0000	0.5									
BP.E1.Ee2.2.40-60.16	TQ Powders	7/24/2018 5:28:35 PM	13.8160	0.0662	0.0026	5.6695	0.013	20.41	0.04	1050.6291	0.0019	12.56	0.03	1215.9702	0.0017	0.01790	0.00054	9.2203	0.0017	0.00926	0.00050	4.2044	0.00078	< 0.00020	(0.0)	1.4357	0.00020	0.03309	0.00034	93.2239	0.00031	< 0.0010	(0.0)	21.4440	0.00100					13860	10	14623.3056	0.1	267.9	3.9	424.3058	6.9	137.9	0.8	359.5718	0.8	213.1	0.7	733.2596	0.4	91760	80	58358.2100	0.1	< 3.0	(0.0)	1.6632	3.0	40.1	1.1	41.9553	1.8	31.3	1.1	38.1427	1.3	32.7	0.7	56.2961	0.9	47.2	0.7	110.1602	0.9	< 0.8	(0.8)	1.4592	0.8	21.3	0.5	74.9673	0.5	< 0.5	(0.0)	0.0000	0.5	13.2	0.3	63.3880	0.4	1.4	0.1	28.8070	0.5	15.2	0.3	128.5177	0.4	30.1	0.3	258.3062	0.5	671.4	2.1	982.7039	0.1	52.2	0.7	77.1126	1.0	5.8	0.5	13.6843	1.4					1.3	0.2	3.4241	0.6	< 0.5	(0.0)	0.0000	0.5	0.3	0.1	2.5324	0.3	2.9	0.1	34.5259	0.9	2.4	0.3	4.9934	0.7	3.4	0.2	12.8640	0.7	11.0	0.4	24.3132	0.9	< 1.3	(0.5)	4.8389	1.3	< 0.5	(0.0)	0.0000	0.5	6.7	0.4	30.5906	2.7	< 1.0	(0.0)	6.2655	1.0	< 1.5	(0.0)	24.8244	1.5	< 2.0	(0.0)	20.5919	2.0	17.1	1.5	12.3010	3.7	< 1.6	(0.0)	16.5374	1.6	3.3	0.4	6.8880	2.1																	< 1.3	(0.6)	1.3180	1.3	< 0.7	(0.0)	0.0000	0.7	< 0.7	(0.0)	0.0000	0.7	20.5	1.0	40.2451	0.9	< 0.5	(0.0)	0.0000	0.5									
JP.E2.2.60-100.16	TQ Powders	7/24/2018 5:14:41 PM	8.9020	0.0705	0.0024	5.8243	0.0096	18.09	0.04	963.7833	0.0035	21.60	0.03	2045.5538	0.00001	0.01021	0.00038	5.2209	0.0015	0.02814	0.00057	10.4012	0.00042	0.00270	0.00021	3.2826	0.00058	0.02363	0.00028	56.6985	0.00023	0.00894	0.00014	38.8491	0.00017					5497	7	4907.3986	0.1	53.2	2.4	71.8438	4.3	38.3	0.4	89.8035	0.4	57.9	0.4	175.2024	0.4	12740	20	7803.7137	0.1	< 3.0	(0.0)	0.0000	3.0	17.2	0.6	24.9187	1.0	5.9	0.5	10.8969	0.7	9.2	0.3	24.2534	0.5	13.2	0.3	46.0371	0.5	< 0.5	(0.0)	0.0000	0.5	1.6	0.2	8.8203	0.3	< 0.5	(0.0)	0.0000	0.5	2.7	0.1	19.7575	0.2	0.2	0.1	5.2317	0.2	3.3	0.1	46.1883	0.2	6.6	0.2	94.6447	0.3	269.8	1.1	589.1187	0.2	12.5	0.3	29.0318	0.7	1.6	0.2	7.1577	0.9					1.0	0.2	3.3176	0.5	< 0.2	(0.2)	0.4861	0.2	< 0.5	(0.0)	0.0000	0.5	1.4	0.1	32.7261	0.8	2.5	0.3	6.2584	0.7	3.6	0.2	15.1296	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.7	(0.0)	9.3330	0.7	< 1.0	(0.0)	7.1577	1.0	< 1.5	(0.0)	20.9627	1.5	< 2.0	(0.0)	12.8571	2.0	1.6	0.2	5.1511	1.5	< 1.6	(0.0)	20.8563	1.6	< 1.2	(0.0)	2.7318	1.2																	3.3	0.4	7.2780	0.7	< 0.7	(0.0)	0.0000	0.7	< 0.7	(0.0)	0.1613	0.7	5.8	0.3	18.3967	0.4	< 0.5	(0.0)	0.0000	0.5									
JP.N.2.20-40.04	TQ Powders	7/24/2018 5:00:51 PM	9.1618	< 0.0020	(0.0)	3.3972	0.0020	10.50	0.03	441.9807	0.011	38.53	0.05	3324.7303	0.00001	0.01737	0.00087	3.7476	0.0018	0.01483	0.00046	4.9343	0.00048	0.00565	0.00029	4.8144	0.00061	0.01421	0.00022	30.7102	0.00021	0.00266	0.00010	10.0048	0.00015					1533	3	1225.4552	0.1	< 1.0	(0.0)	0.0000	1.0	12.7	0.3	27.1794	0.3	19.0	0.3	52.3183	0.4	2555	7	1357.4333	1.9	< 3.0	(0.0)	0.2981	3.0	14.6	0.6	19.6445	1.0	3.2	0.5	5.5888	0.7	4.2	0.3	10.3392	0.5	5.8	0.3	21.0975	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	1.1	0.1	7.7870	0.2	< 0.1	(0.1)	1.5369	0.1	1.1	0.1	14.5866	0.2	2.0	0.1	32.9457	0.4	88.1	0.6	193.4021	0.6	4.1	0.2	11.1608	0.8	1.5	0.2	6.8966	0.7					0.7	0.1	2.6086	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	1.8462	0.5	2.2	0.1	34.2566	0.8	2.5	0.2	6.2176	0.7	3.5	0.2	15.0081	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.7	(0.0)	0.0000	0.7	< 1.0	(0.0)	0.0000	1.0	< 1.5	(0.0)	16.1516	1.5	< 2.0	(0.0)	0.0000	2.0	< 2.0	(0.0)	1.3413	2.0	< 1.6	(0.0)	17.8188	1.6	< 1.2	(0.5)	3.5395	1.2																	2.8	0.3	6.0359	0.6	< 0.7	(0.0)	3.6047	0.7	< 0.3	(0.2)	0.7172	0.3	2.9	0.3	8.3645	0.5	< 0.5	(0.0)	0.0000	0.5									
BP.E1.T.3.40-60.16	TQ Powders	7/24/2018 4:46:44 PM	49357.8164																									0.0	0.0	0.0000	0.0	0.0	0.0	0.0000	0.0					0.0	0.0	0.0456	0.0	0.0	0.0	0.0000	0.0	0.0	0.0	0.0000	0.0	0.0	0.0	0.0000	0.0	< 1.0	(0.0)	21539.6196	1.0	< 3.0	(0.0)	15.9629	3.0	< 0.5	(0.0)	28.0781	0.5	< 0.5	(0.0)	57.7037	0.5	< 0.5	(0.0)	26.8592	0.5	< 0.5	(0.0)	7.7906	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	8.3100	0.5	< 0.5	(0.0)	12.5180	0.5	< 0.5	(0.0)	8.4584	0.5	< 0.5	(0.0)	11.6489	0.5	< 0.5	(0.0)	22.8525	0.5	< 0.5	(0.0)	35.9323	0.5	0.0	0.0	1503.7218	0.0	0.0	0.0	121.8649	0.0	0.0	0.0	37.2775	0.0					0.0	0.0	62.4242	0.0	0.0	0.0	72.1616	0.0	0.0	0.0	105.5376	0.0	0.0	0.0	156.8474	0.0	0.0	0.0	131.5367	0.0	0.0	0.0	143.8642	0.0	0.0	0.0	160.4538	0.0	0.0	0.0	125.1435	0.0	0.0	0.0	110.4554	0.0	0.0	0.0	134.9137	0.0	0.0	0.0	0.0000	0.0	0.0	0.0	100.8164	0.0	0.0	0.0	71.1452	0.0	< 2.0	(0.0)	0.0000	2.0	< 1.6	(0.0)	34.5968	1.6	< 1.2	(0.0)	59.2937	1.2																	330	110	3.2011	0.7	< 0.7	(0.0)	3.9642	0.7	< 0.7	(0.0)	4.8228	0.7	< 0.6	(0.0)	13.7370	0.6	< 0.5	(0.0)	16.5458	0.5									
BP.E1.Ee1.3.40-60.16	TQ Powders	7/24/2018 4:32:50 PM	13.8097	0.0888	0.0034	5.9611	0.013	19.71	0.04	1011.9422	0.0020	12.65	0.03	1234.1546	0.0017	0.02028	0.00059	9.5238	0.0017	0.01045	0.00050	4.7784	0.00077	< 0.00020	(0.0)	1.3553	0.00020	0.05728	0.00042	161.7276	0.00030	0.00035	0.00001	26.8392	0.00024					13250	10	14053.3221	0.1	264.1	3.8	420.7578	6.7	142.3	0.8	373.4222	0.8	210.3	0.7	728.9018	0.4	92440	80	59064.5281	0.1	< 11	(10)	3.9382	11	40.0	1.1	41.9029	1.7	26.2	1.1	31.8998	1.2	34.5	0.7	59.3257	0.8	45.1	0.7	105.4504	0.9	2.0	0.5	3.6389	0.9	19.5	0.5	68.7302	0.5	< 0.5	(0.0)	0.0000	0.5	12.3	0.3	59.1209	0.4	3.7	0.2	46.0144	0.5	16.2	0.3	137.5077	0.4	30.0	0.3	257.7817	0.5	653.6	2.0	955.9118	0.1	50.2	0.7	74.0991	1.0	5.1	0.4	12.4526	1.4					1.6	0.2	4.0441	0.6	0.8	0.3	1.7908	0.7	0.4	0.1	2.7277	0.4	3.5	0.1	35.3180	0.9	2.4	0.3	5.0166	0.7	3.7	0.2	13.7453	0.7	10.3	0.4	22.8891	0.9	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	3.7	0.3	25.1543	2.7	< 1.0	(0.0)	7.2462	1.0	< 1.5	(0.0)	44.5093	1.5	< 2.0	(0.0)	26.2573	2.0	23.9	1.6	16.0365	3.4	< 1.6	(0.0)	20.7309	1.6	2.3	0.3	6.1752	2.0																	2.4	0.6	3.8122	1.3	< 0.7	(0.0)	3.6862	0.7	< 0.7	(0.0)	0.0000	0.7	24.1	1.0	47.0226	0.9	< 0.5	(0.0)	0.0000	0.5									
BP.E1.Ee2.3.40-60.16	TQ Powders	7/24/2018 4:18:54 PM	13.8214	0.0881	0.0034	5.9620	0.013	19.91	0.04	1029.1936	0.0020	12.65	0.03	1237.8598	0.0017	0.01998	0.00059	9.5488	0.0017	0.01022	0.00050	4.6878	0.00077	0.00150	0.00017	2.6661	0.00067	0.05521	0.00042	156.0988	0.00030	< 0.00024	(0.0)	25.2881	0.00024					13420	10	14244.6270	0.1	263.7	3.8	420.1929	6.7	144.6	0.8	379.4230	0.8	211.1	0.7	731.7021	0.4	92580	80	59252.6981	0.1	< 12	(0.0)	2.9407	12	43.6	1.2	45.1380	1.7	26.2	1.1	31.8733	1.2	34.1	0.7	58.6715	0.9	50.1	0.7	116.9478	0.9	2.9	0.5	5.2174	0.9	20.8	0.6	73.5331	0.5	< 0.5	(0.0)	0.0000	0.5	12.3	0.3	59.1142	0.4	3.2	0.1	42.7981	0.5	15.8	0.3	134.0702	0.4	30.4	0.3	261.3104	0.5	661.7	2.1	969.1452	0.1	50.2	0.7	74.1009	1.0	5.0	0.4	12.2406	1.4					1.7	0.2	4.2197	0.6	< 0.5	(0.0)	0.0000	0.5	0.5	0.1	2.7852	0.4	3.9	0.1	35.8730	0.9	2.5	0.3	5.1042	0.7	3.6	0.2	13.3523	0.7	9.9	0.4	21.9589	0.9	1.1	0.2	6.0725	1.0	< 0.5	(0.0)	1.0878	0.5	4.5	0.3	26.5850	2.7	< 1.0	(0.0)	0.0000	1.0	< 1.5	(0.0)	31.6773	1.5	< 2.0	(0.0)	21.9828	2.0	21.1	1.7	13.1224	3.5	< 1.6	(0.0)	11.6047	1.6	2.8	0.4	6.4664	2.0																	2.2	0.6	3.4466	1.3	< 0.7	(0.0)	2.1818	0.7	< 0.7	(0.0)	0.0000	0.7	24.0	1.0	46.8929	0.9	< 0.5	(0.0)	0.0000	0.5									
BP.E1.L.3.40-60.16	TQ Powders	7/24/2018 4:04:59 PM	14.1678	0.0729	0.0029	5.7205	0.014	20.46	0.05	1014.9652	0.0020	12.97	0.03	1222.0844	0.0017	0.01963	0.00059	9.1938	0.0018	0.00867	0.00049	3.9234	0.00080	< 0.00020	(0.0)	1.3029	0.00020	0.06020	0.00044	164.5665	0.00031	< 0.0010	(0.0)	24.8953	0.00100					13490	10	13860.1116	0.1	267.5	3.8	412.9888	6.8	150.5	0.8	382.6943	0.8	216.2	0.8	726.7208	0.4	94310	80	58378.9647	0.1	< 12	(0.0)	2.7477	12	40.3	1.1	41.0989	1.7	26.7	1.1	31.6637	1.3	32.3	0.7	54.1395	0.9	45.3	0.7	103.2633	0.9	2.8	0.5	4.9138	0.9	20.9	0.5	71.9340	0.5	< 0.5	(0.0)	0.0000	0.5	11.7	0.3	54.8228	0.4	4.3	0.2	49.5600	0.5	15.4	0.2	127.1492	0.4	29.5	0.3	246.6806	0.5	661.3	2.1	941.7588	0.1	50.4	0.7	72.3864	1.0	5.2	0.4	12.2325	1.4					1.4	0.2	3.6425	0.6	< 0.5	(0.0)	0.0000	0.5	0.4	0.1	2.5865	0.3	3.0	0.1	34.5381	0.9	3.1	0.3	6.2052	0.7	3.6	0.2	13.1223	0.7	10.4	0.4	22.6615	0.9	1.9	0.2	7.5341	1.3	< 0.5	(0.0)	0.0000	0.5	2.4	0.2	22.5073	2.1	< 1.0	(0.0)	6.1103	1.0	< 1.5	(0.0)	31.4770	1.5	< 2.0	(0.0)	28.0481	2.0	18.2	1.4	12.9243	3.6	< 1.6	(0.0)	18.5069	1.6	< 2.1	(0.6)	4.8993	2.1																	< 1.3	(0.9)	1.6573	1.3	< 0.7	(0.0)	0.0000	0.7	< 0.7	(0.0)	0.0000	0.7	24.3	1.0	46.2453	0.9	< 0.5	(0.0)	0.0000	0.5									
