McMahon_6-27-18
Element	Method	Eval Date	Mass coefficient.	Mg	Mg	Mg	Mg	Al	Al	Al	Al	Si	Si	Si	Si	P	P	P	P	S	S	S	S	Cl	Cl	Cl	Cl	K	K	K	K	Ca	Ca	Ca	Ca	Sc	Sc	Sc	Sc	Ti	Ti	Ti	Ti	V	V	V	V	Cr	Cr	Cr	Cr	Mn	Mn	Mn	Mn	Fe	Fe	Fe	Fe	Co	Co	Co	Co	Ni	Ni	Ni	Ni	Cu	Cu	Cu	Cu	Zn	Zn	Zn	Zn	Ga	Ga	Ga	Ga	Ge	Ge	Ge	Ge	As	As	As	As	Se	Se	Se	Se	Br	Br	Br	Br	Rb	Rb	Rb	Rb	Sr	Sr	Sr	Sr	Y	Y	Y	Y	Zr	Zr	Zr	Zr	Nb	Nb	Nb	Nb	Mo	Mo	Mo	Mo	Tc	Tc	Tc	Tc	Ru	Ru	Ru	Ru	Rh	Rh	Rh	Rh	Pd	Pd	Pd	Pd	Ag	Ag	Ag	Ag	Cd	Cd	Cd	Cd	In	In	In	In	Sn	Sn	Sn	Sn	Sb	Sb	Sb	Sb	Te	Te	Te	Te	I	I	I	I	Cs	Cs	Cs	Cs	Ba	Ba	Ba	Ba	La	La	La	La	Hf	Hf	Hf	Hf	Ta	Ta	Ta	Ta	W	W	W	W	Re	Re	Re	Re	Os	Os	Os	Os	Ir	Ir	Ir	Ir	Pt	Pt	Pt	Pt	Au	Au	Au	Au	Hg	Hg	Hg	Hg	Tl	Tl	Tl	Tl	Pb	Pb	Pb	Pb	Bi	Bi	Bi	Bi	Po	Po	Po	Po	At	At	At	At	
Dimension			cm²/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	
Eu.E1.Ee2.4.0-10.16	TQ Powders	7/30/2018 7:01:58 PM	8.6158	0.0763	0.0027	5.8926	0.011	15.56	0.04	841.4973	0.0051	23.31	0.03	2321.3619	0.00001	0.04999	0.00093	14.2807	0.0015	0.06151	0.00077	23.0007	0.00022	0.00835	0.00032	7.1137	0.00058	0.04616	0.00038	113.8994	0.00025	0.2703	0.0007	1116.7702	0.00001					7433	9	6807.8621	0.1	< 1.0	(0.0)	0.0000	1.0	27.9	0.3	70.3581	0.4	39.8	0.4	122.8593	0.4	9620	15	6009.2256	0.1	< 3.0	(0.0)	0.2336	3.0	17.3	0.6	25.6864	0.9	3.2	0.5	6.2261	0.7	15.4	0.3	41.8458	0.5	15.7	0.3	56.2684	0.5	< 0.5	(0.0)	0.0000	0.5	2.2	0.2	12.3201	0.3	0.5	0.1	3.2705	0.2	3.6	0.1	26.6818	0.2	0.5	0.1	8.5317	0.2	13.1	0.1	186.6711	0.2	3.4	0.1	54.6332	0.3	423.9	1.4	944.4634	0.1	17.6	0.4	40.1695	0.7	3.3	0.3	11.5543	1.0					0.6	0.2	2.2986	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	2.1	0.1	33.9622	0.8	3.0	0.3	7.5349	0.7	3.8	0.2	15.8195	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.7	(0.0)	14.8853	0.7	< 1.0	(0.0)	0.0000	1.0	< 1.5	(0.0)	11.3207	1.5	< 2.0	(0.0)	12.5007	2.0	7.9	0.7	9.1411	2.0	< 1.6	(0.0)	20.6588	1.6	< 1.2	(0.0)	2.9150	1.2																	2.1	0.3	4.8245	0.7	< 0.7	(0.0)	3.2298	0.7	< 0.7	(0.0)	0.0000	0.7	1.7	0.3	5.6675	0.4	< 0.5	(0.0)	0.0000	0.5									
Eu.E1.Ee2.3.0-10.16	TQ Powders	7/30/2018 6:47:06 PM	8.8603	0.1119	0.0037	6.3913	0.011	15.22	0.03	829.9677	0.0051	22.23	0.03	2265.2542	0.00001	0.05086	0.00084	17.2348	0.0015	0.08030	0.00087	31.1692	0.00007	0.00954	0.00033	8.1398	0.00057	0.05118	0.00040	131.3235	0.00029	0.5483	0.0010	2354.3410	0.00001					9457	10	8914.6927	0.1	< 1.0	(0.0)	0.0000	1.0	36.1	0.4	93.5788	0.4	62.1	0.4	195.6823	0.4	14300	20	9085.2713	0.1	< 1.0	(1.0)	1.4406	1.0	19.5	0.6	28.5638	1.0	1.5	0.5	2.7465	0.7	22.4	0.4	59.8430	0.5	24.9	0.4	86.5827	0.5	1.1	0.3	2.9642	0.5	3.1	0.2	16.8522	0.3	1.5	0.1	9.5869	0.2	7.7	0.2	56.1948	0.2	0.8	0.1	12.1883	0.2	28.8	0.2	400.9915	0.2	5.6	0.2	83.3905	0.3	601.2	1.6	1320.5500	0.1	23.7	0.4	52.6585	0.7	3.3	0.3	11.5014	1.1					1.0	0.2	3.3019	0.5	< 0.5	(0.0)	0.0000	0.5	0.5	0.1	3.2037	0.5	4.2	0.1	37.8798	0.8	2.5	0.3	6.3092	0.7	4.1	0.2	16.7304	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.8838	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.7	(0.0)	9.5865	0.7	< 1.0	(0.0)	0.0000	1.0	< 1.5	(0.0)	23.8620	1.5	< 2.0	(0.0)	20.7320	2.0	15.4	1.0	12.7169	2.1	< 1.6	(0.0)	14.6135	1.6	< 1.2	(0.0)	2.6014	1.2																	2.2	0.4	5.0163	0.7	< 0.7	(0.0)	3.1714	0.7	< 0.7	(0.0)	0.0000	0.7	5.4	0.3	17.4430	0.5	< 0.5	(0.0)	0.0000	0.5									
Eu.E1.Ee2.2.0-10.16	TQ Powders	7/30/2018 6:32:14 PM	8.8359	0.0854	0.0030	6.0408	0.011	17.56	0.04	989.9812	0.0043	21.22	0.03	2185.8631	0.00001	0.02208	0.00043	13.6014	0.0015	0.04608	0.00068	18.5561	0.00036	0.00583	0.00027	5.7098	0.00056	0.04173	0.00036	111.6314	0.00026	0.1317	0.0005	596.2476	0.00014					9491	10	9520.8265	0.1	45.1	3.0	68.4288	5.6	37.3	0.4	103.8405	0.4	52.9	0.4	177.5014	0.4	19590	20	12651.6195	0.1	< 10	(4.6)	2.0352	10	23.8	0.7	34.0169	1.0	< 0.6	(0.6)	1.1307	0.6	30.1	0.5	78.7375	0.5	29.1	0.4	102.7292	0.6	< 0.5	(0.0)	0.0000	0.5	4.6	0.2	24.3686	0.3	1.4	0.1	8.8838	0.3	14.8	0.2	109.4378	0.2	0.9	0.1	14.2356	0.2	16.8	0.2	222.9353	0.2	8.4	0.2	115.0158	0.4	767.7	1.9	1592.3160	0.1	31.3	0.5	64.9699	0.8	4.9	0.4	15.0781	1.3					< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	3.5	0.1	36.5153	0.8	3.1	0.3	7.6881	0.7	4.4	0.2	17.3137	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	3.4	0.3	25.0639	3.0	< 1.0	(0.0)	0.0000	1.0	< 1.5	(0.0)	21.4248	1.5	< 2.0	(0.0)	13.2275	2.0	26.4	1.0	21.9888	2.1	< 1.6	(0.0)	24.8316	1.6	< 1.2	(0.0)	3.0151	1.2																	2.9	0.4	6.6763	0.7	< 0.7	(0.0)	6.1594	0.7	< 0.7	(0.0)	0.0000	0.7	8.4	0.4	25.2193	0.5	< 0.5	(0.0)	0.0000	0.5									
Bp.E1.L.2.40-60.16	TQ Powders	7/30/2018 6:17:21 PM	13.8425	0.0712	0.0028	5.7349	0.013	20.51	0.04	1055.2776	0.0018	12.50	0.03	1208.5660	0.0017	0.01653	0.00050	9.0031	0.0017	0.00880	0.00049	4.0328	0.00078	< 0.00068	(0.00015)	1.6433	0.00067	0.03510	0.00035	98.7700	0.00032	0.00096	0.00002	29.4953	0.00023					13840	10	14589.4846	0.1	271.2	3.9	429.0598	6.9	143.8	0.8	374.2896	0.8	218.5	0.8	751.1488	0.4	92060	80	58509.8057	0.1	< 3.0	(0.0)	2.4017	3.0	42.2	1.1	43.7132	1.7	26.3	1.1	31.9685	1.3	33.2	0.7	57.1421	0.9	46.7	0.7	108.8804	0.9	3.1	0.5	5.5795	0.9	21.3	0.5	75.0374	0.5	< 0.5	(0.0)	0.0000	0.5	12.5	0.3	59.9245	0.4	2.3	0.1	35.5417	0.5	15.4	0.2	130.6565	0.4	30.3	0.3	259.5849	0.5	677.1	2.1	989.2165	0.1	50.3	0.7	74.2904	1.0	6.3	0.5	14.5010	1.4					1.9	0.2	4.7098	0.6	1.1	0.3	2.2890	0.7	0.8	0.1	3.5114	0.6	5.0	0.1	37.5227	0.9	2.5	0.3	5.0454	0.7	3.9	0.2	14.1175	0.7	10.6	0.4	23.3453	1.0	< 1.3	(0.0)	4.0507	1.3	< 0.5	(0.0)	0.0000	0.5	5.4	0.4	28.2469	2.8	< 1.0	(0.0)	7.7298	1.0	< 1.5	(0.0)	23.6809	1.5	< 2.0	(0.0)	20.9964	2.0	21.9	1.6	14.8200	3.6	< 1.6	(0.0)	19.0230	1.6	< 2.1	(0.5)	4.8473	2.0																	< 1.3	(1.1)	2.0209	1.3	< 0.7	(0.0)	0.0000	0.7	< 0.7	(0.0)	0.0000	0.7	21.7	1.0	42.3806	0.9	< 0.5	(0.0)	0.0000	0.5									
Bp.E1.L.1.40-60.16	TQ Powders	7/30/2018 6:02:19 PM	13.9773	0.0888	0.0035	5.9599	0.013	20.65	0.05	1055.2100	0.0019	12.46	0.03	1198.0276	0.0018	0.01888	0.00056	9.3814	0.0018	0.00878	0.00049	4.0395	0.00079	< 0.00020	(0.0)	1.1662	0.00020	0.03525	0.00035	98.7300	0.00032	0.00071	0.00002	28.5722	0.00023					13880	10	14563.3958	0.1	270.6	3.9	426.1511	6.9	133.5	0.7	346.5131	0.8	239.1	0.8	818.0167	0.4	93400	80	59064.0744	0.1	< 11	(8.6)	3.7693	11	44.1	1.1	45.1880	1.7	36.6	1.1	44.1026	1.2	32.1	0.7	54.8093	0.8	49.1	0.7	113.2559	0.9	1.8	0.5	3.0800	0.9	20.7	0.5	72.2040	0.5	< 0.5	(0.0)	0.0000	0.5	14.0	0.3	66.5866	0.4	2.0	0.1	33.1613	0.5	15.4	0.2	129.5213	0.4	30.8	0.3	261.2719	0.5	678.3	2.1	982.1719	0.1	52.4	0.7	76.5995	1.0	5.0	0.4	12.2070	1.4					< 0.5	(0.0)	0.0000	0.5	0.9	0.3	1.8706	0.7	0.4	0.1	2.5421	0.3	5.2	0.1	37.7122	0.9	2.6	0.3	5.2761	0.7	4.3	0.2	15.0009	0.7	11.2	0.4	24.4140	1.0	< 1.3	(0.0)	4.0170	1.3	< 0.5	(0.0)	0.0000	0.5	< 2.9	(2.1)	21.9078	2.9	< 1.0	(0.0)	5.4680	1.0	< 1.5	(0.0)	25.0375	1.5	< 2.0	(0.0)	20.6128	2.0	20.0	1.6	13.5373	3.4	< 1.6	(0.0)	16.5440	1.6	6.7	0.6	9.2987	1.9																	2.1	0.6	3.3000	1.3	< 0.7	(0.0)	1.6573	0.7	< 0.7	(0.0)	0.0000	0.7	23.5	1.0	45.5840	0.8	< 0.5	(0.0)	0.0000	0.5									
Bp.E1.T.1.40-60.16	TQ Powders	7/30/2018 5:47:15 PM	13.9064	0.0803	0.0032	5.8641	0.013	20.69	0.05	1071.1676	0.0019	12.47	0.03	1208.5919	0.0018	0.01965	0.00058	9.4495	0.0018	0.00870	0.00049	3.9683	0.00078	< 0.00020	(0.0)	1.4909	0.00020	0.03368	0.00035	94.8991	0.00032	< 0.0010	(0.0)	24.3271	0.00100					13930	10	14693.8651	0.1	273.3	3.9	432.7509	6.9	134.7	0.7	350.8594	0.8	238.9	0.8	821.0112	0.4	92960	80	59167.5537	0.1	< 3.0	(0.0)	2.4286	3.0	40.0	1.2	41.7276	1.8	32.9	1.1	39.7879	1.3	31.3	0.7	53.6498	0.9	46.8	0.7	108.5770	0.9	2.4	0.5	4.1633	1.0	22.4	0.5	78.4404	0.5	< 0.5	(0.0)	0.0000	0.5	14.4	0.3	68.7260	0.4	1.6	0.1	30.1997	0.5	15.7	0.3	132.4529	0.4	30.5	0.3	260.6005	0.5	662.3	2.1	966.4624	0.1	52.6	0.7	77.2855	1.0	5.0	0.4	12.1854	1.4					1.4	0.2	3.6723	0.6	< 0.5	(0.0)	0.0000	0.5	0.3	0.1	2.4204	0.3	3.1	0.1	34.6843	0.9	2.4	0.3	4.8527	0.7	4.3	0.2	15.1066	0.7	10.3	0.4	22.5943	0.9	< 0.5	(0.0)	3.5412	0.5	< 0.5	(0.0)	0.0000	0.5	3.7	0.3	24.9550	2.8	< 1.0	(0.0)	5.8304	1.0	< 1.5	(0.0)	27.3397	1.5	< 2.0	(0.0)	25.2650	2.0	12.9	1.4	10.1717	3.7	< 1.6	(0.0)	14.9816	1.6	2.4	0.4	6.2292	2.2																	< 1.4	(0.0)	0.8043	1.4	< 0.7	(0.0)	0.0000	0.7	< 0.7	(0.0)	0.0000	0.7	20.5	1.0	39.9298	0.9	< 0.5	(0.0)	0.0000	0.5									
Bp.E1.Ee1.1.40-60.16	TQ Powders	7/30/2018 5:32:11 PM	14.0658	0.0811	0.0032	5.8363	0.014	20.81	0.05	1042.6527	0.0020	12.42	0.03	1173.6720	0.0018	0.02274	0.00065	9.8153	0.0018	0.00878	0.00050	3.9459	0.00079	< 0.00069	(0.0)	1.5453	0.00068	0.03521	0.00036	97.5139	0.00032	< 0.0010	(0.0)	24.7873	0.00100					14070	10	14605.5606	0.1	267.2	3.9	416.3232	7.0	135.1	0.8	346.7182	0.8	245.0	0.8	829.4712	0.4	93510	80	58355.1697	0.1	< 12	(7.1)	3.5288	12	42.8	1.1	43.6145	1.7	30.9	1.1	36.9360	1.2	32.8	0.7	55.4696	0.8	47.2	0.7	108.3727	0.9	2.8	0.5	4.8120	0.9	24.1	0.5	83.1898	0.5	< 0.5	(0.0)	0.0000	0.5	16.4	0.3	77.3424	0.4	2.0	0.1	33.0280	0.5	15.7	0.2	130.2310	0.4	30.9	0.3	260.4765	0.5	657.3	2.1	943.6920	0.1	52.6	0.7	76.0192	1.0	4.9	0.4	11.8249	1.4					1.2	0.2	3.1581	0.6	< 0.5	(0.0)	0.0000	0.5	0.6	0.1	3.0393	0.5	2.7	0.1	34.0976	0.9	2.4	0.3	4.8558	0.7	3.7	0.2	13.3921	0.7	11.0	0.4	23.9111	0.9	1.0	0.2	5.8412	0.9	< 0.5	(0.0)	1.9233	0.5	4.9	0.3	27.1760	2.8	< 1.0	(0.0)	0.0000	1.0	< 1.5	(0.0)	35.4867	1.5	< 2.0	(0.0)	22.1421	2.0	16.8	1.4	12.3800	3.5	< 1.6	(0.0)	18.4169	1.6	1.7	0.3	5.7453	1.6																	2.0	0.6	3.2226	1.3	< 0.7	(0.0)	2.0998	0.7	< 0.7	(0.0)	0.0000	0.7	21.2	1.0	40.8002	0.9	< 0.5	(0.0)	0.0000	0.5									
Bp.E1.Ee2.1.40-60.16	TQ Powders	7/30/2018 5:17:08 PM	13.9525	0.0666	0.0027	5.6581	0.013	20.48	0.05	1037.5154	0.0019	12.25	0.03	1172.5793	0.0018	0.01769	0.00053	9.2013	0.0018	0.00808	0.00048	3.7378	0.00078	< 0.00068	(0.00026)	1.7257	0.00068	0.03352	0.00035	94.0467	0.00031	< 0.0010	(0.0)	21.2361	0.00100					13880	10	14591.0966	0.1	265.9	3.9	419.6356	6.9	131.8	0.7	342.9122	0.8	238.7	0.8	818.7002	0.4	93260	80	58922.3864	0.1	< 3.0	(0.0)	2.5651	3.0	40.1	1.1	41.5447	1.8	32.0	1.1	38.5547	1.3	32.0	0.7	54.6218	0.9	48.0	0.8	111.0690	0.9	2.1	0.5	3.7296	1.0	21.2	0.5	73.8991	0.5	< 0.5	(0.0)	0.0000	0.5	13.8	0.3	65.3699	0.4	1.7	0.1	30.9224	0.5	16.0	0.3	134.4064	0.4	31.1	0.3	263.6984	0.5	683.7	2.1	989.1118	0.1	52.5	0.7	76.8192	1.0	5.2	0.4	12.4176	1.4					1.6	0.2	4.0841	0.6	0.9	0.3	1.7942	0.7	0.4	0.1	2.7149	0.4	3.4	0.1	35.2226	0.9	2.5	0.3	5.1110	0.7	3.7	0.2	13.6334	0.7	10.4	0.4	22.8994	0.9	< 1.3	(0.6)	5.0048	1.3	< 0.5	(0.0)	0.0000	0.5	2.7	0.2	23.2181	2.5	< 1.0	(0.0)	5.7957	1.0	< 1.5	(0.0)	30.3240	1.5	< 2.0	(0.0)	21.7308	2.0	20.1	1.6	13.4076	3.7	< 1.6	(0.0)	15.6579	1.6	3.6	0.5	7.0815	2.1																	< 1.3	(1.1)	1.9828	1.3	< 0.7	(0.0)	0.0000	0.7	< 0.7	(0.0)	0.0000	0.7	22.8	1.0	44.0625	0.9	< 0.5	(0.0)	0.0000	0.5									
Eu.N.3.20-40.04	TQ Powders	7/30/2018 5:02:02 PM	8.9876	< 0.0020	(0.0)	4.5017	0.0020	10.70	0.03	675.9982	0.0069	29.24	0.04	3344.5968	0.00001	< 0.00030	(0.0)	9.6961	0.00030	0.03168	0.00058	11.9612	0.00043	0.00685	0.00033	6.0616	0.00059	0.02456	0.00029	59.8817	0.00024	0.01795	0.00019	75.4746	0.00018					6704	8	6083.8841	0.1	< 1.0	(0.0)	0.0000	1.0	24.4	0.3	70.4897	0.3	36.7	0.3	112.1538	0.4	10770	20	6644.8036	0.1	< 3.0	(0.0)	0.4773	3.0	19.5	0.6	28.1802	1.0	3.5	0.5	6.5703	0.7	18.7	0.4	49.5666	0.5	18.4	0.4	64.5148	0.5	< 0.5	(0.0)	0.0000	0.5	2.6	0.2	14.5217	0.3	1.3	0.1	8.2966	0.2	11.4	0.2	83.0579	0.2	0.7	0.1	10.4800	0.2	9.8	0.1	136.6358	0.2	6.6	0.2	96.0462	0.3	966.1	2.1	2132.7204	0.1	27.5	0.4	61.1798	0.7	4.0	0.4	13.3858	1.4					0.9	0.2	3.2200	0.5	< 0.5	(0.0)	0.0000	0.5	0.3	0.1	2.7512	0.3	2.8	0.1	35.3706	0.8	2.6	0.3	6.7114	0.6	4.0	0.2	16.6921	0.6	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	2.8	0.3	24.1684	2.6	< 1.0	(0.0)	6.2919	1.0	< 1.5	(0.0)	25.9327	1.5	< 2.0	(0.0)	42.6865	2.0	23.0	1.0	18.1166	2.1	< 1.6	(0.0)	18.5431	1.6	< 1.2	(0.0)	1.9498	1.2																	2.7	0.4	6.0118	0.7	< 0.7	(0.0)	5.6056	0.7	< 0.7	(0.0)	0.0000	0.7	7.6	0.3	24.4127	0.5	< 0.5	(0.0)	0.0000	0.5									
