McMahon_6-27-18
Element	Method	Eval Date	Mass coefficient.	Mg	Mg	Mg	Mg	Al	Al	Al	Al	Si	Si	Si	Si	P	P	P	P	S	S	S	S	Cl	Cl	Cl	Cl	K	K	K	K	Ca	Ca	Ca	Ca	Ti	Ti	Ti	Ti	Mn	Mn	Mn	Mn	Fe	Fe	Fe	Fe	Cu	Cu	Cu	Cu	Zn	Zn	Zn	Zn	Sr	Sr	Sr	Sr	Zr	Zr	Zr	Zr	Nb	Nb	Nb	Nb	Mo	Mo	Mo	Mo	Pb	Pb	Pb	Pb	
Dimension			cm²/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	
It.E2.3.20-40.04	TQ Powders	7/17/2018 3:52:39 PM	12.3901	0.0549	0.0022	5.5450	0.012	22.00	0.05	1169.5365	0.00095	8.496	0.021	826.7432	0.0020	0.02580	0.00065	11.0036	0.0015	0.02525	0.00061	11.3313	0.00065	0.00321	0.00023	4.1192	0.00060	0.02158	0.00029	65.4945	0.00031	< 0.0010	(0.0)	21.4900	0.00100	15100	10	17120.7093	0.1	98.0	0.5	359.6186	0.4	77810	70	52410.4051	0.1	7.4	0.8	9.9326	1.1	17.4	0.6	33.3389	0.8	15.8	0.2	148.3841	0.3	617.3	1.9	980.2329	0.1	53.8	0.7	84.9506	1.0	7.6	0.5	17.9881	1.3	10.9	0.9	23.5935	0.8	
It.E2.2.20-40.04	TQ Powders	7/17/2018 3:38:43 PM	12.4415	0.0692	0.0027	5.7580	0.012	21.96	0.05	1187.4187	0.0010	8.441	0.021	832.1250	0.0020	0.02648	0.00068	11.0772	0.0015	0.02503	0.00061	11.3963	0.00066	0.00187	0.00019	3.0567	0.00061	0.02053	0.00029	62.9351	0.00031	< 0.0010	(0.0)	17.4528	0.00100	15170	10	17348.5601	0.1	100.7	0.5	372.3500	0.4	79430	70	54021.3088	0.1	8.1	0.8	10.9294	1.1	18.4	0.6	35.1716	0.7	15.3	0.2	143.3752	0.3	603.4	1.9	959.9229	0.1	53.9	0.7	85.2719	1.0	7.7	0.5	18.1865	1.3	13.1	0.9	28.3553	0.8	
It.E2.1.20-40.04	TQ Powders	7/17/2018 3:24:48 PM	12.6576	0.0452	0.0018	5.3887	0.013	22.60	0.05	1158.4623	0.00096	8.719	0.022	820.1727	0.0020	0.02820	0.00072	10.8887	0.0016	0.02167	0.00059	9.4733	0.00068	0.00147	0.00016	2.6764	0.00062	0.01978	0.00029	58.2828	0.00032	< 0.0010	(0.0)	17.2934	0.00100	15320	10	16853.3867	0.1	100.0	0.5	356.5659	0.4	78910	70	51562.6779	0.1	3.9	0.8	5.1314	1.1	18.2	0.6	34.0096	0.8	15.7	0.2	143.3649	0.3	586.4	1.9	911.2694	0.1	54.6	0.7	84.4749	1.0	9.4	0.5	21.0736	1.3	11.4	0.9	24.2172	0.8	
It.E2.4.20-40.04	TQ Powders	7/17/2018 3:10:53 PM	12.1390	0.0879	0.0033	6.0254	0.012	21.64	0.04	1177.3677	0.00092	9.109	0.022	903.7136	0.0018	0.02882	0.00071	11.3314	0.0015	0.02616	0.00061	11.8278	0.00064	0.00200	0.00020	3.1548	0.00060	0.02159	0.00029	65.9394	0.00031	< 0.0010	(0.0)	18.2663	0.00100	14630	10	16693.6954	0.1	94.5	0.5	349.7112	0.4	75300	70	51347.9971	0.1	4.8	0.8	6.6501	1.1	17.2	0.6	33.5380	0.8	15.0	0.2	143.7177	0.3	571.0	1.8	926.6254	0.1	52.3	0.7	84.1769	1.0	7.4	0.4	17.7910	1.3	10.7	0.8	23.8141	0.8	
It.E1.4.20-40.16	TQ Powders	7/17/2018 2:57:01 PM	10.0412	0.1212	0.0039	6.4790	0.010	25.58	0.05	1368.4458	0.00001	9.119	0.022	837.8004	0.0013	0.01084	0.00027	9.6603	0.0013	0.02551	0.00055	11.0046	0.00051	0.00232	0.00019	3.3177	0.00053	0.02427	0.00031	70.2801	0.00032	0.00152	0.00005	19.5647	0.00022	16110	20	17448.2432	0.1	52.0	0.5	182.7488	0.4	40600	40	26737.1842	0.1	2.3	0.6	3.7517	0.8	18.9	0.4	43.7885	0.6	16.1	0.2	185.3502	0.2	679.5	1.9	1267.0846	0.1	62.0	0.6	113.3189	0.9	6.3	0.4	17.2358	1.3	7.6	0.6	19.9781	0.6	
It.E1.3.20-40.16	TQ Powders	7/17/2018 2:43:11 PM	10.2438	0.1001	0.0034	6.1068	0.011	25.05	0.05	1271.5352	0.00001	9.568	0.022	854.1713	0.0013	0.01260	0.00032	9.4700	0.0013	0.02948	0.00059	12.3263	0.00051	0.00331	0.00023	4.0060	0.00055	0.02489	0.00031	70.1791	0.00032	0.00648	0.00012	42.5174	0.00021	15440	10	16322.1957	0.1	55.3	0.5	190.8807	0.4	41430	40	26529.7298	0.1	3.3	0.7	5.1901	0.8	19.7	0.5	44.5077	0.6	16.4	0.2	182.9142	0.3	657.6	1.8	1191.5320	0.1	59.0	0.6	104.8585	0.9	5.9	0.4	15.8948	1.2	7.6	0.6	19.4657	0.6	
It.E1.1.40-60.16	TQ Powders	7/17/2018 2:29:23 PM	10.2429	< 0.0020	(0.0)	4.6923	0.0020	24.41	0.05	1284.3019	0.00001	9.344	0.022	863.1103	0.0014	0.01207	0.00030	9.5820	0.0013	0.02382	0.00054	10.3082	0.00053	0.00767	0.00030	7.4500	0.00054	0.02728	0.00032	79.1366	0.00032	0.00239	0.00007	24.6227	0.00022	15730	10	17102.4107	0.1	56.8	0.5	200.6622	0.4	43900	40	28866.5115	0.1	3.2	0.7	5.1167	0.8	20.8	0.5	47.2246	0.6	18.3	0.2	205.3417	0.3	663.9	1.9	1214.8465	0.1	60.9	0.6	109.3463	0.9	6.4	0.4	17.2671	1.2	8.1	0.6	20.8040	0.6	
It.E1.1.20-40.16	TQ Powders	7/17/2018 2:15:35 PM	10.3441	0.0998	0.0034	6.1240	0.011	24.94	0.05	1285.6439	0.00001	9.660	0.022	872.8512	0.0013	0.01392	0.00035	9.4858	0.0013	0.02419	0.00055	10.2122	0.00053	0.01197	0.00034	10.5620	0.00054	0.03158	0.00034	89.4440	0.00031	0.00218	0.00007	22.9673	0.00022	15540	10	16524.3609	0.1	55.0	0.5	190.3716	0.4	43310	40	27924.7690	0.1	5.5	0.6	8.7000	0.8	21.0	0.5	47.0761	0.6	17.4	0.2	192.9468	0.3	636.1	1.8	1149.9413	0.1	59.0	0.6	104.5110	0.9	6.5	0.4	17.1853	1.2	7.4	0.6	18.7296	0.6	
It.E1.2.20-40.16	TQ Powders	7/17/2018 2:01:48 PM	10.2089	0.0769	0.0028	5.8570	0.011	23.86	0.05	1274.9367	0.00001	9.919	0.022	931.1028	0.0013	0.01717	0.00042	9.9788	0.0013	0.02812	0.00057	12.1806	0.00051	0.00519	0.00028	5.5550	0.00054	0.02908	0.00032	84.6678	0.00031	0.00597	0.00011	42.2712	0.00021	15120	10	16508.6588	0.1	59.5	0.5	211.6127	0.4	44120	40	29259.7779	0.1	2.6	0.7	4.1319	0.8	20.9	0.5	47.7667	0.6	17.4	0.2	196.2579	0.3	604.5	1.8	1115.3508	0.1	57.5	0.6	104.0496	0.8	6.2	0.4	16.8470	1.2	7.6	0.6	19.7631	0.6	
It.E1.2.40-60.16	TQ Powders	7/17/2018 1:47:59 PM	10.3844	0.1149	0.0039	6.3528	0.011	24.44	0.05	1281.9882	0.00001	9.987	0.023	919.1359	0.0013	0.01469	0.00037	9.5627	0.0013	0.02671	0.00057	11.3620	0.00053	0.00679	0.00031	6.7046	0.00055	0.02798	0.00032	80.0651	0.00031	0.00448	0.00010	34.5815	0.00022	15340	10	16455.2958	0.1	60.4	0.5	210.9490	0.4	44830	40	29217.5003	0.1	4.2	0.7	6.6234	0.9	22.1	0.5	49.4669	0.6	18.5	0.2	205.2205	0.3	622.8	1.8	1133.6070	0.1	58.7	0.6	104.9738	0.9	6.4	0.4	17.0452	1.2	7.2	0.6	18.3764	0.6	
It.E1.3.40-60.16	TQ Powders	7/17/2018 1:34:08 PM	10.0898	0.1215	0.0039	6.4449	0.010	24.85	0.05	1305.1239	0.00001	9.472	0.022	867.4989	0.0013	0.00644	0.00017	8.7185	0.0013	0.02281	0.00054	9.7688	0.00053	0.00286	0.00021	3.7161	0.00054	0.02346	0.00030	67.5848	0.00032	0.00209	0.00006	22.3690	0.00021	15540	10	16764.1073	0.1	54.0	0.5	189.7903	0.4	41190	40	26973.2699	0.1	3.8	0.6	6.0758	0.8	20.0	0.5	46.1142	0.6	16.5	0.2	188.0746	0.3	677.0	1.9	1251.4080	0.1	62.3	0.6	112.4200	0.8	7.1	0.4	18.8519	1.2	6.5	0.6	17.0215	0.6	
It.E1.4.40-60.16	TQ Powders	7/17/2018 1:20:21 PM	10.1872	0.1149	0.0038	6.3337	0.011	26.03	0.05	1345.9399	0.00001	9.214	0.022	822.4893	0.0014	0.01041	0.00026	9.2616	0.0013	0.01940	0.00051	8.1727	0.00054	0.00192	0.00018	2.9710	0.00055	0.02372	0.00031	67.1005	0.00033	0.00181	0.00006	20.3547	0.00022	16320	20	17279.8650	0.1	52.1	0.5	179.4137	0.6	40390	40	25937.1650	0.1	< 1.0	(1.0)	1.6505	1.0	19.0	0.4	43.3196	0.6	15.8	0.2	178.5127	0.3	666.2	1.8	1222.8679	0.1	62.0	0.6	111.3959	0.8	6.4	0.4	17.0988	1.2	6.0	0.6	15.5101	0.6	
It.E1.5.40-60.16	TQ Powders	7/17/2018 12:54:59 PM	10.4417	0.1154	0.0038	6.3458	0.011	25.56	0.05	1325.9912	0.00001	9.542	0.022	859.6502	0.0014	0.00768	0.00020	8.6983	0.0013	0.01402	0.00047	5.9916	0.00057	0.00251	0.00020	3.4185	0.00055	0.02200	0.00030	62.3720	0.00033	0.00077	0.00003	16.5157	0.00022	16330	20	17305.4889	0.1	55.1	0.5	189.7747	0.4	44010	40	28270.2836	0.1	1.7	0.7	2.7135	0.9	20.4	0.5	45.3714	0.6	18.2	0.2	200.8254	0.3	669.7	1.9	1212.7241	0.1	65.3	0.7	115.9519	0.9	6.9	0.4	18.2599	1.3	7.7	0.6	19.4317	0.6	
