McMahon_10-2-18
Element	Method	Eval Date	Mass coefficient.	Mg	Mg	Mg	Mg	Al	Al	Al	Al	Si	Si	Si	Si	P	P	P	P	S	S	S	S	Cl	Cl	Cl	Cl	K	K	K	K	Ca	Ca	Ca	Ca	Sc	Sc	Sc	Sc	Ti	Ti	Ti	Ti	V	V	V	V	Cr	Cr	Cr	Cr	Mn	Mn	Mn	Mn	Fe	Fe	Fe	Fe	Co	Co	Co	Co	Ni	Ni	Ni	Ni	Cu	Cu	Cu	Cu	Zn	Zn	Zn	Zn	Ga	Ga	Ga	Ga	Ge	Ge	Ge	Ge	As	As	As	As	Se	Se	Se	Se	Br	Br	Br	Br	Rb	Rb	Rb	Rb	Sr	Sr	Sr	Sr	Y	Y	Y	Y	Zr	Zr	Zr	Zr	Nb	Nb	Nb	Nb	Mo	Mo	Mo	Mo	Tc	Tc	Tc	Tc	Ru	Ru	Ru	Ru	Rh	Rh	Rh	Rh	Pd	Pd	Pd	Pd	Ag	Ag	Ag	Ag	Cd	Cd	Cd	Cd	In	In	In	In	Sn	Sn	Sn	Sn	Sb	Sb	Sb	Sb	Te	Te	Te	Te	I	I	I	I	Pt	Pt	Pt	Pt	Au	Au	Au	Au	Hg	Hg	Hg	Hg	Pb	Pb	Pb	Pb	Bi	Bi	Bi	Bi	Po	Po	Po	Po	
Dimension			cm²/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	%	Abs. Error ( %)	Norm. Int.	%	
BO.E.3.20-40.16	TQ Powders	10/2/2018 11:03:01 AM	12.2562	0.0352	0.0015	5.2612	0.013	17.75	0.04	920.7332	0.0017	18.29	0.03	1808.8350	0.00001	0.01658	0.00054	8.1649	0.0017	0.03294	0.00069	13.0807	0.00064	0.00086	0.00012	2.1461	0.00064	0.01782	0.00026	47.9012	0.00028	0.00640	0.00010	46.2314	0.00019					9737	10	9798.2258	0.1	194.3	3.2	293.9158	5.7	139.9	0.7	353.5168	0.7	101.7	0.5	340.5220	0.4	67820	60	42531.2311	0.1	< 3.0	(0.0)	0.0000	3.0	33.8	0.9	38.3320	1.5	23.5	0.8	31.8314	1.1	24.2	0.6	46.4174	0.8	33.6	0.6	87.7848	0.7	< 0.5	(0.0)	0.0000	0.5	1.8	0.3	7.1318	0.4	2.3	0.2	10.5567	0.4	16.4	0.3	88.0802	0.3	0.4	0.1	16.4664	0.4	5.6	0.2	53.6835	0.3	5.4	0.2	59.4320	0.5	543.7	1.8	872.3719	0.1	30.0	0.5	49.6108	0.9	3.4	0.3	9.8355	1.3					1.4	0.2	3.8644	0.6	< 0.5	(0.0)	0.0000	0.5	0.5	0.1	3.0337	0.5	4.1	0.1	36.5490	0.9	2.5	0.3	5.3571	0.7	3.7	0.2	14.1693	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	12.8	0.6	42.8451	2.8					1.8	0.5	2.9279	1.1	< 0.7	(0.0)	1.8938	0.7	8.6	0.5	18.7631	0.7	< 0.5	(0.0)	0.0000	0.5					
BO.P.2.40-60.16	TQ Powders	10/2/2018 2:40:28 PM	12.2179	0.02400	0.00100	5.1238	0.012	16.25	0.04	869.3977	0.0020	18.06	0.03	1868.1822	0.00001	0.01408	0.00051	7.1634	0.0017	0.03006	0.00066	12.3942	0.00065	0.00216	0.00020	3.1271	0.00063	0.01774	0.00026	49.3878	0.00028	0.00278	0.00006	31.7951	0.00019					9528	10	9934.1180	0.1	189.2	3.1	297.2115	5.6	143.6	0.7	374.5618	0.7	92.0	0.5	318.7957	0.4	70670	70	45775.8587	0.1	19.9	3.6	4.8555	10	37.0	1.0	41.9916	1.4	22.6	0.8	30.8127	1.0	25.8	0.6	49.9382	0.7	34.7	0.6	91.1535	0.7	< 0.5	(0.0)	0.0000	0.5	1.8	0.3	7.1703	0.4	1.8	0.2	8.3277	0.4	10.8	0.2	58.3930	0.3	0.3	0.1	17.1777	0.3	5.6	0.2	53.5516	0.3	5.3	0.2	58.5906	0.5	471.9	1.7	763.4260	0.1	30.5	0.5	50.3004	0.9	4.4	0.4	11.7524	1.2					1.0	0.2	2.8809	0.6	< 0.5	(0.0)	0.0000	0.5	0.3	0.1	2.5192	0.3	1.5	0.1	32.4849	0.9	2.6	0.3	5.7497	0.7	3.3	0.2	13.1145	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	15.5	0.7	48.3115	2.8					2.8	0.5	4.5732	1.0	< 0.7	(0.0)	0.0000	0.7	9.8	0.5	21.4122	0.7	< 0.5	(0.0)	0.0000	0.5					
BO.P.4.60-100.16	TQ Powders	10/2/2018 11:16:57 AM	11.8369	0.0498	0.0020	5.4434	0.012	17.73	0.04	906.8466	0.0016	18.22	0.03	1779.4867	0.00001	0.01080	0.00036	7.5798	0.0017	0.03357	0.00068	13.3116	0.00061	0.00197	0.00019	2.9284	0.00063	0.01701	0.00026	45.5773	0.00028	0.00971	0.00013	59.1578	0.00019					10040	10	10073.0755	0.1	177.5	3.2	268.5895	5.8	138.2	0.7	348.7164	0.6	95.2	0.5	317.8500	0.4	61350	60	38272.5896	0.1	< 3.0	(0.0)	1.4026	3.0	34.9	0.9	40.0659	1.4	19.2	0.8	26.8099	1.0	27.3	0.6	54.0542	0.7	30.4	0.5	82.3908	0.7	< 0.5	(0.0)	0.0000	0.5	1.7	0.3	6.9259	0.4	0.9	0.2	4.2449	0.3	8.4	0.2	47.0414	0.3	0.5	0.1	16.4955	0.3	5.8	0.2	57.2441	0.3	5.9	0.2	65.2374	0.4	576.1	1.8	946.0277	0.1	31.6	0.5	53.1294	0.9	4.5	0.4	12.0174	1.3					< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	0.5	0.1	3.0530	0.5	4.8	0.1	37.7915	0.9	2.6	0.3	5.6924	0.7	4.0	0.2	14.9366	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	12.1	0.6	41.8905	2.9					2.0	0.5	3.3388	1.0	< 0.7	(0.0)	3.0782	0.7	9.7	0.5	21.7086	0.7	< 0.5	(0.0)	0.0000	0.5					
Bp.E1.Ee2.4.40-60.16	TQ Powders	10/2/2018 10:49:07 AM	13.7779	0.0909	0.0035	6.0349	0.013	20.43	0.04	1082.5604	0.0018	13.34	0.03	1317.2031	0.0016	0.01869	0.00056	9.4487	0.0018	0.00994	0.00050	4.5345	0.00078	0.00062	0.00010	1.9981	0.00056	0.06028	0.00044	169.3705	0.00030	< 0.0010	(0.0)	22.5517	0.00100					13500	10	14220.5146	0.1	263.0	3.8	415.9458	6.8	147.4	0.8	383.5218	0.8	226.8	0.8	779.2690	0.4	91260	80	58434.2576	0.1	< 3.0	(0.0)	2.5989	3.0	38.3	1.1	40.5436	1.8	31.2	1.1	38.2439	1.3	32.5	0.7	56.3421	0.9	45.3	0.7	106.0686	0.9	1.5	0.5	2.6147	1.0	22.8	0.5	80.7564	0.5	< 0.5	(0.0)	0.0000	0.5	12.2	0.3	58.7362	0.4	3.8	0.2	47.1434	0.5	17.1	0.3	145.9034	0.4	31.0	0.3	268.4005	0.5	672.7	2.1	994.5817	0.1	48.9	0.7	73.3014	1.0	5.4	0.4	13.1008	1.4					1.5	0.2	3.8503	0.6	1.2	0.3	2.5548	0.7	< 0.6	(0.0)	1.9978	0.6	3.6	0.1	35.5610	0.9	2.1	0.3	4.3710	0.8	4.0	0.2	14.3721	0.7	10.8	0.4	23.7921	1.0	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	5.0	0.3	27.5455	2.8					< 1.3	(0.7)	1.4806	1.3	< 0.7	(0.0)	0.0000	0.7	22.4	1.0	44.4184	0.9	< 0.5	(0.0)	0.0000	0.5					
Bp.E1.T.3.40-60.04	TQ Powders	10/2/2018 10:35:09 AM	14.1931	0.1079	0.0040	6.2015	0.013	20.98	0.05	1063.0999	0.0019	13.46	0.03	1277.5755	0.0017	0.02006	0.00060	9.2490	0.0018	0.00969	0.00051	4.2775	0.00080	< 0.00020	(0.0)	0.9179	0.00020	0.05701	0.00043	155.2736	0.00031	< 0.00025	(0.00013)	25.5335	0.00025					13610	10	13914.5610	0.1	272.9	3.9	418.9524	6.9	147.3	0.8	372.3668	0.8	214.3	0.8	715.6669	0.4	94080	80	58318.4557	0.1	< 12	(4.0)	3.1411	12	43.6	1.1	44.0911	1.7	36.1	1.0	42.8114	1.3	33.2	0.7	55.6810	0.9	49.4	0.7	112.0746	0.9	3.5	0.5	6.0349	0.9	21.9	0.5	75.3998	0.5	< 0.5	(0.0)	0.0000	0.5	11.3	0.3	52.8744	0.4	3.1	0.1	41.1682	0.5	15.0	0.2	124.1444	0.4	29.8	0.3	250.3537	0.5	651.3	2.1	939.1732	0.1	49.4	0.7	72.1363	1.1	3.5	0.4	9.4926	1.4					1.2	0.2	3.0917	0.6	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	4.1	0.1	36.3882	0.9	2.0	0.3	4.1545	0.7	3.7	0.2	13.9973	0.7	10.8	0.4	24.8305	0.9	1.3	0.2	6.4129	1.2	< 0.5	(0.0)	0.0000	0.5	< 2.7	(1.9)	21.8957	2.7					1.5	0.6	2.4430	1.3	< 0.7	(0.0)	0.2181	0.7	21.9	1.0	41.9098	0.9	< 0.5	(0.0)	0.0000	0.5					
Bp.E2.3.40-60.16	TQ Powders	10/4/2018 11:32:08 AM	14.0934	0.0712	0.0028	5.7445	0.013	19.43	0.04	1009.8766	0.0021	14.35	0.03	1415.2971	0.0015	0.02522	0.00074	9.5004	0.0018	0.01326	0.00053	5.9917	0.00078	0.00132	0.00016	2.5088	0.00068	0.1004	0.0005	277.6147	0.00028	0.00178	0.00005	33.5652	0.00028					12980	10	13467.7194	0.1	259.9	3.8	406.7293	0.1	161.4	0.9	412.8115	0.3	281.7	0.8	955.4889	0.4	94170	80	59380.1683	0.1	< 12	(5.4)	3.3704	12	43.5	1.2	44.4773	1.7	36.5	1.2	43.6898	1.3	72.3	1.0	122.4857	0.9	45.1	0.8	103.3656	0.9	< 0.5	(0.0)	0.0000	0.5	24.9	0.6	86.5448	0.5	< 0.5	(0.0)	0.0000	0.5	9.8	0.3	45.9105	0.4	7.5	0.2	73.6773	0.5	36.3	0.3	302.9936	0.4	32.7	0.4	277.0537	0.5	554.8	1.9	810.7832	0.1	47.7	0.7	70.6291	1.0	5.4	0.4	12.8635	1.3					0.8	0.2	2.2679	0.6	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.9840	0.5	1.7	0.1	32.8787	0.9	1.9	0.3	4.0438	0.7	3.0	0.2	12.1915	0.7	9.7	0.3	22.4991	0.9	0.8	0.1	5.4958	0.7	< 0.5	(0.0)	2.0519	0.5	4.4	0.3	27.1549	2.6					2.4	0.6	3.7799	1.3	< 0.7	(0.0)	3.8744	0.7	32.0	1.1	61.8335	0.9	< 0.5	(0.0)	0.0000	0.5					
It.N.2.10-20.04	TQ Powders	10/2/2018 2:26:37 PM	10.7126	0.1116	0.0037	6.3420	0.011	23.58	0.05	1260.9991	0.00001	11.42	0.02	1075.7889	0.0012	0.02181	0.00053	10.6473	0.0014	0.04336	0.00070	18.2276	0.00048	0.00821	0.00032	7.7543	0.00057	0.02744	0.00032	78.0501	0.00031	0.00191	0.00006	23.3113	0.00021					14370	10	15315.1246	0.1	159.0	3.8	254.7182	6.9	105.6	0.6	280.1286	0.6	73.1	0.5	254.5393	0.4	49370	50	32248.3602	0.1	< 11	(0.0)	2.0758	10	32.2	0.8	40.1330	1.2	3.7	0.7	5.6344	0.9	21.7	0.5	47.3490	0.6	49.5	0.6	146.0629	0.7	1.1	0.4	2.4836	0.7	16.3	0.3	72.2098	0.4	0.5	0.2	2.8666	0.3	31.2	0.3	191.7315	0.3	0.4	0.1	13.7648	0.3	17.4	0.2	188.7784	0.3	29.9	0.3	321.6943	0.4	609.8	1.8	1094.4185	0.1	53.0	0.6	93.9233	0.8	6.2	0.4	16.5914	1.2					0.8	0.2	2.5279	0.5	< 0.5	(0.0)	0.0000	0.5	0.4	0.1	2.7059	0.3	1.7	0.1	33.1710	0.8	2.8	0.3	6.4443	0.7	3.3	0.2	13.6601	0.6	10.6	0.3	25.9078	0.9	0.9	0.1	5.7204	0.8	< 0.5	(0.0)	0.9850	0.5	15.2	0.6	48.8605	2.7					2.0	0.4	4.0528	0.9	< 0.7	(0.0)	0.0000	0.7	6.4	0.7	16.1125	0.6	< 0.5	(0.0)	0.0000	0.5					
JP.A.E.3.0-10.16	TQ Powders	10/2/2018 10:07:27 AM	9.0249	0.01704	0.00068	5.0456	0.011	13.44	0.03	728.8679	0.0064	26.14	0.04	2629.7292	0.00001	0.02154	0.00063	7.6266	0.0016	0.02750	0.00057	9.9936	0.00045	0.00371	0.00025	3.9030	0.00061	0.02655	0.00029	62.5616	0.00022	0.00674	0.00013	29.7631	0.00017					3640	6	3196.8543	0.1	91.1	2.0	121.0494	3.6	24.6	0.4	59.2827	0.5	64.3	0.4	192.5483	0.4	13370	20	8102.8032	0.1	< 3.0	(0.0)	0.4122	3.0	19.0	0.6	26.9425	1.0	5.0	0.5	9.0981	0.7	9.3	0.3	23.9165	0.5	10.3	0.3	35.6988	0.5	0.8	0.3	1.9503	0.5	2.2	0.2	11.6114	0.3	< 0.5	(0.0)	0.0000	0.5	2.9	0.1	20.2571	0.2	0.2	0.1	5.2578	0.2	6.1	0.1	83.9339	0.2	5.4	0.2	79.4401	0.3	309.7	1.2	688.4398	0.1	8.9	0.3	22.0271	0.7	1.7	0.2	7.6520	0.9					0.6	0.1	2.3103	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	1.6	0.1	33.3463	0.8	2.2	0.2	6.0752	0.6	3.4	0.2	15.4997	0.6	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	1.6013	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.7	(0.0)	9.1922	0.7					2.3	0.3	5.1774	0.7	< 0.7	(0.0)	0.0000	0.7	4.9	0.3	15.4316	0.5	< 0.5	(0.0)	0.0000	0.5					
JP.P.1.0-10.04	TQ Powders	10/2/2018 10:21:17 AM	9.2836	0.02226	0.00090	5.1231	0.011	13.11	0.03	718.6105	0.0065	26.71	0.04	2734.0594	0.00001	0.01755	0.00059	6.5495	0.0017	0.02158	0.00053	7.9059	0.00052	0.00701	0.00032	6.0560	0.00062	0.02057	0.00026	49.0976	0.00022	0.04593	0.00028	186.3983	0.00015					3711	6	3291.8543	0.1	58.7	2.0	78.5402	3.6	43.3	0.4	100.9988	0.5	78.1	0.5	236.0696	0.4	17870	20	10914.7254	0.1	< 3.0	(0.0)	0.1222	3.0	15.7	0.6	22.4067	1.0	3.6	0.5	6.3554	0.7	13.4	0.3	33.7934	0.5	10.9	0.3	37.0424	0.5	< 0.5	(0.0)	0.0000	0.5	3.9	0.2	20.2475	0.3	< 0.5	(0.0)	0.0000	0.5	2.6	0.1	18.2819	0.2	< 0.2	(0.2)	5.3980	0.2	2.0	0.1	26.9186	0.2	4.6	0.2	67.4137	0.3	279.9	1.1	608.3285	0.2	10.8	0.3	25.3144	0.7	2.4	0.2	9.2575	0.9					< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	0.3	0.1	2.7026	0.3	2.1	0.1	34.2662	0.8	2.3	0.2	6.1635	0.6	3.8	0.2	16.4727	0.6	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.7	(0.0)	8.1936	0.7					2.2	0.4	4.8480	0.7	< 0.7	(0.0)	1.6601	0.7	4.3	0.3	13.1996	0.5	< 0.5	(0.0)	0.0000	0.5					
