Dimension				%	Norm. Int.	%	%	Norm. Int.	%	%	Norm. Int.	%	%	Norm. Int.	%	%	Norm. Int.	%	%	Norm. Int.	%	%	Norm. Int.	%	%	Norm. Int.	%	%	Norm. Int.	%	%	Norm. Int.	%	?g/g	Norm. Int.	?g/g	?g/g	Norm. Int.	?g/g	?g/g	Norm. Int.	?g/g	?g/g	Norm. Int.	?g/g	?g/g	Norm. Int.	?g/g	?g/g	Norm. Int.	?g/g	?g/g	Norm. Int.	?g/g	?g/g	Norm. Int.	?g/g	?g/g	Norm. Int.	?g/g	?g/g	Norm. Int.	?g/g	?g/g	Norm. Int.	?g/g	?g/g	Norm. Int.	?g/g	?g/g	Norm. Int.	?g/g	%	Norm. Int.	%	?g/g	Norm. Int.	?g/g	?g/g	Norm. Int.	?g/g	?g/g	Norm. Int.	?g/g	?g/g	Norm. Int.	?g/g	?g/g	Norm. Int.	?g/g	?g/g	Norm. Int.	?g/g	%	Norm. Int.	%	%	Norm. Int.	%	?g/g	Norm. Int.	?g/g	?g/g	Norm. Int.	?g/g	?g/g	Norm. Int.	?g/g	%	Norm. Int.	%	%	Norm. Int.	%	%	Norm. Int.	%	%	Norm. Int.	%	?g/g	Norm. Int.	?g/g
Element	Method	Eval Date	Mass_g	Mg	Mg	Mg	Al	Al	Al	Si	Si	Si	P	P	P	S	S	S	Cl	Cl	Cl	Ar	Ar	Ar	K	K	K	Ca	Ca	Ca	Sc	Sc	Sc	Ti	Ti	Ti	V	V	V	Cr	Cr	Cr	Mn	Mn	Mn	Fe	Fe	Fe	Co	Co	Co	Ni	Ni	Ni	Cu	Cu	Cu	Zn	Zn	Zn	Ge	Ge	Ge	As	As	As	Se	Se	Se	Br	Br	Br	Kr	Kr	Kr	Rb	Rb	Rb	Mo	Mo	Mo	Ru	Ru	Ru	Ag	Ag	Ag	Cd	Cd	Cd	Sn	Sn	Sn	Xe	Xe	Xe	Pm	Pm	Pm	Au	Au	Au	Hg	Hg	Hg	Pb	Pb	Pb	Rn	Rn	Rn	Fr	Fr	Fr	Ra	Ra	Ra	Ac	Ac	Ac	U	U	U
Val_mix_0.6	TQ Powders	5/23/2017 12:00	0.63	0.0549	5.7586	0.01	14.91	1024.4926	0.0015	8.77	1146.2851	0.0014	0.02688	9.0433	0.0013	0.02084	12.0652	0.00054	< 0.00020	1.3739	0.0002				0.03942	150.7548	0.00021	0.00054	30.6258	0.00017				8261	11902.6497	0.1	181	391.3289	4.5	48.6	174.0734	0.5	118.4	561.9356	0.3	74380	64717.2277	0.1	< 8.4	3.1838	8.3	29.6	41.2945	1.3	16.5	26.2783	0.9	29.2	65.7987	0.6	< 0.5	0	0.5	< 0.5	0	0.5	< 0.5	0	0.5	12.2	76.8391	0.3				1.8	37.3028	0.4	8.7	12.0125	1.5	4.4	5.055	1.1	10.3	36.0263	2	6.7	5.1103	1.7	15.7	11.8687	2.3							2.1	2.772	1.3	< 0.7	0	0.7	23.1	46.5691	0.8													< 0.4	14.7311	0.4
Val_mix_1.3	TQ Powders	5/23/2017 12:14	1.29	0.0493	5.5248	0.012	17.93	1033.3369	0.0018	10.75	1174.4085	0.0016	0.0309	9.1208	0.0015	0.02363	11.4517	0.00065	0.00086	2.2645	0.00059				0.04761	151.6006	0.00024	0.00044	28.8993	0.0002				10070	12075.7664	0.1	212.3	382.2307	5.4	57.7	172.48	0.6	141.2	557.384	0.3	87390	63392.2988	0.1	21.3	5.7515	9.7	35.8	41.7144	1.5	17.9	24.0765	1.1	36	68.3631	0.7	< 0.5	0	0.5	< 0.5	0	0.5	< 0.4	1.8213	0.4	14.4	76.3992	0.3				2.1	37.0173	0.5	6.4	12.771	1.2	2.6	4.7245	0.7	6.3	36.3013	1.3	4.1	5.4027	1.1	8.6	11.4835	1.5							4.1	5.7675	1.2	< 0.7	0	0.7	23.4	49.0156	0.8													< 0.4	11.1196	0.4
Val_mix_2.0	TQ Powders	5/23/2017 12:28	2.04	0.0865	6.0157	0.013	19.11	1049.6114	0.0018	11.48	1189.8277	0.0017	0.032	8.9514	0.0016	0.0267	12.1943	0.00068	< 0.00063	1.814	0.00063				0.0498	149.9785	0.00026	0.00017	27.7874	0.00015				10640	12061.4391	0.1	225.1	383.4	5.7	60.4	170.5471	0.7	146.9	548.0926	0.3	92640	63670.7083	0.1	< 3.0	1.5918	3	33.5	37.6577	1.7	18.7	23.733	1.2	35.7	64.0116	0.9	< 0.5	0	0.5	< 0.5	0	0.5	< 0.5	0	0.5	15.2	75.7977	0.4				2.3	38.14	0.5	4.8	11.454	1.1	1.6	3.7903	0.6	4.4	35.7045	1.1	2.5	4.2893	0.9	10.2	18.4404	1.1							< 1.3	0	1.3	< 0.7	0	0.7	23.4	47.5625	0.9													< 0.4	11.7861	0.4
Val_mix_3.1	TQ Powders	5/23/2017 12:42	3.13	0.0532	5.5055	0.013	19.37	1010.4926	0.002	11.52	1146.7686	0.0018	0.0351	9.3321	0.0017	0.0268	11.8265	0.00071	0.00113	2.4096	0.00065				0.05014	146.429	0.00027	0.00045	28.9059	0.00022				10940	12039.1329	0.1	232.9	385.412	5.9	62.1	170.3537	0.7	154.3	559.4385	0.3	95250	63206.0416	0.1	< 12	2.9809	11	36.8	39.6488	1.7	18.2	22.3566	1.3	35.4	61.5567	0.9	< 0.5	0	0.5	< 0.5	0	0.5	< 0.5	0	0.5	15.4	75.0026	0.4				2.1	35.6102	0.5	3	8.5972	1.1	1.5	3.9464	0.6	4.1	36.3559	0.9	2.1	4.3957	0.7	7.8	17.4858	1							2.4	3.4777	1.3	< 0.7	1.3622	0.7	22.6	44.1682	0.9													< 0.4	11.1222	0.4
Eu.E2.Ee2.4.0-10	TQ Powders	5/23/2017 12:56	2.01	< 0.0020	3.2839	0.002	6.37	410.8377	0.0088	35.92	4509.6248	0.00001	< 0.00030	7.1876	0.0003	0.03208	12.0815	0.00042	0.00978	8.082	0.00058				0.03369	83.6029	0.00021	0.1203	500.9586	0.00012				3599	3344.9617	0.1	< 1.0	0	1	176.9	423.652	0.3	34	107.9286	0.6	7334	4709.7682	0.1	< 3.0	1.0968	3	70.6	102.9493	0.9	8.2	16.5703	0.6	12.8	36.3717	0.4	< 0.5	0	0.5	2	11.7484	0.2	0.7	4.7428	0.2	5.7	44.2369	0.2				0.6	9.0509	0.2	7.4	19.9142	1.1	1.4	3.9241	0.5	7	40.4628	0.9	3.9	7.7189	0.8	< 0.5	0	0.5							2.9	6.5412	0.7	< 0.7	4.397	0.7	3.4	11.4125	0.4													< 0.4	6.6795	0.4
Eu.E2.L.4.0-10	TQ Powders	5/23/2017 13:10	1.98	< 0.0020	3.0533	0.002	6.415	412.3919	0.0088	36.16	4512.7776	0.00001	< 0.00030	8.0878	0.0003	0.03114	11.693	0.00041	0.00713	6.2692	0.00057				0.02328	57.4533	0.00021	0.0497	206.1997	0.00016				3949	3644.5405	0.1	< 1.0	0	1	154.3	371.1399	0.3	42.7	134.3279	0.6	7084	4525.2905	0.1	< 3.0	1.3674	3	60.5	88.1079	0.9	7.3	14.7144	0.6	12.8	36.1667	0.4	< 0.5	0	0.5	1.2	7.3621	0.3	0.7	4.6472	0.2	5.2	40.5265	0.2				0.7	10.4338	0.2	8.5	22.2674	1.3	1.9	5.1121	0.5	6.6	39.696	0.9	3.6	7.1094	0.8	< 0.5	0	0.5							3.1	6.8073	0.7	< 0.7	4.8255	0.7	5.1	16.9042	0.4													< 0.4	7.1144	0.4
Eu.E2.Ee2.4.40-60	TQ Powders	5/23/2017 13:24	1.99	0.01567	5.0279	0.011	14.65	826.165	0.0062	26.03	2712.0555	0.00001	< 0.00030	1.3931	0.0003	0.02551	9.7868	0.00046	0.00372	4.0063	0.00056				0.02739	67.5682	0.00024	0.0075	35.7337	0.00019				7193	6625.08	0.1	32.9	46.8509	5	123.4	297.059	0.4	39.9	123.7293	0.6	18950	11869.7477	0.1	< 3.0	0.919	3	55.9	74.7931	1	6.7	12.0996	0.7	24.1	61.7031	0.5	< 0.5	0	0.5	5	26.2618	0.3	1.1	6.8309	0.3	12.9	89.8845	0.2				0.7	11.293	0.2	9	22.4349	1.4	1.7	4.487	0.6	5	37.1795	0.9	3.7	7.0072	0.8	< 0.5	0	0.5							3.4	7.0045	0.7	< 0.7	4.5744	0.7	10.9	32.8579	0.5													< 0.4	6.7697	0.4
Eu.E2.L.4.40-60	TQ Powders	5/23/2017 13:37	2.04	0.02131	5.1171	0.011	14.7	855.5238	0.006	25.57	2757.6532	0.00001	< 0.00030	2.043	0.0003	0.02428	9.7043	0.00046	0.00726	6.5562	0.00055				0.02899	74.5909	0.00025	0.01062	50.5571	0.00019				7802	7517.2609	0.1	33.3	49.69	5.1	110.4	280.8836	0.4	39.1	126.6056	0.5	18140	11853.1617	0.1	< 10	2.4964	10	53.9	75.2875	1	5.1	9.7138	0.7	24.7	65.8662	0.5	< 0.5	0	0.5	4.9	26.7183	0.3	1.5	9.1289	0.3	17.1	124.4835	0.2				0.7	12.2729	0.2	10.9	27.232	1.5	1.5	4.0216	0.6	7.3	40.6094	0.9	3.3	6.5156	0.8	< 0.5	0	0.5							3.2	6.8833	0.7	< 0.7	5.4105	0.7	11.6	36.4739	0.5													< 0.4	10.3197	0.4
Bp.E2.Ee2.1.0-10	TQ Powders	5/23/2017 13:51	1.99	< 0.0020	4.2331	0.002	18.74	1047.5716	0.0019	11.47	1211.761	0.0017	0.02562	9.9218	0.0016	0.01849	8.5182	0.00072	0.00108	2.4099	0.00064				0.02449	75.0363	0.00029	0.00308	43.02	0.0002				12530	14350.0669	0.1	259	444.7432	6.3	145.6	409.8936	0.7	177.3	661.9036	0.4	92920	64041.0411	0.1	< 3.0	1.7979	3	35.4	39.4729	1.8	25.7	32.5567	1.3	34.2	61.3718	0.9	1.3	2.4134	1	25.5	93.3939	0.5	< 0.5	0	0.5	21	104.6835	0.4				0.7	25.1869	0.5	7.2	15.5356	1.3	2.2	4.9041	0.6	5.8	37.4218	1	3.4	5.7391	0.9	13	23.1093	1.1							< 1.4	0	1.4	< 0.7	0	0.7	14.5	29.6088	0.9													< 0.4	9.3135	0.4
