ID	Method	Eval_Date	Mass_coef	Mg_pct	Mg_err	Mg_int	Mg_dl	Al_pct	Al_err	Al_int	Al_pct	Si	Si	Si	Si	P	P	P	P	S	S	S	S	Cl	Cl	Cl	Cl	K	K	K	K	Ca	Ca	Ca	Ca	Ti	Ti	Ti	Ti	Cr	Cr	Cr	Cr	Mn	Mn	Mn	Mn	Fe	Fe	Fe	Fe	Cu	Cu	Cu	Cu	Zn	Zn	Zn	Zn	Sr	Sr	Sr	Sr	Zr	Zr	Zr	Zr	Nb	Nb	Nb	Nb	Mo	Mo	Mo	Mo	Pb	Pb	Pb	Pb
Dimension			cm?/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	?g/g	Abs. Error ( ?g/g)	Norm. Int.	?g/g	?g/g	Abs. Error ( ?g/g)	Norm. Int.	?g/g	?g/g	Abs. Error ( ?g/g)	Norm. Int.	?g/g	?g/g	Abs. Error ( ?g/g)	Norm. Int.	?g/g	?g/g	Abs. Error ( ?g/g)	Norm. Int.	?g/g	?g/g	Abs. Error ( ?g/g)	Norm. Int.	?g/g	?g/g	Abs. Error ( ?g/g)	Norm. Int.	?g/g	?g/g	Abs. Error ( ?g/g)	Norm. Int.	?g/g	?g/g	Abs. Error ( ?g/g)	Norm. Int.	?g/g	?g/g	Abs. Error ( ?g/g)	Norm. Int.	?g/g	?g/g	Abs. Error ( ?g/g)	Norm. Int.	?g/g
It.N.4.10-20.04	TQ Powders	6/27/2018 10:40	10.62	0.1008	0.0035	6.2097	0.011	23.06	0.04	1251.0576	0.00001	11.26	0.02	1078.5042	0.0012	0.01869	0.00048	9.8807	0.0014	0.03494	0.00063	14.999	0.00053	0.00691	0.00029	6.8597	0.00056	0.02885	0.00032	83.4189	0.00031	0.00212	0.00006	24.7833	0.00021	14630	10	15851.1991	0.1	104.1	0.6	279.9574	0.6	76	0.5	268.323	0.4	49400	50	32706.1349	0.1	6.8	0.7	10.6317	1	22.2	0.5	49.0217	0.7	18.8	0.2	206.1658	0.3	584.3	1.7	1054.5534	0.1	54.1	0.6	96.4744	0.8	6.4	0.4	17.0509	1.2	7.9	0.7	19.9294	0.7
It.N.3.10-20.04	TQ Powders	6/27/2018 10:54	10.3014	0.1126	0.0038	6.4525	0.011	22.29	0.04	1265.1348	0.00001	10.84	0.02	1082.9933	0.0012	0.02189	0.00053	10.981	0.0014	0.04063	0.00067	18.0898	0.0005	0.00628	0.00031	6.5671	0.00056	0.02654	0.00031	79.8532	0.0003	0.00254	0.00007	27.6686	0.00021	13990	10	15754.7222	0.1	101.3	0.6	283.5558	0.6	73.4	0.5	269.6816	0.4	48710	50	33575.7733	0.1	6.7	0.7	10.7582	0.9	20.9	0.5	47.601	0.7	17.6	0.2	199.2834	0.3	596.6	1.8	1107.7482	0.1	53.9	0.6	98.1093	0.9	4.5	0.4	13.0985	1.2	6.9	0.7	18.097	0.7
Bp.E1.T1.10-20.16	TQ Powders	6/27/2018 11:08	13.8419	0.0673	0.0027	5.6917	0.013	20.5	0.04	1062.9989	0.0018	12.45	0.03	1211.3508	0.0017	0.02479	0.00068	10.3695	0.0017	0.01223	0.00053	5.4623	0.00077	< 0.00020	0	1.1805	0.0002	0.03652	0.00036	103.2204	0.00031	< 0.00023	0	25.3843	0.00023	13810	10	14617.6128	0.1	145.4	0.8	379.7663	0.8	241.2	0.8	832.2531	0.4	92430	80	59031.8229	0.1	35.8	1.1	43.5534	1.2	33.3	0.7	57.3748	0.9	15.1	0.3	128.3781	0.4	653.7	2.1	957.0364	0.1	51.6	0.7	76.1039	1	4.8	0.4	11.9206	1.4	21.7	1.1	42.5248	0.9
It.N.1.10-20.04	TQ Powders	6/27/2018 11:22	10.5408	0.1076	0.0037	6.3162	0.011	22.96	0.04	1252.5767	0.00001	11.37	0.02	1094.7672	0.0012	0.02193	0.00053	10.6245	0.0014	0.03533	0.00063	15.2051	0.00052	0.00913	0.00032	8.5861	0.00056	0.03202	0.00033	92.689	0.0003	0.00456	0.0001	36.521	0.00021	14270	10	15488.8048	0.1	105.3	0.6	284.0148	0.6	74.8	0.5	265.0418	0.4	48630	50	32330.9347	0.1	7.5	0.7	11.7475	0.9	22	0.5	48.8299	0.6	17.9	0.2	197.9798	0.3	591.6	1.8	1073.0668	0.1	53.8	0.6	96.0606	0.9	5.7	0.4	15.5602	1.2	8.1	0.7	20.611	0.6
It.E2.1.10-20.04	TQ Powders	6/27/2018 11:36	12.3751	0.0755	0.0029	5.7972	0.012	21.64	0.05	1122.8202	0.0011	8.777	0.021	842.8497	0.0019	0.03295	0.0008	11.6734	0.0015	0.03138	0.00065	13.8473	0.00064	0.00217	0.00021	3.2573	0.00061	0.02261	0.00029	67.7242	0.00031	< 0.0010	0	20.5958	0.001	14870	10	16667.4406	0.1	123.7	0.7	340.4136	0.7	98.2	0.5	357.3341	0.4	76900	70	51177.8854	0.1	6.9	0.8	9.2461	1.1	17.1	0.6	32.5325	0.8	14.8	0.2	138.6912	0.3	549.9	1.8	869.9087	0.1	50.2	0.7	79.34	1	5.6	0.4	13.9341	1.3	11.1	0.9	23.9428	0.8
It.E2.2.10-20.04	TQ Powders	6/27/2018 11:50	12.6097	0.0328	0.0014	5.236	0.013	21.45	0.05	1118.6221	0.0013	8.457	0.021	818.6457	0.002	0.03027	0.00075	11.4364	0.0015	0.03122	0.00066	13.9225	0.00065	0.00188	0.0002	3.0397	0.00061	0.02174	0.00029	65.7921	0.00031	< 0.0010	0	20.3199	0.001	15040	10	17019.0186	0.1	129.3	0.7	358.5057	0.7	101.7	0.5	372.704	0.3	80780	70	54044.6356	0.1	4.5	0.8	5.9308	1.2	18.3	0.6	34.1963	0.8	15.3	0.2	140.5171	0.3	582	1.9	908.3168	0.1	54	0.7	83.6481	1	7.3	0.5	17.0514	1.3	12.4	0.9	26.3994	0.8
It.E2.3.10-20.04	TQ Powders	6/27/2018 12:04	12.4954	0.0652	0.0026	5.6863	0.012	20.84	0.04	1113.7991	0.0013	7.883	0.02	784.7338	0.002	0.02698	0.00067	11.3834	0.0015	0.02957	0.00063	13.6194	0.00063	0.00265	0.00021	3.7302	0.00059	0.02072	0.00029	64.7525	0.00031	< 0.00021	-0.00007	24.4602	0.00021	15230	10	17770.0726	0.1	126.1	0.7	360.1684	0.7	101.7	0.5	383.3916	0.4	81820	70	56179.0164	0.1	6.1	0.9	8.1794	1.2	18.7	0.6	35.3581	0.8	17.4	0.2	160.8344	0.3	622.1	2	979.3199	0.1	56.9	0.7	88.78	1	7.7	0.5	17.9077	1.3	12.9	0.9	27.7101	0.8
It.E2.4.10-20.04	TQ Powders	6/27/2018 12:18	12.6417	0.0563	0.0023	5.5782	0.012	21.84	0.05	1179.8214	0.0011	8.508	0.021	840.3353	0.002	0.03078	0.00074	11.8669	0.0015	0.03187	0.00066	14.3954	0.00064	0.00391	0.00026	4.7147	0.00061	0.02194	0.00029	67.1529	0.00032	< 0.00021	0	23.9002	0.00021	15600	10	17806.7554	0.1	130.1	0.7	362.8964	0.7	104.5	0.5	385.1097	0.4	81870	70	55458.0911	0.1	7.9	0.8	10.4646	1.1	20.5	0.6	38.453	0.8	16.3	0.2	150.3482	0.3	603	1.9	947.6242	0.1	54.9	0.7	85.7135	1	7.2	0.5	17.0034	1.3	12.3	0.9	26.1907	0.8
It.E2.1.10-20.16	TQ Powders	6/27/2018 12:32	11.9922	0.0781	0.0029	5.8845	0.012	20.98	0.04	1142.8316	0.0011	8.372	0.021	839.9895	0.0019	0.03482	0.00078	12.8958	0.0015	0.03858	0.00068	17.7039	0.00059	0.00471	0.00027	5.4396	0.00059	0.02536	0.0003	79.09	0.0003	0.01699	0.00017	111.1214	0.0002	14780	10	17237.7351	0.1	125.1	0.7	357.5749	0.7	104.1	0.5	393.0131	0.4	74970	70	51868.4676	0.1	6.5	0.8	9.0075	1.1	18.8	0.6	36.9408	0.8	17.3	0.2	167.7157	0.3	587.3	1.9	959.5812	0.1	54.5	0.7	88.364	0.9	7.4	0.4	17.9218	1.3	11.1	0.9	24.8537	0.8
