McMahon_6-5-17
Element	Method	Eval Date	Na	Na	Na	Mg	Mg	Mg	Al	Al	Al	Si	Si	Si	P	P	P	S	S	S	Cl	Cl	Cl	K	K	K	Ca	Ca	Ca	Mn	Mn	Mn	Fe	Fe	Fe	Co	Co	Co	Ni	Ni	Ni	Cu	Cu	Cu	Zn	Zn	Zn	Sr	Sr	Sr	Zr	Zr	Zr	Nb	Nb	Nb	Mo	Mo	Mo	
Dimension			%	Norm. Int.	Norm. Int. (C)	%	Norm. Int.	Norm. Int. (C)	%	Norm. Int.	Norm. Int. (C)	%	Norm. Int.	Norm. Int. (C)	%	Norm. Int.	Norm. Int. (C)	%	Norm. Int.	Norm. Int. (C)	%	Norm. Int.	Norm. Int. (C)	%	Norm. Int.	Norm. Int. (C)	%	Norm. Int.	Norm. Int. (C)	µg/g	Norm. Int.	Norm. Int. (C)	µg/g	Norm. Int.	Norm. Int. (C)	µg/g	Norm. Int.	Norm. Int. (C)	µg/g	Norm. Int.	Norm. Int. (C)	µg/g	Norm. Int.	Norm. Int. (C)	µg/g	Norm. Int.	Norm. Int. (C)	µg/g	Norm. Int.	Norm. Int. (C)	µg/g	Norm. Int.	Norm. Int. (C)	µg/g	Norm. Int.	Norm. Int. (C)	µg/g	Norm. Int.	Norm. Int. (C)	
BG.15.p.105	TQ Powders	6/5/2017 11:51:24 AM	< 0.010	1.1685	-	0.0746	5.8685	-	21.48	1200.4768	-	7.863	803.7063	-	0.03630	10.2512	-	0.03105	14.4772	-	0.00074	2.1540	-	0.02189	69.2278	-	0.00084	32.4654	-	128.6	499.0412	-	93270	66288.5080	-	< 11	3.9943	-	31.9	36.8166	-	15.4	19.8898	-	26.1	47.6210	-	4.3	38.7647	-	298.9	449.7461	-	30.7	47.3937	-	6.3	14.6165	-	
BG.15.p.65	TQ Powders	6/5/2017 11:23:34 AM	< 0.010	1.2973	-	0.0821	5.9854	-	21.52	1207.9159	-	7.887	807.7721	-	0.03262	9.9257	-	0.02978	13.9334	-	0.00091	2.2992	-	0.02140	67.7742	-	0.00092	32.9196	-	120.4	468.3853	-	93090	66377.0794	-	< 11	3.2538	-	32.9	37.8851	-	12.7	16.3836	-	24.9	45.5536	-	4.4	39.6019	-	344.1	522.1417	-	30.1	47.2388	-	4.2	10.8921	-	
BG.15.p.65.2	TQ Powders	6/5/2017 12:33:10 PM	< 0.010	1.2977	-	0.0641	5.6899	-	21.51	1167.9464	-	7.779	778.1651	-	0.03450	9.6977	-	0.02865	13.2137	-	< 0.00020	1.2792	-	0.02051	64.0841	-	0.00085	31.4857	-	124.6	479.5091	-	91330	64066.2085	-	19.8	5.4338	-	34.6	39.2905	-	12.3	15.9156	-	26.3	48.0682	-	4.8	42.4897	-	318.2	439.0366	-	31.1	43.5033	-	6.4	13.5817	-	
BG.15.s.105	TQ Powders	6/5/2017 12:05:18 PM	< 0.010	1.2067	-	0.0801	5.8942	-	21.97	1170.6071	-	8.430	825.2969	-	0.03389	9.7015	-	0.03016	13.5307	-	0.00121	2.5051	-	0.02141	65.0247	-	0.00142	32.6859	-	137.5	514.6163	-	90080	61651.5190	-	< 11	3.1452	-	36.3	40.4566	-	13.9	17.7696	-	25.9	47.0025	-	4.1	36.6409	-	330.6	491.4091	-	29.9	45.8639	-	5.7	13.4372	-	
BG.15.s.65	TQ Powders	6/5/2017 11:09:40 AM	< 0.010	0.9829	-	0.0848	5.9412	-	22.00	1158.7825	-	8.615	834.9156	-	0.03302	9.9496	-	0.02923	12.9750	-	0.00087	2.2289	-	0.02137	64.3229	-	0.00125	31.5117	-	138.5	514.3114	-	87640	59495.8336	-	< 3.0	1.9775	-	31.6	36.0059	-	14.4	18.5408	-	24.4	44.6277	-	4.4	39.2806	-	385.5	572.7244	-	30.0	45.9208	-	5.0	12.2054	-	
BG.2.s.105	TQ Powders	6/5/2017 12:19:14 PM	< 0.010	1.3840	-	0.0674	5.7111	-	22.16	1171.8253	-	8.271	803.0400	-	0.03570	9.8922	-	0.02996	13.3685	-	0.00155	2.7789	-	0.02098	63.5476	-	0.00140	32.5269	-	126.5	473.3174	-	88390	60393.3610	-	< 3.0	1.0734	-	34.1	38.5334	-	12.6	16.2121	-	24.7	45.1476	-	4.6	40.8539	-	337.1	469.6093	-	32.4	45.5439	-	6.4	13.6120	-	
BG.2.s.65	TQ Powders	6/5/2017 11:37:28 AM	< 0.010	1.0808	-	0.0639	5.6497	-	22.03	1150.4491	-	8.274	797.3444	-	0.03400	9.4857	-	0.02913	12.9554	-	< 0.00063	1.8503	-	0.02108	63.5254	-	0.00116	31.2019	-	130.5	486.4655	-	88300	59943.8748	-	< 3.0	0.9379	-	30.6	35.0246	-	11.1	14.2150	-	23.3	42.4106	-	4.4	38.6443	-	336.4	463.6000	-	32.9	45.7884	-	6.2	13.1371	-	
Eu.15.p.105	TQ Powders	6/5/2017 10:55:46 AM	< 0.010	1.6786	-	0.0738	5.9491	-	15.19	919.7820	-	18.23	2042.7290	-	< 0.00030	5.1397	-	0.04383	19.5166	-	0.00894	8.6198	-	0.03021	89.3834	-	0.06394	320.7423	-	37.3	139.2698	-	11800	8911.7503	-	< 8.7	2.4453	-	16.9	29.4354	-	3.1	7.0698	-	17.9	57.2440	-	11.2	156.7330	-	1352	2359.0322	-	35.7	59.8779	-	7.2	16.9791	-	
Eu.15.s.105	TQ Powders	6/5/2017 10:41:58 AM	< 0.010	1.5080	-	< 0.0020	4.5523	-	9.019	610.2845	-	26.25	3444.1886	-	< 0.00030	3.1954	-	0.02558	11.3776	-	0.00703	7.0677	-	0.01417	41.9174	-	0.02641	131.7578	-	18.9	71.7122	-	5718	4393.8153	-	< 3.0	0.4364	-	13.3	24.7800	-	< 0.5	0.0000	-	9.7	33.2760	-	6.8	92.1662	-	1005	1586.2295	-	26.2	40.2224	-	8.6	17.4798	-	
Eu.2.p.105	TQ Powders	6/5/2017 10:28:10 AM	< 0.010	1.5180	-	0.0844	5.9182	-	16.76	875.8376	-	20.43	2010.9628	-	0.04149	15.6721	-	0.05574	21.9478	-	0.00903	7.9098	-	0.03310	87.7127	-	0.1056	472.9086	-	39.2	132.0479	-	12870	8200.5119	-	< 3.0	1.2591	-	16.9	25.3234	-	1.5	2.9141	-	16.8	45.6716	-	9.5	124.3022	-	759.5	1389.3227	-	23.6	43.1677	-	5.0	13.5118	-	
Eu.2.s.105	TQ Powders	6/5/2017 10:14:21 AM	< 0.010	1.5386	-	< 0.0020	4.3974	-	10.42	622.0716	-	30.94	3536.5688	-	< 0.0016	9.7350	-	0.03409	12.9325	-	0.00655	5.9359	-	0.01912	47.9577	-	0.04337	183.0915	-	26.1	83.4023	-	8175	5290.1286	-	< 3.0	0.6493	-	15.1	23.6196	-	1.7	3.4726	-	12.7	36.1820	-	7.9	109.7167	-	823.4	1579.1142	-	22.5	43.1707	-	4.6	13.0115	-	
