McMahon_6-27-18
Element	Method	Eval Date	Mass coefficient.	Mg	Mg	Mg	Mg	Al	Al	Al	Al	Si	Si	Si	Si	P	P	P	P	S	S	S	S	Cl	Cl	Cl	Cl	K	K	K	K	Ca	Ca	Ca	Ca	Ti	Ti	Ti	Ti	Mn	Mn	Mn	Mn	Fe	Fe	Fe	Fe	Cu	Cu	Cu	Cu	Zn	Zn	Zn	Zn	Sr	Sr	Sr	Sr	Zr	Zr	Zr	Zr	Nb	Nb	Nb	Nb	Mo	Mo	Mo	Mo	Pb	Pb	Pb	Pb	
Dimension			cm²/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	
It.E1.3.60-100.04	TQ Powders	7/13/2018 4:21:45 PM	10.8624	0.0863	0.0030	5.8774	0.011	26.98	0.05	1310.7299	0.00001	9.414	0.023	798.8271	0.0015	0.00849	0.00022	8.7896	0.0014	0.01824	0.00052	7.3535	0.00057	0.00538	0.00026	5.3921	0.00056	0.02462	0.00032	66.5147	0.00033	0.00129	0.00005	18.3756	0.00023	16750	20	16948.2910	0.1	56.9	0.5	187.4151	0.4	45260	50	27671.1589	0.1	8.8	0.6	13.1680	0.9	21.2	0.5	45.2052	0.6	17.9	0.2	189.7608	0.3	702.4	2.0	1215.3925	0.1	66.6	0.7	113.1911	0.9	7.2	0.5	18.2711	1.3	6.9	0.6	16.6202	0.6	
It.E1.2.60-100.04	TQ Powders	7/13/2018 4:07:14 PM	10.6694	0.0912	0.0031	5.9255	0.011	27.55	0.05	1320.7708	0.00001	9.151	0.022	763.9562	0.0015	0.00714	0.00018	9.0563	0.0013	0.01734	0.00050	6.9669	0.00056	0.00358	0.00024	4.0767	0.00056	0.02511	0.00032	67.2711	0.00034	0.00409	0.00010	29.7014	0.00023	17530	20	17588.9920	0.1	51.1	0.5	166.6951	0.6	41380	40	25024.6457	0.1	< 1.0	(1.0)	1.4929	1.0	19.9	0.5	43.1393	0.6	18.3	0.2	196.3995	0.3	747.1	2.0	1301.3800	0.1	67.8	0.7	115.8030	0.9	6.4	0.4	16.6220	1.3	7.8	0.6	19.1423	0.6	
It.E1.1.60-100.04	TQ Powders	7/13/2018 3:52:44 PM	9.8494	0.1263	0.0040	6.5887	0.0098	25.80	0.05	1391.2176	0.00001	8.550	0.021	781.1274	0.0014	0.00452	0.00011	9.2884	0.0013	0.01445	0.00046	6.2872	0.00054	0.00342	0.00023	4.1440	0.00053	0.02628	0.00032	75.2619	0.00033	0.00163	0.00006	19.2536	0.00023	17680	20	18813.7116	0.1	48.0	0.5	164.5136	0.6	36450	40	24915.7556	0.1	2.4	0.6	4.0785	0.8	18.7	0.4	45.5944	0.5	15.9	0.2	197.9489	0.2	689.7	1.8	1405.1572	0.1	63.4	0.6	125.9235	0.8	7.7	0.4	21.7760	1.2	6.3	0.5	18.3817	0.6	
It.E1.4.40-60.04	TQ Powders	7/13/2018 3:38:15 PM	10.4291	0.1215	0.0040	6.3155	0.011	27.32	0.05	1325.2493	0.00001	8.835	0.022	743.6408	0.0015	0.00399	0.00011	8.3923	0.0013	0.01711	0.00049	6.9563	0.00055	0.00483	0.00027	5.0045	0.00055	0.02495	0.00032	67.6517	0.00034	0.00155	0.00006	18.0187	0.00023	17350	20	17628.1555	0.1	48.9	0.5	161.2744	0.6	39320	40	24079.5536	0.1	1.5	0.6	2.2973	0.8	22.8	0.5	50.3522	0.6	17.1	0.2	186.8850	0.3	723.3	2.0	1281.8263	0.1	66.2	0.7	114.6377	0.9	6.3	0.4	16.5971	1.3	7.5	0.6	18.6984	0.6	
It.E1.3.40-60.04	TQ Powders	7/13/2018 3:23:44 PM	10.1312	0.1155	0.0038	6.4226	0.010	24.76	0.05	1345.6071	0.00001	9.198	0.022	863.6708	0.0013	0.00730	0.00019	9.0989	0.0013	0.01979	0.00051	8.7099	0.00053	0.00639	0.00027	6.5332	0.00053	0.02409	0.00030	70.9073	0.00032	0.00151	0.00005	20.4189	0.00022	16220	20	17835.8826	0.1	55.8	0.5	198.6980	0.4	43170	40	28802.0191	0.1	2.2	0.7	3.6108	0.8	20.9	0.5	48.1433	0.6	18.1	0.2	206.3503	0.3	689.5	1.9	1282.1869	0.1	65.1	0.7	118.2229	0.9	6.7	0.4	17.9769	1.3	7.3	0.6	19.2340	0.6	
It.E1.2.40-60.04	TQ Powders	7/13/2018 3:09:16 PM	9.8863	0.1180	0.0039	6.4585	0.010	25.33	0.05	1374.1175	0.00001	8.912	0.021	828.7810	0.0013	0.00831	0.00020	9.7226	0.0013	0.01919	0.00050	8.4362	0.00052	0.00619	0.00027	6.3687	0.00053	0.02470	0.00031	72.5109	0.00033	0.00250	0.00008	24.1498	0.00022	16960	20	18600.6855	0.1	49.5	0.5	175.5811	0.6	39000	40	25933.8857	0.1	2.7	0.6	4.4098	0.8	19.8	0.4	46.7230	0.6	17.8	0.2	208.6993	0.2	712.9	1.9	1354.4589	0.1	66.7	0.7	123.4436	0.8	6.9	0.4	18.7659	1.2	7.1	0.6	19.0208	0.6	
It.E1.1.40-60.04	TQ Powders	7/13/2018 2:54:46 PM	9.8933	0.1251	0.0040	6.5531	0.0099	25.54	0.05	1362.3063	0.00001	8.896	0.021	808.7752	0.0013	0.00674	0.00016	9.6430	0.0013	0.01543	0.00047	6.6225	0.00054	0.00431	0.00025	4.7950	0.00053	0.02548	0.00032	72.2868	0.00033	0.00124	0.00005	17.1897	0.00023	17510	20	18447.8173	0.1	48.4	0.5	164.6272	0.6	36260	40	24583.9774	0.1	3.3	0.6	5.6304	0.8	18.6	0.4	45.2142	0.5	16.5	0.2	204.0724	0.2	686.2	1.8	1396.8267	0.1	61.3	0.6	121.9451	0.8	6.6	0.4	19.1729	1.2	5.7	0.5	16.6752	0.5	
It.E1.4.20-40.04	TQ Powders	7/13/2018 2:40:16 PM	9.8010	0.1240	0.0040	6.5492	0.0099	25.45	0.05	1368.1533	0.00001	8.671	0.021	794.0107	0.0013	0.00691	0.00017	9.4582	0.0013	0.02168	0.00052	9.3390	0.00051	0.00415	0.00025	4.7059	0.00053	0.02551	0.00032	73.1155	0.00033	0.00295	0.00009	25.5712	0.00022	17120	20	18242.0165	0.1	47.7	0.5	164.1846	0.6	36200	40	24831.9867	0.1	2.7	0.6	4.6625	0.8	17.3	0.4	42.5337	0.5	15.7	0.2	195.9842	0.2	661.0	1.7	1358.4544	0.1	61.1	0.6	122.7278	0.8	5.5	0.4	16.5865	1.2	5.9	0.5	17.3700	0.5	
It.E1.3.20-40.04	TQ Powders	7/13/2018 2:25:48 PM	10.0984	0.1104	0.0037	6.3527	0.010	24.80	0.05	1347.7704	0.00001	9.625	0.022	902.3993	0.0013	0.01198	0.00029	9.8890	0.0013	0.02137	0.00052	9.3097	0.00052	0.00304	0.00022	3.8947	0.00054	0.02298	0.00030	67.1508	0.00032	0.00146	0.00005	19.7303	0.00021	16050	20	17517.8081	0.1	55.3	0.5	195.8950	0.4	42120	40	27982.8696	0.1	2.8	0.7	4.4670	0.8	20.6	0.5	47.6986	0.6	17.9	0.2	205.2167	0.3	676.4	1.9	1265.6851	0.1	63.4	0.6	115.8890	0.8	6.2	0.4	17.0782	1.2	6.7	0.6	17.7405	0.6	
