McMahon_6-27-18
Element	Method	Eval Date	Mass coefficient.	Mg	Mg	Mg	Mg	Al	Al	Al	Al	Si	Si	Si	Si	P	P	P	P	S	S	S	S	Cl	Cl	Cl	Cl	K	K	K	K	Ca	Ca	Ca	Ca	Ti	Ti	Ti	Ti	Mn	Mn	Mn	Mn	Fe	Fe	Fe	Fe	Cu	Cu	Cu	Cu	Zn	Zn	Zn	Zn	Sr	Sr	Sr	Sr	Zr	Zr	Zr	Zr	Nb	Nb	Nb	Nb	Mo	Mo	Mo	Mo	Pb	Pb	Pb	Pb	
Dimension			cm²/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	
JP.E1.1.0-10.04	TQ Powders	7/19/2018 6:51:29 PM	9.1058	< 0.0020	(0.0)	4.7123	0.0020	13.09	0.03	718.1619	0.0065	26.75	0.04	2747.3521	0.00001	0.02493	0.00080	6.8989	0.0016	0.02651	0.00057	9.6813	0.00048	0.00653	0.00033	5.7644	0.00061	0.02362	0.00027	56.6677	0.00020	0.00314	0.00009	16.8426	0.00016	3037	5	2720.2295	0.1	63.1	0.4	193.3106	0.4	16830	20	10417.1536	0.1	1.0	0.5	1.9010	0.7	6.8	0.3	17.4650	0.5	1.0	0.1	13.5003	0.2	217.4	1.0	469.5503	0.4	7.4	0.3	18.1620	0.7	0.8	0.1	5.0295	0.7	2.7	0.3	8.6003	0.4	
JP.E1.3.60-100.04	TQ Powders	7/19/2018 6:37:41 PM	9.2185	< 0.010	(0.0)	4.8180	0.010	16.91	0.04	886.3593	0.0045	21.75	0.03	2075.4173	0.00001	0.00887	0.00036	4.8624	0.0015	0.01085	0.00043	4.0673	0.00054	0.00452	0.00025	4.4854	0.00059	0.02269	0.00027	54.8639	0.00022	0.00221	0.00007	13.7655	0.00017	3941	6	3555.1748	0.1	87.9	0.5	270.2839	0.4	19020	20	11802.3686	0.1	2.3	0.5	4.1541	0.7	7.7	0.3	19.5398	0.5	1.2	0.1	15.6113	0.2	265.7	1.1	566.4696	0.3	9.8	0.3	22.9560	0.7	1.9	0.2	7.7624	0.9	3.7	0.3	11.3751	0.5	
JP.E1.4.40-60.04	TQ Powders	7/19/2018 6:23:52 PM	9.3025	< 0.011	(0.0052)	4.8689	0.011	15.90	0.04	855.5870	0.0051	23.53	0.03	2316.4027	0.00001	0.00636	0.00025	5.0473	0.0015	0.01204	0.00045	4.4801	0.00054	0.00440	0.00025	4.4068	0.00059	0.02119	0.00026	51.3822	0.00022	0.00202	0.00007	13.3526	0.00016	3908	6	3535.3788	0.1	77.4	0.5	238.4181	0.4	20240	20	12587.8488	0.1	1.9	0.5	3.4575	0.7	7.4	0.3	18.7897	0.5	1.2	0.1	15.5380	0.2	313.3	1.2	664.9088	0.1	11.2	0.3	25.7005	0.7	2.8	0.3	10.0461	0.9	2.9	0.3	8.7980	0.5	
JP.E1.2.60-100.04	TQ Powders	7/19/2018 6:10:03 PM	9.0672	< 0.0020	(0.0)	3.9504	0.0020	13.43	0.03	700.5370	0.0054	24.55	0.03	2378.1298	0.00001	0.00760	0.00032	4.4301	0.0015	0.01007	0.00042	3.6077	0.00051	0.00875	0.00032	7.0440	0.00057	0.01548	0.00022	36.1258	0.00020	0.00101	0.00005	7.1722	0.00015	2442	4	2106.9918	0.1	45.5	0.4	134.2743	0.4	13290	20	7947.3583	0.1	< 0.8	(0.8)	1.4256	0.8	6.4	0.3	16.3891	0.5	0.9	0.1	12.2121	0.2	249.1	1.1	534.5229	0.3	6.4	0.3	16.2372	0.7	1.8	0.2	7.7221	0.8	1.6	0.3	5.1640	0.4	
JP.E1.3.40-60.04	TQ Powders	7/19/2018 5:56:15 PM	9.1975	0.0447	0.0016	5.4227	0.010	16.35	0.04	846.5502	0.0045	21.79	0.03	2063.7628	0.00001	0.01486	0.00058	4.9214	0.0015	0.01275	0.00045	4.6944	0.00052	0.00257	0.00021	3.1906	0.00058	0.02291	0.00027	54.8075	0.00021	0.00170	0.00007	11.2933	0.00016	3619	5	3228.0180	0.1	70.3	0.4	213.8918	0.4	17890	20	10993.6258	0.1	1.8	0.5	3.3244	0.7	5.6	0.3	14.1718	0.5	1.0	0.1	12.9010	0.2	194.4	0.9	414.5026	0.4	8.4	0.3	20.0896	0.7	1.4	0.2	6.5748	0.8	2.7	0.3	8.4075	0.5	
JP.E1.1.60-100.04	TQ Powders	7/19/2018 5:42:26 PM	9.3953	< 0.0020	(0.0)	4.7621	0.0020	15.53	0.04	813.9574	0.0051	23.02	0.03	2200.9369	0.00001	0.00663	0.00027	4.6895	0.0015	0.00981	0.00041	3.5763	0.00053	0.00224	0.00019	2.9519	0.00058	0.02163	0.00026	50.6654	0.00021	0.00109	0.00005	8.7233	0.00016	3395	5	2952.6488	0.1	63.7	0.4	188.9293	0.4	18190	20	10903.3162	0.1	1.4	0.5	2.4471	0.7	6.4	0.3	15.9915	0.5	0.9	0.1	11.6009	0.2	287.5	1.1	602.3463	0.2	9.7	0.3	22.4574	0.7	3.3	0.3	11.2833	0.9	2.9	0.3	8.6705	0.5	
JP.E1.2.40-60.04	TQ Powders	7/19/2018 5:28:36 PM	9.3828	0.02170	0.00083	5.0956	0.010	17.48	0.04	902.8205	0.0037	20.25	0.03	1909.3609	0.00001	0.01066	0.00039	5.5930	0.0015	0.01339	0.00045	5.0541	0.00054	0.00338	0.00023	3.7691	0.00058	0.02637	0.00029	64.6217	0.00022	0.00117	0.00005	10.6733	0.00017	4406	6	4040.7774	0.1	83.9	0.5	261.8175	0.4	22750	30	14296.3561	0.1	1.2	0.5	2.2144	0.7	9.1	0.3	22.6946	0.5	1.5	0.1	19.0560	0.2	302.8	1.2	635.9623	0.1	11.2	0.3	25.7194	0.7	2.4	0.3	9.1401	0.9	3.9	0.3	11.8099	0.5	
JP.E1.1.40-60.04	TQ Powders	7/19/2018 5:14:48 PM	9.3943	0.0487	0.0018	5.4739	0.010	17.58	0.04	904.9293	0.0036	20.33	0.03	1899.0103	0.00001	< 0.00030	(0.0)	4.9803	0.00030	0.01293	0.00045	4.8094	0.00052	0.00280	0.00021	3.3539	0.00057	0.02350	0.00027	56.7331	0.00022	0.00182	0.00007	12.7088	0.00017	4481	6	4034.5323	0.1	79.7	0.5	244.1700	0.4	21130	20	13045.4010	0.1	1.5	0.5	2.6779	0.7	8.4	0.3	20.9391	0.5	1.4	0.1	18.6010	0.2	467.5	1.5	976.9103	0.1	11.2	0.3	25.4308	0.7	2.6	0.3	9.4537	1.0	3.4	0.3	10.1451	0.5	
JP.E1.4.20-40.04	TQ Powders	7/19/2018 5:00:57 PM	9.3367	0.01806	0.00068	5.0454	0.010	17.05	0.04	867.8346	0.0037	20.52	0.03	1899.3665	0.00001	0.00697	0.00024	5.8627	0.0014	0.01551	0.00047	5.6490	0.00051	0.00343	0.00023	3.7345	0.00058	0.02075	0.00026	49.2920	0.00022	0.00139	0.00006	10.1926	0.00016	3947	6	3485.4280	0.1	73.4	0.4	220.7531	0.4	18790	20	11409.5016	0.1	1.1	0.5	1.9403	0.7	6.3	0.3	15.6343	0.5	1.1	0.1	14.2019	0.2	375.3	1.3	787.4671	0.1	10.9	0.3	24.8472	0.7	3.6	0.3	12.1041	0.9	2.6	0.3	7.8324	0.5	
