McMahon_6-27-18
Element	Method	Eval Date	Mass coefficient.	Mg	Mg	Mg	Mg	Al	Al	Al	Al	Si	Si	Si	Si	P	P	P	P	S	S	S	S	Cl	Cl	Cl	Cl	K	K	K	K	Ca	Ca	Ca	Ca	Sc	Sc	Sc	Sc	Ti	Ti	Ti	Ti	V	V	V	V	Cr	Cr	Cr	Cr	Mn	Mn	Mn	Mn	Fe	Fe	Fe	Fe	Co	Co	Co	Co	Ni	Ni	Ni	Ni	Cu	Cu	Cu	Cu	Zn	Zn	Zn	Zn	Ga	Ga	Ga	Ga	Ge	Ge	Ge	Ge	As	As	As	As	Se	Se	Se	Se	Br	Br	Br	Br	Rb	Rb	Rb	Rb	Sr	Sr	Sr	Sr	Y	Y	Y	Y	Zr	Zr	Zr	Zr	Nb	Nb	Nb	Nb	Mo	Mo	Mo	Mo	Tc	Tc	Tc	Tc	Ru	Ru	Ru	Ru	Rh	Rh	Rh	Rh	Pd	Pd	Pd	Pd	Ag	Ag	Ag	Ag	Cd	Cd	Cd	Cd	In	In	In	In	Sn	Sn	Sn	Sn	Sb	Sb	Sb	Sb	Te	Te	Te	Te	I	I	I	I	Cs	Cs	Cs	Cs	Ba	Ba	Ba	Ba	La	La	La	La	Hf	Hf	Hf	Hf	Ta	Ta	Ta	Ta	W	W	W	W	Re	Re	Re	Re	Os	Os	Os	Os	Ir	Ir	Ir	Ir	Pt	Pt	Pt	Pt	Au	Au	Au	Au	Hg	Hg	Hg	Hg	Tl	Tl	Tl	Tl	Pb	Pb	Pb	Pb	Bi	Bi	Bi	Bi	Po	Po	Po	Po	At	At	At	At	
Dimension			cm²/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	
Eu.N.4.10-20.04	TQ Powders	7/27/2018 10:52:05 AM	8.7407	< 0.011	(0.0030)	4.8449	0.011	12.62	0.03	735.6052	0.0065	29.27	0.04	3167.9372	0.00001	0.00573	0.00013	11.1201	0.0016	0.04900	0.00070	18.1390	0.00035	0.01429	0.00039	10.8923	0.00060	0.03183	0.00032	76.9354	0.00024	0.05320	0.00031	216.8838	0.00017					6904	8	6220.7491	0.1	< 1.0	(0.0)	0.0000	1.0	23.3	0.3	64.3891	0.3	35.7	0.3	108.5696	0.4	9512	15	5858.9449	0.1	< 3.0	(0.0)	0.5391	3.0	17.9	0.6	26.2115	0.9	2.5	0.5	4.8009	0.7	18.1	0.4	48.6393	0.5	15.8	0.3	55.9321	0.5	< 0.5	(0.0)	0.0000	0.5	1.8	0.2	10.2018	0.3	0.8	0.1	4.7805	0.2	6.7	0.1	49.0156	0.2	0.6	0.1	9.3068	0.2	10.1	0.1	142.2459	0.2	10.3	0.2	146.1415	0.3	759.1	1.8	1688.8145	0.1	23.0	0.4	52.0538	0.7	3.8	0.4	12.8689	1.2					1.0	0.2	3.4448	0.5	< 0.5	(0.0)	0.0000	0.5	0.6	0.1	3.5802	0.5	1.9	0.1	33.7347	0.8	2.6	0.3	6.5944	0.7	4.0	0.2	16.4121	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	3.2357	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.7	(0.0)	17.3841	0.7	< 1.0	(0.0)	0.0000	1.0	< 1.5	(0.0)	36.3798	1.5	< 2.0	(0.0)	34.2391	2.0	17.6	0.9	14.9722	2.1	< 1.6	(0.0)	19.6306	1.6	1.2	0.2	4.4245	1.1																	3.0	0.4	6.8453	0.7	< 0.7	(0.0)	3.3972	0.7	< 0.7	(0.0)	0.1831	0.7	6.8	0.3	22.1836	0.5	< 0.5	(0.0)	0.0000	0.5									
Eu.N.3.10-20.04	TQ Powders	7/27/2018 10:38:18 AM	8.7306	< 0.0020	(0.0)	3.8610	0.0020	7.678	0.022	526.7667	0.0071	30.92	0.04	3948.9147	0.00001	0.00704	0.00019	8.8006	0.0017	0.03288	0.00058	12.7473	0.00040	0.01070	0.00035	8.9117	0.00058	0.01836	0.00024	47.1451	0.00021	0.03449	0.00024	149.0134	0.00014					4413	6	4230.7624	0.1	< 1.0	(0.0)	0.0000	1.0	21.1	0.3	59.9723	0.3	28.0	0.3	91.3395	0.4	6501	11	4306.0709	1.0	< 3.0	(0.0)	0.0000	3.0	13.4	0.5	21.6821	0.8	1.1	0.4	2.3869	0.6	11.6	0.3	34.0662	0.4	10.6	0.3	41.3668	0.5	< 0.5	(0.0)	0.0000	0.5	1.4	0.2	8.3592	0.2	0.4	0.1	2.9862	0.2	4.5	0.1	36.4931	0.2	0.5	0.1	8.0796	0.2	7.6	0.1	117.1293	0.2	3.5	0.1	59.1040	0.3	527.5	1.5	1259.8533	0.1	15.9	0.3	39.1831	0.7	3.1	0.3	11.4853	1.0					0.9	0.1	3.2622	0.4	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	1.9204	0.5	2.0	0.1	34.1852	0.8	2.7	0.2	7.2630	0.6	3.5	0.2	15.3999	0.6	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.8002	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.7	(0.0)	9.7127	0.7	< 1.0	(0.0)	9.9466	1.0	< 1.5	(0.0)	27.0084	1.5	< 2.0	(0.0)	25.1742	2.0	10.6	0.7	11.2355	1.8	< 1.6	(0.0)	20.3239	1.6	< 1.1	(0.4)	3.5654	1.1																	3.2	0.3	7.1808	0.7	< 0.7	(0.0)	3.8351	0.7	< 0.7	(0.0)	0.0000	0.7	3.8	0.3	13.5526	0.4	< 0.5	(0.0)	0.0000	0.5									
Eu.N.2.20-40.04	TQ Powders	7/27/2018 10:24:29 AM	8.6494	< 0.0020	(0.0)	2.9628	0.0020	7.068	0.021	485.4427	0.0072	31.89	0.04	4054.1035	0.00001	0.01672	0.00041	10.2815	0.0018	0.04367	0.00066	16.1566	0.00036	0.01393	0.00039	10.7016	0.00061	0.02652	0.00028	64.6767	0.00022	0.04184	0.00027	171.4382	0.00016					4582	6	4177.6965	0.1	< 1.0	(0.0)	0.0000	1.0	20.6	0.3	56.0043	0.3	27.2	0.3	84.1897	0.4	4998	10	3137.4906	1.4	< 3.0	(0.0)	0.1488	3.0	13.4	0.5	20.7493	0.9	1.5	0.5	3.0747	0.6	11.1	0.3	31.3818	0.5	9.5	0.3	35.9344	0.5	< 0.5	(0.0)	0.0000	0.5	0.5	0.2	3.1541	0.3	0.4	0.1	2.3308	0.2	5.7	0.1	44.4246	0.2	0.4	0.1	5.8023	0.2	7.0	0.1	103.8755	0.2	3.6	0.1	59.3319	0.3	540.6	1.5	1249.2775	0.1	16.6	0.3	39.5234	0.7	3.2	0.3	11.5456	1.1					0.6	0.1	2.3140	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.3)	2.4987	0.5	2.3	0.1	34.6122	0.8	2.4	0.2	6.3513	0.6	3.5	0.2	15.3859	0.6	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	1.2801	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.7	(0.0)	14.1920	0.7	< 1.0	(0.0)	0.0000	1.0	< 1.5	(0.0)	19.8663	1.5	< 2.0	(0.0)	20.2233	2.0	9.8	0.7	10.5234	1.9	< 1.6	(0.0)	20.9675	1.6	< 1.2	(0.2)	3.3822	1.1																	2.6	0.3	5.9015	0.7	< 0.7	(0.0)	3.6004	0.7	< 0.7	(0.0)	0.2281	0.7	4.1	0.3	13.8759	0.4	< 0.5	(0.0)	0.0000	0.5									
Eu.N.1.20-40.04	TQ Powders	7/27/2018 10:10:40 AM	8.6344	< 0.0020	(0.0)	4.7306	0.0020	12.45	0.03	702.0134	0.0066	28.20	0.04	2973.7492	0.00001	0.03255	0.00064	13.4059	0.0016	0.06305	0.00078	23.0556	0.00023	0.01780	0.00042	13.1199	0.00060	0.03167	0.00032	76.0863	0.00024	0.04248	0.00028	172.2007	0.00018					6397	8	5730.7783	0.1	< 1.0	(0.0)	0.0000	1.0	21.8	0.3	58.3921	0.3	34.5	0.3	104.3120	0.4	8144	13	5001.4782	0.1	< 3.0	(0.0)	0.0303	3.0	15.7	0.6	23.3544	0.9	1.2	0.5	2.2435	0.7	13.0	0.3	35.1984	0.5	10.9	0.3	39.3721	0.5	< 0.5	(0.0)	0.0000	0.5	2.3	0.2	12.5817	0.3	0.5	0.1	3.0924	0.2	5.9	0.1	43.6165	0.2	0.4	0.1	6.1140	0.2	7.3	0.1	103.7863	0.2	4.4	0.1	68.6586	0.3	599.7	1.6	1338.1274	0.1	18.2	0.4	41.7956	0.7	3.2	0.3	11.4953	1.1					0.6	0.2	2.3707	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	3.1	0.1	35.7949	0.8	2.3	0.3	5.8032	0.7	3.9	0.2	15.9404	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.7	(0.0)	11.6806	0.7	< 1.0	(0.0)	0.0000	1.0	< 1.5	(0.0)	23.1389	1.5	< 2.0	(0.0)	29.1520	2.0	16.5	0.9	14.5523	2.0	< 1.6	(0.0)	21.1110	1.6	0.9	0.1	4.1232	0.8																	2.5	0.3	5.8310	0.7	< 0.7	(0.0)	3.6583	0.7	< 0.7	(0.0)	0.0000	0.7	3.3	0.3	10.8637	0.5	< 0.5	(0.0)	0.0000	0.5									
Eu.N.1.60-100.16	TQ Powders	7/27/2018 9:56:53 AM	9.3683	0.0989	0.0033	6.2455	0.010	19.93	0.04	1099.7839	0.0033	19.73	0.03	1920.8135	0.00001	< 0.00030	(0.0)	2.9937	0.00030	0.03525	0.00063	13.9556	0.00044	0.00368	0.00025	4.0680	0.00058	0.03508	0.00034	89.7183	0.00028	0.00409	0.00011	23.3998	0.00021					10890	10	10405.5731	0.1	53.1	3.3	77.7369	6.1	36.9	0.4	102.8093	0.5	45.9	0.4	145.7117	0.4	22350	30	14288.3365	0.1	< 11	(4.5)	2.0240	11	24.1	0.7	33.7220	1.0	2.8	0.5	5.0867	0.7	33.6	0.5	85.5097	0.5	35.3	0.5	116.3832	0.6	< 0.5	(0.0)	0.0000	0.5	6.3	0.3	32.9188	0.3	1.7	0.2	9.8521	0.3	13.0	0.2	90.2323	0.2	1.0	0.1	15.6027	0.2	14.1	0.1	185.4335	0.2	7.4	0.2	102.2476	0.4	1073	2	2265.0128	0.1	39.7	0.5	83.2910	0.8	6.7	0.5	19.7204	1.4					0.9	0.2	3.1479	0.5	< 0.2	(0.2)	0.4654	0.2	< 0.5	(0.2)	2.3028	0.5	1.7	0.1	33.2797	0.8	2.6	0.3	6.5408	0.7	4.0	0.2	16.0213	0.6	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	16.8	0.7	54.0289	2.8	< 1.0	(0.0)	6.5775	1.0	< 1.5	(0.0)	56.8584	1.5	< 2.0	(0.0)	34.6393	2.0	28.7	1.1	21.8138	2.2	< 1.6	(0.0)	21.7389	1.6	2.0	0.3	5.5364	1.3																	2.7	0.4	5.7613	0.8	< 0.7	(0.0)	4.2835	0.7	< 0.7	(0.0)	0.0000	0.7	14.9	0.5	45.0626	0.5	< 0.5	(0.0)	0.0000	0.5									
Eu.N.2.10-20.04	TQ Powders	7/26/2018 6:51:50 PM	8.6107	< 0.0020	(0.0)	3.6949	0.0020	7.010	0.021	487.2064	0.0071	31.52	0.04	4040.2997	0.00001	0.01359	0.00034	10.0510	0.0018	0.04322	0.00066	16.0248	0.00034	0.01329	0.00038	10.3387	0.00059	0.02692	0.00029	66.0507	0.00022	0.04255	0.00027	175.4618	0.00016					4645	6	4260.9691	0.1	< 1.0	(0.0)	0.0000	1.0	20.8	0.3	57.1185	0.3	27.6	0.3	85.8180	0.4	5118	10	3237.8689	1.4	< 3.0	(0.0)	0.9746	3.0	15.2	0.5	23.4492	0.9	< 0.5	(0.0)	0.0000	0.5	11.6	0.3	32.8269	0.5	9.8	0.3	37.4113	0.5	0.8	0.3	2.1977	0.5	1.3	0.2	7.3590	0.3	0.4	0.1	2.8740	0.2	6.4	0.1	49.4343	0.2	0.4	0.1	5.9170	0.2	7.1	0.1	105.7501	0.2	3.4	0.1	56.1269	0.3	556.5	1.5	1294.6512	0.1	17.3	0.4	41.2861	0.7	4.3	0.3	14.4983	1.1					1.0	0.2	3.7387	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.3)	2.4925	0.5	3.3	0.1	36.4616	0.8	2.2	0.2	5.9474	0.6	4.2	0.2	17.4102	0.6	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	1.2462	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.7	(0.0)	12.2032	0.7	< 1.0	(0.0)	0.0000	1.0	< 1.5	(0.0)	23.3576	1.5	< 2.0	(0.0)	24.8136	2.0	9.9	0.7	11.0881	1.9	< 1.6	(0.0)	23.5785	1.6	< 1.2	(0.0)	1.2331	1.2																	2.7	0.3	6.1159	0.7	< 0.7	(0.0)	0.0000	0.7	< 0.2	(0.2)	0.4972	0.2	2.1	0.3	7.3689	0.4	< 0.5	(0.0)	0.0000	0.5									
Eu.N.1.10-20.04	TQ Powders	7/26/2018 6:36:43 PM	8.6474	< 0.0020	(0.0)	4.7296	0.0020	12.49	0.03	704.2252	0.0065	27.99	0.04	2953.7249	0.00001	0.03174	0.00062	13.2705	0.0016	0.06765	0.00082	24.7988	0.00018	0.01819	0.00042	13.4151	0.00059	0.03203	0.00032	77.2302	0.00024	0.04377	0.00028	178.1652	0.00018					6662	8	5990.6106	0.1	< 1.0	(0.0)	0.0000	1.0	22.7	0.3	60.4797	0.3	37.0	0.3	112.5018	0.4	8483	14	5223.8272	0.1	< 3.0	(0.0)	0.8595	3.0	15.8	0.6	23.4682	0.9	2.0	0.5	3.8220	0.7	13.7	0.3	37.0779	0.5	11.3	0.3	40.7887	0.5	< 0.5	(0.0)	0.0000	0.5	1.3	0.2	7.1486	0.3	0.7	0.1	4.5197	0.2	6.1	0.1	45.4601	0.2	0.4	0.1	6.9565	0.2	7.5	0.1	106.3398	0.2	3.8	0.1	60.0102	0.3	599.3	1.6	1336.2344	0.1	17.6	0.4	40.6557	0.7	2.7	0.3	10.1076	1.1					1.0	0.2	3.5652	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.2)	2.3142	0.5	3.9	0.1	37.3282	0.8	2.6	0.3	6.4674	0.7	4.6	0.2	18.1512	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.7	(0.0)	10.9082	0.7	< 1.0	(0.0)	0.0000	1.0	< 1.5	(0.0)	23.3802	1.5	< 2.0	(0.0)	28.4590	2.0	17.7	0.9	15.1669	2.0	< 1.6	(0.0)	20.2225	1.6	< 1.2	(0.0)	2.7300	1.2																	2.5	0.3	5.7937	0.7	< 0.7	(0.0)	3.0536	0.7	< 0.7	(0.0)	0.0000	0.7	3.2	0.3	10.4449	0.5	< 0.5	(0.0)	0.0000	0.5									
Eu.N.4.0-10.04	TQ Powders	7/26/2018 6:21:35 PM	8.6380	0.0525	0.0020	5.5585	0.011	12.86	0.03	705.5618	0.0065	26.62	0.04	2744.2025	0.00001	0.03579	0.00069	13.3216	0.0016	0.09295	0.00095	34.0995	0.00001	0.02271	0.00045	16.3968	0.00059	0.03874	0.00035	93.5096	0.00025	0.2106	0.0006	850.2965	0.00001					6743	8	6044.0611	0.1	< 1.0	(0.0)	0.0000	1.0	21.4	0.3	56.3774	0.4	44.7	0.4	135.2924	0.4	7963	13	4877.4764	0.1	< 3.0	(0.0)	0.0000	3.0	17.4	0.6	25.6291	0.9	2.3	0.5	4.3369	0.7	15.7	0.3	42.4334	0.5	11.8	0.3	42.5542	0.5	< 0.5	(0.0)	0.0000	0.5	1.5	0.2	8.3518	0.3	0.5	0.1	3.0791	0.2	3.6	0.1	27.0177	0.2	0.5	0.1	7.6676	0.2	13.4	0.1	191.2975	0.2	3.2	0.1	52.6870	0.3	544.1	1.6	1207.4597	0.1	16.3	0.4	37.5998	0.7	2.4	0.3	9.4000	1.1					0.9	0.2	3.1995	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.2)	2.4306	0.5	4.1	0.1	37.6370	0.8	2.8	0.3	7.1058	0.7	3.7	0.2	15.5508	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.3596	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.7	(0.0)	6.9942	0.7	< 1.0	(0.0)	7.5150	1.0	< 1.5	(0.0)	25.8685	1.5	< 2.0	(0.0)	17.2374	2.0	16.1	0.9	14.5101	2.0	< 1.6	(0.0)	22.0066	1.6	< 1.2	(0.6)	3.7634	1.2																	2.0	0.3	4.7092	0.7	< 0.7	(0.0)	2.8879	0.7	< 0.7	(0.0)	0.0000	0.7	2.6	0.3	8.4625	0.5	< 0.5	(0.0)	0.0000	0.5									
Eu.N.3.0-10.04	TQ Powders	7/26/2018 6:06:27 PM	8.7046	0.0359	0.0014	5.3324	0.011	12.40	0.03	703.0538	0.0066	28.21	0.04	3006.1782	0.00001	0.01118	0.00023	12.7044	0.0016	0.07490	0.00085	27.7261	0.00015	0.02366	0.00047	17.0991	0.00060	0.03746	0.00035	90.9444	0.00025	0.1186	0.0005	483.1974	0.00014					7273	9	6575.4897	0.1	< 1.0	(0.0)	0.0000	1.0	23.9	0.3	66.7111	0.4	45.8	0.4	139.4478	0.4	9296	14	5745.0015	0.1	< 0.6	(0.6)	1.3023	0.6	18.0	0.6	26.4216	0.9	3.6	0.5	6.9182	0.7	17.3	0.4	46.8609	0.5	15.2	0.3	53.9318	0.5	< 0.5	(0.0)	0.0000	0.5	1.2	0.2	6.9996	0.3	0.8	0.1	5.0259	0.2	6.3	0.1	46.6778	0.2	0.5	0.1	7.6304	0.2	13.5	0.1	191.1368	0.2	5.6	0.2	83.5276	0.3	805.6	1.9	1793.1711	0.1	21.4	0.4	48.6091	0.7	4.3	0.4	14.1863	1.3					0.8	0.2	2.7324	0.5	< 0.5	(0.0)	0.0000	0.5	0.6	0.1	3.4764	0.5	2.8	0.1	35.3133	0.8	2.6	0.3	6.7089	0.7	4.1	0.2	16.7357	0.6	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.7	(0.0)	15.7233	0.7	< 1.0	(0.0)	0.0000	1.0	< 1.5	(0.0)	22.8347	1.5	< 2.0	(0.0)	41.4123	2.0	18.3	1.0	15.2812	2.0	< 1.6	(0.0)	18.5267	1.6	< 1.2	(0.0)	1.4854	1.2																	2.8	0.4	6.2773	0.7	< 0.7	(0.0)	3.8457	0.7	< 0.7	(0.0)	0.0000	0.7	6.3	0.3	20.4800	0.5	< 0.5	(0.0)	0.0000	0.5									
