McMahon_6-27-18
Element	Method	Eval Date	Mass coefficient.	Mg	Mg	Mg	Mg	Al	Al	Al	Al	Si	Si	Si	Si	P	P	P	P	S	S	S	S	Cl	Cl	Cl	Cl	K	K	K	K	Ca	Ca	Ca	Ca	Ti	Ti	Ti	Ti	Mn	Mn	Mn	Mn	Fe	Fe	Fe	Fe	Cu	Cu	Cu	Cu	Zn	Zn	Zn	Zn	Sr	Sr	Sr	Sr	Zr	Zr	Zr	Zr	Nb	Nb	Nb	Nb	Mo	Mo	Mo	Mo	Pb	Pb	Pb	Pb	
Dimension			cm²/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	
Vg.N.4.60-100.16	TQ Powders	7/5/2018 11:11:49 AM	14.9326	< 0.0020	(0.0)	4.7734	0.0020	20.78	0.05	991.5789	0.0027	9.095	0.023	839.2013	0.0024	< 0.00030	(0.0)	6.4865	0.00030	0.05038	0.00085	20.9613	0.00073	0.00290	0.00025	3.7281	0.00071	0.01404	0.00025	40.3120	0.00030	< 0.0010	(0.0)	24.8552	0.00100	11630	10	12480.9864	0.1	135.6	0.6	478.8729	0.4	110100	100	69937.5267	0.1	5.7	1.0	6.3795	1.4	27.9	0.8	44.2780	1.0	10.1	0.3	78.3291	0.4	1056	3	1408.6945	0.1	62.1	0.8	83.1360	1.1	8.9	0.6	18.0088	1.7	16.1	0.9	28.6253	1.0	
Vg.N.3.60-100.16	TQ Powders	7/5/2018 11:27:34 AM	13.3548	0.01849	0.00082	5.0423	0.014	18.76	0.04	988.7948	0.0024	10.16	0.02	1030.2217	0.0020	0.00912	0.00029	8.8577	0.0017	0.04525	0.00077	20.2290	0.00068	0.00153	0.00018	2.7680	0.00065	0.01079	0.00021	33.1892	0.00027	< 0.0010	(0.0)	17.6392	0.00100	9791	10	11227.0668	0.1	113.3	0.5	429.3417	0.3	95350	80	65549.7576	0.1	5.6	0.9	6.9715	1.3	26.1	0.7	46.2373	0.9	8.3	0.2	72.2621	0.4	790.3	2.3	1173.9893	0.1	49.3	0.7	73.5853	1.0	8.2	0.5	18.1438	1.5	16.7	0.8	33.2902	0.9	
Bp.E2.4.20-40.04	TQ Powders	7/5/2018 11:43:28 AM	14.2051	0.0485	0.0021	5.4436	0.014	20.12	0.04	1052.5434	0.0021	10.84	0.02	1074.1975	0.0020	0.02694	0.00079	9.8728	0.0017	0.01123	0.00053	5.1280	0.00079	0.00069	0.00010	2.0737	0.00067	0.02565	0.00031	75.3081	0.00031	< 0.0010	(0.0)	23.5469	0.00100	13200	10	14502.7281	0.1	197.2	0.7	705.9809	0.4	101500	100	66615.8490	0.1	31.7	1.1	37.6712	1.3	35.9	0.8	60.2870	0.9	17.9	0.3	147.1742	0.4	543.0	1.9	777.9524	0.1	50.3	0.7	72.4719	1.1	6.1	0.4	13.9873	1.3	18.5	1.1	35.3362	0.9	
Bp.E2.2.20-40.04	TQ Powders	7/5/2018 11:59:54 AM	14.3593	0.0410	0.0018	5.3462	0.014	20.37	0.04	1062.4668	0.0021	11.31	0.02	1113.6104	0.0020	0.02768	0.00081	9.9008	0.0018	0.01244	0.00054	5.5901	0.00079	< 0.00020	(0.0)	1.1518	0.00020	0.02452	0.00030	71.1153	0.00031	< 0.0010	(0.0)	25.1971	0.00100	13150	10	14257.6361	0.1	191.1	0.7	675.7146	0.4	102400	100	66562.0312	0.1	25.7	1.1	30.2729	1.2	36.8	0.8	61.2137	0.8	17.8	0.3	145.2380	0.4	540.3	1.9	769.0997	0.1	49.8	0.7	71.5640	1.1	4.6	0.4	11.3527	1.3	19.2	1.1	36.3665	0.9	
Bp.E2.3.20-40.04	TQ Powders	7/5/2018 12:15:50 PM	14.4059	0.0397	0.0017	5.3156	0.014	20.31	0.05	1037.1168	0.0022	11.06	0.02	1074.0611	0.0020	0.02518	0.00076	9.3986	0.0018	0.05121	0.00083	21.7295	0.00069	0.00092	0.00013	2.2338	0.00068	0.02459	0.00030	70.8367	0.00031	< 0.0010	(0.0)	22.2700	0.00100	13250	10	14281.6805	0.1	195.2	0.7	686.1273	0.4	102300	100	65881.3438	0.1	27.8	1.1	32.5492	1.2	36.8	0.8	60.8212	0.8	18.5	0.3	149.9307	0.4	545.7	1.9	771.1130	0.1	51.2	0.7	72.8440	1.1	6.5	0.4	14.5400	1.3	20.3	1.1	38.0902	0.9	
Mix1	TQ Powders	7/5/2018 12:31:45 PM	14.1052	0.01381	0.00063	4.9755	0.014	19.96	0.04	1006.6797	0.0022	11.63	0.03	1120.4981	0.0019	0.0368	0.0011	9.3916	0.0017	0.02872	0.00067	12.2925	0.00073	< 0.00067	(0.00026)	1.7227	0.00066	0.05044	0.00039	143.2373	0.00028	< 0.00022	(0.00015)	27.0182	0.00022	11170	10	11955.9158	0.1	158.7	0.6	559.7634	0.4	98820	90	63694.2157	0.1	23.5	1.0	27.9576	1.2	39.7	0.8	66.8169	0.8	7.0	0.2	57.6576	0.4	290.1	1.4	414.8018	0.6	26.4	0.5	39.9844	1.0	5.0	0.3	11.9304	1.1	23.1	0.6	43.8306	0.8	
Mix2	TQ Powders	7/5/2018 12:47:41 PM	13.9457	0.0556	0.0023	5.5219	0.013	19.97	0.04	1024.3333	0.0020	11.55	0.03	1126.2964	0.0019	0.03190	0.00100	8.7461	0.0017	0.02726	0.00066	11.8295	0.00072	< 0.00066	(0.00027)	1.7381	0.00065	0.05213	0.00039	149.5299	0.00027	< 0.0010	(0.0)	24.9793	0.00100	10400	10	11258.7029	0.1	140.3	0.6	501.4197	0.4	98040	90	64133.6480	0.1	19.9	1.0	23.8955	1.3	37.3	0.8	63.5501	0.9	7.4	0.2	61.6725	0.4	311.9	1.5	451.4349	0.6	26.4	0.5	40.2252	1.0	3.1	0.3	8.7283	1.1	23.7	0.7	45.4480	0.9	
Bo.P.1.10-20.04	TQ Powders	7/5/2018 1:05:34 PM	12.3173	0.0292	0.0012	5.1618	0.013	15.25	0.04	762.6329	0.0023	16.94	0.03	1688.2463	0.00039	0.02652	0.00078	9.2638	0.0017	0.03534	0.00069	14.3763	0.00062	0.00245	0.00021	3.3274	0.00062	0.01880	0.00026	52.0931	0.00028	0.1903	0.0005	898.8102	0.00100	9428	10	9745.0905	0.1	221.3	0.7	761.8994	0.3	70930	60	44807.8850	0.1	23.7	0.9	31.7728	1.0	31.2	0.6	59.2730	0.7	8.1	0.2	76.1459	0.3	451.6	1.7	708.3990	0.1	29.4	0.5	47.2290	0.9	4.2	0.4	11.0544	1.2	8.6	0.5	18.3969	0.7	
Bo.P.2.10-20.04	TQ Powders	7/5/2018 1:21:32 PM	12.2904	< 0.0020	(0.0)	4.7173	0.0020	15.91	0.04	792.1407	0.0022	17.89	0.03	1757.7297	0.00001	0.02057	0.00068	7.7896	0.0017	0.03221	0.00067	12.8050	0.00064	< 0.00063	(0.00037)	1.7922	0.00062	0.01878	0.00027	50.8117	0.00027	0.00418	0.00008	36.7737	0.00019	9411	10	9569.4516	0.1	103.0	0.5	349.4870	0.4	69380	60	43365.5038	0.1	20.9	0.8	28.0024	1.1	27.9	0.6	53.0699	0.8	4.6	0.2	43.4306	0.3	439.6	1.6	692.0017	0.1	30.4	0.5	48.8065	0.9	5.5	0.4	13.6992	1.2	7.5	0.5	16.0071	0.7	
Bo.P.3.10-20.04	TQ Powders	7/5/2018 1:37:30 PM	12.4205	< 0.0020	(0.0)	4.4915	0.0020	14.98	0.04	715.7780	0.0024	17.19	0.03	1654.7747	0.00021	0.01865	0.00064	7.3776	0.0017	0.03338	0.00068	13.2371	0.00062	0.00111	0.00013	2.3242	0.00062	0.01860	0.00026	50.3038	0.00027	0.00650	0.00010	47.6282	0.00019	9171	10	9344.2911	0.1	95.8	0.5	326.1143	0.3	71360	60	44171.9306	0.1	22.7	0.9	29.9644	1.1	26.6	0.6	49.7830	0.8	5.0	0.2	46.2435	0.3	443.3	1.7	681.2910	0.1	29.4	0.5	46.7242	0.9	3.9	0.3	10.4488	1.2	9.1	0.5	19.0080	0.8	
Bo.P.4.10-20.04	TQ Powders	7/5/2018 1:53:30 PM	12.3792	< 0.0020	(0.0)	4.2513	0.0020	15.47	0.04	739.8393	0.0024	17.18	0.03	1645.4684	0.00030	0.01813	0.00064	7.1459	0.0017	0.03293	0.00068	13.0119	0.00063	0.00226	0.00020	3.1423	0.00062	0.01954	0.00027	52.5909	0.00027	0.00794	0.00011	53.7502	0.00019	8778	9	8905.2795	0.1	90.5	0.5	307.5433	0.3	70610	60	43674.9756	0.1	22.6	0.9	29.8325	1.1	25.8	0.6	48.4845	0.8	4.7	0.2	43.9290	0.3	427.3	1.6	660.0622	0.1	28.0	0.5	44.7143	0.9	3.9	0.3	10.5684	1.2	9.1	0.5	18.9745	0.8	
Bo.P.3.0-10.16	TQ Powders	7/5/2018 2:09:31 PM	11.6213	< 0.0020	(0.0)	4.5495	0.0020	15.27	0.04	767.3484	0.0021	17.77	0.03	1768.6332	0.00001	0.02443	0.00071	9.1163	0.0016	0.03536	0.00067	14.3054	0.00058	0.00494	0.00028	5.1303	0.00061	0.02509	0.00029	68.7286	0.00026	0.03850	0.00025	192.8990	0.00018	8989	10	9280.6974	0.1	108.9	0.5	375.6885	0.3	61570	60	39097.4718	0.1	17.5	0.8	24.6735	1.0	26.5	0.6	53.0699	0.7	6.9	0.2	68.6735	0.3	475.4	1.7	781.2768	0.1	26.8	0.5	45.2228	0.9	4.2	0.4	11.4850	1.2	8.8	0.5	19.7638	0.7	
Bo.P.4.0-10.16	TQ Powders	7/5/2018 2:43:12 PM	12.3532	< 0.0020	(0.0)	4.4041	0.0020	21.78	0.06	674.2468	0.0034	23.70	0.04	1683.5008	0.00001	0.02924	0.00087	8.3204	0.0020	0.03954	0.00078	13.0476	0.00068	0.00419	0.00027	4.0307	0.00072	0.03083	0.00034	70.6956	0.00030	0.03935	0.00027	166.1007	0.00021	8999	10	7987.2258	0.1	102.0	0.5	309.9069	0.4	64630	60	32519.1411	0.1	20.4	0.8	25.7485	1.0	30.0	0.6	54.9199	0.7	6.0	0.2	52.0492	0.3	496.9	1.8	678.2861	0.1	30.6	0.6	42.8053	1.1	4.5	0.4	10.6750	1.4	8.7	0.5	16.4848	0.8	
Bo.P.1.10-20.16	TQ Powders	7/5/2018 2:59:00 PM	2.0500	< 0.0020	(0.0)	4.0304	0.0020	8.130	0.021	648.3674	0.0025	7.188	0.013	1545.1098	0.00001	0.00911	0.00030	7.3914	0.0013	0.01331	0.00029	11.2044	0.00051	0.00072	0.00007	2.6983	0.00046	0.00994	0.00012	60.1491	0.00020	< 0.0010	(0.0)	103.7733	0.00100	3638	4	8258.8642	0.1	48.2	0.2	362.5102	0.3	499300	3600	623711.3462	0.1	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	128	48	870.6021	0.5	477.8	1.9	627.6085	0.6	32.9	0.6	43.0429	2.1	4.3	0.4	9.9766	2.5	< 35	(19)	30.0208	35	
Bo.P.2.10-20.16	TQ Powders	7/5/2018 3:14:59 PM	12.1933	< 0.0020	(0.0)	4.5493	0.0020	15.24	0.04	773.6161	0.0022	16.97	0.03	1711.4424	0.00024	0.02187	0.00070	8.2163	0.0017	0.03238	0.00067	13.3021	0.00063	0.00267	0.00021	3.5117	0.00061	0.02139	0.00027	59.6570	0.00027	0.00886	0.00012	60.2079	0.00019	9277	10	9738.2291	0.1	97.9	0.5	342.6771	0.4	71090	70	45674.5765	0.1	21.9	0.9	29.5803	1.1	24.4	0.6	46.8251	0.7	5.9	0.2	56.2402	0.3	442.8	1.6	702.4499	0.1	29.1	0.5	47.3705	0.9	3.7	0.3	10.2056	1.2	8.9	0.5	19.2335	0.7	
Bo.P.3.10-20.16	TQ Powders	7/5/2018 3:30:33 PM	11.8181	< 0.0020	(0.0)	4.1918	0.0020	14.94	0.04	689.0943	0.0023	18.13	0.03	1686.8602	0.00001	0.02252	0.00071	7.8626	0.0016	0.03021	0.00065	11.6254	0.00059	0.00358	0.00024	4.0079	0.00061	0.02108	0.00027	55.2030	0.00026	0.03086	0.00023	150.3107	0.00018	8484	9	8391.5483	0.1	97.8	0.5	325.1484	0.3	60310	60	36385.8966	0.1	20.5	0.8	28.0804	1.0	23.1	0.5	45.0264	0.7	6.2	0.2	59.7130	0.3	422.7	1.6	666.5510	0.2	27.3	0.5	44.0530	0.9	4.1	0.3	10.9350	1.2	7.7	0.5	16.6782	0.7	
Bo.P.4.10-20.16	TQ Powders	7/5/2018 3:46:06 PM	11.8975	< 0.0020	(0.0)	4.4355	0.0020	14.80	0.04	680.5324	0.0023	18.84	0.03	1747.7811	0.00001	0.01750	0.00054	8.0261	0.0017	0.03063	0.00066	11.6611	0.00060	0.00459	0.00027	4.6740	0.00061	0.02305	0.00028	59.5852	0.00027	0.01221	0.00015	67.6720	0.00019	8902	10	8700.9818	0.1	98.7	0.5	323.7601	0.3	59990	60	35801.0673	0.1	20.7	0.8	28.1248	1.0	29.9	0.6	57.8848	0.7	5.7	0.2	54.1387	0.3	537.0	1.8	844.6157	0.1	28.8	0.5	46.5667	0.9	3.9	0.4	10.4851	1.3	8.0	0.5	17.3156	0.7	
