McMahon_VgE
Element	Description	Method	Eval Date	Mass coefficient.	Mg	Mg	Al	Al	Si	Si	P	P	S	S	Cl	Cl	K	K	Ca	Ca	Ti	Ti	Mn	Mn	Fe	Fe	Cu	Cu	Zn	Zn	Rb	Rb	Sr	Sr	Zr	Zr	Nb	Nb	Mo	Mo	Pb	Pb	
Dimension				cm²/g	%	Norm. Int.	%	Norm. Int.	%	Norm. Int.	%	Norm. Int.	%	Norm. Int.	%	Norm. Int.	%	Norm. Int.	%	Norm. Int.	µg/g	Norm. Int.	µg/g	Norm. Int.	µg/g	Norm. Int.	µg/g	Norm. Int.	µg/g	Norm. Int.	µg/g	Norm. Int.	µg/g	Norm. Int.	µg/g	Norm. Int.	µg/g	Norm. Int.	µg/g	Norm. Int.	µg/g	Norm. Int.	
Vg.E.Ee1.1.0-10.16		TQ Powders	7/10/2017 11:36:27 AM	13.8764	0.0933	6.1720	18.50	1062.2409	9.842	1072.4403	0.02192	12.7599	0.06333	29.6280	0.00551	6.2375	0.01853	59.3610	0.00353	50.9347	10980	13126.9758	186.6	729.7592	105500	75737.1169	9.8	12.0387	39.0	67.3649	< 0.5	23.5442	13.3	112.8366	923.3	1354.2885	61.0	89.7521	8.6	18.9380	16.7	32.8655	
Vg.E.Ee2.1.0-10.16		TQ Powders	7/10/2017 11:50:24 AM	13.9821	0.0570	5.5864	18.35	996.3590	10.73	1121.2241	0.01668	11.7367	0.05665	25.4454	0.00488	5.5183	0.01864	57.2330	0.00405	50.8809	10720	12312.6779	207.9	784.3109	103200	71209.4853	11.0	13.3002	45.8	78.4129	< 0.6	23.0705	13.8	115.4528	966.1	1394.5440	61.2	88.4410	8.3	18.0176	17.8	34.5137	
Vg.E.L.1.0-10.16		TQ Powders	7/10/2017 12:04:17 PM	14.0764	0.0350	5.3103	18.38	1054.8561	9.396	1027.6277	0.01730	12.1058	0.05661	26.6637	0.00878	9.1045	0.02010	64.9359	0.00447	57.2175	11510	13886.5652	185.2	727.9383	108700	78282.6602	8.6	10.3385	37.3	63.6498	< 0.5	21.6343	12.4	103.3156	969.1	1403.0203	64.8	93.7130	9.5	20.2375	13.7	26.5599	
Vg.E.T.1.0-10.16		TQ Powders	7/10/2017 12:18:12 PM	14.1210	0.0666	5.7333	18.69	1030.9665	9.963	1050.6584	0.00513	10.4575	0.06299	28.6204	0.00683	7.2124	0.01638	51.2192	0.00480	56.4490	11100	12951.8786	193.2	738.0880	106200	74208.2714	9.0	10.8020	41.9	71.1399	< 0.5	21.7910	12.7	105.2638	1092	1567.6100	62.5	90.0000	9.1	19.4526	13.2	25.5164	
Vg.E.Ee1.2.0-10.16		TQ Powders	7/10/2017 12:32:07 PM	13.7553	0.0456	5.4356	17.93	984.8853	9.925	1053.8597	0.01791	12.2330	0.06828	31.3624	0.00527	5.9492	0.01986	62.5881	0.01055	86.2813	10460	12347.1498	158.2	613.7218	102700	72479.1794	8.2	10.0768	33.5	58.1992	< 0.5	20.4237	11.3	96.1096	972.1	1419.7594	57.5	84.1895	8.3	18.1756	16.1	31.5471	
Vg.E.T.4.0-10.16		TQ Powders	7/10/2017 12:46:01 PM	14.1585	0.0647	5.6809	18.78	1006.1293	10.31	1060.7235	0.01169	11.4414	0.1121	49.6073	0.00548	5.9805	0.01763	53.8001	0.00793	70.6247	11380	12974.9899	177.7	664.0803	104800	71462.1183	8.7	10.4238	36.1	61.0011	< 0.5	18.7528	11.9	98.0040	1064	1516.0287	62.5	88.9268	8.3	17.8459	12.6	24.1491	
Vg.E.Ee1.3.0-10.16		TQ Powders	7/10/2017 12:59:56 PM	13.9976	0.0654	5.7068	18.95	1033.2880	9.918	1032.5860	< 0.0017	9.5961	0.05975	27.0125	0.00441	5.1680	0.01704	52.8696	0.01140	89.4480	11350	13141.3444	164.0	621.8686	103900	71978.0600	7.5	9.0895	37.8	64.6718	< 0.5	19.3088	11.3	94.4867	1081	1559.0285	62.9	90.9136	8.2	17.9106	15.7	30.4050	
Vg.E.L.2.0-10.16		TQ Powders	7/10/2017 1:13:51 PM	14.1548	0.0495	5.4936	18.59	1025.0452	9.698	1024.8619	0.01213	10.8649	0.06243	28.5184	0.00313	4.1488	0.01466	46.1906	0.00043	34.0638	11170	13124.1425	164.0	630.5411	107200	75150.8422	7.5	8.9800	37.4	63.3386	< 0.5	21.4493	10.7	88.4653	973.5	1394.2738	63.2	90.3667	9.9	20.6907	13.1	25.2294	
Vg.E.Ee2.2.0-10.16		TQ Powders	7/10/2017 1:27:45 PM	14.0196	< 0.0020	4.3904	18.44	1009.9956	10.01	1053.3545	< 0.0017	9.1581	0.05205	23.7165	0.00647	6.9095	0.01887	58.9064	0.00833	74.5100	10890	12716.3510	165.6	634.3623	105200	73486.5540	6.9	8.3286	30.7	52.3293	< 0.6	24.2903	10.9	91.1904	1025	1476.3092	62.9	90.3743	8.3	17.9651	14.7	28.3783	
Vg.E.4.10-20.16		TQ Powders	7/10/2017 1:41:40 PM	13.9615	0.0311	5.2137	19.03	1004.1980	9.675	981.7257	< 0.00030	8.8964	0.05885	26.1888	0.00399	4.7698	0.01410	43.2730	0.00130	36.2071	11040	12650.3727	166.4	625.6773	102600	70115.9061	8.6	10.3353	37.2	63.5290	0.3	24.1047	11.3	94.0183	1184	1629.6207	67.2	90.4791	9.9	19.6020	14.2	27.4387	
Vg.E.3.10-20.16		TQ Powders	7/10/2017 1:55:34 PM	13.8450	0.0458	5.4033	19.74	1029.6291	10.22	1015.7929	< 0.00030	7.9075	0.05739	24.9783	0.00262	3.6072	0.01354	40.5804	0.00847	70.3584	10870	12153.3374	156.9	577.1574	99330	66654.0949	6.3	7.6375	31.3	53.7397	< 0.5	18.4246	10.0	83.6531	1072	1438.4772	67.9	88.9250	9.9	19.0596	14.0	27.0575	
Vg.E.T.2.0-10.16		TQ Powders	7/10/2017 2:09:29 PM	13.9574	0.0571	5.5938	18.59	1016.0767	11.19	1168.8779	0.00806	11.5465	0.06542	29.0683	0.00414	4.8837	0.02213	67.2560	0.00758	68.0750	11040	12560.7516	170.5	636.2321	102000	69939.7656	8.2	10.0039	33.3	57.0891	< 0.5	18.2405	11.1	93.2032	1150	1655.1930	63.8	91.5616	8.5	18.3390	14.8	28.7113	
