McMahon_6-27-18
Element	Method	Eval Date	Mass coefficient.	Mg	Mg	Mg	Mg	Al	Al	Al	Al	Si	Si	Si	Si	P	P	P	P	S	S	S	S	Cl	Cl	Cl	Cl	K	K	K	K	Ca	Ca	Ca	Ca	Ti	Ti	Ti	Ti	Cr	Cr	Cr	Cr	Mn	Mn	Mn	Mn	Fe	Fe	Fe	Fe	Co	Co	Co	Co	Ni	Ni	Ni	Ni	Cu	Cu	Cu	Cu	Zn	Zn	Zn	Zn	Ga	Ga	Ga	Ga	Ge	Ge	Ge	Ge	As	As	As	As	Se	Se	Se	Se	Br	Br	Br	Br	Sr	Sr	Sr	Sr	Zr	Zr	Zr	Zr	Nb	Nb	Nb	Nb	Mo	Mo	Mo	Mo	Ru	Ru	Ru	Ru	Rh	Rh	Rh	Rh	Pd	Pd	Pd	Pd	Ag	Ag	Ag	Ag	Cd	Cd	Cd	Cd	In	In	In	In	Sn	Sn	Sn	Sn	Sb	Sb	Sb	Sb	I	I	I	I	Cs	Cs	Cs	Cs	Ba	Ba	Ba	Ba	Ta	Ta	Ta	Ta	W	W	W	W	Ir	Ir	Ir	Ir	Pt	Pt	Pt	Pt	Au	Au	Au	Au	Hg	Hg	Hg	Hg	Tl	Tl	Tl	Tl	Pb	Pb	Pb	Pb	Bi	Bi	Bi	Bi	
Dimension			cm²/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	
Eu.E2.1.20-40.16_2	TQ Powders	9/4/2018 5:53:04 PM	8.8996	0.0551	0.0021	5.6014	0.011	16.40	0.04	927.8163	0.0050	23.03	0.03	2409.2258	0.00001	0.01799	0.00032	16.0468	0.0015	0.03950	0.00063	15.7761	0.00042	0.01145	0.00035	9.6300	0.00057	0.04678	0.00038	123.2187	0.00025	0.04871	0.00029	220.5298	0.00020	9322	10	9242.4033	0.1	36.5	0.3	104.8339	0.3	45.0	0.4	149.1589	0.4	19430	20	12467.9017	0.1	< 10	(4.4)	1.9664	10	22.1	0.6	31.7003	1.0	< 0.5	(0.0)	0.0000	0.5	24.7	0.4	64.4919	0.5	23.1	0.4	81.4225	0.6	< 0.5	(0.0)	0.0000	0.5	4.7	0.3	25.2717	0.3	1.9	0.2	11.8849	0.3	16.1	0.2	117.9741	0.2	13.1	0.1	173.0337	0.2	1034	2	2140.6121	0.1	35.5	0.5	73.0571	0.8	5.0	0.5	15.3433	1.5	0.9	0.2	3.1040	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.2)	2.4100	0.5	3.8	0.1	37.0333	0.8	2.7	0.3	6.7758	0.7	4.5	0.2	17.4631	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	1.9305	0.5	10.6	0.6	40.2887	3.0	< 1.0	(0.0)	0.0000	1.0	< 1.5	(0.0)	32.8442	1.5	< 1.6	(0.0)	25.3905	1.6	< 1.2	(0.0)	2.8956	1.2									3.2	0.4	7.1418	0.7	< 0.7	(0.0)	4.1165	0.7	< 0.7	(0.0)	0.0000	0.7	9.9	0.4	29.5286	0.6	< 0.5	(0.0)	0.0000	0.5	
Eu.E2.4.40-60.16	TQ Powders	9/4/2018 12:12:38 PM	9.3985	< 0.011	(0.0078)	4.9126	0.011	14.80	0.03	838.2386	0.0062	26.35	0.04	2742.5162	0.00001	< 0.00030	(0.0)	1.9984	0.00030	0.02399	0.00055	9.1794	0.00050	0.00417	0.00027	4.2828	0.00060	0.02876	0.00031	70.2207	0.00026	0.02052	0.00020	88.3911	0.00019	7736	9	7037.6667	0.1	121.3	0.6	290.0236	0.4	41.1	0.4	125.4764	0.6	19240	20	11879.4162	0.1	< 3.0	(0.0)	1.2158	3.0	54.5	0.8	72.0703	1.0	7.4	0.5	13.1856	0.7	25.0	0.4	63.0563	0.5	29.9	0.4	97.7812	0.6	1.1	0.3	2.7881	0.6	5.4	0.3	28.0797	0.3	1.4	0.2	7.9764	0.3	16.3	0.2	111.9207	0.2	13.2	0.1	173.4257	0.2	1055	2	2222.9034	0.1	38.1	0.5	79.9049	0.7	8.2	0.5	23.5150	1.4	1.3	0.2	4.2865	0.5	< 0.5	(0.0)	0.0000	0.5	0.6	0.1	3.5357	0.5	3.1	0.1	35.7568	0.8	2.5	0.3	6.1149	0.6	3.9	0.2	15.9471	0.6	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	3.5842	0.5	17.6	0.7	55.7118	2.8	< 1.0	(0.0)	0.0000	1.0	< 1.5	(0.0)	49.9966	1.5	< 1.6	(0.0)	17.3153	1.6	< 1.2	(0.0)	2.3059	1.2									2.5	0.4	5.3141	0.7	< 0.7	(0.0)	3.6999	0.7	< 0.7	(0.0)	0.0000	0.7	11.6	0.4	35.1652	0.5	< 0.5	(0.0)	0.0000	0.5	
Eu.E2.3.40-60.16	TQ Powders	9/4/2018 11:52:16 AM	9.3689	0.01221	0.00051	4.9786	0.011	14.49	0.03	821.7436	0.0062	26.47	0.04	2767.0465	0.00001	< 0.00030	(0.0)	1.8995	0.00030	0.01909	0.00051	7.3923	0.00052	0.00549	0.00028	5.1618	0.00060	0.02880	0.00031	70.4730	0.00026	0.03354	0.00025	141.6281	0.00019	7659	9	6983.5827	0.1	113.4	0.6	272.8669	0.4	44.8	0.4	137.1393	0.6	19000	20	11761.0199	0.1	< 3.0	(0.0)	0.9013	3.0	52.4	0.8	69.5918	1.0	4.9	0.5	8.7828	0.7	24.8	0.4	62.6955	0.5	28.7	0.4	94.1796	0.6	< 0.5	(0.0)	0.0000	0.5	4.8	0.3	24.9231	0.3	1.9	0.2	11.2772	0.3	17.6	0.2	121.7962	0.2	13.9	0.1	183.1921	0.2	1055	2	2228.2011	0.1	39.1	0.5	82.1182	0.8	7.9	0.5	22.8216	1.4	1.1	0.2	3.6697	0.5	< 0.5	(0.0)	0.0000	0.5	0.5	0.1	3.2496	0.5	3.8	0.1	36.9693	0.8	2.6	0.3	6.3757	0.7	3.8	0.2	15.7292	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	2.8913	0.5	23.2	0.8	67.6864	2.9	< 1.0	(0.0)	7.7719	1.0	< 1.5	(0.0)	56.0099	1.5	< 1.6	(0.0)	20.9928	1.6	1.1	0.2	4.4753	1.0									3.3	0.4	7.0221	0.7	< 0.7	(0.0)	3.9407	0.7	< 0.7	(0.0)	0.3773	0.7	11.7	0.4	35.4248	0.5	< 0.5	(0.0)	0.0000	0.5	
Eu.E2.2.40-60.16	TQ Powders	9/4/2018 11:38:27 AM	9.4895	0.02530	0.00100	5.1749	0.011	15.70	0.04	883.5970	0.0058	25.17	0.04	2585.7505	0.00001	< 0.00030	(0.0)	6.1480	0.00030	0.02922	0.00058	11.2198	0.00048	0.00429	0.00027	4.3790	0.00059	0.02729	0.00030	67.1241	0.00025	0.02382	0.00021	103.1354	0.00019	7343	9	6733.9979	0.1	127.2	0.6	302.6071	0.4	44.6	0.4	137.6346	0.6	21530	30	13401.5628	0.1	< 11	(0.0)	1.9138	11	54.8	0.8	72.0395	1.0	7.0	0.5	12.4184	0.7	26.6	0.4	66.3193	0.5	32.9	0.4	106.5819	0.6	1.8	0.3	4.5531	0.6	5.5	0.3	28.2753	0.3	1.7	0.2	9.7686	0.3	21.3	0.2	145.1096	0.2	14.7	0.1	190.4090	0.2	845.8	2.0	1763.8237	0.1	38.0	0.5	78.7149	0.8	7.2	0.5	20.8828	1.3	1.0	0.2	3.2599	0.5	< 0.5	(0.0)	0.0000	0.5	0.4	0.1	2.8677	0.4	3.2	0.1	35.8218	0.8	2.7	0.3	6.7158	0.7	4.5	0.2	17.4146	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	2.1079	0.5	22.1	0.8	64.8175	2.9	< 1.0	(0.0)	8.7502	1.0	< 1.5	(0.0)	64.0700	1.5	< 1.6	(0.0)	16.6561	1.6	< 1.2	(0.0)	3.1861	1.2									3.0	0.4	6.3617	0.7	< 0.7	(0.0)	2.5762	0.7	< 0.7	(0.0)	0.0105	0.7	13.6	0.4	40.8305	0.5	< 0.5	(0.0)	0.0000	0.5	
Eu.E2.1.40-60.16_wL	TQ Powders	9/4/2018 11:24:40 AM	9.2902	< 0.011	(0.0084)	4.9232	0.011	14.03	0.03	806.1698	0.0064	27.45	0.04	2924.1053	0.00001	< 0.00030	(0.0)	7.6490	0.00030	0.02834	0.00057	10.8388	0.00048	0.00480	0.00029	4.7234	0.00059	0.02759	0.00030	67.9036	0.00025	0.01579	0.00018	69.6182	0.00019	7124	8	6543.0087	0.1	136.7	0.7	326.9566	0.4	49.3	0.5	152.3360	0.6	18820	20	11757.4605	0.1	< 11	(0.0)	1.8525	11	58.3	0.9	77.8343	1.0	6.5	0.5	11.7740	0.7	25.5	0.4	64.9718	0.5	27.8	0.4	92.2771	0.6	< 0.4	(0.4)	1.0570	0.4	5.3	0.3	28.0693	0.3	1.6	0.2	9.5134	0.3	15.8	0.2	110.3202	0.2	12.3	0.1	163.2459	0.2	953.5	2.1	2026.7926	0.1	35.7	0.5	75.6720	0.7	8.1	0.5	23.4575	1.4	1.2	0.2	3.8953	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.3)	2.4911	0.5	1.7	0.1	33.2996	0.8	2.4	0.3	6.0567	0.7	3.7	0.2	15.3371	0.6	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	19.7	0.7	60.1883	2.8	< 1.0	(0.0)	0.0000	1.0	< 1.5	(0.0)	50.2730	1.5	< 1.6	(0.0)	18.7548	1.6	< 1.2	(0.0)	1.9571	1.2									3.2	0.4	6.8760	0.7	< 0.7	(0.0)	5.2120	0.7	< 0.7	(0.0)	0.0000	0.7	11.4	0.4	35.0605	0.5	< 0.5	(0.0)	0.0000	0.5	
Eu.E2.1.40-60.16_noL	TQ Powders	9/4/2018 11:10:50 AM	9.4905	< 0.011	(0.0051)	4.8718	0.011	14.78	0.03	837.0653	0.0062	26.25	0.04	2730.5850	0.00001	< 0.00030	(0.0)	7.1837	0.00030	0.02552	0.00055	9.7726	0.00050	0.00612	0.00029	5.5705	0.00059	0.02691	0.00030	65.6891	0.00025	0.00904	0.00015	41.9971	0.00019	7424	9	6749.9671	0.1	127.0	0.6	301.9049	0.4	50.5	0.4	154.4658	0.6	20560	20	12695.9920	0.1	< 3.0	(0.0)	1.0058	3.0	56.0	0.9	73.3737	1.0	4.4	0.6	7.7638	0.7	27.1	0.4	67.6530	0.5	28.1	0.4	91.2588	0.6	< 0.5	(0.0)	0.0000	0.5	5.0	0.3	25.9841	0.3	1.4	0.2	8.0781	0.3	16.6	0.2	113.5024	0.2	12.7	0.1	164.8630	0.2	1000	2	2085.3605	0.1	38.4	0.5	79.5981	0.8	8.5	0.5	24.0623	1.4	1.1	0.2	3.5594	0.5	< 0.5	(0.0)	0.0000	0.5	0.4	0.1	2.9011	0.4	1.7	0.1	33.2654	0.8	2.7	0.3	6.6068	0.7	3.8	0.2	15.4564	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	22.0	0.8	64.4464	2.8	< 1.0	(0.0)	0.0000	1.0	< 1.5	(0.0)	57.7178	1.5	< 1.6	(0.0)	24.3811	1.6	< 1.2	(0.0)	2.4308	1.2									2.7	0.4	5.7417	0.8	< 0.7	(0.0)	4.8301	0.7	< 0.1	(0.1)	0.5134	0.1	13.0	0.4	38.8190	0.5	< 0.5	(0.0)	0.0000	0.5	
Eu.E2.4.60-100.16	TQ Powders	9/4/2018 10:57:04 AM	9.3901	0.1061	0.0036	6.3371	0.010	19.53	0.04	1093.5684	0.0016	19.39	0.03	1946.3614	0.00001	< 0.00030	(0.0)	2.3106	0.00030	0.03130	0.00061	12.8473	0.00046	0.00629	0.00028	6.0495	0.00057	0.03247	0.00032	87.1391	0.00027	0.01896	0.00019	92.5805	0.00020	10280	10	10361.6320	0.1	40.5	0.4	116.0312	0.5	44.0	0.4	147.7708	0.4	27450	30	17747.0263	0.1	< 10	(2.9)	1.9218	10	26.2	0.7	36.0278	1.1	< 0.5	(0.0)	0.0000	0.5	31.9	0.5	79.2898	0.5	35.6	0.5	118.7303	0.6	< 0.5	(0.0)	0.0000	0.5	7.4	0.3	37.7618	0.3	1.5	0.2	9.0677	0.3	17.4	0.2	121.4031	0.2	14.8	0.2	184.4793	0.2	1094	2	2175.5542	0.1	43.1	0.5	84.7804	0.8	6.6	0.5	18.6401	1.5	1.0	0.2	3.2793	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.3)	2.5273	0.5	2.8	0.1	35.0242	0.8	2.5	0.3	6.1641	0.7	4.1	0.2	16.2485	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	22.4	0.8	64.2788	2.9	< 1.0	(0.0)	7.7421	1.0	< 1.5	(0.0)	51.9876	1.5	< 1.6	(0.0)	24.5192	1.6	< 1.2	(0.0)	1.7119	1.2									2.9	0.4	6.2955	0.8	< 0.7	(0.0)	6.8808	0.7	< 0.7	(0.0)	0.0000	0.7	14.4	0.5	40.9979	0.6	< 0.5	(0.0)	0.0000	0.5	
Eu.E2.3.60-100.16	TQ Powders	9/4/2018 10:43:13 AM	9.3468	0.0578	0.0021	5.6386	0.010	17.94	0.04	992.0970	0.0036	21.25	0.03	2125.1546	0.00001	< 0.00030	(0.0)	8.3445	0.00030	0.03518	0.00061	13.8860	0.00045	0.00558	0.00027	5.3861	0.00057	0.02899	0.00031	74.4433	0.00027	0.01832	0.00019	84.7595	0.00019	9382	10	9001.2610	0.1	41.3	0.4	111.6515	0.4	42.6	0.4	136.3725	0.5	23250	30	15005.9484	0.1	< 3.0	(0.0)	1.2912	3.0	23.3	0.7	32.7536	1.0	2.4	0.5	4.4224	0.7	28.0	0.4	71.3823	0.5	32.1	0.4	106.1696	0.6	< 0.5	(0.0)	0.0000	0.5	5.8	0.3	30.6339	0.3	1.5	0.2	8.8448	0.3	11.7	0.2	81.1632	0.2	12.8	0.1	167.5665	0.2	922.7	2.1	1943.1139	0.1	37.1	0.5	77.7023	0.8	6.0	0.5	17.9180	1.3	0.9	0.2	3.0646	0.5	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	4.5	0.1	38.2086	0.8	2.5	0.3	6.0303	0.7	4.7	0.2	17.9551	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	17.6	0.7	55.0391	2.9	< 1.0	(0.0)	5.3878	1.0	< 1.5	(0.0)	52.8766	1.5	< 1.6	(0.0)	20.6378	1.6	0.9	0.1	4.3255	0.8									2.8	0.4	5.9503	0.8	< 0.7	(0.0)	4.9066	0.7	< 0.7	(0.0)	0.0000	0.7	12.6	0.5	38.4134	0.5	< 0.5	(0.0)	0.0000	0.5	
Eu.E2.2.60-100.16	TQ Powders	9/4/2018 10:29:24 AM	9.3699	0.0917	0.0031	6.1502	0.010	19.35	0.04	1084.0076	0.0027	19.75	0.03	1968.0627	0.00001	< 0.00030	(0.0)	7.3457	0.00030	0.03816	0.00063	15.3298	0.00045	0.00469	0.00027	4.8341	0.00057	0.03085	0.00032	80.7873	0.00026	0.01275	0.00016	62.8243	0.00019	9174	10	8992.7417	0.1	43.6	0.4	117.6304	0.5	42.8	0.4	140.0449	0.5	25760	30	16962.2354	0.1	< 10	(2.7)	1.8826	10	25.5	0.7	35.8784	1.0	4.0	0.5	7.1822	0.7	28.4	0.5	72.2248	0.5	35.9	0.5	118.7568	0.6	< 0.3	(0.3)	0.8379	0.3	6.3	0.3	33.2776	0.3	1.6	0.2	9.4131	0.3	14.8	0.2	102.8689	0.2	13.2	0.1	173.3308	0.2	792.9	1.9	1669.7826	0.1	37.6	0.5	78.5813	0.8	5.4	0.4	16.5012	1.3	1.4	0.2	4.4061	0.5	< 0.5	(0.0)	0.0000	0.5	0.6	0.1	3.2830	0.5	4.1	0.1	37.3962	0.8	2.2	0.3	5.4181	0.7	4.2	0.2	16.6123	0.7	< 0.5	(0.0)	0.0000	0.5	< 0.5	(0.0)	0.0000	0.5	26.6	0.8	73.9408	2.9	< 1.0	(0.0)	7.3435	1.0	< 1.5	(0.0)	43.8881	1.5	< 1.6	(0.0)	17.4223	1.6	< 1.2	(0.0)	1.4800	1.2									3.1	0.4	6.5728	0.8	< 0.7	(0.0)	5.8764	0.7	< 0.7	(0.0)	0.0000	0.7	13.9	0.5	42.2880	0.5	< 0.5	(0.0)	0.0000	0.5	
