Stand,Nutrient,In_kgha,n_in,Out_kgha,n_out,Wood_m3,Budget,Concentration,Past_harvests_known
Eu.E1,N,60.04,1,158.979509,1,261.85,-98.93950896,0.00118814,1
Eu.E1,P,55.2412,1,4.10722906,1,261.85,51.13397094,3.06956E-05,1
Eu.E1,K,141.1332,1,50.80723694,1,261.85,90.32596306,0.00037971,1
Eu.E1,Ca,285.8783458,1,159.7556741,1,261.85,126.1226718,0.001193941,1
Eu.E1,Mg,24.12167527,1,17.16465685,1,261.85,6.957018419,0.000128281,1
Eu.E2,N,103,2,505.757016,2,833.016,-402.757016,0.00118814,1
Eu.E2,P,95.266,2,13.06621166,2,833.016,82.19978834,3.06956E-05,1
Eu.E2,K,395.6859,2,161.6316261,2,833.016,234.0542739,0.00037971,1
Eu.E2,Ca,428.8175188,2,508.226208,2,833.016,-79.40868928,0.001193941,1
Eu.E2,Mg,36.1825129,2,54.60543743,2,833.016,-18.42292452,0.000128281,1
It.E1,N,50,3,142.1947203,2,456,-92.19472026,0.000610236,1
It.E1,P,171.784,3,16.61514394,2,456,155.1688561,7.13047E-05,1
It.E1,K,263.94,3,200.5194568,2,456,63.42054318,0.000860539,1
It.E1,Ca,1899,3,267.0014992,2,456,1631.998501,0.00114585,1
It.E1,Mg,216,3,45.74531233,2,456,170.2546877,0.000196318,1
It.E2,N,12,2,78.8931233,1,253,-66.8931233,0.000610236,1
It.E2,P,107.256,2,9.218489951,1,253,98.03751005,7.13047E-05,1
It.E2,K,87.98,2,111.2531197,1,253,-23.27311968,0.000860539,1
It.E2,Ca,1266,2,148.1389897,1,253,1117.86101,0.00114585,1
It.E2,Mg,144,2,25.38062285,1,253,118.6193772,0.000196318,1
Bp.E1,N,139.2112,2,105.7254414,2,206.34,33.4857586,0.00100271,0
Bp.E1,P,28.738068,2,4.162979232,2,206.34,24.57508877,3.94821E-05,0
Bp.E1,K,262.427408,2,18.98896419,2,206.34,243.4384438,0.000180093,0
Bp.E1,Ca,1096.928292,2,116.2471123,2,206.34,980.6811797,0.001102498,0
Bp.E1,Mg,503.712,2,6.316077166,2,206.34,497.3959228,5.99022E-05,0
Vg.E,N,48,1,195.498957,1,322,-147.498957,0.00118814,1
Vg.E,P,34.88,1,5.050707494,1,322,29.82929251,3.06956E-05,1
Vg.E,K,192.56,1,62.47825203,1,322,130.081748,0.00037971,1
Vg.E,Ca,428.4,1,196.4534162,1,322,231.9465838,0.001193941,1
Vg.E,Mg,90.45,1,21.10757879,1,322,69.34242121,0.000128281,1
BO.E,N,72,2,209.4976861,2,460,-137.4976861,0.000891252,0
BO.E,P,52.32,2,8.790563643,2,460,43.52943636,3.73971E-05,0
BO.E,K,288.84,2,58.65310953,2,460,230.1868905,0.000249524,0
BO.E,Ca,571.2,2,147.1164268,2,460,424.0835732,0.000625868,0
BO.E,Mg,120.6,2,18.93049293,2,460,101.6695071,8.05347E-05,0
JP.E2,N,208.5,2,152.1161307,2,510.34,112.7677386,0.000583304,0
JP.E2,P,44.908,2,3.913824556,2,510.34,81.98835089,1.50079E-05,0
JP.E2,K,186.75,2,87.38327831,2,510.34,198.7334434,0.000335079,0
JP.E2,Ca,623.2964,2,189.0272273,2,510.34,868.5383454,0.000724843,0
JP.E2,Mg,329.5,2,23.69067611,2,510.34,611.6186478,9.08441E-05,0
JP.E1,N,210.1,2,80.59518897,2,267.32,259.0096221,0.000590006,0
JP.E1,P,40.6134,2,2.936876841,2,267.32,75.35304632,2.14997E-05,0
JP.E1,K,155.708,2,47.92693466,2,267.32,215.5621307,0.000350855,0
JP.E1,Ca,731.9464,2,97.01038715,2,267.32,1269.872026,0.000710176,0
JP.E1,Mg,395.4,2,16.58720945,2,267.32,757.6255811,0.000121429,0
