McMahon_6-27-18																																																																																																																																																																																																																						
Element	Method	Eval Date	Mass	Mass coefficient.	Mg	Mg	Mg	Mg	Mg	Al	Al	Al	Al	Al	Si	Si	Si	Si	Si	P	P	P	P	P	S	S	S	S	S	Cl	Cl	Cl	Cl	Cl	K	K	K	K	K	Ca	Ca	Ca	Ca	Ca	Ti	Ti	Ti	Ti	Ti	Cr	Cr	Cr	Cr	Cr	Mn	Mn	Mn	Mn	Mn	Fe	Fe	Fe	Fe	Fe	Co	Co	Co	Co	Co	Ni	Ni	Ni	Ni	Ni	Cu	Cu	Cu	Cu	Cu	Zn	Zn	Zn	Zn	Zn	Ga	Ga	Ga	Ga	Ga	Ge	Ge	Ge	Ge	Ge	As	As	As	As	As	Se	Se	Se	Se	Se	Br	Br	Br	Br	Br	Sr	Sr	Sr	Sr	Sr	Zr	Zr	Zr	Zr	Zr	Nb	Nb	Nb	Nb	Nb	Mo	Mo	Mo	Mo	Mo	Pd	Pd	Pd	Pd	Pd	Ag	Ag	Ag	Ag	Ag	Cd	Cd	Cd	Cd	Cd	Sn	Sn	Sn	Sn	Sn	Ba	Ba	Ba	Ba	Ba	La	La	La	La	La	Hf	Hf	Hf	Hf	Hf	Ta	Ta	Ta	Ta	Ta	W	W	W	W	W	Re	Re	Re	Re	Re	Os	Os	Os	Os	Os	Ir	Ir	Ir	Ir	Ir	Pt	Pt	Pt	Pt	Pt	Au	Au	Au	Au	Au	Hg	Hg	Hg	Hg	Hg	Tl	Tl	Tl	Tl	Tl	Pb	Pb	Pb	Pb	Pb
Dimension				cm?/g	%	Abs. Error ( %)	Netto Counts	Norm. Int.	%	%	Abs. Error ( %)	Netto Counts	Norm. Int.	%	%	Abs. Error ( %)	Netto Counts	Norm. Int.	%	%	Abs. Error ( %)	Netto Counts	Norm. Int.	%	%	Abs. Error ( %)	Netto Counts	Norm. Int.	%	%	Abs. Error ( %)	Netto Counts	Norm. Int.	%	%	Abs. Error ( %)	Netto Counts	Norm. Int.	%	%	Abs. Error ( %)	Netto Counts	Norm. Int.	%	?g/g	Abs. Error ( ?g/g)	Netto Counts	Norm. Int.	?g/g	?g/g	Abs. Error ( ?g/g)	Netto Counts	Norm. Int.	?g/g	?g/g	Abs. Error ( ?g/g)	Netto Counts	Norm. Int.	?g/g	?g/g	Abs. Error ( ?g/g)	Netto Counts	Norm. Int.	?g/g	?g/g	Abs. Error ( ?g/g)	Netto Counts	Norm. Int.	?g/g	?g/g	Abs. Error ( ?g/g)	Netto Counts	Norm. Int.	?g/g	?g/g	Abs. Error ( ?g/g)	Netto Counts	Norm. Int.	?g/g	?g/g	Abs. Error ( ?g/g)	Netto Counts	Norm. Int.	?g/g	?g/g	Abs. Error ( ?g/g)	Netto Counts	Norm. Int.	?g/g	?g/g	Abs. Error ( ?g/g)	Netto Counts	Norm. Int.	?g/g	?g/g	Abs. Error ( ?g/g)	Netto Counts	Norm. Int.	?g/g	?g/g	Abs. Error ( ?g/g)	Netto Counts	Norm. Int.	?g/g	?g/g	Abs. Error ( ?g/g)	Netto Counts	Norm. Int.	?g/g	?g/g	Abs. Error ( ?g/g)	Netto Counts	Norm. Int.	?g/g	?g/g	Abs. Error ( ?g/g)	Netto Counts	Norm. Int.	?g/g	?g/g	Abs. Error ( ?g/g)	Netto Counts	Norm. Int.	?g/g	?g/g	Abs. Error ( ?g/g)	Netto Counts	Norm. Int.	?g/g	?g/g	Abs. Error ( ?g/g)	Netto Counts	Norm. Int.	?g/g	?g/g	Abs. Error ( ?g/g)	Netto Counts	Norm. Int.	?g/g	?g/g	Abs. Error ( ?g/g)	Netto Counts	Norm. Int.	?g/g	?g/g	Abs. Error ( ?g/g)	Netto Counts	Norm. Int.	?g/g	?g/g	Abs. Error ( ?g/g)	Netto Counts	Norm. Int.	?g/g	?g/g	Abs. Error ( ?g/g)	Netto Counts	Norm. Int.	?g/g	?g/g	Abs. Error ( ?g/g)	Netto Counts	Norm. Int.	?g/g	?g/g	Abs. Error ( ?g/g)	Netto Counts	Norm. Int.	?g/g	?g/g	Abs. Error ( ?g/g)	Netto Counts	Norm. Int.	?g/g	%	Abs. Error ( %)	Netto Counts	Norm. Int.	%	%	Abs. Error ( %)	Netto Counts	Norm. Int.	%	%	Abs. Error ( %)	Netto Counts	Norm. Int.	%	%	Abs. Error ( %)	Netto Counts	Norm. Int.	%	?g/g	Abs. Error ( ?g/g)	Netto Counts	Norm. Int.	?g/g	?g/g	Abs. Error ( ?g/g)	Netto Counts	Norm. Int.	?g/g	?g/g	Abs. Error ( ?g/g)	Netto Counts	Norm. Int.	?g/g	?g/g	Abs. Error ( ?g/g)	Netto Counts	Norm. Int.	?g/g
Diluted Soil #1	TQ Powders	7/16/2018 10:47	3.05	14.1355	0.067	0.0027	1524	5.6507	0.014	20.8	0.05	279836	1037.5842	0.002	11.11	0.02	283571	1051.433	0.002	0.0393	0.0012	2649	9.822	0.0017	0.02786	0.00067	3211	11.9058	0.00074	< 0.00067	0	417	1.5462	0.00067	0.05393	0.0004	26744	151.9903	0.00027	0.00429	0.00007	8307	47.21	0.00022	10700	10	2003008	11383.4025	0.1	65.9	0.6	30799	175.0355	0.7	151.7	0.6	93818	533.1821	0.4	98880	90	3982285	63432.997	0.1	< 12	0	179	2.8513	12	35.6	1.1	2351	37.4486	1.8	21	1	1565	24.9286	1.3	38	0.8	4002	63.747	0.9	49.4	0.8	7091	112.9511	0.9	< 0.5	0	0	0	0.5	< 0.5	0	0	0	0.5	< 0.5	0	0	0	0.5	16.1	0.3	4734	75.4069	0.4	6.3	0.2	3256	51.8642	0.4	293.7	1.4	35218	418.4234	0.6	26.8	0.5	3374	40.0863	1	3.6	0.3	803	9.5404	1.1	< 0.5	0	0	0	0.5	1.7	0.1	2756	32.7439	0.9	1.8	0.3	302	3.588	0.7	8.9	0.4	1630	19.366	0.9	< 1.5	0	2675	31.7815	1.5	< 2.0	0	2282	27.1123	2	< 3.7	-1.2	313	4.9857	3.6	< 1.6	0	885	14.097	1.6	< 1.2	0	264	4.2052	1.2																					2.5	0.7	217	3.4565	1.3	< 0.7	0	0	0	0.7	< 0.7	0	0	0	0.7	26	0.6	3083	49.1085	0.9
Diluted Soil #2	TQ Powders	7/16/2018 11:01	3	14.9167	< 0.0020	0	1155	4.2131	0.002	20.02	0.04	276722	1009.3906	0.0019	11.22	0.03	277899	1013.684	0.002	0.0372	0.0011	2548	9.2943	0.0018	0.0286	0.00069	3151	11.4938	0.00076	< 0.00020	0	374	1.3642	0.0002	0.05454	0.00041	26236	144.1689	0.00028	0.00156	0.00003	5884	32.333	0.00023	11090	10	2006012	11023.1949	0.1	64.3	0.6	29120	160.0167	0.7	156.5	0.6	93386	513.1635	0.4	98480	90	4177343	60140.8678	0.1	10.8	2.4	267	3.844	9.7	38.2	1.1	2626	37.8063	1.7	21.4	1	1672	24.0716	1.2	39.5	0.8	4371	62.9289	0.8	48.6	0.7	7255	104.4496	0.9	< 0.5	0	0	0	0.5	< 0.5	0	0	0	0.5	< 0.1	-0.1	19	0.2735	0.1	15.9	0.3	4863	70.0122	0.4	6.9	0.2	3793	54.6075	0.4	334.8	1.5	38640	459.2095	0.6	26.4	0.6	3216	38.2199	1	3.7	0.3	786	9.3411	1.1	< 0.5	0	0	0	0.5	2	0.1	2776	32.9908	1	2.6	0.3	430	5.1103	0.8	8.2	0.4	1469	17.458	1	< 1.5	0	3337	39.6579	1.5	< 2.0	0	2651	31.5053	2	4.9	0.7	467	6.7234	3.5	< 1.6	0	1111	15.995	1.6	< 2.0	0	308	4.4343	2																					2.1	0.7	194	2.793	1.3	< 0.7	0	131	1.886	0.7	< 0.7	0	0	0	0.7	24.5	0.6	3082	44.3713	0.8
Diluted Soil #3	TQ Powders	7/16/2018 11:15	3.01	14.1035	0.0595	0.0025	1498	5.565	0.014	20.66	0.05	280858	1043.3763	0.0021	10.97	0.02	282584	1049.7883	0.002	0.0343	0.0011	2489	9.2465	0.0017	0.02862	0.00068	3318	12.3262	0.00074	< 0.00067	-0.00017	447	1.6606	0.00066	0.05279	0.0004	26402	150.3146	0.00027	0.00098	0.00002	5600	31.8825	0.00022	10780	10	2034505	11583.0514	0.1	65.1	0.6	30720	174.8982	0.7	153.6	0.6	95655	544.5928	0.4	99370	90	4017419	64344.3793	0.1	< 12	-5.3	207	3.3154	12	35.4	1.1	2337	37.4302	1.7	20.9	1	1551	24.8414	1.3	37.6	0.8	3951	63.2806	0.9	47.1	0.7	6744	108.0142	0.9	< 0.5	0	0	0	0.5	< 0.5	0	0	0	0.5	< 0.5	0	0	0	0.5	15.9	0.3	4666	74.7323	0.4	6.8	0.2	3509	56.2014	0.4	326.2	1.5	39010	465.9137	0.6	26.8	0.5	3371	40.2613	1	4.7	0.3	951	11.3582	1.1	0.3	0.1	208	2.4842	0.3	1.8	0.1	2742	32.7489	0.9	2.2	0.3	374	4.4668	0.7	8.2	0.4	1494	17.8435	1	< 1.5	0	3424	40.8943	1.5	< 2.0	0	2117	25.2843	2	4.6	0.7	421	6.7429	3.6	< 1.6	0	964	15.4398	1.6	< 2.1	-1.1	320	5.1252	2.1																					< 1.3	0	0	0	1.3	< 0.7	0	0	0	0.7	< 0.7	0	0	0	0.7	25.3	0.6	2994	47.9529	0.9
DIluted Soil #4	TQ Powders	7/16/2018 11:29	3.05	14.0146	0.0509	0.0021	1469	5.4647	0.014	20.53	0.05	283758	1055.5876	0.002	10.98	0.02	286833	1067.0267	0.002	0.0365	0.0011	2543	9.46	0.0017	0.02875	0.00067	3363	12.5105	0.00073	< 0.00066	0	435	1.6182	0.00066	0.05129	0.00039	25755	147.6958	0.00027	0.00046	0.00001	5146	29.5105	0.00022	10820	10	2048940	11749.9456	0.1	64.5	0.6	30453	174.6372	0.7	153.4	0.6	95734	549.0006	0.4	99020	90	4031479	64862.6107	0.1	24.4	3.8	366	5.8886	11	37.6	1.1	2470	39.7399	1.6	21.4	1	1592	25.6137	1.2	40.7	0.8	4288	68.9898	0.8	47.8	0.7	6852	110.2421	0.9	< 0.5	0	0	0	0.5	< 0.5	0	0	0	0.5	< 0.3	-0.3	84	1.3515	0.3	15.6	0.3	4591	73.8648	0.3	6.9	0.2	3580	57.5987	0.4	289.7	1.4	34988	418.1598	0.6	26.8	0.5	3378	40.3722	1	4.3	0.3	896	10.7086	1.1	< 0.6	-0.3	198	2.3664	0.6	1.5	0.1	2708	32.3647	0.9	2.2	0.3	381	4.5535	0.7	6.8	0.4	1237	14.784	0.9	< 1.5	0	2954	35.3048	1.5	< 2.0	0	2368	28.3012	2	13.1	1.2	673	10.8279	3.3	< 1.6	0	1092	17.5692	1.6	2.2	0.3	371	5.969	1.9																					2.9	0.6	248	3.9901	1.2	< 0.7	0	0	0	0.7	< 0.7	0	25	0.4022	0.7	24.7	0.6	2933	47.1891	0.8
Diluted Soil #5	TQ Powders	7/16/2018 11:43	3.02	14.0056	0.0539	0.0022	1480	5.5014	0.014	20.48	0.05	282730	1050.9464	0.002	10.91	0.02	284840	1058.7896	0.002	0.0377	0.0011	2588	9.62	0.0017	0.02682	0.00066	3145	11.6904	0.00073	0.001	0.00014	620	2.3046	0.00065	0.05268	0.00039	26474	151.8248	0.00027	< 0.00022	0	4694	26.9194	0.00022	10940	10	2072034	11882.8315	0.1	65.4	0.6	30854	176.9435	0.7	155.2	0.6	96877	555.5763	0.4	98950	90	4029531	64804.0151	0.1	15.8	3.1	296	4.7604	11	39.4	1.1	2566	41.2671	1.7	22.7	1	1693	27.2273	1.2	39.7	0.8	4193	67.433	0.8	47.3	0.7	6792	109.2308	0.9	< 0.5	0	0	0	0.5	< 0.5	0	0	0	0.5	< 0.5	0	7	0.1126	0.5	16.3	0.3	4806	77.2914	0.4	7.3	0.2	3776	60.7267	0.4	282.3	1.4	33975	407.3249	0.6	26.6	0.5	3362	40.3069	1	4	0.3	855	10.2506	1.1	0.4	0.1	212	2.5417	0.3	2.2	0.1	2785	33.3893	0.9	2.3	0.3	391	4.6877	0.7	< 0.5	0	0	0	0.5	< 1.5	0	2816	33.7609	1.5	< 2.0	0	2766	33.1615	2	6.4	0.8	490	7.8803	3.5	< 1.6	0	1066	17.1437	1.6	2.5	0.3	385	6.1917	2																					3.5	0.7	298	4.7925	1.3	< 0.7	0	0	0	0.7	< 0.7	0	0	0	0.7	23.4	0.7	2779	44.6926	0.8
Diluted Soil 1	TQ Powders	7/17/2018 10:50		14.2733	0.065	0.0026	1517	5.6122	0.014	20.94	0.05	278472	1030.218	0.0021	11.14	0.03	281751	1042.3488	0.002	0.041	0.0012	2691	9.9555	0.0017	0.02866	0.00068	3282	12.1419	0.00074	< 0.00067	-0.00044	500	1.8498	0.00067	0.05307	0.0004	26152	148.1705	0.00028	0.00411	0.00007	8023	45.4562	0.00022	10980	10	2041239	11565.1324	0.1	65.7	0.6	30452	172.5332	0.7	156.8	0.6	96256	545.3616	0.4	99930	90	3980902	63370.0164	0.1	< 3.0	0	95	1.5123	3	33.6	1.1	2224	35.4028	1.8	19.7	1	1451	23.0978	1.3	37.9	0.8	3952	62.9099	0.9	47.4	0.8	6745	107.3703	0.9	< 0.5	0	0	0	0.5	< 0.5	0	0	0	0.5	< 0.5	0	0	0	0.5	15.9	0.3	4640	73.8619	0.4	7.2	0.2	3675	58.5005	0.4	284.4	1.4	33557	400.9063	0.6	25.8	0.5	3194	38.1588	1	3.4	0.3	750	8.9603	1.1	0.4	0.1	213	2.5447	0.3	2.2	0.1	2795	33.3919	0.9	2	0.3	341	4.0739	0.8	< 0.5	0	0	0	0.5	< 1.5	0	3447	41.1814	1.5	< 2.0	0	3097	36.9999	2	< 3.8	-0.8	315	5.0143	3.8	< 1.6	0	954	15.1863	1.6	< 1.2	0	196	3.12	1.2																					< 1.4	0	0	0	1.4	< 0.7	0	0	0	0.7	< 0.7	0	0	0	0.7	27.5	0.7	3224	51.3213	0.9
Diluted Soil 2	TQ Powders	7/17/2018 11:03		14.0962	0.0752	0.003	1551	5.7762	0.014	20.7	0.05	283282	1054.9885	0.002	11.06	0.02	285965	1064.9804	0.002	0.0392	0.0011	2644	9.8467	0.0017	0.02996	0.00068	3458	12.8782	0.00073	< 0.00067	0	436	1.6237	0.00066	0.05423	0.0004	27035	154.8134	0.00028	0.00247	0.00005	6838	39.1572	0.00022	10980	10	2063227	11814.8801	0.1	64.6	0.6	30259	173.2754	0.7	155.5	0.6	96350	551.7394	0.4	99370	90	4019602	64531.5869	0.1	< 11	-8	229	3.6764	11	38	1.1	2476	39.7503	1.7	17.2	1	1275	20.4691	1.2	39.3	0.8	4128	66.2718	0.9	46.7	0.8	6674	107.1459	0.9	< 0.5	0	0	0	0.5	< 0.5	0	0	0	0.5	< 0.5	0	3	0.0482	0.5	15.2	0.3	4444	71.345	0.4	6.6	0.2	3396	54.5201	0.4	285	1.4	34211	409.0472	0.6	28.7	0.5	3586	42.8764	1	3.8	0.3	830	9.924	1.1	< 0.6	-0.2	189	2.2598	0.6	2.1	0.1	2788	33.335	0.9	2.1	0.3	363	4.3402	0.7	9	0.4	1653	19.7643	0.9	< 1.5	0	3381	40.4253	1.5	< 2.0	0	2493	29.8078	2	5.7	0.7	515	8.2679	3.5	< 1.6	0	1326	21.2879	1.6	< 1.2	0	179	2.8737	1.2																					2	0.7	172	2.7613	1.3	< 0.7	0	0	0	0.7	< 0.7	0	0	0	0.7	23	0.7	2726	43.7638	0.9
Diluted Soil 3	TQ Powders	7/17/2018 11:17		14.1402	0.0552	0.0023	1482	5.5007	0.014	20.63	0.05	278336	1033.0987	0.0021	10.95	0.02	280694	1041.8509	0.002	0.0362	0.0011	2512	9.3238	0.0017	0.02863	0.00067	3315	12.3043	0.00074	0.00091	0.00013	599	2.2233	0.00067	0.05333	0.0004	26625	151.3437	0.00027	0.00068	0.00002	5338	30.3426	0.00022	10750	10	2024997	11510.6331	0.1	65.1	0.6	30627	174.0922	0.7	148.8	0.6	92570	526.193	0.4	99590	90	4015625	64223.8681	0.1	10.7	2.5	252	4.0304	9.6	36.9	1.1	2415	38.6243	1.7	21.2	1	1572	25.1418	1.3	38	0.8	3988	63.782	0.9	47.7	0.7	6827	109.1876	0.9	< 0.5	0	0	0	0.5	< 0.5	0	0	0	0.5	< 0.5	0	0	0	0.5	16.5	0.3	4844	77.4725	0.4	6.9	0.2	3555	56.8569	0.4	297.8	1.4	35824	424.6152	0.6	26.6	0.5	3355	39.7662	1	3.1	0.3	727	8.617	1.1	0.4	0.1	217	2.5721	0.3	3.3	0.1	2956	35.0369	0.9	2.8	0.3	477	5.6538	0.7	7.7	0.4	1417	16.7954	1	< 1.5	0	3066	36.3407	1.5	< 2.0	0	2445	28.9801	2	< 3.6	-2.4	365	5.8376	3.6	< 1.6	0	988	15.8016	1.6	< 2.1	-1.1	318	5.0859	2.1																					2.6	0.7	220	3.5186	1.3	< 0.7	0	0	0	0.7	< 0.7	0	0	0	0.7	26.2	0.6	3090	49.4199	0.9
Diluted Soil 4	TQ Powders	7/17/2018 11:31		14.9146	0.0478	0.002	1475	5.3998	0.014	20.59	0.05	276797	1013.3209	0.002	11.34	0.03	277877	1017.2747	0.002	0.036	0.0011	2478	9.0717	0.0018	0.03023	0.00072	3285	12.026	0.00075	0.00128	0.00015	665	2.4345	0.00069	0.05341	0.00041	25459	141.0949	0.00029	0.00104	0.00002	5344	29.6167	0.00023	11330	10	2032517	11264.2968	0.1	67.1	0.6	30093	166.7767	0.7	161.7	0.6	95739	530.5897	0.4	99800	90	4193357	60600.8872	0.1	< 3.0	0	130	1.8787	3	35.8	1.1	2477	35.7967	1.8	22.7	1	1766	25.5216	1.3	38.8	0.8	4268	61.6796	0.9	48.4	0.7	7214	104.2541	0.9	< 0.5	0	0	0	0.5	2	0.4	493	7.1247	0.5	< 0.5	0	0	0	0.5	15.3	0.3	4691	67.7926	0.4	6.6	0.2	3563	51.4912	0.4	337.4	1.5	39065	460.6469	0.5	25.5	0.5	3123	36.8258	1	3.2	0.3	728	8.5844	1.2	0.6	0.1	252	2.9715	0.5	1.2	0.1	2709	31.944	0.9	2.4	0.3	398	4.6931	0.7	< 0.5	0	0	0	0.5	< 1.5	0	2530	29.8333	1.5	< 2.0	0	2376	28.0173	2	3.5	0.5	425	6.1419	3.2	< 1.6	0	1091	15.7667	1.6	< 1.2	0	247	3.5696	1.2																					< 1.4	0	0	0	1.4	< 0.7	0	0	0	0.7	< 0.7	0	0	0	0.7	20.8	0.7	2597	37.5309	0.9
