McMahon_5-23
Element	Method	Eval Date	Mass coefficient.	Mg	Mg	Mg	Mg	Al	Al	Al	Al	Si	Si	Si	Si	P	P	P	P	S	S	S	S	Cl	Cl	Cl	Cl	K	K	K	K	Ca	Ca	Ca	Ca	Ti	Ti	Ti	Ti	Mn	Mn	Mn	Mn	Fe	Fe	Fe	Fe	Cu	Cu	Cu	Cu	Zn	Zn	Zn	Zn	Sr	Sr	Sr	Sr	Zr	Zr	Zr	Zr	Nb	Nb	Nb	Nb	Mo	Mo	Mo	Mo	Pb	Pb	Pb	Pb	
Dimension			cm²/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	
Val_mix_0.6	TQ Powders	5/23/2017 12:00:56 PM	10.5395	0.0549	0.0022	5.7586	0.010	14.91	0.03	1024.4926	0.0015	8.770	0.019	1146.2851	0.0014	0.02688	0.00083	9.0433	0.0013	0.02084	0.00050	12.0652	0.00054	< 0.00020	(0.0)	1.3739	0.00020	0.03942	0.00030	150.7548	0.00021	0.00054	0.00001	30.6258	0.00017	8261	8	11902.6497	0.1	118.4	0.5	561.9356	0.3	74380	60	64717.2277	0.1	16.5	0.7	26.2783	0.9	29.2	0.6	65.7987	0.6	6.7	0.2	53.1902	0.4	400.5	1.9	374.6760	0.6	35.3	0.7	33.0398	1.4	8.7	0.5	12.0125	1.5	23.1	0.6	46.5691	0.8	
Val_mix_1.3	TQ Powders	5/23/2017 12:14:51 PM	12.5250	0.0493	0.0020	5.5248	0.012	17.93	0.04	1033.3369	0.0018	10.75	0.02	1174.4085	0.0016	0.03090	0.00096	9.1208	0.0015	0.02363	0.00058	11.4517	0.00065	0.00086	0.00011	2.2645	0.00059	0.04761	0.00036	151.6006	0.00024	0.00044	0.00001	28.8993	0.00020	10070	10	12075.7664	0.1	141.2	0.5	557.3840	0.3	87390	80	63392.2988	0.1	17.9	0.9	24.0765	1.1	36.0	0.7	68.3631	0.7	6.6	0.2	58.4098	0.4	333.5	1.5	435.1553	0.5	29.5	0.6	38.8761	1.0	6.4	0.4	12.7710	1.2	23.4	0.6	49.0156	0.8	
Val_mix_2.0	TQ Powders	5/23/2017 12:28:45 PM	13.2701	0.0865	0.0033	6.0157	0.013	19.11	0.04	1049.6114	0.0018	11.48	0.02	1189.8277	0.0017	0.03200	0.00100	8.9514	0.0016	0.02670	0.00063	12.1943	0.00068	< 0.00063	(0.00036)	1.8140	0.00063	0.04980	0.00038	149.9785	0.00026	0.00017	0.00001	27.7874	0.00015	10640	10	12061.4391	0.1	146.9	0.6	548.0926	0.3	92640	80	63670.7083	0.1	18.7	1.0	23.7330	1.2	35.7	0.7	64.0116	0.9	6.9	0.2	60.8922	0.4	296.8	1.4	428.8585	0.6	27.6	0.5	41.1939	1.0	4.8	0.3	11.4540	1.1	23.4	0.6	47.5625	0.9	
Val_mix_3.1	TQ Powders	5/23/2017 12:42:38 PM	13.6509	0.0532	0.0022	5.5055	0.013	19.37	0.04	1010.4926	0.0020	11.52	0.02	1146.7686	0.0018	0.0351	0.0011	9.3321	0.0017	0.02680	0.00065	11.8265	0.00071	0.00113	0.00014	2.4096	0.00065	0.05014	0.00038	146.4290	0.00027	0.00045	0.00001	28.9059	0.00022	10940	10	12039.1329	0.1	154.3	0.6	559.4385	0.3	95250	80	63206.0416	0.1	18.2	1.0	22.3566	1.3	35.4	0.7	61.5567	0.9	6.8	0.2	58.0149	0.4	290.4	1.4	429.0573	0.6	26.0	0.5	40.3630	1.0	3.0	0.3	8.5972	1.1	22.6	0.6	44.1682	0.9	
Eu.E2.Ee2.4.0-10.16	TQ Powders	5/23/2017 12:56:30 PM	8.2964	< 0.0020	(0.0)	3.2839	0.0020	6.370	0.021	410.8377	0.0088	35.92	0.04	4509.6248	0.00001	< 0.00030	(0.0)	7.1876	0.00030	0.03208	0.00059	12.0815	0.00042	0.00978	0.00034	8.0820	0.00058	0.03369	0.00031	83.6029	0.00021	0.1203	0.0004	500.9586	0.00012	3599	5	3344.9617	0.1	34.0	0.4	107.9286	0.6	7334	12	4709.7682	0.1	8.2	0.5	16.5703	0.6	12.8	0.3	36.3717	0.4	11.7	0.1	166.4243	0.2	638.0	1.7	1288.0174	0.1	20.5	0.4	41.6846	0.7	7.4	0.4	19.9142	1.1	3.4	0.3	11.4125	0.4	
Eu.E2.L.4.0-10.16	TQ Powders	5/23/2017 1:10:17 PM	8.3335	< 0.0020	(0.0)	3.0533	0.0020	6.415	0.021	412.3919	0.0088	36.16	0.04	4512.7776	0.00001	< 0.00030	(0.0)	8.0878	0.00030	0.03114	0.00058	11.6930	0.00041	0.00713	0.00033	6.2692	0.00057	0.02328	0.00027	57.4533	0.00021	0.04970	0.00029	206.1997	0.00016	3949	6	3644.5405	0.1	42.7	0.4	134.3279	0.6	7084	12	4525.2905	0.1	7.3	0.5	14.7144	0.6	12.8	0.3	36.1667	0.4	8.2	0.1	116.6746	0.2	888.3	2.1	1778.9988	0.1	24.3	0.4	48.3866	0.8	8.5	0.5	22.2674	1.3	5.1	0.3	16.9042	0.4	
Eu.E2.Ee2.4.40-60.16	TQ Powders	5/23/2017 1:24:05 PM	9.2711	0.01567	0.00064	5.0279	0.011	14.65	0.03	826.1650	0.0062	26.03	0.04	2712.0555	0.00001	< 0.00030	(0.0)	1.3931	0.00030	0.02551	0.00056	9.7868	0.00046	0.00372	0.00024	4.0063	0.00056	0.02739	0.00030	67.5682	0.00024	0.00750	0.00014	35.7337	0.00019	7193	8	6625.0800	0.1	39.9	0.4	123.7293	0.6	18950	20	11869.7477	0.1	6.7	0.5	12.0996	0.7	24.1	0.4	61.7031	0.5	10.9	0.1	139.8759	0.2	1052	2	1979.1563	0.1	41.8	0.5	76.2786	0.8	9.0	0.5	22.4349	1.4	10.9	0.4	32.8579	0.5	
Eu.E2.L.4.40-60.16	TQ Powders	5/23/2017 1:37:55 PM	8.9263	0.02131	0.00086	5.1171	0.011	14.70	0.03	855.5238	0.0060	25.57	0.03	2757.6532	0.00001	< 0.00030	(0.0)	2.0430	0.00030	0.02428	0.00054	9.7043	0.00046	0.00726	0.00030	6.5562	0.00055	0.02899	0.00030	74.5909	0.00025	0.01062	0.00015	50.5571	0.00019	7802	9	7517.2609	0.1	39.1	0.4	126.6056	0.5	18140	20	11853.1617	0.1	5.1	0.5	9.7138	0.7	24.7	0.4	65.8662	0.5	12.7	0.1	169.3134	0.2	1213	2	2361.8486	0.1	45.0	0.6	84.9301	0.8	10.9	0.6	27.2320	1.5	11.6	0.4	36.4739	0.5	
Bp.E2.Ee2.1.0-10.16	TQ Powders	5/23/2017 1:51:44 PM	13.3074	< 0.0020	(0.0)	4.2331	0.0020	18.74	0.04	1047.5716	0.0019	11.47	0.02	1211.7610	0.0017	0.02562	0.00074	9.9218	0.0016	0.01849	0.00057	8.5182	0.00072	0.00108	0.00014	2.4099	0.00064	0.02449	0.00029	75.0363	0.00029	0.00308	0.00006	43.0200	0.00020	12530	10	14350.0669	0.1	177.3	0.7	661.9036	0.4	92920	80	64041.0411	0.1	25.7	1.0	32.5567	1.3	34.2	0.7	61.3718	0.9	19.1	0.3	167.1728	0.4	549.2	1.9	791.1029	0.1	52.5	0.7	74.1615	1.0	7.2	0.4	15.5356	1.3	14.5	1.1	29.6088	0.9	
