McMahon_6-12-17
Element	Method	Eval Date	Mass coefficient.	Mg	Mg	Mg	Mg	Al	Al	Al	Al	Si	Si	Si	Si	P	P	P	P	S	S	S	S	Cl	Cl	Cl	Cl	K	K	K	K	Ca	Ca	Ca	Ca	Ti	Ti	Ti	Ti	Mn	Mn	Mn	Mn	Fe	Fe	Fe	Fe	Cu	Cu	Cu	Cu	Zn	Zn	Zn	Zn	Sr	Sr	Sr	Sr	Zr	Zr	Zr	Zr	Nb	Nb	Nb	Nb	Mo	Mo	Mo	Mo	Pb	Pb	Pb	Pb	
Dimension			cm²/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	
Bp.E1.E.1.20-40.04	TQ Powders	6/12/2017 10:21:05 AM	14.8722	0.1393	0.0050	6.5465	0.014	19.97	0.05	981.5056	0.0023	14.53	0.03	1369.4724	0.0016	0.02303	0.00069	9.3960	0.0019	0.01051	0.00054	4.4778	0.00082	0.00749	0.00036	6.8943	0.00072	0.1792	0.0007	476.3303	0.00021	< 0.00034	(0.00018)	26.8877	0.00034	12810	10	12787.9088	0.1	161.0	0.7	527.1480	0.4	101600	100	61485.0019	0.1	27.1	1.2	30.7498	1.3	36.5	0.8	58.5191	0.9	17.1	0.3	135.3147	0.4	648.3	2.1	887.7811	0.1	44.0	0.7	61.7135	1.1	5.1	0.4	11.8725	1.4	21.0	1.1	38.3347	0.9	
Bp.E1.E.2.20-40.04	TQ Powders	6/12/2017 10:34:57 AM	14.4630	0.1778	0.0060	7.0638	0.014	19.60	0.04	977.8426	0.0022	14.49	0.03	1384.0001	0.0015	0.02130	0.00063	9.3365	0.0018	0.01069	0.00053	4.6298	0.00080	0.00281	0.00026	3.5667	0.00070	0.1931	0.0007	519.5617	0.00018	0.00054	0.00002	27.8688	0.00034	12030	10	12155.8501	0.1	144.2	0.6	479.2319	0.4	97540	90	59941.4655	0.1	34.2	1.1	39.7344	1.2	32.7	0.7	53.8064	0.8	14.0	0.2	113.9336	0.4	656.5	2.1	921.3427	0.1	43.3	0.6	62.2550	1.0	4.8	0.4	11.4980	1.4	22.1	1.0	41.3839	0.9	
Bp.E1.E.3.20-40.04	TQ Powders	6/12/2017 10:48:50 AM	14.1756	0.1485	0.0052	6.7820	0.013	19.12	0.04	997.9333	0.0021	14.13	0.03	1404.7109	0.0015	0.02305	0.00066	9.8897	0.0018	0.00949	0.00050	4.3115	0.00079	0.00615	0.00033	6.1412	0.00069	0.1915	0.0007	532.9317	0.00019	0.00083	0.00003	29.8734	0.00033	12090	10	12622.9930	0.1	149.6	0.7	512.4122	0.4	96590	80	61357.4809	0.1	34.2	1.1	40.6751	1.3	33.3	0.7	56.0618	0.9	14.3	0.3	118.7406	0.4	651.1	2.1	936.3781	0.1	44.2	0.6	64.7160	1.0	4.3	0.4	10.9013	1.4	22.7	1.0	43.6089	0.9	
Bp.E1.E.4.20-40.04	TQ Powders	6/12/2017 11:02:47 AM	14.5242	0.1636	0.0056	6.9593	0.013	19.29	0.04	995.0041	0.0022	14.06	0.03	1384.8607	0.0016	0.02196	0.00066	9.3966	0.0018	0.01049	0.00052	4.7076	0.00080	0.00295	0.00025	3.7208	0.00070	0.1683	0.0007	464.8171	0.00021	0.00046	0.00001	28.9051	0.00032	12460	10	12910.9883	0.1	160.7	0.7	545.3621	0.4	100500	100	63188.6810	0.1	33.4	1.1	38.9020	1.3	38.9	0.8	63.9970	0.9	17.7	0.3	143.9215	0.4	634.0	2.0	893.6069	0.1	44.2	0.6	63.6686	1.0	5.3	0.4	12.4652	1.3	24.6	1.1	46.0925	0.9	
Bp.E1.E.1.0-10.04	TQ Powders	6/12/2017 11:16:40 AM	14.2737	0.1671	0.0057	7.0553	0.013	18.87	0.04	994.0260	0.0022	13.90	0.03	1399.1447	0.0016	0.02382	0.00069	9.8968	0.0018	0.01479	0.00056	6.5161	0.00078	0.00729	0.00035	7.0628	0.00068	0.1852	0.0007	521.0185	0.00019	0.00101	0.00003	31.6512	0.00033	12210	10	12880.9724	0.1	155.3	0.7	536.4548	0.4	98930	90	63380.1289	0.1	33.7	1.1	39.9318	1.3	37.1	0.8	62.1108	0.9	17.5	0.3	144.7810	0.4	631.7	2.0	905.7668	0.1	43.5	0.6	63.6184	1.0	4.4	0.4	10.9782	1.4	21.7	1.0	41.5195	0.9	
Bp.E1.E.2.0-10.04	TQ Powders	6/12/2017 11:30:38 AM	13.9821	0.1715	0.0058	7.1312	0.013	18.79	0.04	997.4966	0.0021	13.89	0.03	1405.2266	0.0015	0.02870	0.00076	11.1317	0.0017	0.01563	0.00057	6.8722	0.00076	0.00262	0.00024	3.5305	0.00068	0.1934	0.0007	547.4135	0.00018	0.00067	0.00002	29.4232	0.00033	11910	10	12641.5271	0.1	145.7	0.6	506.9875	0.4	95660	80	61778.1989	0.1	32.2	1.1	38.8620	1.3	31.1	0.7	53.0429	0.9	14.2	0.3	119.6931	0.4	654.7	2.1	953.6392	0.1	44.2	0.6	65.7419	1.0	4.8	0.4	11.8545	1.3	19.8	1.0	38.5433	0.9	
Bp.E1.E.3.0-10.04	TQ Powders	6/12/2017 11:44:33 AM	14.2578	0.1806	0.0061	7.1282	0.014	19.09	0.04	965.0623	0.0023	14.14	0.03	1373.1026	0.0015	0.02546	0.00071	10.0974	0.0018	0.01524	0.00057	6.5314	0.00078	0.00457	0.00030	4.8995	0.00070	0.1968	0.0007	539.1242	0.00018	0.00133	0.00004	31.6391	0.00034	11970	10	12320.0502	0.1	147.8	0.6	499.7079	0.4	96460	80	60230.4164	0.1	34.7	1.1	40.9913	1.3	33.4	0.7	55.7066	0.9	14.9	0.3	122.5797	0.4	640.8	2.1	910.1683	0.1	43.1	0.6	62.6701	1.0	5.1	0.4	12.0794	1.4	21.7	1.0	41.1017	0.9	
Bp.E1.E.4.0-10.04	TQ Powders	6/12/2017 11:58:27 AM	14.4510	0.1493	0.0053	6.7668	0.014	19.15	0.04	986.5288	0.0022	14.04	0.03	1383.7374	0.0016	0.02731	0.00076	10.4521	0.0018	0.01457	0.00057	6.3557	0.00078	0.00295	0.00025	3.7260	0.00070	0.1735	0.0007	480.1492	0.00020	0.00077	0.00002	30.2198	0.00032	12390	10	12861.6217	0.1	156.9	0.7	533.8290	0.4	99700	90	62803.3279	0.1	33.4	1.1	38.9974	1.3	37.4	0.8	61.8508	0.9	17.8	0.3	145.0888	0.4	638.9	2.1	903.4885	0.1	44.9	0.7	64.8451	1.0	4.9	0.4	11.7728	1.4	23.8	1.0	44.7984	0.9	
Bp.E1.E.1.60-100.04	TQ Powders	6/12/2017 12:12:21 PM	14.8101	0.1207	0.0045	6.3805	0.014	19.57	0.04	1001.3971	0.0022	13.91	0.03	1358.8906	0.0017	0.01554	0.00051	8.3595	0.0018	0.00501	0.00043	2.4933	0.00083	0.00582	0.00033	5.8364	0.00070	0.1733	0.0007	476.0750	0.00021	< 0.0010	(0.0)	22.5687	0.00100	12690	10	13070.9088	0.1	159.2	0.7	536.8454	0.4	103700	100	64762.1828	0.1	30.8	1.2	35.1443	1.3	38.6	0.8	62.3771	0.9	17.5	0.3	139.1970	0.4	665.2	2.1	919.3795	0.1	46.0	0.7	64.8382	1.1	4.3	0.4	10.6008	1.4	25.8	1.1	47.5812	0.9	
