McMahon_6-12-17_2
Element	Method	Eval Date	Mass coefficient.	Mg	Mg	Mg	Mg	Al	Al	Al	Al	Si	Si	Si	Si	P	P	P	P	S	S	S	S	Cl	Cl	Cl	Cl	K	K	K	K	Ca	Ca	Ca	Ca	Ti	Ti	Ti	Ti	Mn	Mn	Mn	Mn	Fe	Fe	Fe	Fe	Cu	Cu	Cu	Cu	Zn	Zn	Zn	Zn	Sr	Sr	Sr	Sr	Zr	Zr	Zr	Zr	Nb	Nb	Nb	Nb	Mo	Mo	Mo	Mo	Pb	Pb	Pb	Pb	
Dimension			cm²/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	
Bp.E1.L.1.20-40.04	TQ Powders	6/12/2017 1:23:13 PM	14.7291	0.1585	0.0056	6.8665	0.014	19.68	0.04	1002.6336	0.0022	14.18	0.03	1376.5163	0.0017	0.02097	0.00065	9.1690	0.0018	0.00977	0.00053	4.3111	0.00082	0.00911	0.00038	8.2242	0.00070	0.1791	0.0007	488.1247	0.00021	0.00063	0.00002	29.6595	0.00033	12740	10	13021.9099	0.1	164.0	0.7	548.6239	0.4	101900	100	63206.2393	0.1	33.8	1.2	38.8333	1.4	35.2	0.8	57.0881	0.9	16.8	0.3	134.7070	0.4	646.8	2.1	894.9169	0.1	46.2	0.7	64.9188	1.1	4.6	0.4	11.0860	1.4	22.0	1.1	40.7750	0.9	
Bp.E1.L.2.20-40.04	TQ Powders	6/12/2017 1:37:06 PM	14.4463	0.1587	0.0055	6.8914	0.013	19.70	0.04	1012.1794	0.0021	14.34	0.03	1399.2116	0.0015	0.02113	0.00063	9.3276	0.0018	0.00887	0.00050	3.9754	0.00081	0.00718	0.00035	6.8139	0.00070	0.1926	0.0007	526.1058	0.00018	0.00095	0.00003	30.4481	0.00033	12270	10	12567.4208	0.1	147.7	0.6	496.3747	0.4	98550	90	61511.6042	0.1	36.3	1.1	42.4836	1.3	31.7	0.7	52.4202	0.9	14.0	0.3	114.1758	0.4	647.9	2.1	914.0134	0.1	44.1	0.7	63.2760	1.1	4.7	0.4	11.2525	1.4	22.2	1.0	41.8349	0.9	
Bp.E1.L.3.20-40.04	TQ Powders	6/12/2017 1:51:01 PM	14.3802	0.1592	0.0055	6.8407	0.014	19.75	0.04	990.7427	0.0021	14.70	0.03	1405.3132	0.0015	0.02259	0.00066	9.4737	0.0018	0.00906	0.00050	4.0026	0.00081	0.00637	0.00034	6.1376	0.00070	0.1958	0.0007	525.3994	0.00018	0.00094	0.00003	29.2763	0.00034	11990	10	12079.7583	0.1	143.8	0.6	476.5921	0.4	96020	90	58993.4719	0.1	33.1	1.1	38.8015	1.2	32.5	0.7	53.8659	0.8	13.9	0.2	113.6297	0.4	641.2	2.1	906.5137	0.1	42.5	0.6	61.5969	1.0	4.9	0.4	11.8204	1.4	23.0	1.0	43.4355	0.8	
Bp.E1.L.4.20-40.04	TQ Powders	6/12/2017 2:04:55 PM	14.4155	0.1497	0.0053	6.8255	0.013	19.42	0.04	1024.4259	0.0021	14.11	0.03	1410.2005	0.0016	0.02044	0.00062	9.3409	0.0018	0.00954	0.00051	4.3695	0.00080	0.00647	0.00034	6.3907	0.00069	0.1627	0.0007	453.5076	0.00022	< 0.00032	(0.0)	27.0113	0.00032	12390	10	12938.7433	0.1	159.4	0.7	545.0606	0.4	99890	90	63552.5810	0.1	28.5	1.2	33.4606	1.3	36.6	0.8	60.7733	0.9	18.3	0.3	149.7400	0.4	654.2	2.1	923.9320	0.1	46.1	0.7	66.1188	1.0	5.6	0.4	12.9203	1.4	24.6	1.1	46.6847	0.9	
Bp.E1.L.1.0-10.04	TQ Powders	6/12/2017 2:18:49 PM	14.4795	0.1473	0.0052	6.7692	0.013	19.33	0.04	1006.8558	0.0022	14.07	0.03	1395.6562	0.0016	0.03293	0.00085	11.5620	0.0018	0.01375	0.00056	5.9853	0.00079	0.00704	0.00035	6.7952	0.00070	0.1791	0.0007	496.6744	0.00020	0.00291	0.00007	40.4536	0.00033	12470	10	12970.2682	0.1	159.3	0.7	542.2259	0.4	100200	100	63330.4778	0.1	32.1	1.1	37.5109	1.4	35.1	0.8	57.9394	1.0	19.1	0.3	155.9514	0.4	652.5	2.1	912.7576	0.1	47.3	0.7	67.0156	1.1	5.3	0.4	12.3239	1.4	20.9	1.1	39.4001	0.9	
Bp.E1.L.2.0-10.04	TQ Powders	6/12/2017 2:32:47 PM	14.1275	0.1644	0.0056	6.9789	0.013	19.10	0.04	989.0141	0.0021	14.10	0.03	1393.2994	0.0015	0.03100	0.00080	11.3779	0.0018	0.01380	0.00055	6.0344	0.00078	0.00835	0.00036	7.7690	0.00069	0.1944	0.0007	539.0978	0.00018	0.00342	0.00008	41.6860	0.00033	11970	10	12459.8119	0.1	143.9	0.6	491.7663	0.4	95610	80	60538.6377	0.1	34.1	1.1	40.6567	1.2	33.3	0.7	56.2089	0.8	16.9	0.3	140.9013	0.4	662.0	2.1	941.5405	0.1	45.3	0.7	65.5345	1.0	5.4	0.4	12.5762	1.4	21.9	1.0	42.1409	0.9	
Bp.E1.L.3.0-10.04	TQ Powders	6/12/2017 2:46:41 PM	13.9699	0.1898	0.0062	7.3725	0.013	18.76	0.04	992.7337	0.0021	13.99	0.03	1412.7631	0.0015	0.02824	0.00076	10.9554	0.0017	0.01295	0.00054	5.7748	0.00077	0.00468	0.00031	5.0884	0.00068	0.2015	0.0007	568.5072	0.00017	0.00132	0.00004	32.2470	0.00034	11940	10	12633.9993	0.1	144.8	0.6	502.3370	0.4	95070	80	61218.8836	0.1	34.1	1.1	41.2334	1.2	32.3	0.7	55.3011	0.9	16.2	0.3	136.4486	0.4	649.7	2.1	941.1004	0.1	44.7	0.6	65.8170	1.0	4.1	0.4	10.5107	1.4	21.4	1.0	41.5672	0.9	
Bp.E1.L.4.0-10.04	TQ Powders	6/12/2017 3:00:38 PM	14.2493	0.1419	0.0050	6.7171	0.013	18.93	0.04	998.0903	0.0022	13.84	0.03	1392.4844	0.0016	0.03341	0.00085	11.7595	0.0018	0.01394	0.00055	6.1898	0.00078	0.00609	0.00033	6.1527	0.00069	0.1728	0.0007	486.5394	0.00020	0.00120	0.00004	32.5199	0.00032	12230	10	12916.4422	0.1	157.1	0.7	543.5845	0.4	98720	90	63324.6907	0.1	25.9	1.2	30.7718	1.4	36.5	0.8	61.1750	0.9	19.3	0.3	159.5807	0.4	643.4	2.1	915.3051	0.1	46.9	0.7	67.5093	1.0	5.5	0.4	12.7875	1.4	22.7	1.0	43.5133	0.9	
Bp.E1.L.1.60-100.04	TQ Powders	6/12/2017 3:14:32 PM	14.6356	0.1287	0.0047	6.5406	0.013	19.52	0.04	1029.2944	0.0021	13.82	0.03	1381.5879	0.0016	0.01680	0.00054	8.6634	0.0018	0.00606	0.00045	2.9414	0.00082	0.00341	0.00028	4.1037	0.00069	0.1773	0.0007	495.5951	0.00021	< 0.0010	(0.0)	24.3608	0.00100	12710	10	13305.2963	0.1	164.0	0.7	560.8529	0.4	103000	100	65503.9873	0.1	35.9	1.2	41.5630	1.3	37.3	0.8	60.9936	0.9	22.1	0.3	178.3053	0.4	656.5	2.1	922.2889	0.1	46.0	0.7	65.6449	1.1	5.8	0.4	13.2795	1.4	24.3	1.1	45.4621	0.9	
