McMahon_6-13-17
Element	Method	Eval Date	Mass coefficient.	Mg	Mg	Mg	Mg	Al	Al	Al	Al	Si	Si	Si	Si	P	P	P	P	S	S	S	S	Cl	Cl	Cl	Cl	K	K	K	K	Ca	Ca	Ca	Ca	Ti	Ti	Ti	Ti	Mn	Mn	Mn	Mn	Fe	Fe	Fe	Fe	Cu	Cu	Cu	Cu	Zn	Zn	Zn	Zn	Sr	Sr	Sr	Sr	Zr	Zr	Zr	Zr	Nb	Nb	Nb	Nb	Mo	Mo	Mo	Mo	Pb	Pb	Pb	Pb	
Dimension			cm²/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	
Cr.N.2.60-100.16	TQ Powders	6/13/2017 10:18:58 AM	13.3364	0.3970	0.0100	9.8961	0.013	19.05	0.04	954.6769	0.0018	16.73	0.03	1601.1672	0.00080	0.01104	0.00038	7.2217	0.0018	0.00550	0.00042	2.5467	0.00076	0.00182	0.00019	2.8198	0.00069	0.8175	0.0016	2140.3385	0.00001	0.00289	0.00014	31.5293	0.00061	10730	10	10386.6411	0.1	195.3	0.7	624.9802	0.4	77160	70	46192.8788	0.1	38.9	1.0	48.8931	1.2	22.1	0.6	39.2542	0.9	17.3	0.2	153.5253	0.3	583.0	1.9	882.1020	0.1	39.4	0.6	60.8189	1.0	3.5	0.3	9.7775	1.3	20.7	0.7	41.8693	0.8	
Cr.N.1.60-100.16	TQ Powders	6/13/2017 10:32:51 AM	13.6576	0.434	0.011	10.1684	0.013	19.47	0.04	942.8192	0.0019	16.55	0.03	1543.5334	0.00095	0.01041	0.00037	6.9987	0.0018	0.00444	0.00039	2.1556	0.00078	< 0.00070	(0.00030)	1.7408	0.00070	0.8566	0.0016	2210.0367	0.00001	0.00271	0.00013	31.4570	0.00063	10860	10	10365.0997	0.1	210.8	0.8	665.3657	0.4	80250	70	47119.8089	0.1	39.8	1.0	48.6616	1.1	25.4	0.6	44.0693	0.8	16.2	0.2	140.2206	0.3	591.5	1.9	868.1057	0.1	38.4	0.6	57.9204	1.1	2.0	0.3	6.9015	1.3	23.4	0.8	45.8408	0.8	
Cr.N.2.0-10.16	TQ Powders	6/13/2017 10:46:44 AM	12.8292	0.4190	0.0100	10.4379	0.012	18.10	0.04	948.4400	0.0018	16.23	0.03	1625.4017	0.00072	0.02287	0.00064	9.5693	0.0017	0.01366	0.00051	5.9352	0.00071	0.00108	0.00014	2.3258	0.00067	0.8255	0.0016	2249.5229	0.00001	0.01243	0.00028	75.4208	0.00061	10440	10	10488.9231	0.1	256.1	0.8	850.5717	0.4	73990	70	46052.6222	0.1	36.2	1.0	47.2466	1.1	23.3	0.6	43.1063	0.8	18.4	0.2	169.9050	0.3	574.8	1.9	899.5780	0.1	37.7	0.6	60.2923	1.0	3.6	0.3	10.0328	1.2	20.3	0.7	42.6770	0.8	
Cr.N.1.0-10.16	TQ Powders	6/13/2017 11:00:38 AM	13.1330	0.428	0.011	10.3679	0.013	18.51	0.04	940.8725	0.0019	16.16	0.03	1574.4844	0.00085	0.02103	0.00061	9.0524	0.0017	0.01313	0.00052	5.6414	0.00073	< 0.00020	(0.0)	1.4360	0.00020	0.8453	0.0016	2259.0049	0.00001	0.00677	0.00022	49.5990	0.00062	10560	10	10415.1106	0.1	327.9	0.9	1069.3655	0.4	76230	70	46425.1538	0.1	38.2	1.0	48.6611	1.1	26.7	0.6	48.1678	0.8	16.6	0.2	149.3270	0.3	577.4	1.9	882.6598	0.1	38.2	0.6	59.6434	1.0	3.3	0.3	9.4186	1.3	22.3	0.8	45.5915	0.8	
TM.N.2.60-100.16	TQ Powders	6/13/2017 11:14:27 AM	10.2798	0.2405	0.0069	7.9558	0.012	17.13	0.04	881.3009	0.0042	20.66	0.03	2016.6879	0.00001	0.02523	0.00065	9.6542	0.0016	0.00749	0.00040	3.2115	0.00063	0.00269	0.00022	3.3969	0.00064	0.3242	0.0009	835.3710	0.00001	0.00211	0.00011	18.6922	0.00039	7021	8	6835.1529	0.1	190.8	0.7	625.8098	0.4	37500	40	23222.0420	0.1	31.2	0.8	49.4279	0.8	19.5	0.4	43.9175	0.6	10.2	0.2	115.4867	0.2	476.3	1.6	887.6300	0.1	26.7	0.5	50.9221	0.9	3.2	0.3	10.3455	1.1	13.5	0.5	34.3462	0.6	
TM.N.1.60-100.16	TQ Powders	6/13/2017 11:28:13 AM	10.3211	0.1018	0.0035	6.1263	0.012	18.18	0.04	927.3300	0.0041	21.03	0.03	2004.7864	0.00001	0.02313	0.00064	8.7001	0.0016	0.00849	0.00042	3.4570	0.00062	0.00120	0.00014	2.3431	0.00064	0.08920	0.00050	225.3286	0.00023	0.00168	0.00007	16.3389	0.00025	7723	9	7396.7461	0.1	112.3	0.5	362.1681	0.4	36550	40	22331.7238	0.1	30.3	0.7	47.8801	0.8	17.3	0.4	38.7235	0.6	5.4	0.1	60.3988	0.2	438.5	1.5	802.9301	0.1	29.9	0.5	55.1870	0.8	3.1	0.3	9.9303	1.1	11.1	0.5	28.2156	0.6	
TM.N.2.0-10.16	TQ Powders	6/13/2017 11:42:02 AM	10.1721	0.2269	0.0067	7.8268	0.012	16.38	0.04	856.5948	0.0050	21.93	0.03	2180.6527	0.00001	0.03905	0.00089	11.6625	0.0016	0.01746	0.00051	6.9796	0.00060	0.00266	0.00023	3.3723	0.00064	0.3350	0.0010	859.3063	0.00001	0.00413	0.00015	26.8563	0.00039	6754	8	6540.0543	0.1	136.9	0.6	447.2022	0.4	35670	40	22103.8112	0.1	29.8	0.8	47.7500	0.8	15.6	0.4	35.5664	0.6	10.2	0.2	117.4828	0.2	440.5	1.5	830.0453	0.1	24.6	0.5	47.6013	0.9	3.0	0.3	9.8686	1.1	12.3	0.5	31.8151	0.6	
TM.N.1.0-10.16	TQ Powders	6/13/2017 11:55:49 AM	9.6134	0.0572	0.0021	5.6326	0.011	14.16	0.03	771.5941	0.0063	25.24	0.04	2555.4814	0.00001	0.03109	0.00082	9.1690	0.0016	0.01732	0.00050	6.4717	0.00055	0.00446	0.00026	4.4366	0.00062	0.07185	0.00045	171.8705	0.00021	0.00419	0.00012	22.4787	0.00022	5328	7	4777.6052	0.1	89.7	0.5	272.2029	0.4	22560	30	13809.3600	0.1	15.5	0.6	26.9492	0.7	10.6	0.3	25.9897	0.5	3.0	0.1	38.7112	0.2	317.3	1.2	675.0895	0.1	15.3	0.4	34.6850	0.7	2.6	0.3	9.7014	0.9	6.0	0.4	17.6119	0.5	
Vg.N.1.B.0-10.16	TQ Powders	6/13/2017 12:09:43 PM	13.5218	0.0457	0.0019	5.4203	0.013	17.16	0.04	924.7506	0.0025	12.20	0.03	1281.1579	0.0017	0.02127	0.00056	11.5941	0.0017	0.06092	0.00086	27.0530	0.00063	0.00347	0.00028	4.3273	0.00068	0.02499	0.00028	75.5690	0.00027	0.01994	0.00017	128.7197	0.00018	10420	10	11826.0682	0.1	149.9	0.6	560.2179	0.3	96080	80	65696.7310	0.1	9.1	0.9	11.3058	1.2	33.4	0.7	58.8455	0.9	11.4	0.2	97.9508	0.4	821.2	2.3	1222.0681	0.1	57.2	0.7	85.4155	1.0	7.8	0.5	17.6629	1.5	18.5	0.7	36.7887	0.9	
