McMahon_6-13-17_2
Element	Method	Eval Date	Mass coefficient.	Mg	Mg	Mg	Mg	Al	Al	Al	Al	Si	Si	Si	Si	P	P	P	P	S	S	S	S	Cl	Cl	Cl	Cl	K	K	K	K	Ca	Ca	Ca	Ca	Ti	Ti	Ti	Ti	Mn	Mn	Mn	Mn	Fe	Fe	Fe	Fe	Cu	Cu	Cu	Cu	Zn	Zn	Zn	Zn	Sr	Sr	Sr	Sr	Zr	Zr	Zr	Zr	Nb	Nb	Nb	Nb	Mo	Mo	Mo	Mo	Pb	Pb	Pb	Pb	
Dimension			cm²/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	
It.N.1.0-10.16	TQ Powders	6/13/2017 1:13:13 PM	9.6051	0.1128	0.0038	6.5871	0.0098	20.82	0.04	1266.5952	0.00001	10.06	0.02	1073.9709	0.0012	0.03059	0.00064	13.1947	0.0013	0.05576	0.00073	26.4099	0.00040	0.01080	0.00033	10.7695	0.00054	0.03119	0.00031	99.6526	0.00028	0.00520	0.00010	43.0144	0.00020	13580	10	16217.8555	0.1	70.8	0.5	274.8268	0.4	44800	40	34421.8008	0.1	7.2	0.6	12.7660	0.8	20.4	0.5	51.4834	0.6	16.3	0.2	205.7171	0.2	553.6	1.6	1119.0920	0.1	51.9	0.6	101.9074	0.8	6.0	0.4	16.9826	1.1	6.2	0.6	18.3782	0.6	
It.N.3.0-10.16	TQ Powders	6/13/2017 1:27:07 PM	9.3040	0.0849	0.0030	6.1803	0.0097	19.55	0.04	1229.6667	0.00001	8.807	0.020	985.0700	0.0013	0.02728	0.00059	12.6534	0.0012	0.06159	0.00073	30.9290	0.00038	0.01299	0.00034	13.3389	0.00052	0.02768	0.00029	94.1392	0.00027	0.00916	0.00012	68.5187	0.00019	12810	10	16304.0416	0.1	72.6	0.4	300.3915	0.3	45890	40	37101.2509	0.1	5.8	0.6	10.6835	0.8	18.5	0.4	47.9390	0.6	15.8	0.2	199.3166	0.2	576.6	1.7	1086.7172	0.1	54.4	0.6	98.1592	0.8	7.3	0.4	18.5764	1.1	6.5	0.6	19.6550	0.6	
It.N.T.A.60-100.16	TQ Powders	6/13/2017 1:41:02 PM	11.2702	0.1153	0.0039	6.4150	0.011	24.31	0.05	1313.3671	0.00001	11.10	0.02	1045.0591	0.0013	0.01035	0.00029	8.7561	0.0014	0.02869	0.00061	12.1217	0.00057	0.00357	0.00023	4.2388	0.00058	0.02159	0.00030	61.5141	0.00032	< 0.0010	(0.0)	16.0383	0.00100	15750	20	16734.9661	0.1	78.7	0.5	271.4453	0.4	56160	50	36443.9792	0.1	3.7	0.7	5.5140	1.0	24.6	0.5	51.4013	0.7	19.0	0.2	197.5281	0.3	651.2	1.9	1136.4110	0.1	60.3	0.7	103.9130	0.9	6.8	0.4	17.4128	1.2	7.5	0.7	18.1049	0.7	
It.N.T.B.60-100.16	TQ Powders	6/13/2017 1:54:54 PM	11.0951	0.1117	0.0038	6.4127	0.011	24.15	0.05	1339.9981	0.00001	11.02	0.02	1058.3274	0.0013	0.00922	0.00026	8.6214	0.0014	0.02070	0.00054	8.9654	0.00058	0.00069	0.00009	2.0607	0.00057	0.02159	0.00029	62.5333	0.00032	< 0.0010	(0.0)	15.8807	0.00100	15580	10	16806.5960	0.1	77.4	0.5	270.9856	0.4	55280	50	36525.2294	0.1	7.1	0.7	10.7236	1.0	24.1	0.5	51.1671	0.7	19.3	0.2	204.2555	0.3	649.6	1.9	1144.6969	0.1	59.3	0.6	103.1173	0.9	6.4	0.4	16.7860	1.2	8.2	0.7	20.0086	0.7	
BO.P.1.0-10.16	TQ Powders	6/13/2017 2:08:42 PM	11.3453	0.0475	0.0018	5.4342	0.012	16.92	0.04	890.0910	0.0015	19.14	0.03	1923.0819	0.00001	0.02326	0.00065	9.4694	0.0016	0.03762	0.00070	14.9654	0.00059	0.00438	0.00029	4.6780	0.00062	0.03255	0.00032	87.3866	0.00026	0.02867	0.00022	143.6982	0.00019	8980	10	9081.0718	0.1	115.1	0.6	388.7941	0.4	55810	50	35416.4162	0.1	16.9	0.7	24.5760	0.9	23.8	0.5	49.1049	0.6	5.7	0.2	59.1657	0.3	517.0	1.7	885.0542	0.1	26.9	0.5	47.2235	0.9	3.5	0.3	10.3655	1.2	5.9	0.4	13.8453	0.6	
BO.P.2.0-10.16	TQ Powders	6/13/2017 2:22:35 PM	11.7768	0.0559	0.0022	5.5719	0.012	17.04	0.04	923.5079	0.0016	18.21	0.03	1876.9150	0.00001	0.02405	0.00070	9.3812	0.0017	0.03498	0.00068	14.2803	0.00062	0.00238	0.00022	3.2836	0.00062	0.02629	0.00030	72.5758	0.00027	0.01281	0.00015	76.4090	0.00019	9332	10	9678.9037	0.1	98.8	0.5	341.1102	0.4	64160	60	41645.4591	0.1	17.4	0.8	24.6575	1.0	23.0	0.6	45.9924	0.7	5.3	0.2	52.9471	0.3	494.1	1.7	830.1992	0.1	27.9	0.5	48.0671	0.9	4.1	0.3	11.4325	1.2	6.0	0.5	13.6538	0.7	
JP.N.1.0-10.16	TQ Powders	6/13/2017 2:36:28 PM	8.8846	< 0.0020	(0.0)	3.9773	0.0020	6.701	0.021	466.0909	0.0070	30.07	0.04	3842.5507	0.00001	< 0.00030	(0.0)	3.5818	0.00030	0.01349	0.00040	5.6480	0.00047	0.00643	0.00029	5.7777	0.00056	0.01812	0.00023	44.5200	0.00019	0.00266	0.00009	13.0434	0.00015	1543	3	1433.9239	0.1	402.0	1.0	1266.4391	0.4	8324	13	5322.9634	0.1	2.3	0.5	4.6115	0.6	5.8	0.3	16.1304	0.5	1.0	0.1	15.3453	0.2	310.4	1.1	734.6127	0.1	6.6	0.3	18.1701	0.7	2.6	0.2	10.1524	0.9	20.3	0.3	68.2287	0.4	
JP.N.2.0-10.16	TQ Powders	6/13/2017 2:50:15 PM	8.8308	< 0.0020	(0.0)	4.0463	0.0020	8.112	0.024	515.0881	0.0072	29.87	0.04	3509.6751	0.00001	< 0.0017	(0.00063)	4.0368	0.0017	0.01510	0.00045	5.6359	0.00047	0.00641	0.00029	5.7270	0.00057	0.02090	0.00025	50.1874	0.00019	0.00335	0.00010	15.6588	0.00015	1637	3	1473.5566	0.1	68.1	0.4	210.6170	0.4	8842	14	5471.8483	0.1	1.9	0.5	3.5752	0.7	6.7	0.3	18.1732	0.5	1.1	0.1	16.0142	0.2	285.6	1.1	653.5583	0.1	6.5	0.3	17.2064	0.7	3.1	0.3	11.4257	0.8	2.8	0.3	9.2896	0.4	
JP.N.1.60-100.16	TQ Powders	6/13/2017 3:04:03 PM	10.8670	0.0389	0.0015	5.3162	0.012	13.71	0.03	725.1807	0.0059	24.71	0.04	2521.8505	0.00001	< 0.00030	(0.0)	3.7001	0.00030	0.00561	0.00035	2.6614	0.00065	0.00266	0.00021	3.3151	0.00064	0.02367	0.00026	59.4722	0.00020	< 0.0010	(0.0)	9.8039	0.00100	2580	4	2453.3409	0.1	143.2	0.6	466.7325	0.3	45660	50	28321.0017	0.1	6.7	0.7	10.1042	0.9	8.1	0.4	17.4587	0.6	1.6	0.1	17.1011	0.3	399.6	1.5	723.7552	0.1	9.8	0.4	20.1873	0.9	2.9	0.3	9.4861	1.1	23.6	0.5	57.9089	0.6	
