McMahon_6-27
Element	Method	Eval Date	Mass coefficient.	Mg	Mg	Mg	Mg	Al	Al	Al	Al	Si	Si	Si	Si	P	P	P	P	S	S	S	S	Cl	Cl	Cl	Cl	K	K	K	K	Ca	Ca	Ca	Ca	Ti	Ti	Ti	Ti	Mn	Mn	Mn	Mn	Fe	Fe	Fe	Fe	Cu	Cu	Cu	Cu	Zn	Zn	Zn	Zn	Sr	Sr	Sr	Sr	Zr	Zr	Zr	Zr	Nb	Nb	Nb	Nb	Mo	Mo	Mo	Mo	Pb	Pb	Pb	Pb	
Dimension			cm²/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	
It.N.4.60-100.04	TQ Powders	7/3/2018 12:25:45 PM	10.8935	0.1218	0.0041	6.4924	0.011	23.56	0.05	1266.0506	0.00001	11.17	0.02	1056.9631	0.0013	0.00731	0.00021	8.3548	0.0014	0.01871	0.00052	8.0506	0.00059	0.00342	0.00023	4.1449	0.00057	0.02274	0.00030	65.2466	0.00032	0.00069	0.00002	18.4057	0.00021	15190	10	16280.4571	0.1	76.5	0.5	266.8880	0.4	52000	50	34021.6024	0.1	4.0	0.7	6.0113	0.9	22.9	0.5	49.3916	0.6	19.2	0.2	205.3625	0.3	656.5	1.9	1164.0025	0.1	59.4	0.6	103.7971	0.9	6.2	0.4	16.4927	1.3	8.3	0.7	20.4135	0.7	
BO.P.4.0-10.04	TQ Powders	7/3/2018 12:40:20 PM	12.0350	< 0.0020	(0.0)	4.5934	0.0020	14.77	0.04	757.7560	0.0023	17.29	0.03	1766.4549	0.00001	0.02257	0.00069	8.7049	0.0017	0.03314	0.00067	13.6605	0.00061	0.00098	0.00012	2.2580	0.00061	0.02109	0.00027	59.1600	0.00026	0.01084	0.00013	69.4506	0.00018	9065	10	9569.9484	0.1	96.2	0.5	338.8903	0.3	69520	60	44990.7581	0.1	21.5	0.8	29.4830	1.1	25.9	0.6	50.4718	0.8	5.1	0.2	49.4169	0.3	472.4	1.7	758.5511	0.1	28.3	0.5	46.8171	0.9	4.4	0.4	11.7437	1.2	7.6	0.5	16.6184	0.8	
BO.P.3.0-10.04	TQ Powders	7/3/2018 12:54:55 PM	11.8888	< 0.0020	(0.0)	4.5661	0.0020	14.60	0.04	732.2419	0.0023	17.11	0.03	1719.6997	0.00001	0.02226	0.00069	8.5348	0.0017	0.03462	0.00068	14.1140	0.00061	0.00279	0.00022	3.5949	0.00061	0.02078	0.00027	57.9363	0.00026	0.01964	0.00018	109.4437	0.00018	8844	9	9290.9299	0.1	112.4	0.5	394.6063	0.3	67120	60	43091.5391	0.1	23.3	0.8	32.1180	1.1	29.5	0.6	57.8691	0.7	5.7	0.2	55.0980	0.3	463.2	1.7	743.5632	0.1	27.4	0.5	45.0578	0.9	4.3	0.4	11.4398	1.2	5.2	0.5	11.3684	0.7	
BO.P.2.0-10.04	TQ Powders	7/3/2018 1:09:31 PM	12.0573	< 0.0020	(0.0)	4.6711	0.0020	15.30	0.04	783.2715	0.0022	17.76	0.03	1796.0483	0.00001	0.02189	0.00067	8.7508	0.0017	0.03173	0.00067	12.9431	0.00064	0.00182	0.00019	2.8653	0.00062	0.02000	0.00027	55.3153	0.00027	0.00838	0.00012	56.6961	0.00019	9673	10	10052.0187	0.1	107.6	0.5	372.3290	0.4	68060	60	43469.1613	0.1	22.1	0.8	30.2907	1.1	25.7	0.6	49.9566	0.7	5.5	0.2	52.7177	0.3	496.8	1.7	796.8221	0.1	28.7	0.5	47.3720	0.9	3.7	0.3	10.3849	1.2	8.9	0.5	19.3411	0.7	
It.N.3.60-100.04	TQ Powders	7/3/2018 1:24:09 PM	10.9146	0.1053	0.0036	6.2547	0.011	23.76	0.05	1271.7325	0.00001	10.77	0.02	1014.5743	0.0013	0.00936	0.00026	8.8514	0.0014	0.01793	0.00052	7.7117	0.00059	0.00401	0.00024	4.6031	0.00057	0.02325	0.00030	66.8237	0.00032	0.00082	0.00003	19.1855	0.00021	15120	10	16251.1775	0.1	74.0	0.5	258.7985	0.4	52580	50	34432.2515	0.1	3.9	0.7	5.9415	0.9	23.6	0.5	50.7015	0.7	18.3	0.2	195.1989	0.3	669.0	1.9	1181.4357	0.1	58.9	0.6	102.3268	0.9	6.2	0.4	16.3589	1.3	7.5	0.7	18.5081	0.7	
BO.P.1.0-10.04	TQ Powders	7/3/2018 1:38:44 PM	12.2000	< 0.0020	(0.0)	4.1866	0.0020	15.30	0.04	743.6509	0.0023	17.14	0.03	1666.1698	0.00009	0.02776	0.00085	8.6348	0.0017	0.03327	0.00068	13.2854	0.00062	0.00229	0.00020	3.1818	0.00062	0.02014	0.00027	54.8015	0.00027	0.02163	0.00019	116.1956	0.00018	9438	10	9671.3136	0.1	126.7	0.6	433.3100	0.3	68700	60	42894.2859	0.1	22.8	0.8	30.6621	1.1	26.3	0.6	50.2526	0.8	5.4	0.2	50.6557	0.3	391.6	1.5	614.1908	0.3	28.2	0.5	45.3846	0.9	4.6	0.4	11.9332	1.1	7.9	0.5	16.7419	0.7	
Bp.E2.4.60-100.04	TQ Powders	7/3/2018 1:53:19 PM	14.4055	0.0855	0.0033	5.9292	0.014	20.33	0.05	1053.3463	0.0021	10.87	0.02	1066.8495	0.0020	0.02367	0.00072	9.2299	0.0017	0.00828	0.00050	3.8489	0.00080	0.00069	0.00010	2.0615	0.00068	0.02414	0.00030	70.2949	0.00031	< 0.0010	(0.0)	22.2329	0.00100	13380	10	14568.2738	0.1	202.1	0.7	716.7326	0.4	103300	100	67185.3765	0.1	29.3	1.1	34.3354	1.2	37.8	0.8	62.6538	0.9	18.1	0.3	147.2333	0.4	552.4	1.9	782.4202	0.1	51.6	0.7	73.4904	1.1	5.6	0.4	12.8728	1.4	19.1	1.1	36.0194	0.9	
Bp.E2.3.60-100.04	TQ Powders	7/3/2018 2:07:55 PM	14.5803	0.0882	0.0035	5.9526	0.014	20.64	0.05	1054.9732	0.0021	11.29	0.03	1091.6139	0.0020	0.02240	0.00070	8.8521	0.0018	0.00873	0.00050	4.0046	0.00081	< 0.00020	(0.0)	1.2100	0.00020	0.02411	0.00031	68.9433	0.00031	< 0.0010	(0.0)	21.6800	0.00100	13520	10	14453.5856	0.1	200.3	0.7	698.0706	0.4	103900	100	66491.1114	0.1	32.1	1.1	37.1601	1.3	36.4	0.8	59.5862	0.9	18.9	0.3	151.8766	0.4	550.9	1.9	772.5446	0.1	51.4	0.7	72.7923	1.1	6.8	0.5	15.0493	1.4	21.0	1.1	39.0465	0.9	
Bp.E2.2.60-100.04	TQ Powders	7/3/2018 2:22:30 PM	14.3860	0.0625	0.0026	5.6433	0.013	20.24	0.04	1067.2693	0.0021	11.20	0.02	1114.5214	0.0020	0.02290	0.00071	9.1204	0.0018	0.00727	0.00049	3.4432	0.00080	< 0.00068	(0.00041)	1.8497	0.00067	0.02338	0.00030	68.4384	0.00031	< 0.0010	(0.0)	19.6314	0.00100	13280	10	14519.5342	0.1	193.9	0.7	690.2906	0.4	103200	100	67611.5581	0.1	27.5	1.2	32.2857	1.2	37.7	0.8	62.7330	0.8	18.6	0.3	151.4488	0.4	550.2	1.9	783.7846	0.1	52.5	0.7	75.2251	1.1	6.5	0.4	14.6040	1.3	18.9	1.1	35.9459	0.9	
