McMahon_Bo
Element	Method	Eval Date	Mass coefficient.	Mg	Mg	Mg	Mg	Al	Al	Al	Al	Si	Si	Si	Si	P	P	P	P	S	S	S	S	Cl	Cl	Cl	Cl	K	K	K	K	Ca	Ca	Ca	Ca	Ti	Ti	Ti	Ti	Mn	Mn	Mn	Mn	Fe	Fe	Fe	Fe	Cu	Cu	Cu	Cu	Zn	Zn	Zn	Zn	Sr	Sr	Sr	Sr	Zr	Zr	Zr	Zr	Nb	Nb	Nb	Nb	Mo	Mo	Mo	Mo	Pb	Pb	Pb	Pb	
Dimension			cm²/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	
Bo.E.1.0-10.16	TQ Powders	7/18/2017 1:26:30 PM	12.0850	0.02050	0.00088	5.0825	0.012	15.43	0.04	846.0848	0.0021	16.56	0.03	1773.2816	0.00044	0.02832	0.00088	8.8657	0.0016	0.04204	0.00073	17.9712	0.00059	0.00180	0.00018	2.9242	0.00061	0.02015	0.00026	58.7135	0.00026	0.01724	0.00016	104.7778	0.00018	9606	10	10491.7846	0.1	103.1	0.5	373.7199	0.3	73010	70	49099.9262	0.1	23.7	0.8	32.7356	1.1	21.1	0.6	41.2772	0.8	5.3	0.2	51.5439	0.3	349.5	1.4	571.0332	0.3	27.3	0.5	45.4791	0.9	4.1	0.3	11.2585	1.1	6.8	0.5	15.1476	0.7	
Bo.E.2.0-10.16	TQ Powders	7/18/2017 1:41:02 PM	11.6568	0.01371	0.00059	4.9885	0.012	15.00	0.04	834.8411	0.0020	16.52	0.03	1796.9681	0.00008	0.02924	0.00088	9.0916	0.0016	0.04292	0.00072	18.6596	0.00057	0.00135	0.00015	2.5920	0.00060	0.02082	0.00026	61.4908	0.00026	0.01544	0.00015	95.6771	0.00018	9226	10	10229.8037	0.1	97.6	0.5	359.4260	0.3	68720	60	46978.8573	0.1	22.4	0.8	31.9820	1.0	22.8	0.6	46.0385	0.7	5.1	0.2	51.0070	0.3	336.8	1.4	564.9631	0.4	26.4	0.5	45.3691	0.9	4.3	0.3	11.8844	1.1	8.7	0.5	19.7765	0.7	
Bo.E.3.0-10.16	TQ Powders	7/18/2017 1:55:32 PM	11.7048	0.0330	0.0014	5.2751	0.012	15.67	0.04	889.6330	0.0018	16.65	0.03	1821.5487	0.00001	0.02867	0.00082	9.8338	0.0016	0.03729	0.00069	16.2280	0.00060	0.00231	0.00020	3.3433	0.00060	0.02170	0.00027	63.9965	0.00026	0.01954	0.00017	115.7827	0.00018	9649	10	10662.5041	0.1	124.4	0.6	455.4487	0.3	68850	60	47127.5238	0.1	24.9	0.8	35.5785	1.1	26.8	0.6	54.1284	0.7	6.1	0.2	61.3865	0.3	418.8	1.5	705.7639	0.1	29.1	0.5	49.8821	0.9	4.6	0.3	12.4705	1.1	7.6	0.5	17.5450	0.7	
Bo.E.4.0-10.16	TQ Powders	7/18/2017 2:10:00 PM	11.4297	0.0377	0.0016	5.3641	0.011	15.07	0.04	889.3304	0.0019	16.08	0.03	1830.2781	0.00028	0.02616	0.00080	9.0598	0.0016	0.03704	0.00068	16.7309	0.00058	0.00142	0.00016	2.6910	0.00059	0.01924	0.00025	58.9222	0.00026	0.00698	0.00010	55.8234	0.00018	9151	10	10499.1891	0.1	87.9	0.5	334.4971	0.3	68590	60	48764.5068	0.1	22.2	0.8	32.4248	1.1	21.9	0.6	45.4373	0.7	4.5	0.2	46.0049	0.3	364.5	1.4	628.2318	0.3	27.3	0.5	47.8091	0.9	4.6	0.3	12.6637	1.1	8.2	0.5	19.3981	0.7	
Bo.E.1.10-20.16	TQ Powders	7/18/2017 2:24:27 PM	12.1779	< 0.012	(0.0)	4.8138	0.012	15.32	0.04	857.7273	0.0021	15.94	0.03	1741.9321	0.00066	0.02336	0.00077	8.3835	0.0016	0.03685	0.00069	16.1613	0.00061	0.00132	0.00015	2.5709	0.00060	0.01765	0.00025	52.6116	0.00026	0.01836	0.00017	112.9125	0.00018	9587	10	10692.1430	0.1	98.4	0.5	363.6087	0.3	76370	70	52335.8002	0.1	24.6	0.9	33.7465	1.1	23.3	0.6	45.1911	0.8	6.4	0.2	61.8495	0.3	388.6	1.5	631.8597	0.3	29.5	0.5	49.4237	0.9	4.3	0.3	11.6889	1.1	9.6	0.5	21.1990	0.7	
Bo.E.2.10-20.16	TQ Powders	7/18/2017 2:38:57 PM	11.9934	0.0380	0.0016	5.3541	0.012	15.15	0.04	873.8699	0.0020	16.32	0.03	1826.0053	0.00053	0.02635	0.00086	8.4999	0.0016	0.03789	0.00069	16.7970	0.00061	0.00108	0.00014	2.3965	0.00060	0.01879	0.00025	56.5261	0.00026	0.01264	0.00014	84.8801	0.00018	9636	10	10846.9502	0.1	97.1	0.5	361.7873	0.3	74580	70	51832.8731	0.1	23.8	0.9	33.1935	1.1	22.7	0.6	44.8736	0.8	5.5	0.2	54.3349	0.3	327.3	1.4	543.8544	0.5	28.7	0.5	48.5905	0.9	3.3	0.3	9.6787	1.1	8.9	0.5	19.9963	0.7	
Bo.E.3.10-20.16	TQ Powders	7/18/2017 2:53:25 PM	11.7932	0.0332	0.0014	5.2645	0.012	15.78	0.04	874.3605	0.0019	16.71	0.03	1792.0851	0.00014	0.02284	0.00070	8.8903	0.0016	0.03381	0.00067	14.5210	0.00062	0.00249	0.00021	3.4623	0.00060	0.01982	0.00026	57.6891	0.00026	0.01159	0.00013	75.5556	0.00018	9542	10	10412.8180	0.1	111.6	0.5	404.2555	0.3	68850	60	46462.7790	0.1	22.5	0.8	31.7860	1.1	26.5	0.6	53.0044	0.7	5.5	0.2	54.9511	0.3	450.4	1.6	749.8745	0.1	27.6	0.5	47.1294	0.9	5.1	0.4	13.3924	1.2	8.1	0.5	18.4792	0.7	
Bo.E.4.10-20.16	TQ Powders	7/18/2017 3:07:53 PM	12.3050	< 0.0020	(0.0)	3.9093	0.0020	15.79	0.04	869.0583	0.0020	16.28	0.03	1742.4574	0.00060	0.02125	0.00074	7.7251	0.0017	0.03352	0.00067	14.4253	0.00064	0.00239	0.00020	3.3914	0.00061	0.01722	0.00025	50.3530	0.00027	0.00620	0.00009	51.4416	0.00018	9472	10	10365.8508	0.1	89.7	0.5	325.5800	0.3	76280	70	51415.4381	0.1	23.0	0.9	31.2605	1.0	26.0	0.6	50.0338	0.7	5.0	0.2	47.7776	0.3	375.9	1.5	605.4610	0.3	29.7	0.5	48.6448	0.9	3.7	0.3	10.3977	1.1	9.1	0.5	19.9369	0.7	
Bo.E.1.0-10.04	TQ Powders	7/18/2017 3:22:24 PM	11.3717	0.0288	0.0012	5.2077	0.012	15.13	0.04	848.2529	0.0018	17.19	0.03	1871.9898	0.00001	0.01947	0.00057	9.3760	0.0016	0.03800	0.00069	16.3913	0.00058	0.00161	0.00017	2.7836	0.00059	0.02057	0.00026	60.2415	0.00026	0.01112	0.00013	72.4434	0.00018	8948	10	9834.6662	0.1	99.1	0.5	362.5456	0.3	63930	60	43616.7042	0.1	19.9	0.8	29.0593	1.0	24.2	0.6	50.0496	0.7	4.6	0.2	47.4791	0.3	546.7	1.7	935.6130	0.1	28.5	0.5	49.5001	0.9	4.2	0.4	11.6879	1.2	7.0	0.5	16.4129	0.7	
Bo.E.2.0-10.04	TQ Powders	7/18/2017 3:36:53 PM	11.2693	0.0321	0.0013	5.2713	0.011	14.91	0.04	865.0923	0.0019	16.83	0.03	1889.2115	0.00001	0.02142	0.00062	9.7333	0.0016	0.03922	0.00069	17.3439	0.00057	0.00327	0.00023	4.1496	0.00059	0.02045	0.00026	61.4256	0.00026	0.00938	0.00012	65.7375	0.00018	9168	10	10325.1250	0.1	108.0	0.5	403.7752	0.3	64650	60	45195.8204	0.1	21.5	0.8	31.8556	1.0	23.0	0.5	48.1729	0.7	4.5	0.2	47.2826	0.3	525.7	1.7	913.2862	0.1	26.6	0.5	47.1207	0.9	4.8	0.4	13.1213	1.2	6.3	0.5	14.8984	0.7	
