McMahon_BoE_It
Element	Method	Eval Date	Mass coefficient.	Mg	Mg	Mg	Mg	Al	Al	Al	Al	Si	Si	Si	Si	P	P	P	P	S	S	S	S	Cl	Cl	Cl	Cl	K	K	K	K	Ca	Ca	Ca	Ca	Ti	Ti	Ti	Ti	Mn	Mn	Mn	Mn	Fe	Fe	Fe	Fe	Cu	Cu	Cu	Cu	Zn	Zn	Zn	Zn	Sr	Sr	Sr	Sr	Zr	Zr	Zr	Zr	Nb	Nb	Nb	Nb	Mo	Mo	Mo	Mo	Pb	Pb	Pb	Pb	
Dimension			cm²/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	
Bo.E.1.10-20.04	TQ Powders	7/18/2017 4:26:15 PM	12.0414	0.01914	0.00081	5.0525	0.012	16.17	0.04	850.8486	0.0020	17.22	0.03	1763.7106	0.00001	0.02667	0.00084	8.5058	0.0017	0.03480	0.00069	14.3190	0.00062	0.00075	0.00011	2.0840	0.00062	0.01858	0.00026	52.0916	0.00027	0.00458	0.00008	39.9650	0.00019	9527	10	10022.9350	0.1	99.7	0.5	348.9124	0.3	69100	60	44887.5324	0.1	19.5	0.8	26.9093	1.1	24.3	0.6	47.3570	0.7	4.6	0.2	44.3035	0.3	369.5	1.5	599.5005	0.3	27.0	0.5	44.9906	0.9	4.5	0.3	11.9561	1.1	6.1	0.5	13.4955	0.7	
Bo.E.2.10-20.04	TQ Powders	7/18/2017 4:40:47 PM	12.1467	< 0.013	(0.0068)	4.8872	0.013	15.67	0.04	825.6875	0.0021	16.93	0.03	1749.5405	0.00027	0.02438	0.00079	8.2575	0.0017	0.03454	0.00069	14.3781	0.00062	0.00119	0.00014	2.4276	0.00061	0.01773	0.00026	50.2969	0.00027	0.00397	0.00007	38.1134	0.00018	9646	10	10259.9982	0.1	100.8	0.5	356.1380	0.3	71520	60	46775.4246	0.1	21.3	0.8	29.0328	1.0	25.7	0.6	49.7942	0.7	4.6	0.2	43.8525	0.3	385.7	1.5	620.4326	0.3	29.0	0.5	47.7173	0.9	4.2	0.3	11.3372	1.1	7.3	0.5	16.0604	0.7	
Bo.E.3.10-20.04	TQ Powders	7/18/2017 4:55:20 PM	12.7936	< 0.0020	(0.0)	3.9524	0.0020	17.16	0.04	856.2518	0.0020	17.83	0.03	1731.4455	0.00023	0.02929	0.00092	8.4988	0.0017	0.03837	0.00073	15.0319	0.00065	0.00225	0.00020	3.1252	0.00064	0.01970	0.00027	52.5796	0.00028	0.00625	0.00010	47.4324	0.00019	9684	10	9699.1827	0.1	99.5	0.5	331.9617	0.3	74840	70	46247.1158	0.1	21.4	0.9	27.7535	1.1	24.4	0.6	44.8232	0.8	4.4	0.2	40.4032	0.3	365.0	1.5	561.0959	0.4	28.9	0.5	45.4394	1.0	4.0	0.3	10.5814	1.1	7.5	0.5	15.5783	0.8	
Bo.E.4.10-20.04	TQ Powders	7/18/2017 5:09:51 PM	12.0397	0.0257	0.0011	5.1683	0.012	15.95	0.04	900.1918	0.0019	16.91	0.03	1836.2314	0.00029	0.02568	0.00081	8.6676	0.0017	0.03674	0.00070	15.8063	0.00062	0.00123	0.00015	2.4908	0.00061	0.01778	0.00025	51.9468	0.00027	0.00360	0.00007	37.8150	0.00018	9789	10	10696.5250	0.1	97.2	0.5	351.6819	0.3	72550	70	49139.0598	0.1	21.4	0.8	29.7903	1.1	23.9	0.6	46.9440	0.8	4.9	0.2	48.2809	0.3	376.0	1.5	620.8540	0.3	29.2	0.5	49.3097	0.9	4.1	0.3	11.4369	1.1	7.8	0.5	17.4492	0.7	
It.E2.1.0-10.04	TQ Powders	7/18/2017 5:24:24 PM	12.0160	0.0542	0.0022	5.5946	0.012	20.59	0.04	1174.9416	0.0011	8.307	0.020	867.5934	0.0018	0.03635	0.00082	13.2065	0.0015	0.03610	0.00066	17.1285	0.00059	0.00548	0.00028	6.2259	0.00058	0.02344	0.00029	75.3932	0.00030	0.00089	0.00002	28.6672	0.00020	14900	10	17892.3784	0.1	104.8	0.5	405.8572	0.3	77770	70	55435.1549	0.1	5.6	0.8	7.8378	1.2	17.8	0.6	35.0396	0.8	15.4	0.2	149.3476	0.3	558.1	1.8	919.7864	0.1	51.0	0.6	83.8348	0.9	7.2	0.4	17.5828	1.2	12.5	0.9	28.0285	0.8	
It.E2.2.0-10.04	TQ Powders	7/18/2017 5:39:00 PM	11.6415	0.0685	0.0026	5.8160	0.011	19.80	0.04	1147.5282	0.0011	8.258	0.020	881.1276	0.0018	0.03361	0.00077	12.7951	0.0014	0.03250	0.00062	15.7248	0.00058	0.00536	0.00027	6.2206	0.00056	0.02275	0.00028	74.7526	0.00029	0.00071	0.00002	27.3475	0.00020	14170	10	17395.3268	0.1	95.2	0.5	377.8516	0.3	74730	70	54493.2776	0.1	3.6	0.8	5.1943	1.2	17.4	0.6	35.4545	0.8	14.4	0.2	143.4699	0.3	547.1	1.8	924.2881	0.1	50.5	0.6	84.7310	0.9	7.4	0.4	18.3339	1.2	10.2	0.9	23.6522	0.8	
It.E2.3.0-10.04	TQ Powders	7/18/2017 5:53:32 PM	11.7007	0.0670	0.0026	5.8022	0.011	20.27	0.04	1182.8587	0.00097	8.237	0.020	877.3227	0.0018	0.03190	0.00071	13.1701	0.0014	0.03266	0.00063	15.7614	0.00059	0.00505	0.00027	5.9363	0.00057	0.02345	0.00029	76.8025	0.00030	0.00055	0.00002	26.4075	0.00020	14650	10	17913.8704	0.1	97.9	0.5	386.1262	0.3	75100	70	54582.0711	0.1	7.9	0.8	11.3521	1.1	17.2	0.6	34.9126	0.8	13.9	0.2	138.6990	0.3	622.9	1.9	1049.0128	0.1	50.3	0.6	84.0919	0.9	7.6	0.4	18.8594	1.3	9.8	0.9	22.7835	0.8	
It.E2.4.0-10.04	TQ Powders	7/18/2017 6:08:03 PM	12.2263	0.0441	0.0018	5.4162	0.012	20.61	0.04	1129.6663	0.0012	8.800	0.021	892.0732	0.0018	0.02671	0.00068	10.9658	0.0015	0.03265	0.00064	15.0631	0.00062	0.00340	0.00024	4.3568	0.00059	0.02204	0.00029	68.8264	0.00031	< 0.0010	(0.0)	21.0433	0.00100	14840	10	17312.3042	0.1	101.3	0.5	382.2777	0.4	78310	70	54197.0314	0.1	6.3	0.8	8.6319	1.1	18.7	0.6	36.1927	0.8	15.4	0.2	146.3919	0.3	568.5	1.9	916.6961	0.1	52.5	0.7	84.0835	1.0	9.0	0.5	20.7942	1.3	13.1	0.9	28.7730	0.8	
It.E2.1.0-10.16	TQ Powders	7/18/2017 6:22:35 PM	11.4450	0.0876	0.0033	6.1363	0.011	19.69	0.04	1170.4185	0.0011	8.001	0.019	870.7920	0.0018	0.03646	0.00078	14.0093	0.0014	0.04071	0.00067	20.0516	0.00055	0.00543	0.00028	6.3823	0.00056	0.02838	0.00030	94.9368	0.00029	0.06603	0.00031	393.5463	0.00019	14540	10	18117.4769	0.1	110.1	0.5	442.2478	0.4	73060	70	54053.0523	0.1	5.6	0.8	8.1767	1.2	18.0	0.6	37.2000	0.8	17.1	0.2	173.5841	0.3	571.2	1.8	980.1428	0.1	53.1	0.6	89.8404	0.9	7.0	0.4	17.8031	1.2	10.1	0.9	23.9585	0.8	
