McMahon_ItE1
Element	Method	Eval Date	Mass coefficient.	Mg	Mg	Mg	Mg	Al	Al	Al	Al	Si	Si	Si	Si	P	P	P	P	S	S	S	S	Cl	Cl	Cl	Cl	K	K	K	K	Ca	Ca	Ca	Ca	Ti	Ti	Ti	Ti	Mn	Mn	Mn	Mn	Fe	Fe	Fe	Fe	Cu	Cu	Cu	Cu	Zn	Zn	Zn	Zn	Sr	Sr	Sr	Sr	Zr	Zr	Zr	Zr	Nb	Nb	Nb	Nb	Mo	Mo	Mo	Mo	Pb	Pb	Pb	Pb	
Dimension			cm²/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	
It.E1.Ee2.4.0-10.16	TQ Powders	7/14/2017 11:44:12 AM	9.3093	0.1558	0.0048	7.2535	0.0093	23.93	0.04	1433.3355	0.00001	9.133	0.021	919.1503	0.0012	0.02691	0.00055	13.2517	0.0012	0.03758	0.00061	17.3219	0.00045	0.01712	0.00038	15.6818	0.00053	0.04351	0.00037	134.0015	0.00030	0.01097	0.00015	68.8770	0.00022	15710	10	18058.4797	0.1	61.4	0.5	228.1406	0.4	36490	40	26995.0663	0.1	3.7	0.6	6.7977	0.8	17.1	0.4	44.2836	0.5	15.4	0.2	201.8255	0.2	602.2	1.6	1288.3712	0.1	56.1	0.6	117.1344	0.7	6.7	0.4	19.7495	1.1	6.3	0.5	19.5680	0.5	
It.E1.Ee1.2.0-10.16	TQ Powders	7/14/2017 11:58:38 AM	9.5214	0.1219	0.0039	6.6841	0.0096	22.44	0.04	1326.2226	0.00001	9.960	0.022	1014.9390	0.0011	0.02880	0.00061	12.5903	0.0013	0.03660	0.00061	16.8332	0.00047	0.00687	0.00029	7.1959	0.00053	0.04727	0.00038	145.1810	0.00029	0.03170	0.00024	176.5637	0.00022	14590	10	16740.8812	0.1	61.4	0.5	228.5793	0.4	39880	40	29532.6123	0.1	< 1.1	(1.1)	1.9674	1.1	18.7	0.4	47.4423	0.6	16.2	0.2	208.4099	0.2	527.8	1.5	1112.5744	0.1	50.0	0.5	103.1477	0.7	6.1	0.4	18.0845	1.0	7.0	0.5	21.1436	0.6	
It.E1.L.2.0-10.16	TQ Powders	7/14/2017 12:13:07 PM	9.4317	0.1152	0.0038	6.5825	0.0096	22.25	0.04	1317.7341	0.00001	9.986	0.022	1021.6886	0.0011	0.02699	0.00057	12.5636	0.0013	0.03827	0.00062	17.6475	0.00045	0.00627	0.00027	6.7203	0.00053	0.03943	0.00035	121.6093	0.00029	0.05380	0.00030	291.2424	0.00020	14240	10	16393.8963	0.1	60.6	0.5	227.0291	0.4	39070	40	29074.2728	0.1	3.7	0.6	6.6597	0.8	18.7	0.4	47.7713	0.6	16.5	0.2	213.0486	0.2	566.6	1.6	1162.4911	0.1	52.5	0.6	104.4841	0.8	6.8	0.4	19.2731	1.1	6.8	0.5	20.5372	0.6	
It.E1.T.2.0-10.16	TQ Powders	7/14/2017 12:27:37 PM	9.5912	0.0917	0.0031	6.2155	0.0097	22.35	0.04	1321.1888	0.00001	9.868	0.022	1007.6837	0.0012	0.02721	0.00057	12.8023	0.0013	0.03895	0.00063	17.9239	0.00047	0.00651	0.00028	6.9143	0.00054	0.02890	0.00032	89.2927	0.00030	0.01397	0.00016	85.9189	0.00021	14890	10	17161.0916	0.1	68.8	0.5	256.9668	0.4	41070	40	30422.0360	0.1	2.4	0.6	4.3205	0.8	20.5	0.4	51.4709	0.6	17.4	0.2	221.1870	0.2	574.1	1.6	1203.1126	0.1	54.8	0.6	112.2644	0.8	6.4	0.4	18.8194	1.1	6.3	0.6	18.9227	0.6	
It.E1.Ee1.1.0-10.16	TQ Powders	7/14/2017 12:42:07 PM	9.3088	0.1007	0.0034	6.3718	0.0095	22.35	0.04	1338.5144	0.00001	9.236	0.021	952.3854	0.0012	0.02859	0.00058	13.4165	0.0012	0.04218	0.00064	19.7682	0.00043	0.00577	0.00028	6.3920	0.00052	0.02970	0.00032	93.5839	0.00030	0.01043	0.00014	68.2838	0.00021	14930	10	17557.4993	0.1	56.3	0.4	214.4123	0.4	38790	40	29353.5473	0.1	5.0	0.6	9.2289	0.8	18.5	0.4	48.0490	0.6	17.6	0.2	230.7895	0.2	579.3	1.6	1240.0030	0.1	56.0	0.6	116.8252	0.8	6.3	0.4	18.7859	1.1	6.0	0.6	18.4712	0.6	
It.E1.L.1.0-10.16	TQ Powders	7/14/2017 12:56:38 PM	9.6627	0.1570	0.0048	7.2145	0.0096	23.28	0.04	1364.5135	0.00001	9.506	0.021	952.4660	0.0012	0.02160	0.00047	11.8983	0.0013	0.03211	0.00059	14.6682	0.00049	0.00441	0.00026	5.1354	0.00053	0.02905	0.00032	88.7553	0.00030	0.00925	0.00014	60.6866	0.00021	15470	10	17613.2884	0.1	58.8	0.5	216.5340	0.4	40820	40	29843.1451	0.1	2.3	0.6	4.0254	0.8	19.6	0.4	48.7788	0.6	17.2	0.2	217.2241	0.2	604.3	1.7	1251.8517	0.1	57.7	0.6	116.8490	0.8	6.9	0.4	20.1217	1.1	7.1	0.6	21.0245	0.6	
It.E1.T.1.0-10.16	TQ Powders	7/14/2017 1:11:06 PM	9.5776	0.01370	0.00063	5.0076	0.0098	22.73	0.04	1324.2071	0.00001	9.670	0.021	971.5957	0.0012	0.02844	0.00059	13.0755	0.0013	0.04281	0.00066	19.5023	0.00044	0.00518	0.00026	5.7643	0.00054	0.03129	0.00033	95.5679	0.00030	0.00742	0.00012	51.1368	0.00021	15220	10	17341.7533	0.1	60.2	0.5	222.2289	0.4	39870	40	29255.6292	0.1	2.9	0.6	5.2133	0.8	19.8	0.4	49.9056	0.6	17.0	0.2	217.2901	0.2	582.4	1.6	1217.7678	0.1	55.5	0.6	113.4157	0.8	6.5	0.4	19.3509	1.1	7.2	0.5	21.6369	0.6	
It.E1.Ee2.1.0-10.16	TQ Powders	7/14/2017 1:25:36 PM	9.4624	0.1065	0.0036	6.4185	0.0097	22.47	0.04	1307.5077	0.00001	9.412	0.021	948.7379	0.0012	0.02907	0.00060	13.1620	0.0012	0.04417	0.00065	20.2475	0.00044	0.00537	0.00028	5.9559	0.00053	0.02996	0.00032	92.2452	0.00030	0.00785	0.00013	53.6252	0.00021	14930	10	17160.9315	0.1	58.1	0.4	216.6228	0.4	39150	40	29002.7563	0.1	3.2	0.6	5.8541	0.8	18.9	0.4	48.3121	0.6	16.7	0.2	215.7702	0.2	570.1	1.6	1203.3490	0.1	55.5	0.6	114.0998	0.8	7.1	0.4	20.8441	1.1	6.7	0.5	20.1974	0.5	
It.E1.2.0-10.04	TQ Powders	7/14/2017 1:40:08 PM	9.2336	0.1294	0.0041	6.8268	0.0093	23.76	0.04	1417.1512	0.00001	9.215	0.021	926.2717	0.0012	0.02234	0.00046	12.7579	0.0012	0.03408	0.00059	15.7150	0.00045	0.00476	0.00024	5.4548	0.00052	0.02868	0.00032	88.4473	0.00031	0.02029	0.00020	116.4745	0.00021	16490	20	18922.3869	0.1	55.2	0.5	203.9872	0.4	34920	40	25727.7285	0.1	< 0.6	(0.6)	1.1696	0.6	16.7	0.4	43.6814	0.5	16.4	0.2	217.8282	0.2	631.0	1.7	1361.7623	0.1	60.1	0.6	126.2063	0.8	5.8	0.4	17.8614	1.1	6.5	0.5	20.3264	0.5	
