McMahon_ItE1_hot
Element	Method	Eval Date	Mass coefficient.	Mg	Mg	Mg	Mg	Al	Al	Al	Al	Si	Si	Si	Si	P	P	P	P	S	S	S	S	Cl	Cl	Cl	Cl	K	K	K	K	Ca	Ca	Ca	Ca	Ti	Ti	Ti	Ti	Mn	Mn	Mn	Mn	Fe	Fe	Fe	Fe	Cu	Cu	Cu	Cu	Zn	Zn	Zn	Zn	Sr	Sr	Sr	Sr	Zr	Zr	Zr	Zr	Nb	Nb	Nb	Nb	Mo	Mo	Mo	Mo	Pb	Pb	Pb	Pb	
Dimension			cm²/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	
It.E1.Ee1.1.0-10.16	TQ Powders	7/18/2017 10:05:37 AM	9.2854	0.1111	0.0037	6.5513	0.0095	22.44	0.04	1353.3658	0.00001	9.361	0.021	968.0586	0.0012	0.02898	0.00059	13.3786	0.0012	0.04254	0.00064	19.9467	0.00043	0.00826	0.00030	8.5005	0.00053	0.03027	0.00032	95.3855	0.00030	0.01247	0.00015	78.9916	0.00021	14930	10	17558.5250	0.1	56.3	0.4	214.1608	0.4	38420	40	29082.4536	0.1	3.0	0.6	5.5818	0.8	18.8	0.4	48.9697	0.6	17.3	0.2	227.1245	0.2	569.8	1.6	1219.1562	0.1	55.3	0.6	115.2352	0.7	6.5	0.4	19.2019	1.1	6.0	0.5	18.6521	0.5	
It.E1.Ee1.3.0-10.16	TQ Powders	7/18/2017 10:19:29 AM	9.3989	0.1223	0.0039	6.6669	0.0096	22.87	0.04	1334.0447	0.00001	9.518	0.021	954.5485	0.0012	0.02750	0.00056	13.0431	0.0012	0.04284	0.00065	19.5128	0.00044	0.00869	0.00030	8.6520	0.00053	0.03167	0.00032	96.8839	0.00030	0.00941	0.00014	60.6618	0.00021	15090	10	17229.5333	0.1	60.0	0.5	221.9331	0.4	37610	40	27707.1219	0.1	2.3	0.6	4.0914	0.8	17.9	0.4	45.9420	0.6	16.4	0.2	213.9481	0.2	584.6	1.6	1242.2934	0.1	53.9	0.6	111.7594	0.7	6.5	0.4	19.5600	1.1	5.5	0.5	16.7723	0.6	
It.E1.2.10-20.04	TQ Powders	7/18/2017 10:33:27 AM	9.4170	0.1461	0.0044	7.0258	0.0094	24.31	0.04	1409.7339	0.00001	8.929	0.021	874.2981	0.0012	0.01750	0.00038	11.7707	0.0012	0.03105	0.00057	14.0483	0.00047	0.00353	0.00023	4.3857	0.00052	0.02747	0.00032	83.1616	0.00032	0.00718	0.00013	48.1956	0.00022	16890	20	19021.1404	0.1	51.5	0.5	186.8709	0.6	35780	40	25855.4300	0.1	2.0	0.6	3.7118	0.8	17.9	0.4	45.7702	0.6	15.8	0.2	205.7076	0.2	649.3	1.7	1375.2159	0.1	59.7	0.6	123.2316	0.8	6.2	0.4	18.7087	1.1	5.9	0.5	18.0303	0.6	
It.E1.3.10-20.04	TQ Powders	7/18/2017 10:48:00 AM	9.7102	0.1149	0.0038	6.5344	0.0097	24.04	0.04	1384.4907	0.00001	9.558	0.022	935.1507	0.0012	0.02225	0.00049	11.6272	0.0013	0.03270	0.00060	14.6044	0.00048	0.00540	0.00026	5.8572	0.00054	0.02514	0.00031	75.2738	0.00031	0.00437	0.00010	34.6359	0.00021	15990	20	17822.6156	0.1	55.7	0.5	200.7853	0.4	39400	40	28204.7756	0.1	2.1	0.6	3.7120	0.8	18.6	0.4	46.1046	0.6	16.0	0.2	201.1343	0.2	580.4	1.6	1201.6769	0.1	54.1	0.6	109.3819	0.8	6.1	0.4	18.0993	1.1	5.9	0.5	17.5765	0.6	
It.E1.L.4.10-20.16	TQ Powders	7/18/2017 11:02:31 AM	9.5158	0.1606	0.0048	7.2781	0.0094	24.25	0.04	1422.9289	0.00001	8.868	0.021	876.9642	0.0013	0.01761	0.00038	11.8579	0.0012	0.03039	0.00057	13.8666	0.00047	0.00629	0.00027	6.6655	0.00052	0.03023	0.00033	92.2309	0.00031	0.01020	0.00015	64.6941	0.00022	16410	20	18637.2926	0.1	56.7	0.5	207.7822	0.4	38070	40	27750.9145	0.1	2.1	0.6	3.7925	0.8	18.1	0.4	45.8687	0.6	15.8	0.2	203.4877	0.2	655.2	1.7	1380.9812	0.1	61.4	0.6	125.9459	0.8	6.6	0.4	19.5206	1.1	6.1	0.5	18.5674	0.6	
It.E1.Ee1.4.10-20.16	TQ Powders	7/18/2017 11:17:03 AM	9.5008	0.1294	0.0041	6.7875	0.0094	24.61	0.04	1438.2215	0.00001	9.016	0.021	883.7744	0.0013	0.02413	0.00051	12.2355	0.0012	0.03477	0.00060	15.6794	0.00047	0.00343	0.00023	4.3023	0.00053	0.02746	0.00031	82.9891	0.00031	0.00590	0.00012	42.0320	0.00021	16140	20	18157.8288	0.1	55.3	0.5	201.1308	0.6	37270	40	26979.2237	0.1	2.1	0.6	3.7202	0.8	16.9	0.4	42.7885	0.6	14.1	0.2	181.4922	0.2	583.7	1.6	1231.8422	0.1	53.7	0.6	110.8476	0.8	5.2	0.4	16.3087	1.1	5.7	0.5	17.3978	0.6	
It.E1.T.4.10-20.16	TQ Powders	7/18/2017 11:31:31 AM	20284.3203																									0.0	0.0	0.0000	0.0	0.0	0.0	0.0000	0.0	0.0	0.0	0.0280	0.0	0.0	0.0	0.0000	0.0	< 1.0	(0.0)	10372.1088	1.0	< 0.5	(0.0)	28.0999	0.5	< 0.5	(0.0)	20.4036	0.5	< 0.5	(0.0)	36.2554	0.5	0.0	0.0	1960.0748	0.0	0.0	0.0	185.9492	0.0	0.0	0.0	47.6141	0.0	< 0.6	(0.0)	14.9633	0.6	
It.E1.Ee2.4.10-20.16	TQ Powders	7/18/2017 11:46:22 AM	9.7469	0.1234	0.0040	6.6839	0.0095	24.95	0.05	1446.6436	0.00001	9.255	0.021	898.6062	0.0013	0.01580	0.00035	11.3305	0.0013	0.03241	0.00059	14.4349	0.00048	0.00925	0.00031	8.9219	0.00053	0.03078	0.00033	91.7305	0.00032	0.00360	0.00009	30.5851	0.00022	16640	20	18461.5760	0.1	55.8	0.5	199.5153	0.6	39120	40	27817.7225	0.1	2.4	0.6	4.2790	0.8	19.0	0.4	46.9959	0.6	15.9	0.2	200.0726	0.2	663.4	1.8	1367.4568	0.1	61.0	0.6	122.5802	0.8	8.0	0.4	22.8002	1.2	5.8	0.5	17.2510	0.6	
It.E1.Ee2.3.10-20.16	TQ Powders	7/18/2017 12:00:52 PM	9.4265	0.1305	0.0042	6.8579	0.0094	23.51	0.04	1412.3473	0.00001	9.534	0.021	967.5191	0.0012	0.02498	0.00054	12.2777	0.0012	0.03726	0.00061	17.1867	0.00047	0.00571	0.00029	6.2564	0.00053	0.02803	0.00031	86.6340	0.00030	0.00601	0.00011	43.9655	0.00021	15450	10	17789.3334	0.1	58.3	0.5	217.2891	0.4	38390	40	28409.5787	0.1	2.6	0.6	4.6948	0.8	18.7	0.4	47.7828	0.6	15.0	0.2	194.4934	0.2	561.7	1.6	1191.9468	0.1	53.6	0.6	110.9779	0.8	6.7	0.4	19.5319	1.1	6.7	0.5	20.3485	0.6	
