McMahon_JPE2_plus
Element	Method	Eval Date	Mass coefficient.	Mg	Mg	Mg	Mg	Al	Al	Al	Al	Si	Si	Si	Si	P	P	P	P	S	S	S	S	Cl	Cl	Cl	Cl	K	K	K	K	Ca	Ca	Ca	Ca	Ti	Ti	Ti	Ti	Mn	Mn	Mn	Mn	Fe	Fe	Fe	Fe	Cu	Cu	Cu	Cu	Zn	Zn	Zn	Zn	Sr	Sr	Sr	Sr	Zr	Zr	Zr	Zr	Nb	Nb	Nb	Nb	Mo	Mo	Mo	Mo	Pb	Pb	Pb	Pb	
Dimension			cm²/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	
JP.E2.T.2.0-10.16	TQ Powders	7/13/2017 12:49:28 PM	8.7855	0.2372	0.0067	8.2682	0.011	12.38	0.03	690.2547	0.0066	27.31	0.04	2880.6639	0.00001	0.0463	0.0011	10.8708	0.0016	0.04287	0.00067	16.1705	0.00038	0.00433	0.00028	4.3975	0.00061	0.02691	0.00030	66.0364	0.00025	0.5499	0.0010	2247.3497	0.00001	3864	6	3484.2298	0.1	222.6	0.7	683.3191	0.4	11360	20	7057.3240	0.1	8.7	0.5	16.4310	0.7	44.3	0.5	118.4862	0.5	5.4	0.1	75.7495	0.2	202.0	0.9	448.3651	0.4	11.2	0.3	26.6313	0.7	1.9	0.2	7.8863	0.8	10.0	0.3	31.9972	0.4	
JP.E2.L.3.0-10.16	TQ Powders	7/13/2017 1:03:44 PM	8.8988	0.01570	0.00061	5.0365	0.0100	14.12	0.03	779.6056	0.0060	25.96	0.04	2587.4689	0.00001	0.03149	0.00088	7.7894	0.0015	0.02637	0.00055	9.4548	0.00041	0.00587	0.00028	5.2230	0.00057	0.02511	0.00028	57.9738	0.00021	0.02567	0.00022	100.5484	0.00016	3350	5	2868.1690	0.1	56.0	0.4	163.3058	0.4	9141	14	5412.8415	0.1	3.8	0.5	6.9306	0.7	9.5	0.3	24.7045	0.5	2.6	0.1	36.5309	0.2	206.3	1.0	452.6372	0.4	8.5	0.3	20.7366	0.7	3.1	0.2	10.9810	0.8	4.4	0.3	13.9891	0.4	
JP.E2.Ee1.3.0-10.16	TQ Powders	7/13/2017 1:17:57 PM	8.6769	0.0312	0.0012	5.2652	0.011	13.06	0.03	727.6163	0.0064	27.40	0.04	2825.4875	0.00001	0.03507	0.00096	8.3649	0.0016	0.03677	0.00063	13.3895	0.00040	0.00480	0.00028	4.6184	0.00059	0.02561	0.00028	60.7939	0.00021	0.08654	0.00038	343.9293	0.00013	3169	5	2799.9243	0.1	93.4	0.5	281.7948	0.5	9047	14	5537.8030	0.1	2.7	0.5	5.0573	0.7	11.7	0.3	31.5805	0.5	3.9	0.1	55.3007	0.2	193.4	0.9	431.8262	0.4	8.3	0.3	20.3945	0.7	3.1	0.2	10.9836	0.8	4.7	0.3	15.2815	0.4	
JP.E2.Ee2.3.0-10.16	TQ Powders	7/13/2017 1:32:11 PM	8.4337	0.0490	0.0019	5.5417	0.011	12.06	0.03	698.5564	0.0073	29.60	0.04	3219.8545	0.00001	0.03391	0.00096	8.3944	0.0016	0.04020	0.00065	14.9405	0.00038	0.00475	0.00029	4.6569	0.00061	0.02284	0.00026	55.7661	0.00020	0.05928	0.00031	243.2558	0.00014	2822	5	2575.8422	0.1	73.2	0.4	228.7165	0.4	8858	14	5612.2356	0.1	2.8	0.5	5.4832	0.6	14.6	0.3	40.4766	0.5	4.2	0.1	61.2359	0.2	199.8	0.9	456.4656	0.4	8.2	0.3	20.8027	0.7	2.5	0.2	9.7555	0.8	5.4	0.3	18.2301	0.4	
JP.E2.T.3.0-10.16	TQ Powders	7/13/2017 1:46:28 PM	8.6994	0.0301	0.0012	5.3107	0.0092	12.51	0.03	812.1728	0.0053	24.62	0.03	2698.2873	0.00001	0.03047	0.00086	7.7942	0.0015	0.02752	0.00055	10.3214	0.00041	0.00343	0.00024	3.8143	0.00056	0.02213	0.00026	54.7395	0.00020	0.01877	0.00018	79.6852	0.00015	3304	5	3060.3941	0.1	65.6	0.4	207.4190	0.4	8861	14	5648.1335	0.1	3.2	0.5	6.3607	0.6	7.5	0.3	20.6846	0.5	2.6	0.1	37.1486	0.2	197.6	0.9	452.2746	0.4	9.4	0.3	23.6647	0.7	2.8	0.2	10.4796	0.8	3.9	0.3	12.7910	0.4	
JP.E2.Ee1.4.0-10.16	TQ Powders	7/13/2017 2:00:42 PM	8.5772	0.01669	0.00068	5.0514	0.011	11.16	0.03	635.5492	0.0072	29.63	0.04	3149.9776	0.00001	0.0368	0.0011	7.2978	0.0016	0.02948	0.00057	10.6457	0.00041	0.00604	0.00028	5.3759	0.00058	0.02161	0.00026	50.7781	0.00020	0.04775	0.00029	187.8486	0.00014	2462	4	2150.8508	0.1	90.5	0.5	270.4551	0.4	6752	12	4100.3226	1.4	2.3	0.5	4.4179	0.6	8.4	0.3	22.7222	0.5	1.8	0.1	25.8948	0.2	98.0	0.7	221.6115	0.6	5.5	0.3	14.6350	0.7	2.5	0.2	9.6748	0.7	4.0	0.3	13.0858	0.4	
JP.E2.Ee2.4.0-10.16	TQ Powders	7/13/2017 2:14:59 PM	8.5190	0.1449	0.0046	6.9311	0.011	12.66	0.03	703.6787	0.0065	27.48	0.04	2861.8798	0.00001	0.03595	0.00094	8.9332	0.0015	0.04794	0.00070	17.7321	0.00030	0.00664	0.00029	5.8628	0.00059	0.02807	0.00029	67.6886	0.00022	0.2771	0.0007	1114.3859	0.00001	2966	5	2653.7474	0.1	112.5	0.5	344.0811	0.4	7960	13	4939.7089	0.1	2.1	0.5	4.1499	0.7	23.8	0.4	65.2452	0.5	3.3	0.1	47.7536	0.2	205.5	1.0	464.6237	0.4	6.5	0.3	16.8929	0.7	2.9	0.2	10.7917	0.8	7.4	0.3	24.4081	0.4	
JP.E2.T.4.0-10.16	TQ Powders	7/13/2017 2:29:13 PM	8.5588	0.02439	0.00097	5.1676	0.011	12.51	0.03	708.9686	0.0065	28.70	0.04	3022.7201	0.00001	0.0792	0.0015	15.4122	0.0016	0.03161	0.00059	11.4990	0.00041	0.00665	0.00030	5.8120	0.00059	0.02062	0.00025	49.1855	0.00021	0.09120	0.00039	362.8173	0.00011	2771	5	2461.9664	0.1	52.7	0.4	159.5950	0.4	7784	13	4786.5323	0.1	1.5	0.5	2.9319	0.7	6.8	0.3	18.5889	0.5	9.9	0.1	141.7506	0.2	180.3	0.9	407.8953	0.4	11.7	0.3	28.3315	0.7	2.4	0.2	9.3904	0.8	3.2	0.3	10.4712	0.4	
JP.E2.L.4.0-10.16	TQ Powders	7/13/2017 2:43:28 PM	8.5404	0.01576	0.00063	5.0385	0.011	13.00	0.03	742.2828	0.0064	28.46	0.04	2997.5293	0.00001	0.03100	0.00093	7.3810	0.0016	0.02796	0.00056	10.1833	0.00042	0.00631	0.00029	5.6077	0.00058	0.02281	0.00026	54.5273	0.00020	0.01330	0.00016	54.9035	0.00016	3095	5	2759.9308	0.1	45.3	0.4	138.1473	0.4	8128	13	5028.0419	0.1	2.4	0.5	4.5756	0.7	5.5	0.3	14.9583	0.5	1.9	0.1	27.2434	0.2	169.4	0.9	385.0142	0.4	7.4	0.3	18.9309	0.7	1.4	0.2	6.8558	0.8	2.4	0.3	7.8696	0.4	
