McMahon_May2018
Element	Method	Eval Date	Mass coefficient.	Mg	Mg	Mg	Mg	Al	Al	Al	Al	Si	Si	Si	Si	P	P	P	P	S	S	S	S	Cl	Cl	Cl	Cl	K	K	K	K	Ca	Ca	Ca	Ca	Ti	Ti	Ti	Ti	Mn	Mn	Mn	Mn	Fe	Fe	Fe	Fe	Cu	Cu	Cu	Cu	Zn	Zn	Zn	Zn	Sr	Sr	Sr	Sr	Zr	Zr	Zr	Zr	Nb	Nb	Nb	Nb	Mo	Mo	Mo	Mo	Pb	Pb	Pb	Pb	
Dimension			cm²/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	
It.N.1.10-20.16	TQ Powders	5/15/2018 10:21:00 AM	10.1160	0.0676	0.0025	5.7739	0.011	21.35	0.04	1200.6897	0.00001	9.888	0.022	996.9075	0.0013	0.02598	0.00058	12.0153	0.0013	0.05020	0.00071	22.8192	0.00044	0.00927	0.00032	9.1488	0.00055	0.02923	0.00031	90.1621	0.00029	0.00336	0.00008	32.3650	0.00020	13750	10	15914.2350	0.1	94.1	0.5	355.2242	0.3	48580	50	34072.8223	0.1	7.1	0.7	11.5250	0.9	21.5	0.5	49.5776	0.6	17.2	0.2	196.2852	0.3	602.6	1.7	1124.5381	0.1	52.9	0.6	96.8865	0.8	4.0	0.4	12.1508	1.1	6.5	0.7	17.2276	0.6	
It.N.2.10-20.16	TQ Powders	5/15/2018 10:34:55 AM	10.3795	0.0916	0.0032	6.0713	0.011	21.60	0.04	1170.2051	0.00001	10.45	0.02	1022.8540	0.0013	0.02591	0.00058	11.7444	0.0014	0.05358	0.00074	23.5773	0.00045	0.01162	0.00035	10.7711	0.00056	0.03071	0.00032	91.6613	0.00029	0.00487	0.00010	39.2126	0.00021	13790	10	15465.5946	0.1	75.6	0.5	276.9844	0.4	49530	50	33679.1999	0.1	4.4	0.7	6.9650	0.9	22.0	0.5	49.4382	0.6	18.1	0.2	200.9683	0.3	608.6	1.8	1110.5894	0.1	53.1	0.6	95.3191	0.8	5.7	0.4	15.7223	1.2	7.4	0.7	18.9335	0.6	
It.N.3.10-20.16	TQ Powders	5/15/2018 10:48:52 AM	10.4873	0.0981	0.0034	6.1733	0.011	21.71	0.04	1186.2615	0.00001	9.470	0.022	933.2370	0.0015	0.02863	0.00064	11.9695	0.0014	0.05731	0.00076	25.6767	0.00044	0.01326	0.00036	12.2848	0.00056	0.02933	0.00031	89.2817	0.00029	0.00501	0.00010	41.4595	0.00020	14010	10	16003.5893	0.1	77.1	0.5	287.2976	0.4	52690	50	36324.2364	0.1	4.2	0.7	6.5544	0.9	20.9	0.5	46.6029	0.7	16.6	0.2	182.5457	0.3	574.6	1.7	1041.0625	0.1	53.5	0.6	95.5701	0.8	6.1	0.4	16.4036	1.1	7.9	0.7	19.8905	0.7	
It.N.4.10-20.16	TQ Powders	5/15/2018 11:02:42 AM	10.5106	0.0941	0.0033	6.1025	0.011	21.98	0.04	1187.2416	0.00001	9.865	0.022	959.9033	0.0014	0.02703	0.00062	11.7093	0.0014	0.05302	0.00074	23.4118	0.00046	0.01075	0.00034	10.1127	0.00056	0.03034	0.00032	90.9030	0.00029	0.00377	0.00008	34.3002	0.00021	14150	10	15919.7033	0.1	75.6	0.5	277.4249	0.3	51470	50	34988.7217	0.1	3.8	0.7	5.9453	0.9	21.2	0.5	47.0999	0.6	16.6	0.2	181.7175	0.3	590.1	1.7	1065.2635	0.1	53.7	0.6	95.2834	0.8	6.4	0.4	17.0643	1.2	8.1	0.7	20.3338	0.6	
It.N.2.0-10.16	TQ Powders	5/15/2018 11:16:40 AM	10.4570	0.0818	0.0029	5.9078	0.011	21.75	0.04	1153.4431	0.00001	10.43	0.02	1003.2497	0.0013	0.02734	0.00063	11.3610	0.0014	0.05533	0.00075	24.0182	0.00044	0.01034	0.00034	9.6473	0.00056	0.03121	0.00032	92.0058	0.00029	0.00608	0.00011	44.6697	0.00021	13820	10	15306.3089	0.1	76.4	0.5	277.0098	0.4	49520	50	33214.8633	0.1	3.0	0.7	4.6938	0.9	23.1	0.5	51.4958	0.6	17.5	0.2	192.3948	0.3	562.1	1.7	1012.2700	0.1	51.7	0.6	91.7243	0.8	5.5	0.4	14.9840	1.1	7.3	0.7	18.3685	0.6	
It.N.4.0-10.16	TQ Powders	5/15/2018 11:30:32 AM	10.4807	0.0811	0.0029	5.9090	0.011	21.57	0.04	1153.5802	0.00001	9.631	0.022	936.5771	0.0015	0.02978	0.00066	12.1971	0.0014	0.05908	0.00077	26.1259	0.00043	0.00981	0.00033	9.3929	0.00056	0.03057	0.00032	92.0018	0.00029	0.00523	0.00010	41.9611	0.00021	13940	10	15772.0638	0.1	73.9	0.5	272.7950	0.4	51650	50	35187.1092	0.1	3.8	0.7	6.0130	0.9	22.1	0.5	49.0787	0.6	17.9	0.2	196.3025	0.3	584.9	1.7	1052.8894	0.1	54.9	0.6	97.2845	0.8	6.0	0.4	16.2453	1.2	7.0	0.7	17.5388	0.7	
JP.N.2.10-20.16	TQ Powders	5/15/2018 11:44:21 AM	12.0856	< 0.0020	(0.0)	4.3634	0.0020	18.63	0.05	537.6935	0.012	30.77	0.05	2086.3395	0.00001	< 0.00030	(0.0)	2.9171	0.00030	0.01080	0.00041	3.6205	0.00057	0.00534	0.00024	4.6923	0.00063	0.02181	0.00025	50.4033	0.00021	0.00184	0.00007	9.4607	0.00017	1758	3	1598.6921	0.1	51.8	0.3	166.7300	0.4	10710	20	5467.9198	0.1	2.4	0.5	3.8371	0.8	4.8	0.3	11.2334	0.6	1.6	0.1	17.4231	0.3	333.0	1.4	531.2038	0.1	6.6	0.3	13.0795	1.1	< 1.3	(1.1)	5.2045	1.3	4.8	0.3	11.0337	0.6	
JP.N.3.10-20.16	TQ Powders	5/15/2018 11:58:10 AM	10.5605	< 0.0020	(0.0)	4.3804	0.0020	17.70	0.05	574.4979	0.010	31.54	0.04	2356.4183	0.00001	0.00298	0.00016	3.1047	0.0018	0.01254	0.00043	4.3865	0.00054	0.00394	0.00023	3.9562	0.00059	0.02146	0.00024	51.1906	0.00019	0.00148	0.00006	8.5868	0.00016	1580	3	1471.6688	0.1	52.7	0.3	172.8776	0.4	11720	20	6326.5532	0.1	2.9	0.5	4.7817	0.8	6.2	0.3	15.3069	0.5	1.2	0.1	13.5481	0.3	259.1	1.2	442.8120	0.4	5.8	0.3	12.5186	1.0	2.1	0.2	7.4278	1.1	5.7	0.3	13.9970	0.6	
JP.N.1.10-20.16	TQ Powders	5/15/2018 12:12:02 PM	9.3304	< 0.0020	(0.0)	4.5979	0.0020	11.79	0.03	630.1245	0.0064	26.09	0.04	2546.8145	0.00001	0.00612	0.00032	3.4476	0.0016	0.01226	0.00042	4.4804	0.00048	0.00348	0.00023	3.6394	0.00057	0.02960	0.00030	65.1358	0.00019	0.00281	0.00010	12.7499	0.00017	1805	4	1474.6377	0.1	189.3	0.7	525.7500	0.4	10810	20	6091.0696	0.1	4.0	0.5	6.8957	0.7	4.1	0.3	10.1651	0.5	1.0	0.1	13.6177	0.2	197.7	1.0	414.2248	0.4	5.5	0.3	13.9860	0.7	2.4	0.2	8.9308	0.8	9.7	0.3	28.9521	0.4	
JP.N.4.10-20.16	TQ Powders	5/15/2018 12:26:22 PM	9.8389	< 0.0020	(0.0)	4.3999	0.0020	9.115	0.024	616.6172	0.0051	22.11	0.03	2576.4160	0.00001	0.00674	0.00032	3.8682	0.0014	0.01071	0.00037	4.4465	0.00045	0.00409	0.00021	4.3097	0.00049	0.02184	0.00024	55.1004	0.00017	0.00142	0.00006	9.1537	0.00014	1814	3	1719.7290	0.1	188.7	0.6	612.1359	0.3	11740	20	7703.7119	0.1	2.9	0.4	5.5189	0.6	4.7	0.3	12.8807	0.4	1.0	0.1	13.5300	0.2	201.4	0.9	454.0628	0.3	4.1	0.2	11.7915	0.7	0.8	0.1	5.0787	0.8	12.2	0.3	39.9979	0.4	
