McMahon_VgE
Element	Method	Eval Date	Mass coefficient.	Mg	Mg	Mg	Mg	Al	Al	Al	Al	Si	Si	Si	Si	P	P	P	P	S	S	S	S	Cl	Cl	Cl	Cl	K	K	K	K	Ca	Ca	Ca	Ca	Ti	Ti	Ti	Ti	Mn	Mn	Mn	Mn	Fe	Fe	Fe	Fe	Cu	Cu	Cu	Cu	Zn	Zn	Zn	Zn	Sr	Sr	Sr	Sr	Zr	Zr	Zr	Zr	Nb	Nb	Nb	Nb	Mo	Mo	Mo	Mo	Pb	Pb	Pb	Pb	
Dimension			cm²/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	
Vg.E.Ee1.1.0-10.16	TQ Powders	7/10/2017 11:36:27 AM	13.8764	0.0933	0.0037	6.1720	0.013	18.50	0.04	1062.2409	0.0024	9.842	0.022	1072.4403	0.0020	0.02192	0.00055	12.7599	0.0017	0.06333	0.00088	29.6280	0.00064	0.00551	0.00032	6.2375	0.00068	0.01853	0.00026	59.3610	0.00027	0.00353	0.00006	50.9347	0.00018	10980	10	13126.9758	0.1	186.6	0.6	729.7592	0.3	105500	100	75737.1169	0.1	9.8	1.0	12.0387	1.3	39.0	0.8	67.3649	0.9	13.3	0.3	112.8366	0.4	923.3	2.5	1354.2885	0.1	61.0	0.7	89.7521	1.0	8.6	0.5	18.9380	1.5	16.7	0.9	32.8655	0.9	
Vg.E.Ee2.1.0-10.16	TQ Powders	7/10/2017 11:50:24 AM	13.9821	0.0570	0.0024	5.5864	0.014	18.35	0.04	996.3590	0.0025	10.73	0.02	1121.2241	0.0019	0.01668	0.00044	11.7367	0.0017	0.05665	0.00085	25.4454	0.00066	0.00488	0.00031	5.5183	0.00068	0.01864	0.00026	57.2330	0.00028	0.00405	0.00006	50.8809	0.00018	10720	10	12312.6779	0.1	207.9	0.7	784.3109	0.3	103200	100	71209.4853	0.1	11.0	1.0	13.3002	1.2	45.8	0.8	78.4129	0.8	13.8	0.3	115.4528	0.4	966.1	2.5	1394.5440	0.1	61.2	0.7	88.4410	1.0	8.3	0.5	18.0176	1.6	17.8	0.8	34.5137	0.9	
Vg.E.L.1.0-10.16	TQ Powders	7/10/2017 12:04:17 PM	14.0764	0.0350	0.0016	5.3103	0.013	18.38	0.04	1054.8561	0.0024	9.396	0.022	1027.6277	0.0021	0.01730	0.00046	12.1058	0.0017	0.05661	0.00084	26.6637	0.00067	0.00878	0.00037	9.1045	0.00067	0.02010	0.00026	64.9359	0.00028	0.00447	0.00007	57.2175	0.00018	11510	10	13886.5652	0.1	185.2	0.6	727.9383	0.3	108700	100	78282.6602	0.1	8.6	1.0	10.3385	1.3	37.3	0.8	63.6498	0.9	12.4	0.3	103.3156	0.4	969.1	2.5	1403.0203	0.1	64.8	0.7	93.7130	1.0	9.5	0.6	20.2375	1.6	13.7	0.9	26.5599	0.9	
Vg.E.T.1.0-10.16	TQ Powders	7/10/2017 12:18:12 PM	14.1210	0.0666	0.0028	5.7333	0.013	18.69	0.04	1030.9665	0.0025	9.963	0.023	1050.6584	0.0021	0.00513	0.00017	10.4575	0.0017	0.06299	0.00089	28.6204	0.00065	0.00683	0.00035	7.2124	0.00068	0.01638	0.00025	51.2192	0.00028	0.00480	0.00007	56.4490	0.00018	11100	10	12951.8786	0.1	193.2	0.6	738.0880	0.3	106200	100	74208.2714	0.1	9.0	1.0	10.8020	1.3	41.9	0.8	71.1399	0.9	12.7	0.3	105.2638	0.4	1092	3	1567.6100	0.1	62.5	0.7	90.0000	1.0	9.1	0.6	19.4526	1.7	13.2	0.9	25.5164	0.9	
Vg.E.Ee1.2.0-10.16	TQ Powders	7/10/2017 12:32:07 PM	13.7553	0.0456	0.0020	5.4356	0.013	17.93	0.04	984.8853	0.0025	9.925	0.023	1053.8597	0.0020	0.01791	0.00046	12.2330	0.0017	0.06828	0.00090	31.3624	0.00062	0.00527	0.00031	5.9492	0.00067	0.01986	0.00026	62.5881	0.00027	0.01055	0.00011	86.2813	0.00018	10460	10	12347.1498	0.1	158.2	0.6	613.7218	0.3	102700	100	72479.1794	0.1	8.2	0.9	10.0768	1.3	33.5	0.8	58.1992	0.9	11.3	0.3	96.1096	0.4	972.1	2.5	1419.7594	0.1	57.5	0.7	84.1895	1.0	8.3	0.5	18.1756	1.6	16.1	0.8	31.5471	0.9	
Vg.E.T.4.0-10.16	TQ Powders	7/10/2017 12:46:01 PM	14.1585	0.0647	0.0027	5.6809	0.014	18.78	0.04	1006.1293	0.0026	10.31	0.02	1060.7235	0.0021	0.01169	0.00034	11.4414	0.0017	0.1121	0.0011	49.6073	0.00058	0.00548	0.00033	5.9805	0.00070	0.01763	0.00026	53.8001	0.00028	0.00793	0.00010	70.6247	0.00018	11380	10	12974.9899	0.1	177.7	0.6	664.0803	0.3	104800	100	71462.1183	0.1	8.7	1.0	10.4238	1.4	36.1	0.8	61.0011	1.0	11.9	0.3	98.0040	0.4	1064	3	1516.0287	0.1	62.5	0.7	88.9268	1.0	8.3	0.6	17.8459	1.7	12.6	0.9	24.1491	1.0	
Vg.E.Ee1.3.0-10.16	TQ Powders	7/10/2017 12:59:56 PM	13.9976	0.0654	0.0027	5.7068	0.013	18.95	0.04	1033.2880	0.0024	9.918	0.023	1032.5860	0.0020	< 0.0017	(0.0011)	9.5961	0.0017	0.05975	0.00086	27.0125	0.00065	0.00441	0.00029	5.1680	0.00067	0.01704	0.00025	52.8696	0.00028	0.01140	0.00012	89.4480	0.00018	11350	10	13141.3444	0.1	164.0	0.6	621.8686	0.3	103900	100	71978.0600	0.1	7.5	0.9	9.0895	1.2	37.8	0.8	64.6718	0.9	11.3	0.3	94.4867	0.4	1081	3	1559.0285	0.1	62.9	0.7	90.9136	1.0	8.2	0.6	17.9106	1.7	15.7	0.9	30.4050	0.9	
Vg.E.L.2.0-10.16	TQ Powders	7/10/2017 1:13:51 PM	14.1548	0.0495	0.0021	5.4936	0.013	18.59	0.04	1025.0452	0.0025	9.698	0.022	1024.8619	0.0021	0.01213	0.00034	10.8649	0.0017	0.06243	0.00088	28.5184	0.00066	0.00313	0.00027	4.1488	0.00068	0.01466	0.00024	46.1906	0.00028	0.00043	0.00001	34.0638	0.00018	11170	10	13124.1425	0.1	164.0	0.6	630.5411	0.3	107200	100	75150.8422	0.1	7.5	1.0	8.9800	1.3	37.4	0.8	63.3386	0.9	10.7	0.3	88.4653	0.4	973.5	2.6	1394.2738	0.1	63.2	0.7	90.3667	1.0	9.9	0.6	20.6907	1.6	13.1	0.9	25.2294	0.9	
Vg.E.Ee2.2.0-10.16	TQ Powders	7/10/2017 1:27:45 PM	14.0196	< 0.0020	(0.0)	4.3904	0.0020	18.44	0.04	1009.9956	0.0024	10.01	0.02	1053.3545	0.0020	< 0.0017	(0.0015)	9.1581	0.0017	0.05205	0.00082	23.7165	0.00067	0.00647	0.00033	6.9095	0.00067	0.01887	0.00026	58.9064	0.00027	0.00833	0.00010	74.5100	0.00018	10890	10	12716.3510	0.1	165.6	0.6	634.3623	0.3	105200	100	73486.5540	0.1	6.9	0.9	8.3286	1.4	30.7	0.8	52.3293	0.9	10.9	0.3	91.1904	0.4	1025	3	1476.3092	0.1	62.9	0.7	90.3743	1.0	8.3	0.6	17.9651	1.6	14.7	0.9	28.3783	1.0	
