McMahon_VgE_2
Element	Method	Eval Date	Mass coefficient.	Mg	Mg	Mg	Mg	Al	Al	Al	Al	Si	Si	Si	Si	P	P	P	P	S	S	S	S	Cl	Cl	Cl	Cl	K	K	K	K	Ca	Ca	Ca	Ca	Ti	Ti	Ti	Ti	Mn	Mn	Mn	Mn	Fe	Fe	Fe	Fe	Cu	Cu	Cu	Cu	Zn	Zn	Zn	Zn	Sr	Sr	Sr	Sr	Zr	Zr	Zr	Zr	Nb	Nb	Nb	Nb	Mo	Mo	Mo	Mo	Pb	Pb	Pb	Pb	
Dimension			cm²/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	
Vg.E.1.0-10.04	TQ Powders	7/12/2017 1:41:05 PM	14.5934	0.0457	0.0020	5.4266	0.014	19.43	0.04	1048.3858	0.0025	9.607	0.023	988.6896	0.0022	< 0.0017	(0.0)	9.2467	0.0017	0.05141	0.00084	23.0629	0.00071	0.00296	0.00026	3.9469	0.00069	0.01398	0.00024	43.1353	0.00029	< 0.0010	(0.0)	27.8206	0.00100	12070	10	13859.3715	0.1	169.9	0.6	636.5570	0.4	111100	100	75987.9160	0.1	6.4	1.0	7.4806	1.3	34.2	0.8	56.2408	0.9	11.0	0.3	88.6565	0.4	1097	3	1531.0934	0.1	66.1	0.8	92.5299	1.0	9.3	0.6	19.3504	1.7	15.8	0.9	29.4269	0.9	
Vg.E.2.0-10.04	TQ Powders	7/12/2017 1:54:58 PM	14.5004	0.0530	0.0023	5.5545	0.014	18.84	0.04	1052.5034	0.0025	8.948	0.022	955.8682	0.0022	< 0.00030	(0.0)	8.9518	0.00030	0.05958	0.00087	27.6289	0.00068	0.00312	0.00027	4.1785	0.00068	0.01325	0.00023	42.4718	0.00028	0.00051	0.00001	36.7957	0.00018	11510	10	13724.3568	0.1	167.0	0.6	649.3637	0.3	113800	100	80673.2738	0.1	6.9	1.0	8.1279	1.4	32.7	0.8	54.1044	0.9	12.6	0.3	101.8889	0.4	1070	3	1506.1841	0.1	66.8	0.8	93.9758	1.0	9.1	0.6	19.1387	1.7	13.0	0.9	24.5243	1.0	
Vg.E.4.0-10.04	TQ Powders	7/12/2017 2:08:53 PM	14.8038	0.0618	0.0026	5.6429	0.014	19.28	0.04	1035.2711	0.0025	9.353	0.022	962.7841	0.0022	< 0.00030	(0.0)	8.0926	0.00030	0.05415	0.00085	24.3280	0.00070	0.00386	0.00029	4.6992	0.00069	0.01307	0.00023	40.4910	0.00029	0.00106	0.00002	38.6492	0.00018	11800	10	13593.7896	0.1	162.2	0.6	610.1784	0.4	114500	100	78392.5603	0.1	7.9	1.0	9.0643	1.3	34.5	0.8	55.9773	0.9	13.2	0.3	104.8277	0.4	1041	3	1433.0110	0.1	68.9	0.8	94.7453	1.1	9.4	0.6	19.3340	1.7	16.1	1.0	29.5628	0.9	
Vg.E.3.0-10.04	TQ Powders	7/12/2017 2:22:48 PM	14.4745	0.0721	0.0030	5.8356	0.013	18.50	0.04	1043.4762	0.0025	8.672	0.021	938.3505	0.0022	< 0.00030	(0.0)	7.9523	0.00030	0.05818	0.00086	27.4392	0.00068	0.00486	0.00031	5.7264	0.00067	0.01372	0.00023	44.6210	0.00028	0.00100	0.00002	39.8796	0.00018	11830	10	14305.2861	0.1	166.1	0.6	653.5119	0.3	114100	100	81738.2834	0.1	6.6	1.0	7.7006	1.4	33.0	0.8	54.7554	1.0	12.8	0.3	103.4354	0.4	1050	3	1481.4823	0.1	67.5	0.8	95.3771	1.0	9.5	0.6	19.8713	1.7	16.4	1.0	30.9764	1.0	
Vg.E.1.10-20.04	TQ Powders	7/12/2017 2:36:44 PM	14.9698	0.0498	0.0022	5.5029	0.014	19.62	0.04	1083.2437	0.0025	8.706	0.021	913.0630	0.0023	< 0.00030	(0.0)	8.6095	0.00030	0.05053	0.00083	23.1240	0.00072	0.00378	0.00028	4.7028	0.00069	0.01256	0.00023	39.7407	0.00029	< 0.0010	(0.0)	29.5677	0.00100	12130	10	14239.1920	0.1	165.2	0.6	630.6318	0.4	118300	100	82444.9218	0.1	7.5	1.1	8.5026	1.6	33.0	0.9	52.9672	1.1	12.4	0.3	97.4317	0.4	1223	3	1676.4471	0.1	71.3	0.8	97.9309	1.1	9.2	0.6	18.9886	1.8	12.9	1.0	23.6719	1.1	
Vg.E.2.10-20.04	TQ Powders	7/12/2017 2:50:39 PM	14.3420	0.0544	0.0023	5.5700	0.013	18.64	0.04	1038.4211	0.0025	9.130	0.022	974.1042	0.0021	< 0.00030	(0.0)	8.3164	0.00030	0.05671	0.00085	26.2838	0.00067	0.00440	0.00030	5.2614	0.00068	0.01221	0.00023	39.1226	0.00028	0.00033	0.00001	34.7990	0.00018	11770	10	13996.7989	0.1	171.8	0.6	666.4476	0.3	110600	100	78179.1029	0.1	7.7	1.0	9.0822	1.4	32.8	0.8	55.0152	0.9	11.5	0.3	94.3366	0.4	1200	3	1703.3531	0.1	68.1	0.8	96.5130	1.0	9.0	0.6	19.1466	1.8	13.6	0.9	25.9243	1.0	
Vg.E.3.10-20.04	TQ Powders	7/12/2017 3:04:35 PM	14.7902	0.0634	0.0027	5.6940	0.014	19.10	0.04	1055.6005	0.0025	8.818	0.022	932.0078	0.0022	0.01420	0.00043	10.1331	0.0017	0.05681	0.00086	26.1473	0.00070	0.00399	0.00029	4.8951	0.00068	0.01125	0.00022	35.9126	0.00028	< 0.0010	(0.0)	26.7357	0.00100	11690	10	13827.7949	0.1	158.7	0.6	612.0628	0.3	116800	100	81997.4470	0.1	6.1	1.0	6.9595	1.5	29.9	0.8	48.6392	1.0	13.4	0.3	106.0886	0.4	863.8	2.5	1196.1072	0.1	63.5	0.8	88.2999	1.0	8.8	0.6	18.4411	1.6	13.6	1.0	25.0811	1.0	
Vg.E.Ee1.2.40-60.16	TQ Powders	7/12/2017 3:18:30 PM	14.3713	0.0812	0.0033	5.9325	0.013	19.79	0.04	1080.4109	0.0023	9.299	0.022	960.7562	0.0022	0.00238	0.00008	8.4312	0.0017	0.04879	0.00081	22.0899	0.00070	0.00276	0.00024	3.8056	0.00067	0.01180	0.00022	36.8123	0.00028	0.00095	0.00002	37.0468	0.00018	11010	10	12757.0421	0.1	157.2	0.6	597.0006	0.3	109400	100	75896.5742	0.1	7.8	1.0	9.1814	1.3	35.1	0.8	58.6515	0.9	11.5	0.3	94.0925	0.4	934.8	2.5	1324.8472	0.1	61.4	0.7	87.3164	1.0	9.2	0.6	19.3491	1.6	15.8	0.9	29.8225	0.9	
Vg.E.Ee2.1.40-60.16	TQ Powders	7/12/2017 3:32:24 PM	14.3703	0.0732	0.0030	5.8498	0.013	19.25	0.04	1078.8376	0.0023	10.22	0.02	1082.4845	0.0020	0.00291	0.00010	8.6649	0.0017	0.04323	0.00078	19.6983	0.00071	0.00282	0.00025	3.8703	0.00068	0.01479	0.00024	46.1277	0.00028	0.00070	0.00001	35.8850	0.00018	10950	10	12711.0931	0.1	210.8	0.7	801.2205	0.3	109300	100	76382.6857	0.1	10.7	1.0	12.7251	1.4	47.9	0.9	80.2658	0.9	14.4	0.3	118.4066	0.4	943.2	2.5	1345.5452	0.1	65.3	0.8	92.9970	1.0	9.2	0.6	19.4209	1.6	15.3	0.9	29.0908	0.9	
