McMahon_VgN
Element	Method	Eval Date	Mass coefficient.	Mg	Mg	Mg	Mg	Al	Al	Al	Al	Si	Si	Si	Si	P	P	P	P	S	S	S	S	Cl	Cl	Cl	Cl	K	K	K	K	Ca	Ca	Ca	Ca	Ti	Ti	Ti	Ti	Mn	Mn	Mn	Mn	Fe	Fe	Fe	Fe	Cu	Cu	Cu	Cu	Zn	Zn	Zn	Zn	Sr	Sr	Sr	Sr	Zr	Zr	Zr	Zr	Nb	Nb	Nb	Nb	Mo	Mo	Mo	Mo	Pb	Pb	Pb	Pb	
Dimension			cm²/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	
Vg.N.D.3.0-10.16	TQ Powders	11/16/2017 8:39:24 AM	13.4671	0.0531	0.0022	5.4955	0.014	17.75	0.04	918.8389	0.0026	13.17	0.03	1325.0152	0.0017	0.02684	0.00065	12.7638	0.0017	0.08051	0.00097	34.0293	0.00060	0.00878	0.00038	8.2950	0.00070	0.02515	0.00029	72.7100	0.00027	0.01098	0.00013	78.6905	0.00019	10520	10	11426.7442	0.1	151.2	0.6	542.7019	0.3	91420	80	60134.4838	0.1	4.8	0.9	5.9687	1.3	27.2	0.7	47.9235	0.9	10.3	0.2	89.0868	0.4	862.2	2.4	1274.9493	0.1	56.4	0.7	83.4841	1.0	8.0	0.5	17.7832	1.5	13.3	0.8	26.3762	0.9	
Vg.N.A.3.0-10.16	TQ Powders	11/16/2017 8:53:19 AM	13.5398	0.0576	0.0024	5.5757	0.014	17.78	0.04	945.7653	0.0026	12.51	0.03	1287.3081	0.0018	0.02608	0.00064	12.9217	0.0017	0.07921	0.00097	34.3470	0.00061	0.00757	0.00036	7.5065	0.00069	0.02937	0.00030	86.8517	0.00027	0.01141	0.00013	83.5813	0.00019	10420	10	11576.7187	0.1	146.7	0.6	537.6976	0.3	94750	80	63711.2406	0.1	4.7	0.9	5.8156	1.3	28.4	0.7	49.9494	0.9	10.4	0.2	89.9639	0.4	881.7	2.4	1303.8002	0.1	57.2	0.7	84.4829	1.0	8.3	0.5	18.3385	1.5	16.4	0.8	32.6157	0.9	
Vg.N.B.3.0-10.16	TQ Powders	11/16/2017 9:07:13 AM	13.4483	0.0292	0.0013	5.1827	0.014	17.44	0.04	907.0258	0.0025	13.42	0.03	1359.9513	0.0016	0.02524	0.00063	12.2419	0.0017	0.07774	0.00096	33.0022	0.00059	0.00805	0.00036	7.7463	0.00068	0.03417	0.00032	98.7314	0.00027	0.00737	0.00010	61.2948	0.00020	10060	10	10948.8039	0.1	142.4	0.6	512.9571	0.3	91490	80	60397.0802	0.1	8.7	0.9	10.8965	1.2	30.4	0.7	53.7199	0.9	10.7	0.2	92.4771	0.4	836.9	2.3	1237.7358	0.1	55.9	0.7	82.9236	1.0	7.3	0.5	16.5412	1.5	16.8	0.7	33.3407	0.9	
Vg.N.C.3.0-10.16	TQ Powders	11/16/2017 9:21:41 AM	13.7559	0.0685	0.0028	5.6832	0.014	17.72	0.04	905.2740	0.0027	13.53	0.03	1348.6624	0.0017	0.03181	0.00078	12.6845	0.0018	0.07389	0.00096	30.8894	0.00062	0.00808	0.00037	7.6751	0.00070	0.03513	0.00033	99.9328	0.00027	0.01901	0.00017	116.7425	0.00020	9966	10	10682.5729	0.1	143.0	0.6	507.6678	0.3	94540	80	61397.6851	0.1	7.0	0.9	8.5323	1.3	27.7	0.7	47.7680	0.9	12.6	0.2	107.0182	0.4	770.1	2.2	1117.9880	0.1	51.7	0.7	75.7724	1.0	7.8	0.5	17.1954	1.4	16.8	0.8	32.6225	0.9	
Vg.N.3.10-20.16	TQ Powders	11/16/2017 9:36:18 AM	13.9123	< 0.014	(0.0089)	4.9125	0.014	18.63	0.04	955.0105	0.0025	12.65	0.03	1252.1058	0.0018	0.01441	0.00040	10.6555	0.0018	0.05951	0.00088	25.0876	0.00066	0.00641	0.00034	6.4320	0.00070	0.01876	0.00026	53.9655	0.00028	0.00127	0.00003	32.6934	0.00019	11060	10	11913.5149	0.1	145.2	0.6	515.5034	0.4	96680	80	62903.8369	0.1	5.5	0.9	6.6602	1.3	29.8	0.7	50.8318	0.9	9.6	0.2	80.7705	0.4	921.4	2.5	1323.2531	0.1	58.6	0.7	84.6151	1.0	7.5	0.5	16.5308	1.6	17.9	0.8	34.5336	0.9	
Vg.N.4.20-40.16	TQ Powders	11/16/2017 9:50:39 AM	14.1707	0.0320	0.0014	5.2217	0.014	19.32	0.04	1011.0845	0.0025	10.05	0.02	1009.6484	0.0021	0.01290	0.00039	9.7273	0.0017	0.05287	0.00084	23.2932	0.00068	0.00331	0.00028	4.1797	0.00068	0.01383	0.00024	41.8522	0.00028	< 0.0010	(0.0)	26.5578	0.00100	11160	10	12593.6259	0.1	137.2	0.6	508.6699	0.3	104300	100	70363.0746	0.1	4.2	0.9	5.0037	1.3	28.0	0.7	47.0949	0.9	9.7	0.2	79.4944	0.4	844.0	2.4	1197.3106	0.1	59.5	0.7	84.8071	1.0	9.6	0.5	20.0480	1.5	17.9	0.8	33.9123	0.9	
Vg.N.3.20-40.16	TQ Powders	11/16/2017 10:05:03 AM	13.9181	0.0451	0.0019	5.3847	0.014	19.08	0.04	977.4835	0.0024	11.73	0.03	1156.5769	0.0019	0.00978	0.00029	10.0118	0.0017	0.05204	0.00083	22.1432	0.00068	0.00407	0.00030	4.6682	0.00069	0.01375	0.00024	40.1276	0.00028	< 0.0010	(0.0)	25.7648	0.00100	10470	10	11407.4455	0.1	124.3	0.5	447.4159	0.3	98120	90	64511.1965	0.1	5.8	0.9	6.9809	1.3	26.1	0.7	44.5031	0.9	9.9	0.2	82.7687	0.4	946.4	2.5	1359.5163	0.1	55.8	0.7	80.5375	1.0	8.3	0.6	17.9975	1.6	16.6	0.8	32.0119	0.9	
Vg.N.2.20-40.16	TQ Powders	11/16/2017 10:19:25 AM	14.3797	0.0418	0.0018	5.3207	0.014	19.67	0.04	972.6900	0.0025	11.97	0.03	1140.2998	0.0020	< 0.00030	(0.0)	7.9064	0.00030	0.05141	0.00085	21.2493	0.00071	0.00428	0.00030	4.7274	0.00071	0.01312	0.00024	37.1462	0.00029	< 0.0010	(0.0)	21.7824	0.00100	11200	10	11828.3051	0.1	145.2	0.6	505.2720	0.4	101100	100	64238.8826	0.1	4.8	0.9	5.6095	1.3	30.3	0.7	50.0515	0.9	8.7	0.2	70.6089	0.4	1121	3	1558.6553	0.1	62.5	0.7	87.3419	1.0	9.6	0.6	19.7513	1.7	19.3	0.8	35.9554	0.9	
Vg.N.1.20-40.16	TQ Powders	11/16/2017 10:33:49 AM	14.9474	0.0285	0.0013	5.1617	0.015	19.62	0.05	987.5931	0.0027	10.04	0.02	977.0207	0.0023	< 0.00030	(0.0)	8.1102	0.00030	0.05425	0.00087	23.1896	0.00073	0.00499	0.00032	5.4221	0.00071	0.01430	0.00025	42.1022	0.00029	< 0.0010	(0.0)	28.7805	0.00100	11650	10	12798.2985	0.1	152.1	0.6	548.1419	0.4	112600	100	73529.8980	0.1	7.1	1.0	8.0304	1.4	32.1	0.8	51.2234	1.0	9.0	0.3	70.2747	0.4	1117	3	1505.2830	0.1	65.7	0.8	88.5210	1.1	9.1	0.6	18.4469	1.8	17.2	0.9	30.9793	1.0	
Vg.N.4.10-20.16	TQ Powders	11/16/2017 10:48:12 AM	13.9943	0.01775	0.00080	5.0302	0.014	19.05	0.04	981.3253	0.0025	11.60	0.03	1149.2318	0.0019	0.01638	0.00045	10.6971	0.0017	0.05569	0.00085	23.7951	0.00068	0.00597	0.00033	6.1613	0.00070	0.01691	0.00025	49.4681	0.00028	0.00294	0.00005	41.9255	0.00018	11100	10	12140.0513	0.1	141.9	0.6	511.2218	0.4	99270	90	65323.8964	0.1	5.6	0.9	6.7678	1.2	28.9	0.7	49.1436	0.9	8.4	0.2	69.7878	0.4	880.5	2.4	1259.2458	0.1	60.7	0.7	86.9039	1.0	8.3	0.5	17.9031	1.6	16.6	0.8	31.9239	0.9	
Vg.N.2.10-20.16	TQ Powders	11/16/2017 11:02:34 AM	13.5957	0.0250	0.0011	5.1279	0.014	18.27	0.04	949.8434	0.0025	12.18	0.03	1224.5376	0.0018	0.01625	0.00045	10.7515	0.0017	0.05631	0.00085	24.2645	0.00066	0.00428	0.00029	4.8708	0.00069	0.01548	0.00024	45.5981	0.00027	< 0.0010	(0.0)	26.2519	0.00100	10280	10	11331.4934	0.1	132.7	0.5	483.2467	0.3	94800	80	63094.2706	0.1	6.5	0.9	7.9520	1.2	27.2	0.7	47.4382	0.9	7.9	0.2	68.0103	0.4	867.9	2.4	1271.0295	0.1	55.5	0.7	81.4447	1.0	8.1	0.5	17.8956	1.5	19.0	0.7	37.3292	0.9	
Vg.N.1.10-20.16	TQ Powders	11/16/2017 11:16:58 AM	14.0007	0.0390	0.0017	5.3219	0.014	18.89	0.04	996.5243	0.0024	11.66	0.03	1179.2905	0.0019	0.01851	0.00052	10.8399	0.0017	0.05372	0.00084	23.3042	0.00068	0.00529	0.00032	5.6951	0.00069	0.01599	0.00025	47.4150	0.00028	0.00162	0.00003	35.6907	0.00018	10860	10	12032.2915	0.1	149.4	0.6	544.5413	0.3	100500	100	67092.9821	0.1	8.2	0.9	9.8160	1.2	31.8	0.7	54.1844	0.8	8.4	0.2	70.2335	0.4	838.3	2.4	1207.0053	0.1	58.5	0.7	84.5340	1.0	8.2	0.5	17.7769	1.5	17.9	0.8	34.5033	0.9	
Vg.N.A.1.0-10.16	TQ Powders	11/16/2017 11:43:43 AM	13.5684	0.0704	0.0029	5.7552	0.014	17.60	0.04	942.7687	0.0026	11.96	0.03	1242.6494	0.0018	0.02887	0.00071	13.0131	0.0017	0.07433	0.00094	32.7094	0.00062	0.01022	0.00039	9.7336	0.00070	0.02087	0.00027	62.8804	0.00027	0.02060	0.00017	131.5662	0.00018	10250	10	11575.3415	0.1	167.5	0.6	623.6092	0.3	96410	80	65686.7152	0.1	7.9	0.9	9.7707	1.3	32.3	0.7	56.6540	0.9	9.8	0.2	84.3865	0.4	822.4	2.3	1212.7452	0.1	55.4	0.7	81.7731	0.9	8.3	0.5	18.2738	1.5	15.6	0.8	30.9569	0.9	
Vg.N.C.1.0-10.16	TQ Powders	11/16/2017 11:58:06 AM	13.9465	0.0321	0.0014	5.2162	0.014	17.83	0.04	920.2514	0.0027	12.47	0.03	1255.8326	0.0018	0.01438	0.00039	11.1167	0.0018	0.06881	0.00093	29.3567	0.00064	0.00533	0.00032	5.6687	0.00071	0.01899	0.00027	55.4786	0.00029	0.00592	0.00009	56.3661	0.00019	11300	10	12359.3565	0.1	157.6	0.6	567.1303	0.4	98490	90	64733.6359	0.1	8.1	0.9	9.7075	1.3	32.1	0.7	54.7721	0.9	9.1	0.2	76.1738	0.4	972.6	2.5	1393.2081	0.1	59.5	0.7	85.7635	1.0	6.8	0.5	15.3243	1.6	16.9	0.8	32.4498	0.9	
