McMahon_testEu
Element	Method	Eval Date	Mass coefficient.	Mg	Mg	Mg	Mg	Al	Al	Al	Al	Si	Si	Si	Si	P	P	P	P	S	S	S	S	Cl	Cl	Cl	Cl	K	K	K	K	Ca	Ca	Ca	Ca	Ti	Ti	Ti	Ti	Mn	Mn	Mn	Mn	Fe	Fe	Fe	Fe	Cu	Cu	Cu	Cu	Zn	Zn	Zn	Zn	Sr	Sr	Sr	Sr	Zr	Zr	Zr	Zr	Nb	Nb	Nb	Nb	Mo	Mo	Mo	Mo	Pb	Pb	Pb	Pb	
Dimension			cm²/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	
Bp.E1.Ee1.4.0-10.16	TQ Powders	11/8/2017 10:44:59 AM	13.4995	0.1219	0.0044	6.5162	0.013	20.11	0.04	1098.1188	0.0017	13.19	0.03	1335.9194	0.0016	0.03240	0.00081	12.0294	0.0017	0.02035	0.00060	8.9391	0.00074	0.00858	0.00036	8.1536	0.00067	0.06633	0.00045	190.2636	0.00029	0.00097	0.00003	29.6988	0.00025	13310	10	14310.1947	0.1	222.2	0.8	778.6221	0.4	89550	80	58641.4453	0.1	32.7	1.0	40.9281	1.3	31.8	0.7	56.1755	0.9	15.9	0.2	139.1525	0.4	648.2	2.0	975.0964	0.1	47.9	0.7	72.5464	1.0	5.1	0.4	12.6023	1.3	18.9	1.0	38.3080	0.9	
Vg.E.Ee2.2.40-60.16	TQ Powders	11/8/2017 10:58:54 AM	14.6644	0.0294	0.0013	5.1751	0.014	20.24	0.05	1021.4174	0.0025	10.29	0.02	993.8626	0.0022	< 0.00030	(0.0)	8.0071	0.00030	0.03945	0.00078	16.7649	0.00075	0.00437	0.00030	4.9059	0.00070	0.01214	0.00023	35.5122	0.00029	0.00099	0.00002	34.7395	0.00018	11080	10	12069.0520	0.1	159.6	0.6	571.9547	0.4	108300	100	70577.1047	0.1	5.6	1.0	6.3716	1.4	30.7	0.8	49.9136	1.0	10.7	0.3	84.8664	0.4	973.6	2.6	1336.3502	0.1	59.2	0.7	81.9708	1.0	8.7	0.6	18.0567	1.6	13.9	0.9	25.6023	1.0	
BO.E.1.10-20.04	TQ Powders	11/8/2017 11:12:48 AM	12.5390	0.0348	0.0014	5.2646	0.013	16.41	0.04	870.6989	0.0021	17.22	0.03	1772.7952	0.00050	0.01779	0.00061	7.8538	0.0017	0.03550	0.00071	14.6210	0.00065	0.00231	0.00020	3.2527	0.00063	0.01856	0.00026	52.0147	0.00028	0.00472	0.00008	42.3366	0.00019	9832	10	10319.9638	0.1	102.0	0.5	355.1955	0.4	75700	70	49058.7293	0.1	23.0	0.9	30.6254	1.1	26.9	0.6	50.6620	0.8	5.4	0.2	50.0776	0.3	482.5	1.7	762.3828	0.1	29.0	0.5	47.0021	0.9	3.3	0.3	9.5505	1.2	7.7	0.5	16.5441	0.7	
JP.E2.L.4.0-10.16	TQ Powders	11/8/2017 11:26:38 AM	9.0326	< 0.0020	(0.0)	4.4236	0.0020	11.81	0.03	666.5579	0.0065	28.65	0.04	2985.7075	0.00001	0.02676	0.00090	6.2322	0.0016	0.02475	0.00054	8.8565	0.00042	0.00414	0.00026	4.1465	0.00057	0.02057	0.00025	47.8793	0.00020	0.01075	0.00015	43.3290	0.00016	2925	5	2526.1632	0.1	44.6	0.4	131.4861	0.4	7559	13	4526.2002	0.1	2.6	0.5	4.9168	0.6	5.5	0.3	14.7795	0.5	2.1	0.1	29.8289	0.2	144.0	0.8	321.3111	0.4	6.5	0.3	16.9080	0.7	1.3	0.2	6.6073	0.7	2.8	0.3	8.9660	0.4	
Eu.E2.L.4.0-10.16	TQ Powders	11/8/2017 11:40:28 AM	8.8600	< 0.0020	(0.0)	3.2787	0.0020	7.590	0.025	430.9055	0.010	40.40	0.05	4528.4717	0.00001	< 0.00030	(0.0)	8.0403	0.00030	0.03247	0.00061	11.5906	0.00046	0.01187	0.00038	9.0213	0.00063	0.02608	0.00029	60.8384	0.00023	0.05473	0.00032	214.3370	0.00017	4414	6	3838.2079	0.1	47.3	0.5	140.0088	0.6	7738	13	4603.6970	0.1	7.8	0.5	14.5630	0.7	13.7	0.3	36.4226	0.5	8.6	0.1	119.5545	0.2	846.2	1.9	1853.5452	0.1	21.9	0.4	50.2032	0.7	6.5	0.4	19.6607	1.3	4.0	0.3	12.7290	0.5	
Eu.E2.T.1.0-10.16	TQ Powders	11/8/2017 11:54:16 AM	9.0316	< 0.0020	(0.0)	2.6894	0.0020	4.837	0.019	308.8945	0.0100	42.63	0.05	5140.7587	0.00001	< 0.00030	(0.0)	5.7093	0.00030	0.02735	0.00057	9.6889	0.00046	0.00979	0.00035	7.6638	0.00061	0.01905	0.00025	44.0302	0.00021	0.04602	0.00029	177.5088	0.00016	2768	5	2368.3388	0.1	35.7	0.5	104.4560	0.7	6295	11	3736.1149	1.3	6.8	0.5	12.7770	0.7	10.6	0.3	28.3870	0.5	6.6	0.1	93.7759	0.2	462.3	1.4	1021.4834	0.1	14.6	0.3	33.8677	0.7	6.4	0.3	19.5755	1.0	2.5	0.3	8.2464	0.4	
Eu.E2.Ee2.4.0-10.16	TQ Powders	11/8/2017 12:08:05 PM	9.0946	< 0.0020	(0.0)	2.9688	0.0020	6.776	0.023	397.8741	0.0098	39.93	0.04	4553.5928	0.00001	< 0.00030	(0.0)	6.7739	0.00030	0.03095	0.00060	11.0707	0.00044	0.00719	0.00034	6.0557	0.00060	0.03943	0.00035	91.0084	0.00021	0.1231	0.0005	475.5013	0.00014	3696	6	3173.3948	0.1	37.0	0.4	108.3655	0.6	7585	13	4503.5985	0.1	6.0	0.5	11.1777	0.7	13.1	0.3	34.6939	0.5	11.4	0.1	158.6632	0.2	551.6	1.5	1208.8236	0.1	17.6	0.4	39.7534	0.7	6.2	0.4	19.0230	1.0	4.8	0.3	15.2645	0.4	
Eu.E2.Ee2.1.0-10.16	TQ Powders	11/8/2017 12:21:54 PM	10.2996	< 0.0020	(0.0)	3.6440	0.0020	10.68	0.03	480.4288	0.014	37.72	0.04	3767.6090	0.00001	< 0.00030	(0.0)	7.0572	0.00030	0.02634	0.00051	10.5811	0.00049	0.00643	0.00025	6.1375	0.00061	0.02701	0.00026	73.7571	0.00023	0.02444	0.00020	115.0079	0.00019	3491	5	3677.6887	0.1	35.2	0.3	128.8231	0.6	8854	13	5679.7714	0.1	13.2	0.5	26.3625	0.7	14.9	0.3	43.1854	0.5	7.6	0.1	108.1460	0.2	692.7	1.7	1471.6179	0.1	21.4	0.4	46.3971	0.9	6.7	0.4	19.9500	1.5	5.0	0.3	15.3812	0.6	
Eu.E2.T.4.0-10.16	TQ Powders	11/8/2017 1:41:06 PM	8.9338	< 0.0020	(0.0)	2.8442	0.0020	4.664	0.019	301.5703	0.0100	42.50	0.05	5204.7319	0.00001	0.00487	0.00015	7.9830	0.0020	0.02668	0.00057	9.5642	0.00048	0.00657	0.00034	5.6916	0.00062	0.1271	0.0006	293.8411	0.00013	0.2503	0.0007	967.7550	0.00015	3220	5	2766.2556	0.1	27.0	0.3	79.0598	0.4	5773	11	3438.0199	1.4	2.1	0.5	4.0172	0.7	11.9	0.3	31.8165	0.5	18.4	0.1	261.7590	0.2	523.6	1.5	1166.8015	0.1	15.2	0.3	35.5485	0.7	3.2	0.3	11.3326	1.0	3.2	0.3	10.4466	0.4	
