Mendoza6-27-17
Element	Method	Eval Date	Mass coefficient.	Mg	Mg	Mg	Mg	Al	Al	Al	Al	Si	Si	Si	Si	P	P	P	P	S	S	S	S	Cl	Cl	Cl	Cl	K	K	K	K	Ca	Ca	Ca	Ca	Ti	Ti	Ti	Ti	Mn	Mn	Mn	Mn	Fe	Fe	Fe	Fe	Cu	Cu	Cu	Cu	Zn	Zn	Zn	Zn	Sr	Sr	Sr	Sr	Zr	Zr	Zr	Zr	Nb	Nb	Nb	Nb	Mo	Mo	Mo	Mo	Pb	Pb	Pb	Pb	
Dimension			cm²/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	
Bp.E1.L.2.0-10.16	TQ Powders	6/27/2017 12:10:06 PM	13.7111	0.1281	0.0046	6.5829	0.013	20.49	0.04	1106.7476	0.0017	12.80	0.03	1281.4038	0.0017	0.03040	0.00078	11.5717	0.0017	0.01290	0.00054	5.8006	0.00077	0.00489	0.00030	5.2840	0.00068	0.03849	0.00036	110.2730	0.00031	0.00194	0.00004	34.7396	0.00023	14060	10	15059.9808	0.1	223.1	0.8	776.6959	0.4	91760	80	59611.7928	0.1	32.0	1.1	39.4486	1.3	33.3	0.7	58.0573	0.9	15.6	0.3	134.1221	0.4	647.1	2.0	965.9863	0.1	50.0	0.7	75.5272	1.0	4.9	0.4	12.2973	1.3	20.1	1.0	40.0974	0.9	
Bp.E1.T.2.0-10.16	TQ Powders	6/27/2017 12:24:01 PM	14.3791	0.0898	0.0035	5.9106	0.014	21.51	0.05	1040.3955	0.0019	13.33	0.03	1209.8700	0.0017	0.03959	0.00095	12.3211	0.0018	0.01890	0.00061	7.7070	0.00077	0.00297	0.00026	3.6253	0.00071	0.03950	0.00037	104.3796	0.00032	0.00792	0.00012	58.9424	0.00023	14060	10	13937.3646	0.1	222.1	0.8	719.8274	0.4	93270	80	55889.2233	0.1	27.0	1.1	31.5054	1.2	33.6	0.7	55.4648	0.8	18.6	0.3	151.0751	0.4	645.9	2.1	900.9694	0.1	53.2	0.7	74.7553	1.0	5.2	0.4	12.1269	1.4	22.8	1.0	42.6893	0.9	
Bp.E1.Ee1.2.0-10.16	TQ Powders	6/27/2017 12:37:58 PM	13.3135	0.1095	0.0040	6.3826	0.012	19.86	0.04	1113.1332	0.0016	12.51	0.03	1298.1260	0.0016	0.03728	0.00086	13.3291	0.0017	0.01793	0.00056	8.2252	0.00073	0.00611	0.00032	6.3789	0.00065	0.03887	0.00036	114.8716	0.00030	0.06584	0.00033	351.5396	0.00021	13470	10	14842.4293	0.1	235.7	0.8	844.4846	0.4	88890	80	59518.5180	0.1	32.1	1.1	40.8512	1.2	35.9	0.7	64.4852	0.8	24.0	0.3	212.1498	0.4	662.2	2.0	987.8383	0.1	54.4	0.7	80.7778	1.0	5.8	0.4	13.5973	1.3	23.0	1.0	47.3156	0.8	
Bp.E1.Ee2.2.0-10.16	TQ Powders	6/27/2017 12:51:49 PM	13.0376	0.1392	0.0048	6.9338	0.012	19.68	0.04	1162.1562	0.0015	12.59	0.03	1356.8451	0.0015	0.02810	0.00071	11.7949	0.0016	0.01727	0.00055	8.1241	0.00072	0.00658	0.00032	6.9042	0.00065	0.03591	0.00034	109.0086	0.00030	0.00152	0.00004	33.4788	0.00022	13510	10	15297.1235	0.1	209.2	0.7	768.7589	0.4	87150	80	60269.9926	0.1	27.9	1.0	36.4115	1.2	31.4	0.7	58.0338	0.9	15.3	0.2	139.8554	0.4	656.6	2.0	1019.3499	0.1	53.1	0.7	82.0749	1.0	5.9	0.4	14.3344	1.3	21.0	1.0	44.5279	0.8	
Bp.E1.L.3.0-10.16	TQ Powders	6/27/2017 1:05:45 PM	13.4164	0.1072	0.0040	6.3678	0.012	19.68	0.04	1113.9431	0.0017	12.85	0.03	1346.1741	0.0015	0.02657	0.00070	11.1909	0.0017	0.01171	0.00051	5.5084	0.00074	0.00337	0.00027	4.2119	0.00065	0.05977	0.00043	176.5028	0.00029	0.00093	0.00002	30.6418	0.00024	13230	10	14625.0613	0.1	207.8	0.7	747.1721	0.4	90810	80	61122.5352	0.1	26.4	1.1	33.3534	1.2	32.7	0.7	58.3964	0.8	15.0	0.2	132.0232	0.4	666.9	2.1	993.8232	0.1	51.2	0.7	76.2237	1.0	5.8	0.4	13.5819	1.4	21.6	1.0	44.1090	0.8	
Bp.E1.T.3.0-10.16	TQ Powders	6/27/2017 1:19:40 PM	13.6182	0.1266	0.0046	6.5882	0.013	19.61	0.04	1076.2886	0.0018	12.78	0.03	1311.0738	0.0016	0.03078	0.00078	11.8684	0.0017	0.02609	0.00064	11.6097	0.00072	0.00253	0.00024	3.5103	0.00066	0.05977	0.00043	174.1765	0.00029	0.00117	0.00003	31.7305	0.00024	13340	10	14566.5543	0.1	209.8	0.7	745.4403	0.4	92270	80	61077.9956	0.1	31.1	1.1	38.6509	1.2	36.3	0.7	63.7843	0.8	17.2	0.3	149.4266	0.4	650.5	2.0	983.3139	0.1	49.5	0.7	75.6617	1.0	5.6	0.4	13.6095	1.3	24.3	1.0	48.7490	0.8	
Bp.E1.Ee1.3.0-10.16	TQ Powders	6/27/2017 1:33:37 PM	13.5756	0.1233	0.0044	6.5697	0.012	19.99	0.04	1110.3107	0.0017	13.20	0.03	1357.1197	0.0015	0.03762	0.00088	13.2426	0.0017	0.01599	0.00055	7.2403	0.00075	0.00574	0.00032	5.9986	0.00067	0.06170	0.00043	178.5776	0.00030	0.00166	0.00004	33.7357	0.00024	13450	10	14577.5329	0.1	218.6	0.8	770.7075	0.4	91000	80	60086.2760	0.1	30.2	1.1	37.7026	1.3	31.7	0.7	55.9345	0.9	19.9	0.3	173.4097	0.4	672.5	2.1	998.5653	0.1	54.4	0.7	80.6652	1.0	6.4	0.4	14.6848	1.4	22.6	1.0	45.6275	0.9	
Bp.E1.Ee2.3.0-10.16	TQ Powders	6/27/2017 1:47:31 PM	13.1437	0.1237	0.0044	6.6511	0.012	19.26	0.04	1114.4828	0.0016	12.66	0.03	1354.3179	0.0015	0.03083	0.00077	12.0794	0.0016	0.01667	0.00055	7.8220	0.00072	0.00501	0.00030	5.5876	0.00065	0.05900	0.00042	177.6922	0.00029	0.00229	0.00005	37.5583	0.00024	13010	10	14663.3737	0.1	211.2	0.7	774.0350	0.4	88980	80	61091.5589	0.1	32.6	1.0	42.0160	1.1	34.7	0.7	63.2638	0.8	15.6	0.2	139.3179	0.4	667.3	2.1	981.5301	0.1	52.6	0.7	76.6617	1.0	6.2	0.5	14.0665	1.4	22.3	1.0	46.4287	0.8	
Bp.E1.T.4.0-10.16	TQ Powders	6/27/2017 2:01:24 PM	13.3606	0.1128	0.0041	6.4516	0.012	19.59	0.04	1111.0541	0.0017	13.00	0.03	1363.9904	0.0015	0.02905	0.00073	11.8286	0.0017	0.01532	0.00054	7.0779	0.00074	0.00487	0.00029	5.3992	0.00066	0.06648	0.00045	196.1597	0.00029	0.00081	0.00002	29.9124	0.00025	13350	10	14743.9744	0.1	231.1	0.8	829.9168	0.4	89950	80	60519.6457	0.1	30.2	1.1	38.2659	1.2	32.8	0.7	58.8558	0.9	17.0	0.3	150.6298	0.4	669.5	2.1	1019.7163	0.1	52.0	0.7	79.5238	1.0	4.9	0.4	12.2615	1.4	22.0	1.0	45.2146	0.9	
