Mendoza_6-27-16
Element	Method	Eval Date	Mass coefficient.	Mg	Mg	Mg	Mg	Al	Al	Al	Al	Si	Si	Si	Si	P	P	P	P	S	S	S	S	Cl	Cl	Cl	Cl	K	K	K	K	Ca	Ca	Ca	Ca	Ti	Ti	Ti	Ti	Mn	Mn	Mn	Mn	Fe	Fe	Fe	Fe	Cu	Cu	Cu	Cu	Zn	Zn	Zn	Zn	Sr	Sr	Sr	Sr	Zr	Zr	Zr	Zr	Nb	Nb	Nb	Nb	Mo	Mo	Mo	Mo	Pb	Pb	Pb	Pb	
Dimension			cm²/g	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	%	Abs. Error ( %)	Norm. Int.	%	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	µg/g	Abs. Error ( µg/g)	Norm. Int.	µg/g	
Bp.E1.L.2.20-40.16	TQ Powders	6/27/2017 3:29:13 PM	13.6011	0.1444	0.0051	6.8949	0.012	20.68	0.04	1157.8531	0.0015	12.98	0.03	1328.8056	0.0016	0.02542	0.00068	10.8301	0.0017	0.00969	0.00050	4.5435	0.00077	0.00273	0.00025	3.6570	0.00067	0.03511	0.00035	101.8380	0.00032	< 0.0010	(0.0)	22.8067	0.00100	14310	10	15481.6049	0.1	229.3	0.8	804.7133	0.4	90900	80	59935.3556	0.1	31.2	1.1	38.9887	1.2	33.0	0.7	58.2764	0.9	15.7	0.3	136.6827	0.4	653.2	2.0	988.9733	0.1	49.6	0.7	75.9047	1.0	5.1	0.4	12.7598	1.3	21.2	1.0	42.8812	0.9	
Bp.E1.T.2.20-40.16	TQ Powders	6/27/2017 3:43:11 PM	13.6425	0.0984	0.0037	6.1719	0.013	20.43	0.04	1106.8182	0.0017	12.74	0.03	1279.0737	0.0016	0.02381	0.00065	10.5308	0.0017	0.01063	0.00050	4.9191	0.00077	0.00186	0.00020	2.9625	0.00067	0.03461	0.00035	99.5607	0.00031	0.00069	0.00002	28.6904	0.00022	13950	10	14999.8226	0.1	215.5	0.7	753.3143	0.4	91170	80	59456.5112	0.1	32.4	1.1	40.1918	1.2	33.9	0.7	59.3693	0.8	15.8	0.3	136.3007	0.4	665.4	2.0	998.5882	0.1	51.3	0.7	77.7359	1.0	5.1	0.4	12.7087	1.4	22.7	1.0	45.3861	0.8	
Bp.E1.Ee1.2.20-40.16	TQ Powders	6/27/2017 3:57:06 PM	13.6387	0.1210	0.0044	6.5213	0.012	20.38	0.04	1122.2750	0.0016	12.77	0.03	1298.2568	0.0016	0.02355	0.00064	10.5892	0.0017	0.01118	0.00051	5.1875	0.00076	0.00324	0.00025	4.0458	0.00067	0.03550	0.00035	102.9255	0.00031	0.00508	0.00009	50.3567	0.00022	13920	10	15077.0420	0.1	218.4	0.8	768.5376	0.4	91620	80	60270.1053	0.1	26.3	1.1	32.6647	1.2	33.3	0.7	58.5548	0.8	15.8	0.3	136.6861	0.4	672.7	2.1	1008.2269	0.1	51.6	0.7	77.9359	1.0	5.4	0.4	13.0649	1.4	22.5	1.0	45.2440	0.9	
Bp.E1.Ee2.2.20-40.16	TQ Powders	6/27/2017 4:10:59 PM	13.6841	0.1188	0.0043	6.4791	0.013	20.45	0.04	1118.7481	0.0016	12.86	0.03	1300.2693	0.0016	0.02345	0.00064	10.4639	0.0017	0.01032	0.00050	4.7597	0.00077	0.00290	0.00024	3.7745	0.00067	0.03496	0.00035	100.8172	0.00031	< 0.0010	(0.0)	24.4716	0.00100	14030	10	15118.1101	0.1	214.7	0.7	751.4353	0.4	91740	80	60014.9800	0.1	33.0	1.1	40.8516	1.2	33.5	0.7	58.6407	0.8	15.3	0.3	132.4976	0.4	666.7	2.1	996.2289	0.1	51.8	0.7	78.0668	1.0	6.3	0.4	14.7246	1.4	20.4	1.0	40.9627	0.9	
Bp.E1.Ee1.3.20-40.16	TQ Powders	6/27/2017 4:24:53 PM	13.7908	0.1283	0.0046	6.6399	0.012	20.17	0.04	1119.5865	0.0017	13.23	0.03	1356.7858	0.0016	0.02526	0.00069	10.6875	0.0017	0.01131	0.00051	5.2512	0.00076	0.00309	0.00025	3.9291	0.00067	0.06194	0.00044	178.6600	0.00030	0.00034	0.00001	27.8217	0.00025	13670	10	14754.9562	0.1	219.4	0.8	769.8412	0.4	93550	80	61499.3555	0.1	31.3	1.1	38.5505	1.3	33.5	0.7	58.2741	0.9	16.8	0.3	143.9402	0.4	652.9	2.0	973.2277	0.1	50.6	0.7	75.8741	1.0	5.6	0.4	13.3761	1.4	23.4	1.0	46.7313	0.9	
Bp.E1.T.3.20-40.16	TQ Powders	6/27/2017 4:38:48 PM	13.9434	0.1027	0.0039	6.2011	0.013	20.46	0.04	1086.5762	0.0018	13.18	0.03	1304.8576	0.0016	0.01947	0.00058	9.4583	0.0017	0.00959	0.00050	4.3920	0.00078	0.00246	0.00022	3.3972	0.00068	0.05811	0.00043	163.7655	0.00030	0.00024	0.00001	26.7400	0.00021	13820	10	14588.6072	0.1	213.9	0.8	735.5584	0.4	93680	80	60021.0128	0.1	31.5	1.1	38.2263	1.3	32.5	0.7	55.7546	0.9	15.9	0.3	134.5053	0.4	658.8	2.1	969.8472	0.1	49.7	0.7	74.3789	1.0	5.3	0.4	12.9651	1.4	22.3	1.0	43.6623	0.9	
Bp.E1.Ee2.3.20-40.16	TQ Powders	6/27/2017 4:52:44 PM	14.0664	0.1271	0.0046	6.4980	0.013	20.40	0.04	1062.1080	0.0018	13.13	0.03	1282.1618	0.0016	0.02120	0.00061	9.7507	0.0017	0.01511	0.00056	6.5752	0.00077	0.00353	0.00026	4.1789	0.00068	0.05822	0.00043	162.6242	0.00030	< 0.00025	(0.00013)	26.2056	0.00025	13770	10	14428.4592	0.1	215.1	0.8	734.3369	0.4	94610	80	59998.1848	0.1	30.5	1.1	36.6530	1.3	33.8	0.7	57.4193	0.9	15.4	0.3	129.2250	0.4	665.9	2.1	970.9051	0.1	50.7	0.7	74.8623	1.0	5.5	0.4	13.1260	1.4	20.9	1.1	40.5536	0.9	
Bp.E1.L.3.20-40.16	TQ Powders	6/27/2017 5:06:38 PM	14.1138	0.1283	0.0046	6.5432	0.013	20.89	0.04	1101.3844	0.0017	13.50	0.03	1320.3526	0.0016	0.02189	0.00062	9.9713	0.0018	0.01114	0.00052	4.9562	0.00079	0.00216	0.00022	3.1409	0.00069	0.06154	0.00044	170.8341	0.00030	< 0.0010	(0.0)	25.3229	0.00100	13750	10	14297.0050	0.1	216.3	0.8	733.2734	0.4	94630	80	59898.1140	0.1	31.7	1.1	38.0098	1.3	34.2	0.8	57.9867	0.9	15.1	0.3	126.5782	0.4	687.9	2.1	989.1941	0.1	51.5	0.7	74.5817	1.0	6.0	0.5	13.7045	1.4	22.0	1.1	42.6405	0.9	
Bp.E1.Ee2.4.20-40.16	TQ Powders	6/27/2017 5:20:33 PM	14.0926	0.0954	0.0036	6.0612	0.013	20.75	0.05	1068.2311	0.0018	13.39	0.03	1290.0630	0.0016	0.03070	0.00078	11.4146	0.0017	0.00969	0.00050	4.3268	0.00079	0.00304	0.00025	3.7804	0.00069	0.06160	0.00044	169.6772	0.00030	0.00545	0.00010	50.2464	0.00025	13780	10	14234.1418	0.1	228.2	0.8	769.2163	0.4	93670	80	58675.7900	0.1	28.2	1.1	33.7923	1.4	32.2	0.8	54.4982	1.0	18.4	0.3	153.8486	0.4	664.7	2.1	966.2640	0.1	52.2	0.7	76.7374	1.0	4.7	0.4	11.6916	1.4	21.8	1.0	42.1030	0.9	
